Survey Name,"compassion",Install Id,"BFABF4BE-9CBA-41F8-A6E7-70F9D5A8AD64"
Survey Author,"Ilaria Colpizzi"
Subject ID,"Be_Ci_1990_02_18_371_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:21:54+0200,2022-04-02T10:22:53+0200,4,4,2,5,4,5,2,4,3,4,5,4,5
,,2022-04-02T10:21:58+0200,2022-04-02T10:22:43+0200,2022-04-02T10:22:48+0200,2022-04-02T10:22:51+0200,2022-04-02T10:22:32+0200,2022-04-02T10:22:40+0200,2022-04-02T10:22:07+0200,2022-04-02T10:22:45+0200,2022-04-02T10:22:19+0200,2022-04-02T10:22:23+0200,2022-04-02T10:22:12+0200,2022-04-02T10:22:29+0200,2022-04-02T10:22:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:15:52+0200,2022-04-02T15:16:12+0200,4,4,4,4,4,4,5,2,4,4,4,3,4
,,2022-04-02T15:15:54+0200,2022-04-02T15:16:06+0200,2022-04-02T15:16:01+0200,2022-04-02T15:15:56+0200,2022-04-02T15:15:58+0200,2022-04-02T15:16:00+0200,2022-04-02T15:15:55+0200,2022-04-02T15:16:10+0200,2022-04-02T15:16:05+0200,2022-04-02T15:16:08+0200,2022-04-02T15:16:04+0200,2022-04-02T15:16:09+0200,2022-04-02T15:16:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:27:36+0200,2022-04-02T17:28:11+0200,2,5,5,5,5,6,6,4,4,6,5,5,6
,,2022-04-02T17:27:37+0200,2022-04-02T17:27:49+0200,2022-04-02T17:27:43+0200,2022-04-02T17:28:00+0200,2022-04-02T17:27:59+0200,2022-04-02T17:27:46+0200,2022-04-02T17:28:03+0200,2022-04-02T17:27:51+0200,2022-04-02T17:28:10+0200,2022-04-02T17:27:52+0200,2022-04-02T17:27:48+0200,2022-04-02T17:27:53+0200,2022-04-02T17:28:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:19:55+0200,2022-04-02T19:20:17+0200,4,5,4,4,4,4,4,2,4,4,4,4,4
,,2022-04-02T19:19:57+0200,2022-04-02T19:20:11+0200,2022-04-02T19:19:59+0200,2022-04-02T19:20:06+0200,2022-04-02T19:19:58+0200,2022-04-02T19:20:07+0200,2022-04-02T19:20:05+0200,2022-04-02T19:20:09+0200,2022-04-02T19:20:13+0200,2022-04-02T19:20:14+0200,2022-04-02T19:20:03+0200,2022-04-02T19:20:02+0200,2022-04-02T19:20:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:15:38+0200,2022-04-09T10:15:56+0200,5,5,5,5,5,5,6,5,5,6,5,5,6
