Survey Name,"compassion",Install Id,"bd8255be-0256-4819-b2b6-255f0dd3ccc2"
Author,"Ilaria Colpizzi"
Subject ID,"Cl_ta_2001_12_17_692_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:08:25+0200,2022-04-02T10:10:11+0200,3,4,1,4,3,4,2,4,2,3,4,4,4
,,2022-04-02T10:09:02+0200,2022-04-02T10:09:57+0200,2022-04-02T10:09:05+0200,2022-04-02T10:09:54+0200,2022-04-02T10:09:39+0200,2022-04-02T10:10:09+0200,2022-04-02T10:09:50+0200,2022-04-02T10:09:32+0200,2022-04-02T10:09:44+0200,2022-04-02T10:09:35+0200,2022-04-02T10:09:25+0200,2022-04-02T10:09:18+0200,2022-04-02T10:10:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:17:47+0200,2022-04-02T15:19:13+0200,2,3,3,2,3,4,4,2,4,4,2,2,4
,,2022-04-02T15:18:01+0200,2022-04-02T15:19:04+0200,2022-04-02T15:19:11+0200,2022-04-02T15:18:26+0200,2022-04-02T15:18:57+0200,2022-04-02T15:18:16+0200,2022-04-02T15:18:31+0200,2022-04-02T15:18:50+0200,2022-04-02T15:19:00+0200,2022-04-02T15:19:09+0200,2022-04-02T15:18:22+0200,2022-04-02T15:18:37+0200,2022-04-02T15:18:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:22:36+0200,2022-04-02T17:23:53+0200,4,2,3,3,3,4,4,3,4,4,3,3,5
,,2022-04-02T17:22:47+0200,2022-04-02T17:23:22+0200,2022-04-02T17:23:44+0200,2022-04-02T17:23:32+0200,2022-04-02T17:23:27+0200,2022-04-02T17:22:52+0200,2022-04-02T17:22:58+0200,2022-04-02T17:23:50+0200,2022-04-02T17:23:39+0200,2022-04-02T17:23:03+0200,2022-04-02T17:23:09+0200,2022-04-02T17:23:01+0200,2022-04-02T17:23:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:25:03+0200,2022-04-02T19:26:18+0200,3,2,1,2,3,3,4,3,4,4,4,3,4
,,2022-04-02T19:25:09+0200,2022-04-02T19:25:13+0200,2022-04-02T19:25:59+0200,2022-04-02T19:25:55+0200,2022-04-02T19:25:49+0200,2022-04-02T19:25:18+0200,2022-04-02T19:26:13+0200,2022-04-02T19:25:45+0200,2022-04-02T19:25:33+0200,2022-04-02T19:25:21+0200,2022-04-02T19:26:17+0200,2022-04-02T19:25:36+0200,2022-04-02T19:26:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:07:26+0200,2022-04-02T21:08:25+0200,4,1,2,3,4,2,3,3,3,3,4,4,4
,,2022-04-02T21:07:32+0200,2022-04-02T21:08:11+0200,2022-04-02T21:07:44+0200,2022-04-02T21:07:47+0200,2022-04-02T21:07:51+0200,2022-04-02T21:08:20+0200,2022-04-02T21:08:04+0200,2022-04-02T21:08:01+0200,2022-04-02T21:07:55+0200,2022-04-02T21:07:42+0200,2022-04-02T21:08:23+0200,2022-04-02T21:08:09+0200,2022-04-02T21:08:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:32:19+0200,2022-04-09T10:33:27+0200,4,2,2,4,3,5,1,4,3,2,5,4,4
,,2022-04-09T10:32:27+0200,2022-04-09T10:32:40+0200,2022-04-09T10:32:47+0200,2022-04-09T10:33:21+0200,2022-04-09T10:32:43+0200,2022-04-09T10:33:18+0200,2022-04-09T10:33:14+0200,2022-04-09T10:32:36+0200,2022-04-09T10:33:08+0200,2022-04-09T10:32:54+0200,2022-04-09T10:32:57+0200,2022-04-09T10:32:51+0200,2022-04-09T10:33:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:15:53+0200,2022-04-09T15:16:59+0200,4,1,2,4,4,4,3,3,4,3,4,3,4
,,2022-04-09T15:16:00+0200,2022-04-09T15:16:28+0200,2022-04-09T15:16:03+0200,2022-04-09T15:16:10+0200,2022-04-09T15:16:47+0200,2022-04-09T15:16:25+0200,2022-04-09T15:16:58+0200,2022-04-09T15:16:20+0200,2022-04-09T15:16:55+0200,2022-04-09T15:16:51+0200,2022-04-09T15:16:45+0200,2022-04-09T15:16:08+0200,2022-04-09T15:16:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:13:18+0200,2022-04-09T17:14:25+0200,4,2,2,4,4,4,3,3,2,2,4,5,4
,,2022-04-09T17:13:26+0200,2022-04-09T17:13:55+0200,2022-04-09T17:13:40+0200,2022-04-09T17:13:38+0200,2022-04-09T17:13:52+0200,2022-04-09T17:14:20+0200,2022-04-09T17:13:50+0200,2022-04-09T17:14:13+0200,2022-04-09T17:13:33+0200,2022-04-09T17:14:23+0200,2022-04-09T17:13:44+0200,2022-04-09T17:14:07+0200,2022-04-09T17:14:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:29:05+0200,2022-04-09T19:30:15+0200,5,1,1,4,4,5,2,1,1,2,4,4,4
,,2022-04-09T19:29:09+0200,2022-04-09T19:29:14+0200,2022-04-09T19:29:22+0200,2022-04-09T19:29:42+0200,2022-04-09T19:29:26+0200,2022-04-09T19:29:30+0200,2022-04-09T19:29:56+0200,2022-04-09T19:29:51+0200,2022-04-09T19:30:13+0200,2022-04-09T19:29:38+0200,2022-04-09T19:29:19+0200,2022-04-09T19:30:06+0200,2022-04-09T19:29:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:27:51+0200,2022-04-09T21:28:42+0200,3,2,1,3,2,3,2,3,3,2,4,4,3
,,2022-04-09T21:27:56+0200,2022-04-09T21:28:30+0200,2022-04-09T21:28:41+0200,2022-04-09T21:27:58+0200,2022-04-09T21:28:06+0200,2022-04-09T21:28:11+0200,2022-04-09T21:28:01+0200,2022-04-09T21:28:19+0200,2022-04-09T21:28:36+0200,2022-04-09T21:28:04+0200,2022-04-09T21:28:39+0200,2022-04-09T21:28:33+0200,2022-04-09T21:28:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:25:26+0200,2022-04-16T15:26:15+0200,2,4,4,2,2,1,5,2,3,5,2,2,4
,,2022-04-16T15:25:30+0200,2022-04-16T15:25:47+0200,2022-04-16T15:25:40+0200,2022-04-16T15:25:49+0200,2022-04-16T15:25:55+0200,2022-04-16T15:26:05+0200,2022-04-16T15:25:43+0200,2022-04-16T15:26:10+0200,2022-04-16T15:25:59+0200,2022-04-16T15:26:13+0200,2022-04-16T15:26:02+0200,2022-04-16T15:25:37+0200,2022-04-16T15:25:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:00:25+0200,2022-04-16T17:01:00+0200,1,5,5,1,1,2,5,1,5,4,2,2,5
,,2022-04-16T17:00:26+0200,2022-04-16T17:00:56+0200,2022-04-16T17:00:43+0200,2022-04-16T17:00:58+0200,2022-04-16T17:00:45+0200,2022-04-16T17:00:31+0200,2022-04-16T17:00:41+0200,2022-04-16T17:00:39+0200,2022-04-16T17:00:35+0200,2022-04-16T17:00:54+0200,2022-04-16T17:00:29+0200,2022-04-16T17:00:48+0200,2022-04-16T17:00:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:21:52+0200,2022-04-16T19:22:26+0200,2,4,4,2,2,2,4,2,3,4,3,5,4
,,2022-04-16T19:21:54+0200,2022-04-16T19:22:25+0200,2022-04-16T19:22:21+0200,2022-04-16T19:22:23+0200,2022-04-16T19:22:07+0200,2022-04-16T19:22:18+0200,2022-04-16T19:22:05+0200,2022-04-16T19:22:03+0200,2022-04-16T19:21:59+0200,2022-04-16T19:22:13+0200,2022-04-16T19:22:10+0200,2022-04-16T19:22:16+0200,2022-04-16T19:21:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:10:24+0200,2022-04-16T21:11:23+0200,4,1,2,2,4,4,4,3,3,2,4,4,4
,,2022-04-16T21:10:34+0200,2022-04-16T21:11:06+0200,2022-04-16T21:10:41+0200,2022-04-16T21:11:10+0200,2022-04-16T21:11:08+0200,2022-04-16T21:11:01+0200,2022-04-16T21:11:22+0200,2022-04-16T21:10:59+0200,2022-04-16T21:11:13+0200,2022-04-16T21:11:04+0200,2022-04-16T21:11:18+0200,2022-04-16T21:10:47+0200,2022-04-16T21:10:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:13:19+0200,2022-04-23T15:14:19+0200,3,3,3,3,3,4,2,2,2,4,4,4,4
,,2022-04-23T15:13:24+0200,2022-04-23T15:13:36+0200,2022-04-23T15:13:56+0200,2022-04-23T15:14:17+0200,2022-04-23T15:13:31+0200,2022-04-23T15:13:28+0200,2022-04-23T15:13:34+0200,2022-04-23T15:13:49+0200,2022-04-23T15:13:53+0200,2022-04-23T15:14:14+0200,2022-04-23T15:14:11+0200,2022-04-23T15:14:02+0200,2022-04-23T15:14:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:29:44+0200,2022-04-23T17:30:51+0200,4,2,2,3,4,4,1,2,4,2,4,4,4
,,2022-04-23T17:29:46+0200,2022-04-23T17:30:15+0200,2022-04-23T17:29:49+0200,2022-04-23T17:30:23+0200,2022-04-23T17:29:54+0200,2022-04-23T17:30:50+0200,2022-04-23T17:30:05+0200,2022-04-23T17:30:12+0200,2022-04-23T17:30:39+0200,2022-04-23T17:30:20+0200,2022-04-23T17:30:43+0200,2022-04-23T17:29:51+0200,2022-04-23T17:30:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:15:10+0200,2022-04-23T19:15:56+0200,3,3,3,2,2,3,3,2,2,4,3,2,4
,,2022-04-23T19:15:13+0200,2022-04-23T19:15:55+0200,2022-04-23T19:15:23+0200,2022-04-23T19:15:28+0200,2022-04-23T19:15:34+0200,2022-04-23T19:15:40+0200,2022-04-23T19:15:36+0200,2022-04-23T19:15:20+0200,2022-04-23T19:15:31+0200,2022-04-23T19:15:26+0200,2022-04-23T19:15:43+0200,2022-04-23T19:15:17+0200,2022-04-23T19:15:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:21:17+0200,2022-04-23T21:21:59+0200,2,2,3,2,2,2,5,3,4,5,3,2,4
,,2022-04-23T21:21:22+0200,2022-04-23T21:21:27+0200,2022-04-23T21:21:58+0200,2022-04-23T21:21:48+0200,2022-04-23T21:21:36+0200,2022-04-23T21:21:35+0200,2022-04-23T21:21:43+0200,2022-04-23T21:21:51+0200,2022-04-23T21:21:55+0200,2022-04-23T21:21:45+0200,2022-04-23T21:21:32+0200,2022-04-23T21:21:25+0200,2022-04-23T21:21:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:32:35+0200,2022-04-30T10:33:24+0200,2,3,3,2,1,3,3,2,3,4,3,3,4
,,2022-04-30T10:32:38+0200,2022-04-30T10:33:00+0200,2022-04-30T10:33:22+0200,2022-04-30T10:32:40+0200,2022-04-30T10:33:04+0200,2022-04-30T10:32:46+0200,2022-04-30T10:33:15+0200,2022-04-30T10:33:19+0200,2022-04-30T10:32:43+0200,2022-04-30T10:32:50+0200,2022-04-30T10:33:12+0200,2022-04-30T10:33:07+0200,2022-04-30T10:33:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:07:17+0200,2022-04-30T15:08:16+0200,3,2,2,3,4,3,2,3,3,3,4,4,4
,,2022-04-30T15:07:19+0200,2022-04-30T15:08:02+0200,2022-04-30T15:07:40+0200,2022-04-30T15:08:14+0200,2022-04-30T15:07:48+0200,2022-04-30T15:07:38+0200,2022-04-30T15:07:35+0200,2022-04-30T15:07:29+0200,2022-04-30T15:07:55+0200,2022-04-30T15:08:06+0200,2022-04-30T15:07:44+0200,2022-04-30T15:07:25+0200,2022-04-30T15:07:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:35:02+0200,2022-04-30T17:35:50+0200,4,1,1,5,4,6,1,5,1,3,4,6,3
,,2022-04-30T17:35:04+0200,2022-04-30T17:35:27+0200,2022-04-30T17:35:24+0200,2022-04-30T17:35:43+0200,2022-04-30T17:35:11+0200,2022-04-30T17:35:20+0200,2022-04-30T17:35:31+0200,2022-04-30T17:35:49+0200,2022-04-30T17:35:35+0200,2022-04-30T17:35:38+0200,2022-04-30T17:35:07+0200,2022-04-30T17:35:17+0200,2022-04-30T17:35:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:09:18+0200,2022-04-30T19:09:55+0200,3,3,4,2,3,3,4,3,3,2,4,3,4
,,2022-04-30T19:09:21+0200,2022-04-30T19:09:43+0200,2022-04-30T19:09:47+0200,2022-04-30T19:09:49+0200,2022-04-30T19:09:44+0200,2022-04-30T19:09:25+0200,2022-04-30T19:09:33+0200,2022-04-30T19:09:23+0200,2022-04-30T19:09:52+0200,2022-04-30T19:09:28+0200,2022-04-30T19:09:54+0200,2022-04-30T19:09:30+0200,2022-04-30T19:09:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:04:59+0200,2022-05-07T15:05:58+0200,3,3,3,2,3,5,3,2,3,3,4,4,5
,,2022-05-07T15:05:06+0200,2022-05-07T15:05:09+0200,2022-05-07T15:05:16+0200,2022-05-07T15:05:56+0200,2022-05-07T15:05:11+0200,2022-05-07T15:05:24+0200,2022-05-07T15:05:50+0200,2022-05-07T15:05:30+0200,2022-05-07T15:05:18+0200,2022-05-07T15:05:14+0200,2022-05-07T15:05:53+0200,2022-05-07T15:05:20+0200,2022-05-07T15:05:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T21:03:50+0200,2022-05-07T21:04:55+0200,4,2,2,4,4,4,3,3,2,2,4,4,5
,,2022-05-07T21:03:54+0200,2022-05-07T21:04:43+0200,2022-05-07T21:04:12+0200,2022-05-07T21:04:11+0200,2022-05-07T21:03:56+0200,2022-05-07T21:04:03+0200,2022-05-07T21:04:51+0200,2022-05-07T21:04:09+0200,2022-05-07T21:04:23+0200,2022-05-07T21:03:59+0200,2022-05-07T21:04:32+0200,2022-05-07T21:04:35+0200,2022-05-07T21:04:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T10:24:49+0200,2022-05-14T10:25:33+0200,4,1,1,5,4,4,1,2,1,1,5,5,4
,,2022-05-14T10:24:55+0200,2022-05-14T10:25:27+0200,2022-05-14T10:25:22+0200,2022-05-14T10:25:07+0200,2022-05-14T10:25:31+0200,2022-05-14T10:25:30+0200,2022-05-14T10:25:20+0200,2022-05-14T10:25:01+0200,2022-05-14T10:25:05+0200,2022-05-14T10:25:10+0200,2022-05-14T10:25:26+0200,2022-05-14T10:25:15+0200,2022-05-14T10:25:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T15:28:13+0200,2022-05-14T15:29:25+0200,4,3,2,4,4,4,3,4,2,2,4,4,3
,,2022-05-14T15:28:18+0200,2022-05-14T15:29:06+0200,2022-05-14T15:29:11+0200,2022-05-14T15:29:04+0200,2022-05-14T15:29:02+0200,2022-05-14T15:29:01+0200,2022-05-14T15:28:20+0200,2022-05-14T15:29:08+0200,2022-05-14T15:29:24+0200,2022-05-14T15:29:16+0200,2022-05-14T15:29:13+0200,2022-05-14T15:29:18+0200,2022-05-14T15:29:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T17:29:01+0200,2022-05-14T17:33:35+0200,2,4,3,2,2,2,4,3,3,4,3,3,3
,,2022-05-14T17:32:46+0200,2022-05-14T17:32:48+0200,2022-05-14T17:33:17+0200,2022-05-14T17:32:54+0200,2022-05-14T17:33:19+0200,2022-05-14T17:33:22+0200,2022-05-14T17:33:25+0200,2022-05-14T17:33:14+0200,2022-05-14T17:33:00+0200,2022-05-14T17:32:57+0200,2022-05-14T17:33:33+0200,2022-05-14T17:33:11+0200,2022-05-14T17:33:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T19:17:32+0200,2022-05-14T19:18:04+0200,3,2,3,3,3,3,2,2,3,3,4,4,4
,,2022-05-14T19:17:34+0200,2022-05-14T19:17:37+0200,2022-05-14T19:18:03+0200,2022-05-14T19:17:48+0200,2022-05-14T19:17:39+0200,2022-05-14T19:18:01+0200,2022-05-14T19:17:52+0200,2022-05-14T19:17:59+0200,2022-05-14T19:17:55+0200,2022-05-14T19:17:41+0200,2022-05-14T19:17:43+0200,2022-05-14T19:17:50+0200,2022-05-14T19:17:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T21:15:41+0200,2022-05-14T21:16:14+0200,3,3,3,2,2,3,4,4,4,4,3,4,4
,,2022-05-14T21:15:43+0200,2022-05-14T21:16:05+0200,2022-05-14T21:15:49+0200,2022-05-14T21:15:48+0200,2022-05-14T21:15:55+0200,2022-05-14T21:16:10+0200,2022-05-14T21:16:13+0200,2022-05-14T21:16:07+0200,2022-05-14T21:15:45+0200,2022-05-14T21:16:08+0200,2022-05-14T21:16:03+0200,2022-05-14T21:16:01+0200,2022-05-14T21:15:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T15:16:53+0200,2022-05-21T15:17:29+0200,4,2,2,3,3,3,3,2,3,2,4,3,4
,,2022-05-21T15:16:59+0200,2022-05-21T15:17:12+0200,2022-05-21T15:17:04+0200,2022-05-21T15:17:06+0200,2022-05-21T15:17:08+0200,2022-05-21T15:17:14+0200,2022-05-21T15:17:02+0200,2022-05-21T15:17:24+0200,2022-05-21T15:17:17+0200,2022-05-21T15:17:27+0200,2022-05-21T15:17:22+0200,2022-05-21T15:17:19+0200,2022-05-21T15:17:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
