Survey Name,"compassion",Install Id,"2B5C990D-DD07-4857-B3B1-7D55F267A5CD"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ENRI-→-en_mi_1969_10_31_341_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-07T15:27:45+0200,2022-04-07T15:29:25+0200,2,2,2,3,3,4,3,4,3,2,4,4,2
,,2022-04-07T15:27:59+0200,2022-04-07T15:28:46+0200,2022-04-07T15:28:11+0200,2022-04-07T15:29:18+0200,2022-04-07T15:28:44+0200,2022-04-07T15:29:05+0200,2022-04-07T15:28:06+0200,2022-04-07T15:29:02+0200,2022-04-07T15:29:23+0200,2022-04-07T15:29:08+0200,2022-04-07T15:28:40+0200,2022-04-07T15:29:13+0200,2022-04-07T15:28:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:11:02+0200,2022-04-09T10:12:15+0200,2,1,1,3,3,4,2,4,3,2,4,5,2
,,2022-04-09T10:11:11+0200,2022-04-09T10:12:12+0200,2022-04-09T10:11:56+0200,2022-04-09T10:11:19+0200,2022-04-09T10:12:08+0200,2022-04-09T10:12:00+0200,2022-04-09T10:11:32+0200,2022-04-09T10:11:46+0200,2022-04-09T10:12:05+0200,2022-04-09T10:11:52+0200,2022-04-09T10:11:37+0200,2022-04-09T10:11:27+0200,2022-04-09T10:11:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:34:51+0200,2022-04-09T17:35:44+0200,4,1,1,4,4,4,2,4,3,2,4,5,1
,,2022-04-09T17:34:56+0200,2022-04-09T17:35:35+0200,2022-04-09T17:35:22+0200,2022-04-09T17:35:25+0200,2022-04-09T17:35:18+0200,2022-04-09T17:35:06+0200,2022-04-09T17:35:15+0200,2022-04-09T17:35:32+0200,2022-04-09T17:35:09+0200,2022-04-09T17:35:12+0200,2022-04-09T17:35:02+0200,2022-04-09T17:35:27+0200,2022-04-09T17:35:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:30:38+0200,2022-04-09T19:31:26+0200,4,3,1,3,4,4,2,3,3,3,4,5,3
,,2022-04-09T19:30:40+0200,2022-04-09T19:30:52+0200,2022-04-09T19:31:17+0200,2022-04-09T19:30:44+0200,2022-04-09T19:31:21+0200,2022-04-09T19:31:14+0200,2022-04-09T19:30:58+0200,2022-04-09T19:30:42+0200,2022-04-09T19:31:10+0200,2022-04-09T19:30:46+0200,2022-04-09T19:31:03+0200,2022-04-09T19:31:24+0200,2022-04-09T19:30:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:08:31+0200,2022-04-09T21:09:42+0200,1,4,4,1,3,3,3,4,3,2,3,3,4
,,2022-04-09T21:08:35+0200,2022-04-09T21:09:29+0200,2022-04-09T21:08:41+0200,2022-04-09T21:09:01+0200,2022-04-09T21:09:04+0200,2022-04-09T21:09:18+0200,2022-04-09T21:09:10+0200,2022-04-09T21:09:40+0200,2022-04-09T21:09:15+0200,2022-04-09T21:08:56+0200,2022-04-09T21:09:21+0200,2022-04-09T21:09:07+0200,2022-04-09T21:08:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-14T15:17:02+0200,2022-04-14T15:17:49+0200,3,1,2,4,4,5,2,5,3,2,4,5,2
