Survey Name,"compassion",Install Id,"E4D24137-85A7-43A3-9A81-C2D28146C06A"
Survey Author,"Ilaria Colpizzi"
Subject ID,"Fr_fi_1958_05_04_854_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:26:10+0200,2022-04-02T10:27:53+0200,3,1,1,4,4,4,1,5,4,1,4,6,3
,,2022-04-02T10:26:22+0200,2022-04-02T10:27:35+0200,2022-04-02T10:27:32+0200,2022-04-02T10:27:22+0200,2022-04-02T10:27:39+0200,2022-04-02T10:27:28+0200,2022-04-02T10:27:17+0200,2022-04-02T10:27:13+0200,2022-04-02T10:26:48+0200,2022-04-02T10:26:54+0200,2022-04-02T10:27:50+0200,2022-04-02T10:26:39+0200,2022-04-02T10:27:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:02:54+0200,2022-04-02T15:04:35+0200,3,2,1,4,4,4,1,6,3,1,5,1,2
,,2022-04-02T15:03:06+0200,2022-04-02T15:03:56+0200,2022-04-02T15:04:28+0200,2022-04-02T15:03:41+0200,2022-04-02T15:03:45+0200,2022-04-02T15:04:24+0200,2022-04-02T15:03:52+0200,2022-04-02T15:03:37+0200,2022-04-02T15:04:16+0200,2022-04-02T15:03:59+0200,2022-04-02T15:03:17+0200,2022-04-02T15:03:25+0200,2022-04-02T15:04:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:35:09+0200,2022-04-02T17:36:49+0200,3,1,1,4,4,4,1,5,2,1,4,6,5
,,2022-04-02T17:35:21+0200,2022-04-02T17:35:38+0200,2022-04-02T17:35:49+0200,2022-04-02T17:35:27+0200,2022-04-02T17:36:24+0200,2022-04-02T17:36:42+0200,2022-04-02T17:35:44+0200,2022-04-02T17:36:37+0200,2022-04-02T17:36:10+0200,2022-04-02T17:35:53+0200,2022-04-02T17:36:47+0200,2022-04-02T17:36:17+0200,2022-04-02T17:35:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:21:02+0200,2022-04-09T15:21:58+0200,4,3,3,3,4,4,4,3,4,4,4,4,1
,,2022-04-09T15:21:09+0200,2022-04-09T15:21:48+0200,2022-04-09T15:21:52+0200,2022-04-09T15:21:44+0200,2022-04-09T15:21:17+0200,2022-04-09T15:21:21+0200,2022-04-09T15:21:54+0200,2022-04-09T15:21:33+0200,2022-04-09T15:21:50+0200,2022-04-09T15:21:56+0200,2022-04-09T15:21:40+0200,2022-04-09T15:21:46+0200,2022-04-09T15:21:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:23:40+0200,2022-04-09T17:24:57+0200,3,1,1,3,4,2,1,4,2,1,4,3,3
,,2022-04-09T17:23:50+0200,2022-04-09T17:24:28+0200,2022-04-09T17:23:55+0200,2022-04-09T17:24:40+0200,2022-04-09T17:23:58+0200,2022-04-09T17:24:47+0200,2022-04-09T17:24:20+0200,2022-04-09T17:24:54+0200,2022-04-09T17:24:24+0200,2022-04-09T17:24:16+0200,2022-04-09T17:24:33+0200,2022-04-09T17:24:04+0200,2022-04-09T17:24:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:23:49+0200,2022-04-09T19:24:51+0200,4,1,1,4,5,4,1,4,3,1,4,6,4
,,2022-04-09T19:23:55+0200,2022-04-09T19:24:00+0200,2022-04-09T19:24:07+0200,2022-04-09T19:24:36+0200,2022-04-09T19:24:16+0200,2022-04-09T19:24:25+0200,2022-04-09T19:24:19+0200,2022-04-09T19:24:43+0200,2022-04-09T19:24:30+0200,2022-04-09T19:24:04+0200,2022-04-09T19:24:48+0200,2022-04-09T19:24:12+0200,2022-04-09T19:24:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:06:25+0200,2022-04-09T21:08:11+0200,5,1,1,5,5,5,1,3,3,1,4,6,6
,,2022-04-09T21:06:35+0200,2022-04-09T21:07:39+0200,2022-04-09T21:06:58+0200,2022-04-09T21:08:02+0200,2022-04-09T21:06:43+0200,2022-04-09T21:07:30+0200,2022-04-09T21:07:37+0200,2022-04-09T21:07:58+0200,2022-04-09T21:08:09+0200,2022-04-09T21:06:50+0200,2022-04-09T21:07:55+0200,2022-04-09T21:07:13+0200,2022-04-09T21:07:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:19:03+0200,2022-04-16T10:20:12+0200,4,1,1,4,4,4,2,4,3,1,5,6,3
,,2022-04-16T10:19:06+0200,2022-04-16T10:19:10+0200,2022-04-16T10:20:10+0200,2022-04-16T10:19:35+0200,2022-04-16T10:20:02+0200,2022-04-16T10:19:19+0200,2022-04-16T10:19:23+0200,2022-04-16T10:19:44+0200,2022-04-16T10:19:58+0200,2022-04-16T10:20:06+0200,2022-04-16T10:19:54+0200,2022-04-16T10:19:15+0200,2022-04-16T10:19:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:52:31+0200,2022-04-16T15:53:42+0200,4,1,1,4,5,4,1,3,2,1,5,5,1
,,2022-04-16T15:52:36+0200,2022-04-16T15:53:05+0200,2022-04-16T15:53:34+0200,2022-04-16T15:52:53+0200,2022-04-16T15:53:08+0200,2022-04-16T15:52:49+0200,2022-04-16T15:53:31+0200,2022-04-16T15:53:15+0200,2022-04-16T15:52:44+0200,2022-04-16T15:53:02+0200,2022-04-16T15:53:40+0200,2022-04-16T15:52:58+0200,2022-04-16T15:53:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:29:58+0200,2022-04-16T17:31:01+0200,5,1,1,5,5,4,1,4,2,1,5,5,5
,,2022-04-16T17:30:03+0200,2022-04-16T17:30:19+0200,2022-04-16T17:30:07+0200,2022-04-16T17:30:22+0200,2022-04-16T17:30:17+0200,2022-04-16T17:30:26+0200,2022-04-16T17:30:46+0200,2022-04-16T17:30:31+0200,2022-04-16T17:30:40+0200,2022-04-16T17:30:35+0200,2022-04-16T17:30:53+0200,2022-04-16T17:31:00+0200,2022-04-16T17:30:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
