Survey Name,"compassion",Install Id,"9A4E85F9-5763-4B2D-A3E2-96893B72D759"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ag_sa_2002_08_20_397_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:19:09+0200,2022-04-02T15:21:34+0200,3,3,3,2,2,6,3,5,1,1,4,6,6
,,2022-04-02T15:19:56+0200,2022-04-02T15:21:31+0200,2022-04-02T15:21:12+0200,2022-04-02T15:21:27+0200,2022-04-02T15:21:17+0200,2022-04-02T15:21:03+0200,2022-04-02T15:20:19+0200,2022-04-02T15:20:42+0200,2022-04-02T15:20:50+0200,2022-04-02T15:21:21+0200,2022-04-02T15:20:28+0200,2022-04-02T15:20:57+0200,2022-04-02T15:20:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:17:54+0200,2022-04-02T17:21:02+0200,2,2,3,2,3,5,2,1,1,1,5,5,2
,,2022-04-02T17:18:04+0200,2022-04-02T17:19:16+0200,2022-04-02T17:19:06+0200,2022-04-02T17:20:53+0200,2022-04-02T17:20:10+0200,2022-04-02T17:18:57+0200,2022-04-02T17:18:15+0200,2022-04-02T17:18:29+0200,2022-04-02T17:20:43+0200,2022-04-02T17:20:59+0200,2022-04-02T17:20:00+0200,2022-04-02T17:18:42+0200,2022-04-02T17:19:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:27:49+0200,2022-04-02T19:29:36+0200,2,4,2,4,3,6,1,6,1,1,5,5,4
,,2022-04-02T19:28:02+0200,2022-04-02T19:28:18+0200,2022-04-02T19:28:59+0200,2022-04-02T19:28:33+0200,2022-04-02T19:28:48+0200,2022-04-02T19:28:52+0200,2022-04-02T19:29:21+0200,2022-04-02T19:29:35+0200,2022-04-02T19:28:56+0200,2022-04-02T19:29:08+0200,2022-04-02T19:28:24+0200,2022-04-02T19:28:38+0200,2022-04-02T19:28:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:30:42+0200,2022-04-02T21:34:14+0200,4,1,1,5,5,6,1,6,1,1,6,6,3
,,2022-04-02T21:31:02+0200,2022-04-02T21:31:35+0200,2022-04-02T21:31:29+0200,2022-04-02T21:33:20+0200,2022-04-02T21:33:01+0200,2022-04-02T21:32:56+0200,2022-04-02T21:31:22+0200,2022-04-02T21:33:37+0200,2022-04-02T21:31:58+0200,2022-04-02T21:34:12+0200,2022-04-02T21:31:48+0200,2022-04-02T21:31:26+0200,2022-04-02T21:32:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:36:38+0200,2022-04-09T10:38:16+0200,4,2,2,2,4,5,1,6,2,4,5,5,1
,,2022-04-09T10:36:45+0200,2022-04-09T10:37:47+0200,2022-04-09T10:38:14+0200,2022-04-09T10:37:50+0200,2022-04-09T10:37:54+0200,2022-04-09T10:37:02+0200,2022-04-09T10:37:27+0200,2022-04-09T10:37:44+0200,2022-04-09T10:37:14+0200,2022-04-09T10:37:19+0200,2022-04-09T10:38:08+0200,2022-04-09T10:37:08+0200,2022-04-09T10:36:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:21:42+0200,2022-04-09T15:23:27+0200,4,2,1,4,4,6,2,5,1,1,5,6,4
,,2022-04-09T15:21:51+0200,2022-04-09T15:23:18+0200,2022-04-09T15:23:21+0200,2022-04-09T15:23:24+0200,2022-04-09T15:22:44+0200,2022-04-09T15:22:08+0200,2022-04-09T15:22:12+0200,2022-04-09T15:23:11+0200,2022-04-09T15:22:25+0200,2022-04-09T15:22:47+0200,2022-04-09T15:22:03+0200,2022-04-09T15:22:53+0200,2022-04-09T15:23:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:07:05+0200,2022-04-09T21:08:12+0200,3,1,1,3,4,5,1,4,1,2,5,5,3
,,2022-04-09T21:07:15+0200,2022-04-09T21:07:43+0200,2022-04-09T21:08:11+0200,2022-04-09T21:08:08+0200,2022-04-09T21:07:22+0200,2022-04-09T21:07:36+0200,2022-04-09T21:07:28+0200,2022-04-09T21:08:05+0200,2022-04-09T21:07:40+0200,2022-04-09T21:07:25+0200,2022-04-09T21:08:00+0200,2022-04-09T21:07:32+0200,2022-04-09T21:07:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:06:32+0200,2022-04-16T10:08:01+0200,3,4,4,4,3,4,4,4,3,2,3,5,3
,,2022-04-16T10:06:46+0200,2022-04-16T10:07:53+0200,2022-04-16T10:07:15+0200,2022-04-16T10:07:49+0200,2022-04-16T10:07:02+0200,2022-04-16T10:07:07+0200,2022-04-16T10:07:20+0200,2022-04-16T10:07:59+0200,2022-04-16T10:06:51+0200,2022-04-16T10:07:30+0200,2022-04-16T10:07:12+0200,2022-04-16T10:06:57+0200,2022-04-16T10:07:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:12:30+0200,2022-04-16T15:15:09+0200,4,2,1,4,4,5,1,5,1,1,5,5,3
,,2022-04-16T15:12:35+0200,2022-04-16T15:13:01+0200,2022-04-16T15:14:19+0200,2022-04-16T15:14:28+0200,2022-04-16T15:12:56+0200,2022-04-16T15:12:48+0200,2022-04-16T15:12:40+0200,2022-04-16T15:15:08+0200,2022-04-16T15:14:35+0200,2022-04-16T15:14:45+0200,2022-04-16T15:14:01+0200,2022-04-16T15:14:55+0200,2022-04-16T15:14:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:17:37+0200,2022-04-16T17:18:55+0200,1,5,5,1,1,2,4,3,5,1,1,4,5
,,2022-04-16T17:17:39+0200,2022-04-16T17:18:54+0200,2022-04-16T17:18:47+0200,2022-04-16T17:18:28+0200,2022-04-16T17:18:21+0200,2022-04-16T17:18:32+0200,2022-04-16T17:18:12+0200,2022-04-16T17:18:26+0200,2022-04-16T17:18:37+0200,2022-04-16T17:17:43+0200,2022-04-16T17:18:41+0200,2022-04-16T17:18:51+0200,2022-04-16T17:18:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
