Survey Name,"compassion",Install Id,"842EFA92-3762-49AB-8273-980C2D3AF92B"
Survey Author,"Ilaria Colpizzi"
Subject ID,"an_sa_1994_12_16_837_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:10:16+0200,2022-04-02T10:12:24+0200,4,3,1,4,3,3,2,3,3,2,3,5,4
,,2022-04-02T10:10:29+0200,2022-04-02T10:11:00+0200,2022-04-02T10:11:24+0200,2022-04-02T10:10:46+0200,2022-04-02T10:11:50+0200,2022-04-02T10:11:39+0200,2022-04-02T10:12:02+0200,2022-04-02T10:11:13+0200,2022-04-02T10:10:40+0200,2022-04-02T10:12:19+0200,2022-04-02T10:10:53+0200,2022-04-02T10:11:08+0200,2022-04-02T10:12:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:06:18+0200,2022-04-02T15:07:38+0200,3,2,1,3,3,3,2,5,3,2,3,3,4
,,2022-04-02T15:06:25+0200,2022-04-02T15:07:20+0200,2022-04-02T15:07:34+0200,2022-04-02T15:07:03+0200,2022-04-02T15:07:24+0200,2022-04-02T15:07:08+0200,2022-04-02T15:06:48+0200,2022-04-02T15:06:57+0200,2022-04-02T15:07:29+0200,2022-04-02T15:06:41+0200,2022-04-02T15:06:37+0200,2022-04-02T15:07:13+0200,2022-04-02T15:06:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:06:23+0200,2022-04-02T17:07:50+0200,3,1,1,3,4,4,2,4,4,2,5,5,4
,,2022-04-02T17:06:34+0200,2022-04-02T17:07:43+0200,2022-04-02T17:07:28+0200,2022-04-02T17:07:34+0200,2022-04-02T17:07:48+0200,2022-04-02T17:06:54+0200,2022-04-02T17:07:39+0200,2022-04-02T17:06:47+0200,2022-04-02T17:07:09+0200,2022-04-02T17:07:00+0200,2022-04-02T17:06:40+0200,2022-04-02T17:07:22+0200,2022-04-02T17:07:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:15:40+0200,2022-04-02T19:17:22+0200,4,3,1,3,4,4,3,4,5,3,3,5,4
,,2022-04-02T19:15:45+0200,2022-04-02T19:16:59+0200,2022-04-02T19:17:04+0200,2022-04-02T19:16:40+0200,2022-04-02T19:15:53+0200,2022-04-02T19:16:31+0200,2022-04-02T19:15:57+0200,2022-04-02T19:17:18+0200,2022-04-02T19:16:27+0200,2022-04-02T19:15:49+0200,2022-04-02T19:16:12+0200,2022-04-02T19:16:47+0200,2022-04-02T19:16:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:14:47+0200,2022-04-02T21:15:46+0200,3,2,1,4,4,4,2,5,2,2,4,4,4
,,2022-04-02T21:14:52+0200,2022-04-02T21:15:25+0200,2022-04-02T21:15:44+0200,2022-04-02T21:15:02+0200,2022-04-02T21:15:22+0200,2022-04-02T21:15:41+0200,2022-04-02T21:15:28+0200,2022-04-02T21:15:14+0200,2022-04-02T21:14:58+0200,2022-04-02T21:15:19+0200,2022-04-02T21:15:33+0200,2022-04-02T21:15:38+0200,2022-04-02T21:15:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:25:23+0200,2022-04-09T21:26:29+0200,3,2,2,2,3,4,3,4,4,2,5,4,4
,,2022-04-09T21:25:27+0200,2022-04-09T21:26:17+0200,2022-04-09T21:25:42+0200,2022-04-09T21:25:58+0200,2022-04-09T21:25:52+0200,2022-04-09T21:25:47+0200,2022-04-09T21:26:01+0200,2022-04-09T21:25:37+0200,2022-04-09T21:26:05+0200,2022-04-09T21:25:32+0200,2022-04-09T21:26:14+0200,2022-04-09T21:26:27+0200,2022-04-09T21:26:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:21:26+0200,2022-04-16T15:22:13+0200,3,1,1,3,3,4,1,4,5,2,4,5,5
,,2022-04-16T15:21:29+0200,2022-04-16T15:21:51+0200,2022-04-16T15:21:38+0200,2022-04-16T15:21:41+0200,2022-04-16T15:22:06+0200,2022-04-16T15:21:36+0200,2022-04-16T15:22:11+0200,2022-04-16T15:21:58+0200,2022-04-16T15:22:08+0200,2022-04-16T15:21:44+0200,2022-04-16T15:21:54+0200,2022-04-16T15:21:49+0200,2022-04-16T15:22:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:19:50+0200,2022-04-16T17:26:46+0200,3,1,1,3,3,5,2,5,5,2,5,3,3
,,2022-04-16T17:19:52+0200,2022-04-16T17:26:14+0200,2022-04-16T17:26:44+0200,2022-04-16T17:26:40+0200,2022-04-16T17:25:54+0200,2022-04-16T17:26:30+0200,2022-04-16T17:26:18+0200,2022-04-16T17:26:01+0200,2022-04-16T17:26:11+0200,2022-04-16T17:26:25+0200,2022-04-16T17:26:05+0200,2022-04-16T17:26:35+0200,2022-04-16T17:26:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:11:27+0200,2022-04-16T19:13:00+0200,3,1,1,4,4,4,2,5,4,2,4,5,5
,,2022-04-16T19:11:32+0200,2022-04-16T19:12:47+0200,2022-04-16T19:12:59+0200,2022-04-16T19:12:57+0200,2022-04-16T19:12:51+0200,2022-04-16T19:11:36+0200,2022-04-16T19:12:45+0200,2022-04-16T19:12:30+0200,2022-04-16T19:12:22+0200,2022-04-16T19:12:54+0200,2022-04-16T19:12:40+0200,2022-04-16T19:11:57+0200,2022-04-16T19:11:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:18:11+0200,2022-04-16T21:19:28+0200,3,1,1,3,3,4,2,5,4,3,4,5,4
,,2022-04-16T21:18:14+0200,2022-04-16T21:19:05+0200,2022-04-16T21:18:58+0200,2022-04-16T21:19:15+0200,2022-04-16T21:18:56+0200,2022-04-16T21:18:46+0200,2022-04-16T21:19:03+0200,2022-04-16T21:18:18+0200,2022-04-16T21:18:53+0200,2022-04-16T21:19:20+0200,2022-04-16T21:19:12+0200,2022-04-16T21:19:24+0200,2022-04-16T21:18:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:15:09+0200,2022-04-23T15:15:58+0200,3,1,1,3,3,4,2,4,4,3,4,3,2
