Survey Name,"compassion",Install Id,"44860e34-2e63-43c9-a654-aa8e6c2b1e3e"
Author,"Ilaria Colpizzi"
Subject ID,"an_bo_1988_08_24_166_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:23:00+0200,2022-04-09T10:24:31+0200,3,4,1,2,2,5,2,3,5,4,3,3,5
,,2022-04-09T10:23:07+0200,2022-04-09T10:24:29+0200,2022-04-09T10:23:12+0200,2022-04-09T10:23:55+0200,2022-04-09T10:24:26+0200,2022-04-09T10:23:51+0200,2022-04-09T10:24:13+0200,2022-04-09T10:24:20+0200,2022-04-09T10:24:00+0200,2022-04-09T10:23:35+0200,2022-04-09T10:23:45+0200,2022-04-09T10:23:31+0200,2022-04-09T10:24:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:24:15+0200,2022-04-09T15:25:34+0200,1,1,1,4,4,5,1,2,2,2,5,5,5
,,2022-04-09T15:24:23+0200,2022-04-09T15:24:39+0200,2022-04-09T15:24:57+0200,2022-04-09T15:24:54+0200,2022-04-09T15:25:06+0200,2022-04-09T15:25:31+0200,2022-04-09T15:25:27+0200,2022-04-09T15:25:24+0200,2022-04-09T15:25:19+0200,2022-04-09T15:25:10+0200,2022-04-09T15:24:31+0200,2022-04-09T15:25:03+0200,2022-04-09T15:24:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:34:06+0200,2022-04-09T17:35:01+0200,3,1,1,5,5,5,2,2,2,2,5,5,2
,,2022-04-09T17:34:10+0200,2022-04-09T17:34:23+0200,2022-04-09T17:34:29+0200,2022-04-09T17:34:59+0200,2022-04-09T17:34:14+0200,2022-04-09T17:34:53+0200,2022-04-09T17:34:46+0200,2022-04-09T17:34:39+0200,2022-04-09T17:34:27+0200,2022-04-09T17:34:32+0200,2022-04-09T17:34:50+0200,2022-04-09T17:34:42+0200,2022-04-09T17:34:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:18:53+0200,2022-04-09T19:19:43+0200,1,1,1,4,4,5,2,2,2,2,5,4,4
,,2022-04-09T19:18:59+0200,2022-04-09T19:19:25+0200,2022-04-09T19:19:30+0200,2022-04-09T19:19:16+0200,2022-04-09T19:19:36+0200,2022-04-09T19:19:41+0200,2022-04-09T19:19:34+0200,2022-04-09T19:19:23+0200,2022-04-09T19:19:06+0200,2022-04-09T19:19:28+0200,2022-04-09T19:19:39+0200,2022-04-09T19:19:19+0200,2022-04-09T19:19:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:00:28+0200,2022-04-09T21:01:47+0200,3,3,2,4,4,5,1,3,2,2,5,5,4
,,2022-04-09T21:00:40+0200,2022-04-09T21:00:46+0200,2022-04-09T21:01:35+0200,2022-04-09T21:00:50+0200,2022-04-09T21:01:07+0200,2022-04-09T21:01:43+0200,2022-04-09T21:01:26+0200,2022-04-09T21:01:17+0200,2022-04-09T21:00:55+0200,2022-04-09T21:01:11+0200,2022-04-09T21:01:05+0200,2022-04-09T21:00:58+0200,2022-04-09T21:01:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:29:02+0200,2022-04-16T10:30:04+0200,3,1,1,3,4,5,2,5,4,2,5,5,4
,,2022-04-16T10:29:06+0200,2022-04-16T10:29:15+0200,2022-04-16T10:29:11+0200,2022-04-16T10:29:52+0200,2022-04-16T10:29:35+0200,2022-04-16T10:29:32+0200,2022-04-16T10:30:02+0200,2022-04-16T10:29:29+0200,2022-04-16T10:29:55+0200,2022-04-16T10:29:48+0200,2022-04-16T10:29:19+0200,2022-04-16T10:29:39+0200,2022-04-16T10:29:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:26:21+0200,2022-04-16T15:27:09+0200,4,1,1,3,4,5,1,4,2,2,5,5,4
,,2022-04-16T15:26:26+0200,2022-04-16T15:27:05+0200,2022-04-16T15:27:03+0200,2022-04-16T15:26:36+0200,2022-04-16T15:27:07+0200,2022-04-16T15:26:55+0200,2022-04-16T15:26:53+0200,2022-04-16T15:26:43+0200,2022-04-16T15:26:33+0200,2022-04-16T15:26:46+0200,2022-04-16T15:27:01+0200,2022-04-16T15:26:30+0200,2022-04-16T15:26:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:08:41+0200,2022-04-16T17:09:33+0200,4,1,2,3,4,5,2,5,2,2,5,5,4
,,2022-04-16T17:08:44+0200,2022-04-16T17:09:31+0200,2022-04-16T17:09:24+0200,2022-04-16T17:09:18+0200,2022-04-16T17:09:21+0200,2022-04-16T17:09:29+0200,2022-04-16T17:09:16+0200,2022-04-16T17:09:00+0200,2022-04-16T17:09:27+0200,2022-04-16T17:09:06+0200,2022-04-16T17:09:13+0200,2022-04-16T17:09:04+0200,2022-04-16T17:08:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:06:20+0200,2022-04-16T19:07:11+0200,3,2,2,3,3,5,2,4,4,2,5,5,4
,,2022-04-16T19:06:24+0200,2022-04-16T19:07:09+0200,2022-04-16T19:07:04+0200,2022-04-16T19:07:06+0200,2022-04-16T19:07:00+0200,2022-04-16T19:06:28+0200,2022-04-16T19:06:45+0200,2022-04-16T19:06:56+0200,2022-04-16T19:06:39+0200,2022-04-16T19:06:42+0200,2022-04-16T19:06:30+0200,2022-04-16T19:06:48+0200,2022-04-16T19:06:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:23:54+0200,2022-04-16T21:25:15+0200,3,2,1,3,3,5,2,5,4,2,5,4,4
,,2022-04-16T21:24:02+0200,2022-04-16T21:24:12+0200,2022-04-16T21:24:30+0200,2022-04-16T21:24:56+0200,2022-04-16T21:25:06+0200,2022-04-16T21:25:02+0200,2022-04-16T21:24:37+0200,2022-04-16T21:24:22+0200,2022-04-16T21:24:26+0200,2022-04-16T21:24:41+0200,2022-04-16T21:24:50+0200,2022-04-16T21:25:13+0200,2022-04-16T21:24:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:14:07+0200,2022-04-23T10:17:11+0200,1,4,3,2,1,4,4,5,5,4,4,2,5
,,2022-04-23T10:14:10+0200,2022-04-23T10:17:02+0200,2022-04-23T10:15:00+0200,2022-04-23T10:14:52+0200,2022-04-23T10:16:50+0200,2022-04-23T10:14:18+0200,2022-04-23T10:17:06+0200,2022-04-23T10:16:44+0200,2022-04-23T10:16:27+0200,2022-04-23T10:16:37+0200,2022-04-23T10:14:50+0200,2022-04-23T10:16:55+0200,2022-04-23T10:16:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
