Survey Name,"compassion",Install Id,"28548ea3-b52d-4271-a00b-e033632a071b"
Author,"Ilaria Colpizzi"
Subject ID,"an_or_1994_01_19_335_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:23:22+0200,2022-04-02T10:24:52+0200,4,1,1,5,4,5,2,6,1,2,5,5,4
,,2022-04-02T10:23:35+0200,2022-04-02T10:24:44+0200,2022-04-02T10:23:42+0200,2022-04-02T10:24:13+0200,2022-04-02T10:24:21+0200,2022-04-02T10:24:26+0200,2022-04-02T10:24:05+0200,2022-04-02T10:24:50+0200,2022-04-02T10:24:40+0200,2022-04-02T10:24:17+0200,2022-04-02T10:23:57+0200,2022-04-02T10:24:09+0200,2022-04-02T10:24:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:11:57+0200,2022-04-02T15:14:30+0200,4,1,1,5,5,5,2,6,1,1,5,5,4
,,2022-04-02T15:12:02+0200,2022-04-02T15:13:43+0200,2022-04-02T15:14:08+0200,2022-04-02T15:13:46+0200,2022-04-02T15:13:38+0200,2022-04-02T15:14:25+0200,2022-04-02T15:13:52+0200,2022-04-02T15:14:21+0200,2022-04-02T15:12:42+0200,2022-04-02T15:13:08+0200,2022-04-02T15:14:16+0200,2022-04-02T15:14:01+0200,2022-04-02T15:14:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:27:09+0200,2022-04-02T17:29:30+0200,4,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-02T17:27:30+0200,2022-04-02T17:28:49+0200,2022-04-02T17:29:16+0200,2022-04-02T17:28:46+0200,2022-04-02T17:27:37+0200,2022-04-02T17:29:05+0200,2022-04-02T17:27:41+0200,2022-04-02T17:27:54+0200,2022-04-02T17:29:10+0200,2022-04-02T17:28:35+0200,2022-04-02T17:28:44+0200,2022-04-02T17:29:21+0200,2022-04-02T17:29:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:11:20+0200,2022-04-02T19:12:17+0200,4,1,1,5,5,6,1,6,1,1,6,5,5
,,2022-04-02T19:11:25+0200,2022-04-02T19:11:42+0200,2022-04-02T19:11:46+0200,2022-04-02T19:11:40+0200,2022-04-02T19:11:48+0200,2022-04-02T19:11:39+0200,2022-04-02T19:12:12+0200,2022-04-02T19:12:02+0200,2022-04-02T19:11:28+0200,2022-04-02T19:12:06+0200,2022-04-02T19:12:16+0200,2022-04-02T19:11:32+0200,2022-04-02T19:11:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:16:54+0200,2022-04-02T21:17:50+0200,4,1,1,5,5,6,1,6,1,1,5,5,4
,,2022-04-02T21:16:56+0200,2022-04-02T21:17:30+0200,2022-04-02T21:17:29+0200,2022-04-02T21:17:41+0200,2022-04-02T21:17:46+0200,2022-04-02T21:17:14+0200,2022-04-02T21:17:12+0200,2022-04-02T21:17:39+0200,2022-04-02T21:17:44+0200,2022-04-02T21:17:33+0200,2022-04-02T21:17:26+0200,2022-04-02T21:17:07+0200,2022-04-02T21:17:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:28:10+0200,2022-04-09T10:30:48+0200,2,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-09T10:28:24+0200,2022-04-09T10:30:34+0200,2022-04-09T10:30:31+0200,2022-04-09T10:28:28+0200,2022-04-09T10:28:37+0200,2022-04-09T10:30:20+0200,2022-04-09T10:30:23+0200,2022-04-09T10:28:40+0200,2022-04-09T10:30:27+0200,2022-04-09T10:30:38+0200,2022-04-09T10:30:43+0200,2022-04-09T10:28:33+0200,2022-04-09T10:28:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:14:05+0200,2022-04-09T15:14:49+0200,4,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-09T15:14:08+0200,2022-04-09T15:14:31+0200,2022-04-09T15:14:40+0200,2022-04-09T15:14:37+0200,2022-04-09T15:14:19+0200,2022-04-09T15:14:43+0200,2022-04-09T15:14:24+0200,2022-04-09T15:14:14+0200,2022-04-09T15:14:48+0200,2022-04-09T15:14:35+0200,2022-04-09T15:14:21+0200,2022-04-09T15:14:45+0200,2022-04-09T15:14:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:06:53+0200,2022-04-09T19:07:32+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-09T19:06:55+0200,2022-04-09T19:07:05+0200,2022-04-09T19:07:28+0200,2022-04-09T19:07:15+0200,2022-04-09T19:07:22+0200,2022-04-09T19:07:14+0200,2022-04-09T19:07:03+0200,2022-04-09T19:07:11+0200,2022-04-09T19:07:31+0200,2022-04-09T19:07:27+0200,2022-04-09T19:07:20+0200,2022-04-09T19:06:59+0200,2022-04-09T19:07:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:06:51+0200,2022-04-09T21:07:45+0200,4,1,1,5,4,5,1,6,1,1,5,5,4
,,2022-04-09T21:06:56+0200,2022-04-09T21:07:31+0200,2022-04-09T21:07:34+0200,2022-04-09T21:07:27+0200,2022-04-09T21:07:42+0200,2022-04-09T21:07:25+0200,2022-04-09T21:07:29+0200,2022-04-09T21:07:08+0200,2022-04-09T21:07:23+0200,2022-04-09T21:07:13+0200,2022-04-09T21:07:20+0200,2022-04-09T21:07:15+0200,2022-04-09T21:07:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:26:45+0200,2022-04-16T10:27:28+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-16T10:26:48+0200,2022-04-16T10:27:08+0200,2022-04-16T10:27:15+0200,2022-04-16T10:27:06+0200,2022-04-16T10:26:56+0200,2022-04-16T10:26:59+0200,2022-04-16T10:26:54+0200,2022-04-16T10:27:03+0200,2022-04-16T10:27:11+0200,2022-04-16T10:27:20+0200,2022-04-16T10:27:27+0200,2022-04-16T10:27:18+0200,2022-04-16T10:27:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:28:57+0200,2022-04-16T17:29:42+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-16T17:28:59+0200,2022-04-16T17:29:15+0200,2022-04-16T17:29:38+0200,2022-04-16T17:29:14+0200,2022-04-16T17:29:40+0200,2022-04-16T17:29:12+0200,2022-04-16T17:29:22+0200,2022-04-16T17:29:26+0200,2022-04-16T17:29:19+0200,2022-04-16T17:29:09+0200,2022-04-16T17:29:32+0200,2022-04-16T17:29:36+0200,2022-04-16T17:29:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:12:15+0200,2022-04-16T19:13:20+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-16T19:12:17+0200,2022-04-16T19:12:33+0200,2022-04-16T19:12:47+0200,2022-04-16T19:12:43+0200,2022-04-16T19:12:22+0200,2022-04-16T19:12:53+0200,2022-04-16T19:12:56+0200,2022-04-16T19:12:39+0200,2022-04-16T19:13:01+0200,2022-04-16T19:13:04+0200,2022-04-16T19:12:51+0200,2022-04-16T19:12:25+0200,2022-04-16T19:12:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:12:23+0200,2022-04-23T10:13:34+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-23T10:12:25+0200,2022-04-23T10:12:41+0200,2022-04-23T10:12:33+0200,2022-04-23T10:13:07+0200,2022-04-23T10:12:56+0200,2022-04-23T10:12:29+0200,2022-04-23T10:13:03+0200,2022-04-23T10:13:27+0200,2022-04-23T10:13:21+0200,2022-04-23T10:13:31+0200,2022-04-23T10:13:12+0200,2022-04-23T10:12:54+0200,2022-04-23T10:13:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:08:42+0200,2022-04-23T15:09:28+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-23T15:08:46+0200,2022-04-23T15:09:06+0200,2022-04-23T15:09:23+0200,2022-04-23T15:09:15+0200,2022-04-23T15:09:04+0200,2022-04-23T15:09:13+0200,2022-04-23T15:09:21+0200,2022-04-23T15:09:26+0200,2022-04-23T15:08:55+0200,2022-04-23T15:09:10+0200,2022-04-23T15:09:02+0200,2022-04-23T15:09:19+0200,2022-04-23T15:08:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:31:05+0200,2022-04-23T21:32:25+0200,5,1,1,5,5,5,1,6,1,1,5,5,4
,,2022-04-23T21:31:08+0200,2022-04-23T21:31:58+0200,2022-04-23T21:31:52+0200,2022-04-23T21:32:01+0200,2022-04-23T21:32:04+0200,2022-04-23T21:32:23+0200,2022-04-23T21:31:18+0200,2022-04-23T21:31:45+0200,2022-04-23T21:31:12+0200,2022-04-23T21:32:09+0200,2022-04-23T21:31:49+0200,2022-04-23T21:31:36+0200,2022-04-23T21:31:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:24:13+0200,2022-04-30T10:42:28+0200,5,1,1,4,5,5,1,6,1,1,5,5,4
