Survey Name,"compassion",Install Id,"9530112E-DE0D-4A86-BC6C-D96C5EBD1C57"
Survey Author,"Ilaria Colpizzi"
Subject ID,"be_me_2003_02_24_737_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:03:40+0200,2022-04-02T10:05:13+0200,3,4,1,2,3,4,3,6,4,4,5,2,2
,,2022-04-02T10:03:49+0200,2022-04-02T10:04:35+0200,2022-04-02T10:04:28+0200,2022-04-02T10:04:38+0200,2022-04-02T10:04:33+0200,2022-04-02T10:04:54+0200,2022-04-02T10:04:07+0200,2022-04-02T10:04:48+0200,2022-04-02T10:05:10+0200,2022-04-02T10:04:00+0200,2022-04-02T10:04:24+0200,2022-04-02T10:05:03+0200,2022-04-02T10:04:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:12:29+0200,2022-04-02T15:13:57+0200,4,2,2,4,3,4,2,5,4,2,4,3,4
,,2022-04-02T15:12:36+0200,2022-04-02T15:12:54+0200,2022-04-02T15:13:54+0200,2022-04-02T15:13:48+0200,2022-04-02T15:13:29+0200,2022-04-02T15:12:59+0200,2022-04-02T15:13:44+0200,2022-04-02T15:12:51+0200,2022-04-02T15:13:36+0200,2022-04-02T15:13:06+0200,2022-04-02T15:12:45+0200,2022-04-02T15:13:14+0200,2022-04-02T15:13:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:24:12+0200,2022-04-02T17:25:34+0200,3,2,1,3,3,4,2,5,4,3,3,5,2
,,2022-04-02T17:24:25+0200,2022-04-02T17:25:09+0200,2022-04-02T17:25:27+0200,2022-04-02T17:25:01+0200,2022-04-02T17:24:32+0200,2022-04-02T17:24:58+0200,2022-04-02T17:25:07+0200,2022-04-02T17:24:48+0200,2022-04-02T17:24:44+0200,2022-04-02T17:24:54+0200,2022-04-02T17:24:40+0200,2022-04-02T17:25:33+0200,2022-04-02T17:25:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:02:52+0200,2022-04-02T19:03:51+0200,2,4,2,3,3,5,3,5,4,3,3,2,5
,,2022-04-02T19:02:57+0200,2022-04-02T19:03:46+0200,2022-04-02T19:03:36+0200,2022-04-02T19:03:18+0200,2022-04-02T19:03:21+0200,2022-04-02T19:03:02+0200,2022-04-02T19:03:25+0200,2022-04-02T19:03:15+0200,2022-04-02T19:03:05+0200,2022-04-02T19:03:31+0200,2022-04-02T19:03:42+0200,2022-04-02T19:03:50+0200,2022-04-02T19:03:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:05:48+0200,2022-04-02T21:06:52+0200,4,3,3,4,4,5,4,5,4,4,4,2,4
,,2022-04-02T21:06:02+0200,2022-04-02T21:06:33+0200,2022-04-02T21:06:35+0200,2022-04-02T21:06:17+0200,2022-04-02T21:06:27+0200,2022-04-02T21:06:25+0200,2022-04-02T21:06:38+0200,2022-04-02T21:06:22+0200,2022-04-02T21:06:43+0200,2022-04-02T21:06:14+0200,2022-04-02T21:06:51+0200,2022-04-02T21:06:31+0200,2022-04-02T21:06:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:35:40+0200,2022-04-09T10:36:49+0200,3,3,2,4,4,4,2,4,4,4,4,4,2
,,2022-04-09T10:35:47+0200,2022-04-09T10:36:44+0200,2022-04-09T10:36:01+0200,2022-04-09T10:36:42+0200,2022-04-09T10:36:15+0200,2022-04-09T10:36:26+0200,2022-04-09T10:35:58+0200,2022-04-09T10:36:04+0200,2022-04-09T10:36:31+0200,2022-04-09T10:36:11+0200,2022-04-09T10:36:48+0200,2022-04-09T10:36:40+0200,2022-04-09T10:36:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:25:16+0200,2022-04-09T15:26:06+0200,2,5,4,2,2,2,5,5,5,5,2,2,5
,,2022-04-09T15:25:21+0200,2022-04-09T15:25:36+0200,2022-04-09T15:25:45+0200,2022-04-09T15:25:52+0200,2022-04-09T15:25:27+0200,2022-04-09T15:26:04+0200,2022-04-09T15:25:25+0200,2022-04-09T15:25:56+0200,2022-04-09T15:25:49+0200,2022-04-09T15:25:58+0200,2022-04-09T15:25:42+0200,2022-04-09T15:25:31+0200,2022-04-09T15:26:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:21:11+0200,2022-04-09T17:22:35+0200,3,2,2,2,2,3,4,5,5,5,4,2,5
