Survey Name,"compassion",Install Id,"8b5f3f4f-5dea-4667-b952-019adb4cc01e"
Author,"Ilaria Colpizzi"
Subject ID,"be_ud_2002_07_18_729_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:14:46+0200,2022-04-02T10:15:50+0200,1,5,4,4,1,5,5,5,3,3,1,1,4
,,2022-04-02T10:14:51+0200,2022-04-02T10:15:24+0200,2022-04-02T10:15:09+0200,2022-04-02T10:15:29+0200,2022-04-02T10:15:21+0200,2022-04-02T10:15:06+0200,2022-04-02T10:15:18+0200,2022-04-02T10:15:48+0200,2022-04-02T10:15:01+0200,2022-04-02T10:15:13+0200,2022-04-02T10:15:42+0200,2022-04-02T10:15:35+0200,2022-04-02T10:15:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:15:50+0200,2022-04-02T15:17:15+0200,3,2,2,3,4,6,2,6,5,5,2,5,3
,,2022-04-02T15:16:02+0200,2022-04-02T15:17:06+0200,2022-04-02T15:17:08+0200,2022-04-02T15:16:08+0200,2022-04-02T15:16:45+0200,2022-04-02T15:16:35+0200,2022-04-02T15:16:42+0200,2022-04-02T15:16:27+0200,2022-04-02T15:16:57+0200,2022-04-02T15:16:48+0200,2022-04-02T15:17:03+0200,2022-04-02T15:16:51+0200,2022-04-02T15:17:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:17:56+0200,2022-04-02T17:18:18+0200,3,4,4,3,4,4,3,1,6,4,4,3,4
,,2022-04-02T17:18:01+0200,2022-04-02T17:18:15+0200,2022-04-02T17:18:10+0200,2022-04-02T17:18:16+0200,2022-04-02T17:18:08+0200,2022-04-02T17:18:07+0200,2022-04-02T17:18:11+0200,2022-04-02T17:18:13+0200,2022-04-02T17:18:14+0200,2022-04-02T17:18:06+0200,2022-04-02T17:18:12+0200,2022-04-02T17:18:09+0200,2022-04-02T17:18:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:05:39+0200,2022-04-02T19:06:16+0200,4,4,3,3,3,4,3,6,4,4,4,5,3
,,2022-04-02T19:05:42+0200,2022-04-02T19:06:05+0200,2022-04-02T19:06:12+0200,2022-04-02T19:06:03+0200,2022-04-02T19:05:45+0200,2022-04-02T19:06:10+0200,2022-04-02T19:05:47+0200,2022-04-02T19:05:51+0200,2022-04-02T19:06:07+0200,2022-04-02T19:05:54+0200,2022-04-02T19:06:00+0200,2022-04-02T19:05:59+0200,2022-04-02T19:06:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:25:25+0200,2022-04-02T21:26:26+0200,2,2,2,3,3,4,4,5,2,4,4,4,3
,,2022-04-02T21:25:33+0200,2022-04-02T21:25:51+0200,2022-04-02T21:26:08+0200,2022-04-02T21:26:04+0200,2022-04-02T21:26:25+0200,2022-04-02T21:26:12+0200,2022-04-02T21:26:01+0200,2022-04-02T21:25:49+0200,2022-04-02T21:25:36+0200,2022-04-02T21:26:18+0200,2022-04-02T21:26:16+0200,2022-04-02T21:26:23+0200,2022-04-02T21:26:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:24:37+0200,2022-04-09T15:25:20+0200,3,2,2,3,2,3,3,5,4,3,2,4,2
,,2022-04-09T15:24:42+0200,2022-04-09T15:24:56+0200,2022-04-09T15:25:15+0200,2022-04-09T15:25:03+0200,2022-04-09T15:25:13+0200,2022-04-09T15:25:09+0200,2022-04-09T15:25:11+0200,2022-04-09T15:25:01+0200,2022-04-09T15:25:06+0200,2022-04-09T15:24:54+0200,2022-04-09T15:25:18+0200,2022-04-09T15:24:51+0200,2022-04-09T15:24:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:26:02+0200,2022-04-09T17:26:27+0200,3,4,3,4,2,5,4,2,4,2,3,2,3
,,2022-04-09T17:26:07+0200,2022-04-09T17:26:16+0200,2022-04-09T17:26:21+0200,2022-04-09T17:26:23+0200,2022-04-09T17:26:12+0200,2022-04-09T17:26:14+0200,2022-04-09T17:26:18+0200,2022-04-09T17:26:25+0200,2022-04-09T17:26:15+0200,2022-04-09T17:26:17+0200,2022-04-09T17:26:14+0200,2022-04-09T17:26:19+0200,2022-04-09T17:26:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:05:45+0200,2022-04-09T19:06:06+0200,2,3,4,3,3,3,4,5,5,3,4,3,5
