Survey Name,"compassion",Install Id,"8A216EB9-46F6-4442-86EF-DB0A9A4FDE7B"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ca_ca_2000_12_08_220_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T11:38:19+0200,2022-04-09T11:39:26+0200,4,1,2,4,4,5,2,4,2,4,5,4,4
,,2022-04-09T11:38:26+0200,2022-04-09T11:39:21+0200,2022-04-09T11:39:15+0200,2022-04-09T11:38:45+0200,2022-04-09T11:39:18+0200,2022-04-09T11:39:08+0200,2022-04-09T11:38:42+0200,2022-04-09T11:39:00+0200,2022-04-09T11:38:34+0200,2022-04-09T11:39:25+0200,2022-04-09T11:39:06+0200,2022-04-09T11:39:11+0200,2022-04-09T11:38:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T18:37:57+0200,2022-04-09T18:39:18+0200,4,1,1,4,5,5,2,4,2,4,2,5,4
,,2022-04-09T18:38:07+0200,2022-04-09T18:39:17+0200,2022-04-09T18:38:51+0200,2022-04-09T18:38:58+0200,2022-04-09T18:38:29+0200,2022-04-09T18:38:34+0200,2022-04-09T18:38:23+0200,2022-04-09T18:39:10+0200,2022-04-09T18:38:48+0200,2022-04-09T18:38:26+0200,2022-04-09T18:38:18+0200,2022-04-09T18:38:56+0200,2022-04-09T18:38:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:02:53+0200,2022-04-16T10:03:50+0200,4,1,1,3,4,4,2,4,2,4,4,4,5
,,2022-04-16T10:02:58+0200,2022-04-16T10:03:16+0200,2022-04-16T10:03:36+0200,2022-04-16T10:03:32+0200,2022-04-16T10:03:34+0200,2022-04-16T10:03:47+0200,2022-04-16T10:03:23+0200,2022-04-16T10:03:09+0200,2022-04-16T10:03:44+0200,2022-04-16T10:03:12+0200,2022-04-16T10:03:28+0200,2022-04-16T10:03:03+0200,2022-04-16T10:03:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T11:38:35+0200,2022-04-16T11:44:26+0200,3,2,3,3,3,4,3,6,2,4,5,4,4
,,2022-04-16T11:38:41+0200,2022-04-16T11:41:04+0200,2022-04-16T11:41:00+0200,2022-04-16T11:38:59+0200,2022-04-16T11:38:52+0200,2022-04-16T11:39:33+0200,2022-04-16T11:43:39+0200,2022-04-16T11:38:48+0200,2022-04-16T11:44:24+0200,2022-04-16T11:38:55+0200,2022-04-16T11:44:18+0200,2022-04-16T11:41:10+0200,2022-04-16T11:41:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:06:26+0200,2022-04-16T15:10:04+0200,2,2,2,4,4,3,2,6,2,2,5,6,6
,,2022-04-16T15:07:11+0200,2022-04-16T15:09:44+0200,2022-04-16T15:07:41+0200,2022-04-16T15:09:28+0200,2022-04-16T15:09:36+0200,2022-04-16T15:08:58+0200,2022-04-16T15:09:15+0200,2022-04-16T15:07:59+0200,2022-04-16T15:10:02+0200,2022-04-16T15:08:21+0200,2022-04-16T15:08:37+0200,2022-04-16T15:09:53+0200,2022-04-16T15:09:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:04:48+0200,2022-04-16T17:05:42+0200,3,3,2,2,3,3,2,4,4,4,4,3,4
,,2022-04-16T17:04:51+0200,2022-04-16T17:05:24+0200,2022-04-16T17:05:41+0200,2022-04-16T17:04:56+0200,2022-04-16T17:05:17+0200,2022-04-16T17:05:29+0200,2022-04-16T17:05:12+0200,2022-04-16T17:05:08+0200,2022-04-16T17:05:04+0200,2022-04-16T17:05:20+0200,2022-04-16T17:05:34+0200,2022-04-16T17:05:26+0200,2022-04-16T17:05:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T18:43:51+0200,2022-04-16T18:44:35+0200,2,4,4,2,1,4,4,5,2,2,5,5,5
,,2022-04-16T18:43:53+0200,2022-04-16T18:44:01+0200,2022-04-16T18:44:03+0200,2022-04-16T18:44:06+0200,2022-04-16T18:44:08+0200,2022-04-16T18:44:26+0200,2022-04-16T18:43:57+0200,2022-04-16T18:44:19+0200,2022-04-16T18:44:15+0200,2022-04-16T18:44:12+0200,2022-04-16T18:44:23+0200,2022-04-16T18:44:33+0200,2022-04-16T18:44:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:27:51+0200,2022-04-16T19:28:17+0200,3,4,4,3,4,5,6,2,3,1,3,4,2
,,2022-04-16T19:27:55+0200,2022-04-16T19:28:05+0200,2022-04-16T19:28:15+0200,2022-04-16T19:28:12+0200,2022-04-16T19:28:02+0200,2022-04-16T19:28:10+0200,2022-04-16T19:28:08+0200,2022-04-16T19:28:09+0200,2022-04-16T19:28:04+0200,2022-04-16T19:28:07+0200,2022-04-16T19:28:01+0200,2022-04-16T19:28:14+0200,2022-04-16T19:28:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:08:24+0200,2022-04-16T21:08:48+0200,3,5,4,4,3,6,2,3,2,5,3,5,1
,,2022-04-16T21:08:27+0200,2022-04-16T21:08:47+0200,2022-04-16T21:08:34+0200,2022-04-16T21:08:29+0200,2022-04-16T21:08:41+0200,2022-04-16T21:08:43+0200,2022-04-16T21:08:31+0200,2022-04-16T21:08:37+0200,2022-04-16T21:08:36+0200,2022-04-16T21:08:38+0200,2022-04-16T21:08:33+0200,2022-04-16T21:08:39+0200,2022-04-16T21:08:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:17:51+0200,2022-04-23T10:18:29+0200,3,1,1,3,4,5,2,6,2,3,4,5,1
,,2022-04-23T10:17:53+0200,2022-04-23T10:18:03+0200,2022-04-23T10:18:05+0200,2022-04-23T10:18:01+0200,2022-04-23T10:18:24+0200,2022-04-23T10:18:15+0200,2022-04-23T10:18:18+0200,2022-04-23T10:18:28+0200,2022-04-23T10:18:21+0200,2022-04-23T10:17:58+0200,2022-04-23T10:17:56+0200,2022-04-23T10:18:12+0200,2022-04-23T10:18:09+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T11:38:42+0200,2022-04-23T11:39:37+0200,3,1,1,4,5,5,2,6,1,2,5,5,5
,,2022-04-23T11:38:45+0200,2022-04-23T11:39:22+0200,2022-04-23T11:39:05+0200,2022-04-23T11:38:53+0200,2022-04-23T11:39:18+0200,2022-04-23T11:39:27+0200,2022-04-23T11:38:49+0200,2022-04-23T11:39:03+0200,2022-04-23T11:39:36+0200,2022-04-23T11:39:31+0200,2022-04-23T11:39:14+0200,2022-04-23T11:39:08+0200,2022-04-23T11:39:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:16:41+0200,2022-04-23T15:17:20+0200,3,1,1,4,4,5,1,5,3,3,5,5,5
,,2022-04-23T15:16:43+0200,2022-04-23T15:16:55+0200,2022-04-23T15:17:16+0200,2022-04-23T15:17:14+0200,2022-04-23T15:17:18+0200,2022-04-23T15:16:52+0200,2022-04-23T15:17:01+0200,2022-04-23T15:17:11+0200,2022-04-23T15:16:45+0200,2022-04-23T15:17:07+0200,2022-04-23T15:16:49+0200,2022-04-23T15:16:59+0200,2022-04-23T15:17:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:08:26+0200,2022-04-23T17:09:11+0200,3,1,1,3,3,5,2,5,2,4,5,5,5
