Survey Name,"compassion",Install Id,"4E2BEC69-341C-4C09-853A-B53727F595A2"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ca_am_2000_07_14_344_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T3:25:27+0200,2022-04-02T3:27:02+0200,2,3,4,2,2,4,4,3,2,4,3,4,5
,,2022-04-02T3:25:49+0200,2022-04-02T3:27:00+0200,2022-04-02T3:26:03+0200,2022-04-02T3:26:14+0200,2022-04-02T3:26:56+0200,2022-04-02T3:26:20+0200,2022-04-02T3:26:09+0200,2022-04-02T3:26:29+0200,2022-04-02T3:26:53+0200,2022-04-02T3:26:43+0200,2022-04-02T3:26:39+0200,2022-04-02T3:26:48+0200,2022-04-02T3:25:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T5:08:35+0200,2022-04-02T5:11:08+0200,3,2,2,2,3,4,4,1,2,4,3,4,5
,,2022-04-02T5:08:44+0200,2022-04-02T5:08:55+0200,2022-04-02T5:09:26+0200,2022-04-02T5:09:30+0200,2022-04-02T5:09:40+0200,2022-04-02T5:09:17+0200,2022-04-02T5:10:02+0200,2022-04-02T5:10:26+0200,2022-04-02T5:10:31+0200,2022-04-02T5:08:50+0200,2022-04-02T5:10:59+0200,2022-04-02T5:09:11+0200,2022-04-02T5:09:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T7:19:03+0200,2022-04-02T7:20:39+0200,3,3,2,2,2,3,4,3,3,4,3,4,4
,,2022-04-02T7:19:09+0200,2022-04-02T7:20:04+0200,2022-04-02T7:19:21+0200,2022-04-02T7:19:55+0200,2022-04-02T7:19:37+0200,2022-04-02T7:20:09+0200,2022-04-02T7:20:37+0200,2022-04-02T7:19:46+0200,2022-04-02T7:19:34+0200,2022-04-02T7:19:18+0200,2022-04-02T7:20:19+0200,2022-04-02T7:19:15+0200,2022-04-02T7:19:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T9:27:29+0200,2022-04-02T9:28:37+0200,3,1,1,2,4,3,2,3,3,4,3,4,5
,,2022-04-02T9:27:35+0200,2022-04-02T9:28:17+0200,2022-04-02T9:28:20+0200,2022-04-02T9:28:24+0200,2022-04-02T9:27:50+0200,2022-04-02T9:27:46+0200,2022-04-02T9:27:42+0200,2022-04-02T9:28:36+0200,2022-04-02T9:28:30+0200,2022-04-02T9:28:04+0200,2022-04-02T9:28:01+0200,2022-04-02T9:28:10+0200,2022-04-02T9:28:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
