Survey Name,"compassion",Install Id,"2be09388-1118-4c7a-b61b-55f82718ee94"
Author,"Ilaria Colpizzi"
Subject ID,"ca_pe_2001_03_05_435_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:07:26+0200,2022-04-02T10:09:03+0200,3,3,2,3,4,4,6,6,5,5,2,3,6
,,2022-04-02T10:07:35+0200,2022-04-02T10:09:00+0200,2022-04-02T10:08:22+0200,2022-04-02T10:08:02+0200,2022-04-02T10:08:06+0200,2022-04-02T10:08:13+0200,2022-04-02T10:08:18+0200,2022-04-02T10:08:44+0200,2022-04-02T10:07:45+0200,2022-04-02T10:07:54+0200,2022-04-02T10:08:35+0200,2022-04-02T10:08:53+0200,2022-04-02T10:08:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:04:53+0200,2022-04-02T15:06:39+0200,3,4,4,2,2,4,5,6,3,4,3,2,5
,,2022-04-02T15:05:07+0200,2022-04-02T15:06:37+0200,2022-04-02T15:06:23+0200,2022-04-02T15:06:26+0200,2022-04-02T15:06:33+0200,2022-04-02T15:06:10+0200,2022-04-02T15:06:19+0200,2022-04-02T15:05:50+0200,2022-04-02T15:05:18+0200,2022-04-02T15:06:04+0200,2022-04-02T15:05:38+0200,2022-04-02T15:05:56+0200,2022-04-02T15:05:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:13:35+0200,2022-04-02T17:14:45+0200,2,5,5,1,2,4,6,5,6,5,2,2,6
,,2022-04-02T17:13:39+0200,2022-04-02T17:14:03+0200,2022-04-02T17:14:33+0200,2022-04-02T17:14:43+0200,2022-04-02T17:13:45+0200,2022-04-02T17:13:51+0200,2022-04-02T17:14:39+0200,2022-04-02T17:14:00+0200,2022-04-02T17:14:17+0200,2022-04-02T17:14:30+0200,2022-04-02T17:14:26+0200,2022-04-02T17:14:12+0200,2022-04-02T17:14:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:28:38+0200,2022-04-02T19:30:36+0200,4,4,4,4,4,4,5,5,5,4,5,2,6
,,2022-04-02T19:28:49+0200,2022-04-02T19:30:34+0200,2022-04-02T19:29:30+0200,2022-04-02T19:30:30+0200,2022-04-02T19:29:26+0200,2022-04-02T19:30:06+0200,2022-04-02T19:29:15+0200,2022-04-02T19:29:34+0200,2022-04-02T19:29:22+0200,2022-04-02T19:28:57+0200,2022-04-02T19:30:22+0200,2022-04-02T19:29:44+0200,2022-04-02T19:29:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:23:01+0200,2022-04-02T21:24:56+0200,5,1,2,5,5,3,3,6,2,4,4,4,5
,,2022-04-02T21:23:07+0200,2022-04-02T21:24:38+0200,2022-04-02T21:24:52+0200,2022-04-02T21:24:20+0200,2022-04-02T21:24:55+0200,2022-04-02T21:24:03+0200,2022-04-02T21:24:25+0200,2022-04-02T21:24:49+0200,2022-04-02T21:24:18+0200,2022-04-02T21:24:36+0200,2022-04-02T21:24:32+0200,2022-04-02T21:23:46+0200,2022-04-02T21:23:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:24:06+0200,2022-04-09T10:25:11+0200,1,5,5,1,1,4,6,5,6,2,1,1,6
,,2022-04-09T10:24:11+0200,2022-04-09T10:24:42+0200,2022-04-09T10:24:47+0200,2022-04-09T10:25:08+0200,2022-04-09T10:24:23+0200,2022-04-09T10:24:17+0200,2022-04-09T10:24:20+0200,2022-04-09T10:24:57+0200,2022-04-09T10:24:35+0200,2022-04-09T10:25:06+0200,2022-04-09T10:24:29+0200,2022-04-09T10:24:39+0200,2022-04-09T10:24:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:19:17+0200,2022-04-09T15:20:16+0200,2,4,4,2,2,4,5,5,5,2,2,4,6
,,2022-04-09T15:19:26+0200,2022-04-09T15:19:47+0200,2022-04-09T15:19:57+0200,2022-04-09T15:20:07+0200,2022-04-09T15:19:50+0200,2022-04-09T15:20:04+0200,2022-04-09T15:20:01+0200,2022-04-09T15:19:33+0200,2022-04-09T15:20:11+0200,2022-04-09T15:19:54+0200,2022-04-09T15:19:40+0200,2022-04-09T15:19:43+0200,2022-04-09T15:20:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:08:05+0200,2022-04-09T17:09:26+0200,3,4,4,2,2,2,5,4,5,3,2,3,6
,,2022-04-09T17:08:26+0200,2022-04-09T17:08:51+0200,2022-04-09T17:08:54+0200,2022-04-09T17:08:48+0200,2022-04-09T17:09:18+0200,2022-04-09T17:09:11+0200,2022-04-09T17:08:56+0200,2022-04-09T17:09:15+0200,2022-04-09T17:09:21+0200,2022-04-09T17:09:01+0200,2022-04-09T17:08:34+0200,2022-04-09T17:08:45+0200,2022-04-09T17:09:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
