Survey Name,"compassion",Install Id,"5bfdae3d-fedb-4583-a0f7-65b870f556f0"
Author,"Ilaria Colpizzi"
Subject ID,"ce_me_2000_10_03_351_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:05:24+0200,2022-04-09T10:06:40+0200,2,3,3,2,2,3,4,5,5,4,4,4,5
,,2022-04-09T10:05:37+0200,2022-04-09T10:05:59+0200,2022-04-09T10:06:02+0200,2022-04-09T10:06:21+0200,2022-04-09T10:05:47+0200,2022-04-09T10:06:17+0200,2022-04-09T10:06:28+0200,2022-04-09T10:05:54+0200,2022-04-09T10:06:05+0200,2022-04-09T10:06:37+0200,2022-04-09T10:06:34+0200,2022-04-09T10:06:09+0200,2022-04-09T10:05:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:22:17+0200,2022-04-09T15:23:19+0200,3,4,4,2,2,3,5,5,4,4,4,3,4
,,2022-04-09T15:22:29+0200,2022-04-09T15:22:48+0200,2022-04-09T15:22:33+0200,2022-04-09T15:23:15+0200,2022-04-09T15:22:50+0200,2022-04-09T15:23:12+0200,2022-04-09T15:22:56+0200,2022-04-09T15:22:43+0200,2022-04-09T15:22:53+0200,2022-04-09T15:23:05+0200,2022-04-09T15:23:10+0200,2022-04-09T15:22:37+0200,2022-04-09T15:22:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:29:53+0200,2022-04-09T17:30:46+0200,4,3,4,3,3,4,3,5,4,3,4,4,4
,,2022-04-09T17:29:58+0200,2022-04-09T17:30:01+0200,2022-04-09T17:30:29+0200,2022-04-09T17:30:27+0200,2022-04-09T17:30:09+0200,2022-04-09T17:30:38+0200,2022-04-09T17:30:04+0200,2022-04-09T17:30:18+0200,2022-04-09T17:30:44+0200,2022-04-09T17:30:41+0200,2022-04-09T17:30:33+0200,2022-04-09T17:30:24+0200,2022-04-09T17:30:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:05:16+0200,2022-04-09T19:05:54+0200,2,4,4,2,2,3,5,5,5,5,4,3,3
,,2022-04-09T19:05:22+0200,2022-04-09T19:05:27+0200,2022-04-09T19:05:42+0200,2022-04-09T19:05:25+0200,2022-04-09T19:05:44+0200,2022-04-09T19:05:33+0200,2022-04-09T19:05:36+0200,2022-04-09T19:05:53+0200,2022-04-09T19:05:38+0200,2022-04-09T19:05:31+0200,2022-04-09T19:05:50+0200,2022-04-09T19:05:41+0200,2022-04-09T19:05:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:29:15+0200,2022-04-09T21:30:02+0200,1,4,4,2,2,3,5,5,5,4,4,3,5
,,2022-04-09T21:29:28+0200,2022-04-09T21:29:30+0200,2022-04-09T21:29:51+0200,2022-04-09T21:29:56+0200,2022-04-09T21:29:40+0200,2022-04-09T21:29:35+0200,2022-04-09T21:30:00+0200,2022-04-09T21:29:48+0200,2022-04-09T21:29:45+0200,2022-04-09T21:29:50+0200,2022-04-09T21:29:58+0200,2022-04-09T21:29:38+0200,2022-04-09T21:29:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:02:52+0200,2022-04-16T10:03:40+0200,1,4,4,2,2,4,4,5,4,4,4,4,4
,,2022-04-16T10:02:57+0200,2022-04-16T10:03:19+0200,2022-04-16T10:03:17+0200,2022-04-16T10:03:21+0200,2022-04-16T10:03:36+0200,2022-04-16T10:03:25+0200,2022-04-16T10:03:34+0200,2022-04-16T10:03:03+0200,2022-04-16T10:03:09+0200,2022-04-16T10:03:06+0200,2022-04-16T10:03:15+0200,2022-04-16T10:03:28+0200,2022-04-16T10:03:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:19:47+0200,2022-04-16T15:20:38+0200,3,4,3,2,2,3,5,5,4,4,4,3,4
,,2022-04-16T15:20:00+0200,2022-04-16T15:20:17+0200,2022-04-16T15:20:25+0200,2022-04-16T15:20:04+0200,2022-04-16T15:20:28+0200,2022-04-16T15:20:30+0200,2022-04-16T15:20:15+0200,2022-04-16T15:20:20+0200,2022-04-16T15:20:33+0200,2022-04-16T15:20:22+0200,2022-04-16T15:20:36+0200,2022-04-16T15:20:08+0200,2022-04-16T15:20:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:01:10+0200,2022-04-16T17:01:42+0200,3,4,4,2,2,4,4,5,4,4,4,3,4
,,2022-04-16T17:01:12+0200,2022-04-16T17:01:16+0200,2022-04-16T17:01:27+0200,2022-04-16T17:01:23+0200,2022-04-16T17:01:15+0200,2022-04-16T17:01:38+0200,2022-04-16T17:01:30+0200,2022-04-16T17:01:35+0200,2022-04-16T17:01:19+0200,2022-04-16T17:01:25+0200,2022-04-16T17:01:21+0200,2022-04-16T17:01:41+0200,2022-04-16T17:01:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:01:44+0200,2022-04-16T19:02:25+0200,2,4,4,2,2,3,4,5,4,4,4,3,4
