Survey Name,"compassion",Install Id,"D338064A-5267-4773-B0CF-2276B7BC4844"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ch_bu_2000_08_28_842_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:37:29+0200,2022-04-09T10:38:35+0200,2,3,4,2,2,4,4,5,4,4,3,3,4
,,2022-04-09T10:37:42+0200,2022-04-09T10:38:25+0200,2022-04-09T10:37:49+0200,2022-04-09T10:38:30+0200,2022-04-09T10:38:33+0200,2022-04-09T10:38:21+0200,2022-04-09T10:38:00+0200,2022-04-09T10:38:07+0200,2022-04-09T10:38:14+0200,2022-04-09T10:38:10+0200,2022-04-09T10:38:17+0200,2022-04-09T10:37:55+0200,2022-04-09T10:38:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:13:46+0200,2022-04-09T15:16:29+0200,4,2,2,4,4,5,2,3,4,3,4,3,5
,,2022-04-09T15:14:02+0200,2022-04-09T15:14:15+0200,2022-04-09T15:14:26+0200,2022-04-09T15:14:22+0200,2022-04-09T15:16:27+0200,2022-04-09T15:14:29+0200,2022-04-09T15:14:20+0200,2022-04-09T15:16:11+0200,2022-04-09T15:15:15+0200,2022-04-09T15:16:24+0200,2022-04-09T15:16:05+0200,2022-04-09T15:14:10+0200,2022-04-09T15:15:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:21:23+0200,2022-04-09T17:21:48+0200,2,4,4,5,4,3,5,6,4,4,1,5,3
,,2022-04-09T17:21:26+0200,2022-04-09T17:21:38+0200,2022-04-09T17:21:35+0200,2022-04-09T17:21:45+0200,2022-04-09T17:21:39+0200,2022-04-09T17:21:42+0200,2022-04-09T17:21:41+0200,2022-04-09T17:21:44+0200,2022-04-09T17:21:36+0200,2022-04-09T17:21:32+0200,2022-04-09T17:21:46+0200,2022-04-09T17:21:30+0200,2022-04-09T17:21:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:16:27+0200,2022-04-09T19:16:48+0200,4,4,4,3,4,4,5,5,5,5,3,4,4
,,2022-04-09T19:16:29+0200,2022-04-09T19:16:42+0200,2022-04-09T19:16:44+0200,2022-04-09T19:16:34+0200,2022-04-09T19:16:43+0200,2022-04-09T19:16:35+0200,2022-04-09T19:16:37+0200,2022-04-09T19:16:32+0200,2022-04-09T19:16:46+0200,2022-04-09T19:16:33+0200,2022-04-09T19:16:40+0200,2022-04-09T19:16:45+0200,2022-04-09T19:16:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:08:29+0200,2022-04-09T21:09:04+0200,4,3,4,3,4,5,3,6,5,5,4,6,3
,,2022-04-09T21:08:32+0200,2022-04-09T21:08:55+0200,2022-04-09T21:08:53+0200,2022-04-09T21:09:00+0200,2022-04-09T21:08:43+0200,2022-04-09T21:09:01+0200,2022-04-09T21:08:42+0200,2022-04-09T21:08:46+0200,2022-04-09T21:08:51+0200,2022-04-09T21:08:47+0200,2022-04-09T21:09:02+0200,2022-04-09T21:08:49+0200,2022-04-09T21:08:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:20:17+0200,2022-04-16T10:21:26+0200,2,5,5,2,2,3,6,4,5,5,4,3,5
,,2022-04-16T10:20:35+0200,2022-04-16T10:21:21+0200,2022-04-16T10:20:51+0200,2022-04-16T10:21:06+0200,2022-04-16T10:20:54+0200,2022-04-16T10:21:08+0200,2022-04-16T10:21:24+0200,2022-04-16T10:21:00+0200,2022-04-16T10:21:15+0200,2022-04-16T10:21:03+0200,2022-04-16T10:20:42+0200,2022-04-16T10:21:11+0200,2022-04-16T10:20:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:21:23+0200,2022-04-16T15:21:50+0200,4,4,3,5,4,4,5,3,4,4,4,4,5
,,2022-04-16T15:21:26+0200,2022-04-16T15:21:28+0200,2022-04-16T15:21:34+0200,2022-04-16T15:21:41+0200,2022-04-16T15:21:32+0200,2022-04-16T15:21:37+0200,2022-04-16T15:21:30+0200,2022-04-16T15:21:40+0200,2022-04-16T15:21:45+0200,2022-04-16T15:21:38+0200,2022-04-16T15:21:44+0200,2022-04-16T15:21:47+0200,2022-04-16T15:21:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:18:37+0200,2022-04-16T17:18:56+0200,4,4,4,4,4,4,4,3,4,4,4,5,3
,,2022-04-16T17:18:40+0200,2022-04-16T17:18:50+0200,2022-04-16T17:18:49+0200,2022-04-16T17:18:52+0200,2022-04-16T17:18:44+0200,2022-04-16T17:18:51+0200,2022-04-16T17:18:45+0200,2022-04-16T17:18:46+0200,2022-04-16T17:18:54+0200,2022-04-16T17:18:43+0200,2022-04-16T17:18:55+0200,2022-04-16T17:18:48+0200,2022-04-16T17:18:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:07:13+0200,2022-04-16T19:07:35+0200,4,3,4,4,4,5,5,3,4,5,4,5,4
,,2022-04-16T19:07:15+0200,2022-04-16T19:07:23+0200,2022-04-16T19:07:22+0200,2022-04-16T19:07:34+0200,2022-04-16T19:07:27+0200,2022-04-16T19:07:16+0200,2022-04-16T19:07:19+0200,2022-04-16T19:07:18+0200,2022-04-16T19:07:25+0200,2022-04-16T19:07:30+0200,2022-04-16T19:07:31+0200,2022-04-16T19:07:28+0200,2022-04-16T19:07:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:18:15+0200,2022-04-16T21:18:38+0200,4,4,4,4,4,6,4,4,4,5,4,5,4
,,2022-04-16T21:18:17+0200,2022-04-16T21:18:25+0200,2022-04-16T21:18:28+0200,2022-04-16T21:18:36+0200,2022-04-16T21:18:18+0200,2022-04-16T21:18:24+0200,2022-04-16T21:18:30+0200,2022-04-16T21:18:22+0200,2022-04-16T21:18:31+0200,2022-04-16T21:18:32+0200,2022-04-16T21:18:21+0200,2022-04-16T21:18:27+0200,2022-04-16T21:18:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:20:18+0200,2022-04-23T10:20:46+0200,5,4,4,3,5,5,4,2,4,4,4,3,4
,,2022-04-23T10:20:20+0200,2022-04-23T10:20:30+0200,2022-04-23T10:20:28+0200,2022-04-23T10:20:42+0200,2022-04-23T10:20:22+0200,2022-04-23T10:20:45+0200,2022-04-23T10:20:26+0200,2022-04-23T10:20:38+0200,2022-04-23T10:20:34+0200,2022-04-23T10:20:31+0200,2022-04-23T10:20:25+0200,2022-04-23T10:20:36+0200,2022-04-23T10:20:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:13:34+0200,2022-04-23T15:14:38+0200,2,2,3,5,5,5,3,5,3,5,3,3,5
,,2022-04-23T15:13:39+0200,2022-04-23T15:14:22+0200,2022-04-23T15:14:24+0200,2022-04-23T15:14:34+0200,2022-04-23T15:14:12+0200,2022-04-23T15:13:56+0200,2022-04-23T15:14:02+0200,2022-04-23T15:14:32+0200,2022-04-23T15:13:48+0200,2022-04-23T15:13:58+0200,2022-04-23T15:13:52+0200,2022-04-23T15:14:05+0200,2022-04-23T15:14:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:13:40+0200,2022-04-23T17:14:07+0200,4,4,5,4,4,6,5,5,4,4,4,5,6
,,2022-04-23T17:13:46+0200,2022-04-23T17:13:53+0200,2022-04-23T17:14:00+0200,2022-04-23T17:13:52+0200,2022-04-23T17:13:54+0200,2022-04-23T17:14:06+0200,2022-04-23T17:13:59+0200,2022-04-23T17:14:03+0200,2022-04-23T17:13:47+0200,2022-04-23T17:14:01+0200,2022-04-23T17:13:48+0200,2022-04-23T17:13:57+0200,2022-04-23T17:14:05+0200
