Survey Name,"compassion",Install Id,"3E789544-D56F-4D4F-B9B6-65D3044A99FA"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ch_ga_2001_11_09_087_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:28:12+0200,2022-04-02T15:29:55+0200,3,5,4,1,2,2,5,3,5,5,2,2,4
,,2022-04-02T15:28:17+0200,2022-04-02T15:29:05+0200,2022-04-02T15:29:39+0200,2022-04-02T15:29:00+0200,2022-04-02T15:29:23+0200,2022-04-02T15:28:43+0200,2022-04-02T15:29:47+0200,2022-04-02T15:29:52+0200,2022-04-02T15:29:36+0200,2022-04-02T15:28:22+0200,2022-04-02T15:29:20+0200,2022-04-02T15:28:55+0200,2022-04-02T15:28:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:03:31+0200,2022-04-02T17:05:28+0200,4,4,4,2,2,2,4,3,5,4,3,2,4
,,2022-04-02T17:03:53+0200,2022-04-02T17:05:05+0200,2022-04-02T17:04:12+0200,2022-04-02T17:04:28+0200,2022-04-02T17:04:03+0200,2022-04-02T17:03:56+0200,2022-04-02T17:04:39+0200,2022-04-02T17:05:03+0200,2022-04-02T17:05:25+0200,2022-04-02T17:04:06+0200,2022-04-02T17:04:35+0200,2022-04-02T17:05:20+0200,2022-04-02T17:04:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:44:01+0200,2022-04-02T19:46:23+0200,1,5,5,1,1,2,5,2,5,5,2,2,5
,,2022-04-02T19:44:06+0200,2022-04-02T19:46:00+0200,2022-04-02T19:46:06+0200,2022-04-02T19:45:58+0200,2022-04-02T19:46:04+0200,2022-04-02T19:46:09+0200,2022-04-02T19:46:18+0200,2022-04-02T19:44:50+0200,2022-04-02T19:45:55+0200,2022-04-02T19:44:42+0200,2022-04-02T19:44:37+0200,2022-04-02T19:46:13+0200,2022-04-02T19:46:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:07:41+0200,2022-04-02T21:08:44+0200,1,5,5,1,1,2,5,2,5,6,2,2,5
,,2022-04-02T21:07:44+0200,2022-04-02T21:08:21+0200,2022-04-02T21:08:38+0200,2022-04-02T21:08:05+0200,2022-04-02T21:08:35+0200,2022-04-02T21:07:53+0200,2022-04-02T21:08:27+0200,2022-04-02T21:08:19+0200,2022-04-02T21:08:14+0200,2022-04-02T21:08:43+0200,2022-04-02T21:07:58+0200,2022-04-02T21:08:31+0200,2022-04-02T21:08:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:29:01+0200,2022-04-09T10:30:18+0200,2,2,3,3,2,4,5,3,1,5,6,4,2
,,2022-04-09T10:29:04+0200,2022-04-09T10:30:14+0200,2022-04-09T10:29:21+0200,2022-04-09T10:30:03+0200,2022-04-09T10:29:18+0200,2022-04-09T10:29:55+0200,2022-04-09T10:29:12+0200,2022-04-09T10:29:27+0200,2022-04-09T10:30:04+0200,2022-04-09T10:29:16+0200,2022-04-09T10:29:59+0200,2022-04-09T10:30:07+0200,2022-04-09T10:29:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:32:47+0200,2022-04-09T15:33:49+0200,3,3,3,3,3,3,4,2,4,5,3,2,5
,,2022-04-09T15:32:51+0200,2022-04-09T15:32:56+0200,2022-04-09T15:33:16+0200,2022-04-09T15:32:54+0200,2022-04-09T15:33:18+0200,2022-04-09T15:33:21+0200,2022-04-09T15:33:25+0200,2022-04-09T15:33:47+0200,2022-04-09T15:33:14+0200,2022-04-09T15:33:00+0200,2022-04-09T15:33:06+0200,2022-04-09T15:33:37+0200,2022-04-09T15:33:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:08:31+0200,2022-04-09T17:09:11+0200,3,4,4,2,2,2,5,2,4,4,5,2,5
,,2022-04-09T17:08:33+0200,2022-04-09T17:08:41+0200,2022-04-09T17:09:09+0200,2022-04-09T17:09:01+0200,2022-04-09T17:09:06+0200,2022-04-09T17:09:04+0200,2022-04-09T17:08:43+0200,2022-04-09T17:08:57+0200,2022-04-09T17:08:38+0200,2022-04-09T17:08:37+0200,2022-04-09T17:08:44+0200,2022-04-09T17:08:50+0200,2022-04-09T17:08:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:04:01+0200,2022-04-09T19:04:47+0200,2,4,4,2,2,2,5,3,5,5,2,2,5
,,2022-04-09T19:04:04+0200,2022-04-09T19:04:45+0200,2022-04-09T19:04:32+0200,2022-04-09T19:04:20+0200,2022-04-09T19:04:42+0200,2022-04-09T19:04:35+0200,2022-04-09T19:04:08+0200,2022-04-09T19:04:24+0200,2022-04-09T19:04:12+0200,2022-04-09T19:04:40+0200,2022-04-09T19:04:18+0200,2022-04-09T19:04:29+0200,2022-04-09T19:04:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:08:07+0200,2022-04-09T21:09:26+0200,2,4,4,2,2,2,5,4,5,5,2,2,4
,,2022-04-09T21:08:28+0200,2022-04-09T21:08:40+0200,2022-04-09T21:08:35+0200,2022-04-09T21:09:24+0200,2022-04-09T21:09:16+0200,2022-04-09T21:09:11+0200,2022-04-09T21:09:03+0200,2022-04-09T21:08:45+0200,2022-04-09T21:08:53+0200,2022-04-09T21:09:07+0200,2022-04-09T21:08:51+0200,2022-04-09T21:09:21+0200,2022-04-09T21:08:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:20:12+0200,2022-04-16T15:21:11+0200,3,4,4,2,2,2,4,3,4,4,2,2,4
