Survey Name,"compassion",Install Id,"FAF9CE4D-BDDD-466D-9E07-A83C43EE0AB8"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ch_ma_2001_02_26_711_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:24:55+0200,2022-04-02T10:28:50+0200,2,4,4,3,1,4,4,5,2,1,5,5,1
,,2022-04-02T10:25:37+0200,2022-04-02T10:26:30+0200,2022-04-02T10:27:18+0200,2022-04-02T10:26:26+0200,2022-04-02T10:27:22+0200,2022-04-02T10:26:51+0200,2022-04-02T10:28:41+0200,2022-04-02T10:28:24+0200,2022-04-02T10:27:01+0200,2022-04-02T10:27:43+0200,2022-04-02T10:28:15+0200,2022-04-02T10:27:52+0200,2022-04-02T10:27:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:17:16+0200,2022-04-02T15:18:25+0200,1,4,5,1,1,6,2,4,2,1,6,5,1
,,2022-04-02T15:17:23+0200,2022-04-02T15:18:21+0200,2022-04-02T15:17:51+0200,2022-04-02T15:18:17+0200,2022-04-02T15:18:19+0200,2022-04-02T15:17:41+0200,2022-04-02T15:17:55+0200,2022-04-02T15:17:35+0200,2022-04-02T15:17:47+0200,2022-04-02T15:18:11+0200,2022-04-02T15:18:07+0200,2022-04-02T15:18:15+0200,2022-04-02T15:18:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:13:38+0200,2022-04-02T17:14:40+0200,5,1,1,5,5,6,2,2,1,1,5,5,6
,,2022-04-02T17:13:44+0200,2022-04-02T17:14:14+0200,2022-04-02T17:14:36+0200,2022-04-02T17:14:33+0200,2022-04-02T17:14:39+0200,2022-04-02T17:13:53+0200,2022-04-02T17:14:23+0200,2022-04-02T17:13:59+0200,2022-04-02T17:14:19+0200,2022-04-02T17:13:49+0200,2022-04-02T17:14:30+0200,2022-04-02T17:14:12+0200,2022-04-02T17:14:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:20:14+0200,2022-04-02T19:21:21+0200,4,1,1,5,5,6,1,4,1,1,5,5,6
,,2022-04-02T19:20:27+0200,2022-04-02T19:20:45+0200,2022-04-02T19:20:38+0200,2022-04-02T19:21:06+0200,2022-04-02T19:21:14+0200,2022-04-02T19:20:56+0200,2022-04-02T19:21:17+0200,2022-04-02T19:20:52+0200,2022-04-02T19:20:43+0200,2022-04-02T19:21:10+0200,2022-04-02T19:21:03+0200,2022-04-02T19:20:35+0200,2022-04-02T19:21:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:02:57+0200,2022-04-02T21:04:16+0200,3,2,2,4,4,4,1,4,2,1,6,5,4
,,2022-04-02T21:03:04+0200,2022-04-02T21:03:31+0200,2022-04-02T21:03:08+0200,2022-04-02T21:03:29+0200,2022-04-02T21:04:06+0200,2022-04-02T21:03:15+0200,2022-04-02T21:03:22+0200,2022-04-02T21:03:46+0200,2022-04-02T21:04:14+0200,2022-04-02T21:03:40+0200,2022-04-02T21:03:37+0200,2022-04-02T21:04:00+0200,2022-04-02T21:03:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:24:47+0200,2022-04-09T10:26:32+0200,2,2,2,4,3,2,2,2,5,1,6,5,1
,,2022-04-09T10:25:30+0200,2022-04-09T10:26:19+0200,2022-04-09T10:25:46+0200,2022-04-09T10:26:17+0200,2022-04-09T10:26:30+0200,2022-04-09T10:25:36+0200,2022-04-09T10:26:04+0200,2022-04-09T10:25:59+0200,2022-04-09T10:25:42+0200,2022-04-09T10:26:23+0200,2022-04-09T10:25:52+0200,2022-04-09T10:26:09+0200,2022-04-09T10:26:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:13:40+0200,2022-04-09T15:15:01+0200,3,1,1,3,4,3,2,2,4,4,6,5,2
,,2022-04-09T15:13:53+0200,2022-04-09T15:13:59+0200,2022-04-09T15:14:54+0200,2022-04-09T15:14:15+0200,2022-04-09T15:14:34+0200,2022-04-09T15:14:50+0200,2022-04-09T15:14:44+0200,2022-04-09T15:14:06+0200,2022-04-09T15:14:59+0200,2022-04-09T15:14:28+0200,2022-04-09T15:14:31+0200,2022-04-09T15:14:24+0200,2022-04-09T15:14:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:26:49+0200,2022-04-09T17:27:49+0200,5,1,1,5,5,6,1,3,1,1,5,5,5
,,2022-04-09T17:26:56+0200,2022-04-09T17:27:20+0200,2022-04-09T17:27:42+0200,2022-04-09T17:27:06+0200,2022-04-09T17:27:19+0200,2022-04-09T17:27:16+0200,2022-04-09T17:27:04+0200,2022-04-09T17:27:30+0200,2022-04-09T17:27:13+0200,2022-04-09T17:27:37+0200,2022-04-09T17:27:48+0200,2022-04-09T17:27:01+0200,2022-04-09T17:27:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:25:59+0200,2022-04-09T19:26:47+0200,3,1,1,5,5,6,1,2,2,1,5,5,5
,,2022-04-09T19:26:04+0200,2022-04-09T19:26:27+0200,2022-04-09T19:26:17+0200,2022-04-09T19:26:20+0200,2022-04-09T19:26:39+0200,2022-04-09T19:26:15+0200,2022-04-09T19:26:33+0200,2022-04-09T19:26:10+0200,2022-04-09T19:26:25+0200,2022-04-09T19:26:36+0200,2022-04-09T19:26:46+0200,2022-04-09T19:26:31+0200,2022-04-09T19:26:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:04:18+0200,2022-04-09T21:05:41+0200,4,2,2,4,4,5,1,3,3,1,6,5,5
,,2022-04-09T21:04:21+0200,2022-04-09T21:04:30+0200,2022-04-09T21:04:28+0200,2022-04-09T21:05:32+0200,2022-04-09T21:05:24+0200,2022-04-09T21:05:06+0200,2022-04-09T21:04:35+0200,2022-04-09T21:05:38+0200,2022-04-09T21:05:19+0200,2022-04-09T21:05:13+0200,2022-04-09T21:05:10+0200,2022-04-09T21:05:01+0200,2022-04-09T21:05:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:29:22+0200,2022-04-16T10:30:23+0200,2,1,3,4,4,6,1,2,3,2,5,5,5
,,2022-04-16T10:29:25+0200,2022-04-16T10:30:20+0200,2022-04-16T10:29:31+0200,2022-04-16T10:30:22+0200,2022-04-16T10:29:55+0200,2022-04-16T10:29:53+0200,2022-04-16T10:30:17+0200,2022-04-16T10:30:11+0200,2022-04-16T10:29:46+0200,2022-04-16T10:29:35+0200,2022-04-16T10:29:59+0200,2022-04-16T10:29:38+0200,2022-04-16T10:30:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:19:45+0200,2022-04-16T15:20:33+0200,4,1,2,4,4,6,1,3,3,1,5,6,4
,,2022-04-16T15:19:49+0200,2022-04-16T15:20:27+0200,2022-04-16T15:19:54+0200,2022-04-16T15:20:25+0200,2022-04-16T15:20:13+0200,2022-04-16T15:20:32+0200,2022-04-16T15:20:06+0200,2022-04-16T15:20:18+0200,2022-04-16T15:20:23+0200,2022-04-16T15:20:08+0200,2022-04-16T15:19:58+0200,2022-04-16T15:20:03+0200,2022-04-16T15:20:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:29:25+0200,2022-04-16T17:30:33+0200,4,1,1,5,4,5,1,3,1,1,6,6,5
,,2022-04-16T17:29:28+0200,2022-04-16T17:30:03+0200,2022-04-16T17:29:53+0200,2022-04-16T17:29:42+0200,2022-04-16T17:30:25+0200,2022-04-16T17:30:01+0200,2022-04-16T17:30:12+0200,2022-04-16T17:30:30+0200,2022-04-16T17:29:40+0200,2022-04-16T17:29:45+0200,2022-04-16T17:30:23+0200,2022-04-16T17:30:08+0200,2022-04-16T17:29:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:24:20+0200,2022-04-16T19:25:36+0200,3,1,1,4,4,5,1,2,2,1,5,5,5
,,2022-04-16T19:24:29+0200,2022-04-16T19:25:33+0200,2022-04-16T19:24:36+0200,2022-04-16T19:25:31+0200,2022-04-16T19:24:32+0200,2022-04-16T19:25:29+0200,2022-04-16T19:25:17+0200,2022-04-16T19:24:56+0200,2022-04-16T19:25:25+0200,2022-04-16T19:24:49+0200,2022-04-16T19:25:21+0200,2022-04-16T19:25:05+0200,2022-04-16T19:25:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:15:32+0200,2022-04-16T21:16:50+0200,4,2,2,4,4,5,1,1,1,1,5,5,5
,,2022-04-16T21:15:39+0200,2022-04-16T21:16:11+0200,2022-04-16T21:15:43+0200,2022-04-16T21:16:14+0200,2022-04-16T21:16:24+0200,2022-04-16T21:16:44+0200,2022-04-16T21:16:22+0200,2022-04-16T21:16:17+0200,2022-04-16T21:16:00+0200,2022-04-16T21:16:49+0200,2022-04-16T21:16:33+0200,2022-04-16T21:16:37+0200,2022-04-16T21:15:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:04:44+0200,2022-04-23T10:05:51+0200,1,2,2,2,2,4,3,2,6,3,4,4,2
,,2022-04-23T10:04:48+0200,2022-04-23T10:04:53+0200,2022-04-23T10:05:22+0200,2022-04-23T10:05:45+0200,2022-04-23T10:05:15+0200,2022-04-23T10:05:18+0200,2022-04-23T10:05:43+0200,2022-04-23T10:05:02+0200,2022-04-23T10:05:13+0200,2022-04-23T10:05:49+0200,2022-04-23T10:05:06+0200,2022-04-23T10:05:27+0200,2022-04-23T10:05:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:02:32+0200,2022-04-23T15:03:23+0200,4,2,2,3,3,6,2,1,4,1,5,5,5
,,2022-04-23T15:02:35+0200,2022-04-23T15:02:42+0200,2022-04-23T15:03:10+0200,2022-04-23T15:03:04+0200,2022-04-23T15:03:02+0200,2022-04-23T15:03:00+0200,2022-04-23T15:02:55+0200,2022-04-23T15:02:40+0200,2022-04-23T15:02:52+0200,2022-04-23T15:02:46+0200,2022-04-23T15:03:21+0200,2022-04-23T15:03:16+0200,2022-04-23T15:03:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:06:23+0200,2022-04-23T17:07:14+0200,3,3,3,2,2,3,5,3,5,3,4,4,2
,,2022-04-23T17:06:28+0200,2022-04-23T17:07:01+0200,2022-04-23T17:07:08+0200,2022-04-23T17:06:49+0200,2022-04-23T17:06:53+0200,2022-04-23T17:06:32+0200,2022-04-23T17:06:46+0200,2022-04-23T17:06:57+0200,2022-04-23T17:06:41+0200,2022-04-23T17:07:04+0200,2022-04-23T17:07:13+0200,2022-04-23T17:06:37+0200,2022-04-23T17:06:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:28:39+0200,2022-04-23T19:30:36+0200,4,4,1,4,4,5,1,3,2,2,5,5,5
,,2022-04-23T19:29:12+0200,2022-04-23T19:29:48+0200,2022-04-23T19:30:31+0200,2022-04-23T19:30:23+0200,2022-04-23T19:30:29+0200,2022-04-23T19:30:35+0200,2022-04-23T19:30:25+0200,2022-04-23T19:29:37+0200,2022-04-23T19:29:23+0200,2022-04-23T19:30:16+0200,2022-04-23T19:29:45+0200,2022-04-23T19:30:21+0200,2022-04-23T19:30:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:13:15+0200,2022-04-23T21:14:05+0200,2,4,4,2,2,3,5,2,5,5,6,2,1
,,2022-04-23T21:13:21+0200,2022-04-23T21:13:49+0200,2022-04-23T21:13:51+0200,2022-04-23T21:13:37+0200,2022-04-23T21:13:33+0200,2022-04-23T21:14:04+0200,2022-04-23T21:13:42+0200,2022-04-23T21:14:00+0200,2022-04-23T21:13:36+0200,2022-04-23T21:13:44+0200,2022-04-23T21:13:31+0200,2022-04-23T21:13:55+0200,2022-04-23T21:13:25+0200
