Survey Name,"compassion",Install Id,"8AA82816-75B0-41AE-8B77-6F16B53E9A0D"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ch_po_2000_08_07_151_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:14:21+0200,2022-04-09T10:15:43+0200,4,4,4,2,2,2,4,4,6,5,3,2,5
,,2022-04-09T10:14:42+0200,2022-04-09T10:14:55+0200,2022-04-09T10:15:04+0200,2022-04-09T10:15:38+0200,2022-04-09T10:15:15+0200,2022-04-09T10:15:22+0200,2022-04-09T10:14:51+0200,2022-04-09T10:15:32+0200,2022-04-09T10:15:12+0200,2022-04-09T10:15:19+0200,2022-04-09T10:15:00+0200,2022-04-09T10:15:35+0200,2022-04-09T10:15:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:30:47+0200,2022-04-09T15:31:39+0200,1,4,3,2,3,4,5,4,5,4,2,2,5
,,2022-04-09T15:30:50+0200,2022-04-09T15:31:21+0200,2022-04-09T15:31:06+0200,2022-04-09T15:31:38+0200,2022-04-09T15:30:56+0200,2022-04-09T15:31:10+0200,2022-04-09T15:31:18+0200,2022-04-09T15:31:35+0200,2022-04-09T15:31:25+0200,2022-04-09T15:31:03+0200,2022-04-09T15:31:28+0200,2022-04-09T15:31:15+0200,2022-04-09T15:31:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:18:27+0200,2022-04-09T17:19:34+0200,2,3,2,3,3,3,4,4,5,5,2,1,4
,,2022-04-09T17:18:34+0200,2022-04-09T17:19:33+0200,2022-04-09T17:18:56+0200,2022-04-09T17:19:28+0200,2022-04-09T17:19:06+0200,2022-04-09T17:19:00+0200,2022-04-09T17:18:41+0200,2022-04-09T17:18:53+0200,2022-04-09T17:19:26+0200,2022-04-09T17:18:49+0200,2022-04-09T17:19:24+0200,2022-04-09T17:19:31+0200,2022-04-09T17:19:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:12:34+0200,2022-04-09T19:14:01+0200,3,4,4,2,2,2,4,4,5,5,2,1,4
,,2022-04-09T19:12:48+0200,2022-04-09T19:13:36+0200,2022-04-09T19:13:29+0200,2022-04-09T19:14:00+0200,2022-04-09T19:13:54+0200,2022-04-09T19:13:38+0200,2022-04-09T19:13:45+0200,2022-04-09T19:13:33+0200,2022-04-09T19:12:51+0200,2022-04-09T19:13:48+0200,2022-04-09T19:13:58+0200,2022-04-09T19:13:40+0200,2022-04-09T19:13:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:21:52+0200,2022-04-09T21:22:39+0200,1,2,2,4,4,5,4,5,4,4,4,3,4
,,2022-04-09T21:21:58+0200,2022-04-09T21:22:16+0200,2022-04-09T21:22:38+0200,2022-04-09T21:22:12+0200,2022-04-09T21:22:03+0200,2022-04-09T21:22:10+0200,2022-04-09T21:22:14+0200,2022-04-09T21:22:08+0200,2022-04-09T21:22:36+0200,2022-04-09T21:22:30+0200,2022-04-09T21:22:22+0200,2022-04-09T21:22:28+0200,2022-04-09T21:22:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:15:16+0200,2022-04-16T10:16:11+0200,3,1,1,4,4,5,2,5,4,2,3,3,2
,,2022-04-16T10:15:27+0200,2022-04-16T10:15:42+0200,2022-04-16T10:16:09+0200,2022-04-16T10:15:39+0200,2022-04-16T10:15:30+0200,2022-04-16T10:15:35+0200,2022-04-16T10:16:07+0200,2022-04-16T10:15:46+0200,2022-04-16T10:15:54+0200,2022-04-16T10:15:37+0200,2022-04-16T10:16:03+0200,2022-04-16T10:15:51+0200,2022-04-16T10:15:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:18:47+0200,2022-04-16T15:19:42+0200,5,1,1,4,5,5,1,5,2,2,5,4,2
,,2022-04-16T15:18:56+0200,2022-04-16T15:19:24+0200,2022-04-16T15:19:39+0200,2022-04-16T15:19:34+0200,2022-04-16T15:19:41+0200,2022-04-16T15:19:29+0200,2022-04-16T15:19:32+0200,2022-04-16T15:19:00+0200,2022-04-16T15:19:03+0200,2022-04-16T15:19:05+0200,2022-04-16T15:19:22+0200,2022-04-16T15:19:37+0200,2022-04-16T15:19:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:06:29+0200,2022-04-16T17:06:59+0200,3,2,2,4,4,4,2,5,3,2,5,4,2
,,2022-04-16T17:06:32+0200,2022-04-16T17:06:48+0200,2022-04-16T17:06:58+0200,2022-04-16T17:06:37+0200,2022-04-16T17:06:43+0200,2022-04-16T17:06:35+0200,2022-04-16T17:06:39+0200,2022-04-16T17:06:53+0200,2022-04-16T17:06:56+0200,2022-04-16T17:06:47+0200,2022-04-16T17:06:41+0200,2022-04-16T17:06:45+0200,2022-04-16T17:06:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:02:07+0200,2022-04-16T19:02:58+0200,4,1,1,5,5,5,1,5,4,2,4,5,2
,,2022-04-16T19:02:11+0200,2022-04-16T19:02:23+0200,2022-04-16T19:02:31+0200,2022-04-16T19:02:56+0200,2022-04-16T19:02:29+0200,2022-04-16T19:02:33+0200,2022-04-16T19:02:51+0200,2022-04-16T19:02:36+0200,2022-04-16T19:02:48+0200,2022-04-16T19:02:21+0200,2022-04-16T19:02:18+0200,2022-04-16T19:02:27+0200,2022-04-16T19:02:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:25:54+0200,2022-04-16T21:26:25+0200,5,1,1,5,5,5,1,5,2,2,4,4,1
,,2022-04-16T21:25:56+0200,2022-04-16T21:26:20+0200,2022-04-16T21:26:00+0200,2022-04-16T21:25:58+0200,2022-04-16T21:26:11+0200,2022-04-16T21:26:08+0200,2022-04-16T21:26:13+0200,2022-04-16T21:26:18+0200,2022-04-16T21:26:16+0200,2022-04-16T21:26:03+0200,2022-04-16T21:26:24+0200,2022-04-16T21:26:10+0200,2022-04-16T21:26:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:05:53+0200,2022-04-23T10:06:41+0200,3,2,1,5,4,6,1,5,2,2,5,4,1
,,2022-04-23T10:05:59+0200,2022-04-23T10:06:10+0200,2022-04-23T10:06:06+0200,2022-04-23T10:06:40+0200,2022-04-23T10:06:14+0200,2022-04-23T10:06:13+0200,2022-04-23T10:06:08+0200,2022-04-23T10:06:31+0200,2022-04-23T10:06:25+0200,2022-04-23T10:06:28+0200,2022-04-23T10:06:04+0200,2022-04-23T10:06:33+0200,2022-04-23T10:06:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:28:12+0200,2022-04-23T15:28:46+0200,2,2,2,1,2,2,4,4,5,5,2,2,5
,,2022-04-23T15:28:16+0200,2022-04-23T15:28:30+0200,2022-04-23T15:28:32+0200,2022-04-23T15:28:23+0200,2022-04-23T15:28:25+0200,2022-04-23T15:28:19+0200,2022-04-23T15:28:45+0200,2022-04-23T15:28:28+0200,2022-04-23T15:28:41+0200,2022-04-23T15:28:21+0200,2022-04-23T15:28:36+0200,2022-04-23T15:28:34+0200,2022-04-23T15:28:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:26:36+0200,2022-04-23T17:27:34+0200,3,1,1,4,4,5,2,5,2,2,4,5,2
,,2022-04-23T17:26:42+0200,2022-04-23T17:27:04+0200,2022-04-23T17:27:31+0200,2022-04-23T17:27:16+0200,2022-04-23T17:27:06+0200,2022-04-23T17:27:11+0200,2022-04-23T17:27:26+0200,2022-04-23T17:27:29+0200,2022-04-23T17:27:13+0200,2022-04-23T17:26:44+0200,2022-04-23T17:27:22+0200,2022-04-23T17:27:09+0200,2022-04-23T17:27:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:24:02+0200,2022-04-23T19:25:18+0200,4,1,1,4,4,5,1,6,2,2,5,5,2
,,2022-04-23T19:24:08+0200,2022-04-23T19:24:13+0200,2022-04-23T19:25:09+0200,2022-04-23T19:24:59+0200,2022-04-23T19:24:44+0200,2022-04-23T19:24:34+0200,2022-04-23T19:24:22+0200,2022-04-23T19:24:19+0200,2022-04-23T19:24:41+0200,2022-04-23T19:25:17+0200,2022-04-23T19:24:11+0200,2022-04-23T19:25:07+0200,2022-04-23T19:24:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:22:47+0200,2022-04-23T21:23:31+0200,3,1,2,3,3,4,2,4,4,4,5,3,2
,,2022-04-23T21:22:49+0200,2022-04-23T21:23:03+0200,2022-04-23T21:23:22+0200,2022-04-23T21:23:18+0200,2022-04-23T21:23:30+0200,2022-04-23T21:23:05+0200,2022-04-23T21:23:24+0200,2022-04-23T21:23:27+0200,2022-04-23T21:23:01+0200,2022-04-23T21:23:20+0200,2022-04-23T21:22:58+0200,2022-04-23T21:23:16+0200,2022-04-23T21:23:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:04:24+0200,2022-04-30T10:04:55+0200,4,1,1,4,5,5,1,5,3,1,5,5,1
,,2022-04-30T10:04:26+0200,2022-04-30T10:04:42+0200,2022-04-30T10:04:37+0200,2022-04-30T10:04:28+0200,2022-04-30T10:04:54+0200,2022-04-30T10:04:35+0200,2022-04-30T10:04:52+0200,2022-04-30T10:04:49+0200,2022-04-30T10:04:31+0200,2022-04-30T10:04:39+0200,2022-04-30T10:04:47+0200,2022-04-30T10:04:44+0200,2022-04-30T10:04:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:08:57+0200,2022-04-30T15:09:35+0200,4,2,4,2,2,2,2,4,6,4,3,3,5
,,2022-04-30T15:09:01+0200,2022-04-30T15:09:05+0200,2022-04-30T15:09:25+0200,2022-04-30T15:09:23+0200,2022-04-30T15:09:19+0200,2022-04-30T15:09:34+0200,2022-04-30T15:09:28+0200,2022-04-30T15:09:17+0200,2022-04-30T15:09:08+0200,2022-04-30T15:09:14+0200,2022-04-30T15:09:30+0200,2022-04-30T15:09:10+0200,2022-04-30T15:09:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:26:34+0200,2022-04-30T17:27:24+0200,4,3,4,2,2,2,3,4,5,4,2,2,4
,,2022-04-30T17:26:36+0200,2022-04-30T17:26:39+0200,2022-04-30T17:27:21+0200,2022-04-30T17:26:49+0200,2022-04-30T17:27:20+0200,2022-04-30T17:26:48+0200,2022-04-30T17:26:43+0200,2022-04-30T17:27:18+0200,2022-04-30T17:27:23+0200,2022-04-30T17:27:07+0200,2022-04-30T17:27:04+0200,2022-04-30T17:26:46+0200,2022-04-30T17:27:09+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:23:29+0200,2022-04-30T19:23:58+0200,3,3,3,2,2,5,2,5,4,4,4,4,4
,,2022-04-30T19:23:32+0200,2022-04-30T19:23:35+0200,2022-04-30T19:23:57+0200,2022-04-30T19:23:51+0200,2022-04-30T19:23:46+0200,2022-04-30T19:23:44+0200,2022-04-30T19:23:50+0200,2022-04-30T19:23:42+0200,2022-04-30T19:23:48+0200,2022-04-30T19:23:34+0200,2022-04-30T19:23:39+0200,2022-04-30T19:23:37+0200,2022-04-30T19:23:54+0200
