Survey Name,"compassion",Install Id,"96de1997-5359-40ed-8080-976aafd1c204"
Author,"Ilaria Colpizzi"
Subject ID,"cl_be_1980_09_22_062_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:07:29+0200,2022-04-09T10:09:28+0200,4,1,1,5,5,5,1,6,1,1,6,5,4
,,2022-04-09T10:07:39+0200,2022-04-09T10:09:16+0200,2022-04-09T10:08:26+0200,2022-04-09T10:09:03+0200,2022-04-09T10:08:32+0200,2022-04-09T10:07:58+0200,2022-04-09T10:08:43+0200,2022-04-09T10:08:53+0200,2022-04-09T10:09:24+0200,2022-04-09T10:08:58+0200,2022-04-09T10:09:10+0200,2022-04-09T10:08:20+0200,2022-04-09T10:08:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:22:45+0200,2022-04-09T15:25:51+0200,4,1,2,5,4,6,1,6,1,2,6,5,3
,,2022-04-09T15:22:52+0200,2022-04-09T15:23:11+0200,2022-04-09T15:23:24+0200,2022-04-09T15:23:42+0200,2022-04-09T15:25:26+0200,2022-04-09T15:23:06+0200,2022-04-09T15:22:59+0200,2022-04-09T15:23:35+0200,2022-04-09T15:25:42+0200,2022-04-09T15:25:31+0200,2022-04-09T15:25:36+0200,2022-04-09T15:23:28+0200,2022-04-09T15:23:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:18:32+0200,2022-04-09T17:19:39+0200,1,1,1,5,5,4,1,6,1,1,6,6,2
,,2022-04-09T17:18:35+0200,2022-04-09T17:19:01+0200,2022-04-09T17:18:46+0200,2022-04-09T17:18:57+0200,2022-04-09T17:19:35+0200,2022-04-09T17:18:43+0200,2022-04-09T17:19:26+0200,2022-04-09T17:18:53+0200,2022-04-09T17:19:32+0200,2022-04-09T17:19:22+0200,2022-04-09T17:19:06+0200,2022-04-09T17:19:10+0200,2022-04-09T17:19:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:08:18+0200,2022-04-09T19:09:44+0200,5,1,1,5,4,2,1,6,1,2,6,6,2
,,2022-04-09T19:08:27+0200,2022-04-09T19:09:31+0200,2022-04-09T19:09:15+0200,2022-04-09T19:09:19+0200,2022-04-09T19:09:10+0200,2022-04-09T19:09:07+0200,2022-04-09T19:08:50+0200,2022-04-09T19:08:58+0200,2022-04-09T19:08:46+0200,2022-04-09T19:09:41+0200,2022-04-09T19:09:25+0200,2022-04-09T19:08:41+0200,2022-04-09T19:09:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:27:14+0200,2022-04-09T21:28:17+0200,1,1,1,5,5,4,1,6,1,6,6,6,6
,,2022-04-09T21:27:19+0200,2022-04-09T21:28:14+0200,2022-04-09T21:27:28+0200,2022-04-09T21:27:41+0200,2022-04-09T21:27:43+0200,2022-04-09T21:28:05+0200,2022-04-09T21:27:38+0200,2022-04-09T21:27:56+0200,2022-04-09T21:28:11+0200,2022-04-09T21:27:26+0200,2022-04-09T21:27:50+0200,2022-04-09T21:27:47+0200,2022-04-09T21:27:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:11:49+0200,2022-04-16T10:13:00+0200,1,1,1,5,5,6,1,6,1,1,6,6,5
,,2022-04-16T10:11:58+0200,2022-04-16T10:12:52+0200,2022-04-16T10:12:15+0200,2022-04-16T10:12:13+0200,2022-04-16T10:12:39+0200,2022-04-16T10:12:32+0200,2022-04-16T10:12:08+0200,2022-04-16T10:12:26+0200,2022-04-16T10:12:46+0200,2022-04-16T10:12:42+0200,2022-04-16T10:12:22+0200,2022-04-16T10:12:58+0200,2022-04-16T10:12:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:16:28+0200,2022-04-16T15:17:48+0200,5,1,1,5,5,6,1,6,1,1,6,6,5
,,2022-04-16T15:16:32+0200,2022-04-16T15:16:37+0200,2022-04-16T15:17:05+0200,2022-04-16T15:17:14+0200,2022-04-16T15:17:46+0200,2022-04-16T15:16:52+0200,2022-04-16T15:16:41+0200,2022-04-16T15:17:43+0200,2022-04-16T15:17:01+0200,2022-04-16T15:16:45+0200,2022-04-16T15:17:35+0200,2022-04-16T15:16:48+0200,2022-04-16T15:16:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:04:26+0200,2022-04-16T17:06:47+0200,1,1,1,5,5,5,1,6,1,1,6,6,5
,,2022-04-16T17:04:32+0200,2022-04-16T17:06:12+0200,2022-04-16T17:06:36+0200,2022-04-16T17:06:32+0200,2022-04-16T17:05:40+0200,2022-04-16T17:05:35+0200,2022-04-16T17:06:06+0200,2022-04-16T17:05:16+0200,2022-04-16T17:05:22+0200,2022-04-16T17:06:21+0200,2022-04-16T17:06:42+0200,2022-04-16T17:05:59+0200,2022-04-16T17:06:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:29:35+0200,2022-04-16T19:30:49+0200,4,1,1,5,5,5,1,6,2,1,6,6,5
,,2022-04-16T19:29:44+0200,2022-04-16T19:30:27+0200,2022-04-16T19:30:35+0200,2022-04-16T19:30:01+0200,2022-04-16T19:29:52+0200,2022-04-16T19:30:17+0200,2022-04-16T19:29:56+0200,2022-04-16T19:30:32+0200,2022-04-16T19:30:44+0200,2022-04-16T19:29:49+0200,2022-04-16T19:30:13+0200,2022-04-16T19:30:25+0200,2022-04-16T19:30:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:03:34+0200,2022-04-16T21:04:41+0200,3,1,1,4,5,5,1,6,1,1,6,6,5
,,2022-04-16T21:03:40+0200,2022-04-16T21:03:56+0200,2022-04-16T21:03:54+0200,2022-04-16T21:03:46+0200,2022-04-16T21:04:28+0200,2022-04-16T21:04:31+0200,2022-04-16T21:04:09+0200,2022-04-16T21:04:16+0200,2022-04-16T21:04:04+0200,2022-04-16T21:04:21+0200,2022-04-16T21:04:37+0200,2022-04-16T21:04:00+0200,2022-04-16T21:03:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:27:43+0200,2022-04-23T10:29:27+0200,2,3,3,3,3,4,1,6,4,1,6,5,3
,,2022-04-23T10:28:07+0200,2022-04-23T10:28:17+0200,2022-04-23T10:28:19+0200,2022-04-23T10:29:07+0200,2022-04-23T10:28:53+0200,2022-04-23T10:28:12+0200,2022-04-23T10:29:12+0200,2022-04-23T10:28:27+0200,2022-04-23T10:28:49+0200,2022-04-23T10:28:41+0200,2022-04-23T10:28:35+0200,2022-04-23T10:29:25+0200,2022-04-23T10:29:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:21:53+0200,2022-04-23T15:22:59+0200,4,3,3,4,3,2,1,6,2,1,6,5,5
,,2022-04-23T15:21:59+0200,2022-04-23T15:22:50+0200,2022-04-23T15:22:14+0200,2022-04-23T15:22:24+0200,2022-04-23T15:22:33+0200,2022-04-23T15:22:18+0200,2022-04-23T15:22:57+0200,2022-04-23T15:22:42+0200,2022-04-23T15:22:10+0200,2022-04-23T15:22:48+0200,2022-04-23T15:22:29+0200,2022-04-23T15:22:39+0200,2022-04-23T15:22:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:10:39+0200,2022-04-23T17:11:31+0200,4,2,2,3,3,5,1,6,1,1,6,6,2
,,2022-04-23T17:10:43+0200,2022-04-23T17:11:29+0200,2022-04-23T17:11:26+0200,2022-04-23T17:10:51+0200,2022-04-23T17:11:14+0200,2022-04-23T17:11:03+0200,2022-04-23T17:11:00+0200,2022-04-23T17:11:19+0200,2022-04-23T17:10:48+0200,2022-04-23T17:10:56+0200,2022-04-23T17:11:12+0200,2022-04-23T17:11:23+0200,2022-04-23T17:11:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:23:06+0200,2022-04-23T19:24:22+0200,5,2,1,4,4,5,1,6,1,1,6,1,5
,,2022-04-23T19:23:09+0200,2022-04-23T19:23:21+0200,2022-04-23T19:23:58+0200,2022-04-23T19:23:53+0200,2022-04-23T19:23:14+0200,2022-04-23T19:23:33+0200,2022-04-23T19:23:50+0200,2022-04-23T19:24:19+0200,2022-04-23T19:23:36+0200,2022-04-23T19:24:06+0200,2022-04-23T19:23:45+0200,2022-04-23T19:23:28+0200,2022-04-23T19:23:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:09:52+0200,2022-04-23T21:11:02+0200,4,2,1,4,4,5,1,6,1,1,6,5,5
,,2022-04-23T21:09:58+0200,2022-04-23T21:10:43+0200,2022-04-23T21:10:39+0200,2022-04-23T21:10:18+0200,2022-04-23T21:10:50+0200,2022-04-23T21:10:31+0200,2022-04-23T21:10:11+0200,2022-04-23T21:10:23+0200,2022-04-23T21:11:00+0200,2022-04-23T21:10:56+0200,2022-04-23T21:10:08+0200,2022-04-23T21:10:36+0200,2022-04-23T21:10:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:21:08+0200,2022-04-30T10:22:45+0200,5,1,1,4,4,5,1,6,1,5,5,6,5
,,2022-04-30T10:21:32+0200,2022-04-30T10:22:09+0200,2022-04-30T10:22:35+0200,2022-04-30T10:22:05+0200,2022-04-30T10:22:12+0200,2022-04-30T10:21:57+0200,2022-04-30T10:22:18+0200,2022-04-30T10:22:31+0200,2022-04-30T10:21:52+0200,2022-04-30T10:22:02+0200,2022-04-30T10:22:42+0200,2022-04-30T10:21:41+0200,2022-04-30T10:21:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:28:41+0200,2022-04-30T15:29:53+0200,5,1,1,5,5,5,1,6,1,1,6,5,5
,,2022-04-30T15:28:56+0200,2022-04-30T15:29:43+0200,2022-04-30T15:29:21+0200,2022-04-30T15:29:15+0200,2022-04-30T15:29:18+0200,2022-04-30T15:29:40+0200,2022-04-30T15:29:33+0200,2022-04-30T15:29:04+0200,2022-04-30T15:29:29+0200,2022-04-30T15:29:08+0200,2022-04-30T15:29:25+0200,2022-04-30T15:29:51+0200,2022-04-30T15:29:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:27:27+0200,2022-04-30T17:28:16+0200,5,1,1,5,4,5,1,6,1,1,6,5,5
,,2022-04-30T17:27:30+0200,2022-04-30T17:27:39+0200,2022-04-30T17:27:43+0200,2022-04-30T17:28:10+0200,2022-04-30T17:27:50+0200,2022-04-30T17:28:07+0200,2022-04-30T17:27:47+0200,2022-04-30T17:27:53+0200,2022-04-30T17:28:03+0200,2022-04-30T17:27:36+0200,2022-04-30T17:27:57+0200,2022-04-30T17:28:14+0200,2022-04-30T17:27:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:33:53+0200,2022-04-30T19:34:59+0200,5,3,3,3,3,4,1,6,1,2,5,4,4
,,2022-04-30T19:33:58+0200,2022-04-30T19:34:14+0200,2022-04-30T19:34:17+0200,2022-04-30T19:34:44+0200,2022-04-30T19:34:42+0200,2022-04-30T19:34:05+0200,2022-04-30T19:34:11+0200,2022-04-30T19:34:58+0200,2022-04-30T19:34:39+0200,2022-04-30T19:34:30+0200,2022-04-30T19:34:51+0200,2022-04-30T19:34:22+0200,2022-04-30T19:34:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:26:54+0200,2022-04-30T21:29:07+0200,4,1,2,4,3,2,1,1,1,2,6,4,4
,,2022-04-30T21:26:58+0200,2022-04-30T21:28:07+0200,2022-04-30T21:28:48+0200,2022-04-30T21:27:55+0200,2022-04-30T21:27:45+0200,2022-04-30T21:28:34+0200,2022-04-30T21:27:09+0200,2022-04-30T21:29:05+0200,2022-04-30T21:27:26+0200,2022-04-30T21:29:01+0200,2022-04-30T21:27:20+0200,2022-04-30T21:28:39+0200,2022-04-30T21:27:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:29:25+0200,2022-05-07T10:30:58+0200,3,1,1,4,4,4,1,6,1,1,6,6,4
,,2022-05-07T10:29:46+0200,2022-05-07T10:30:26+0200,2022-05-07T10:30:16+0200,2022-05-07T10:30:06+0200,2022-05-07T10:30:31+0200,2022-05-07T10:30:52+0200,2022-05-07T10:30:36+0200,2022-05-07T10:30:00+0200,2022-05-07T10:30:56+0200,2022-05-07T10:30:21+0200,2022-05-07T10:29:55+0200,2022-05-07T10:30:40+0200,2022-05-07T10:30:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:30:41+0200,2022-05-07T15:32:04+0200,3,1,1,3,4,5,1,6,2,2,6,5,4
,,2022-05-07T15:30:47+0200,2022-05-07T15:31:40+0200,2022-05-07T15:30:51+0200,2022-05-07T15:31:06+0200,2022-05-07T15:32:02+0200,2022-05-07T15:31:14+0200,2022-05-07T15:31:02+0200,2022-05-07T15:30:59+0200,2022-05-07T15:31:32+0200,2022-05-07T15:31:50+0200,2022-05-07T15:31:36+0200,2022-05-07T15:31:19+0200,2022-05-07T15:31:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
