Survey Name,"compassion",Install Id,"38B57B1F-C3F4-494F-873D-23B2BEBBF8BD"
Survey Author,"Ilaria Colpizzi"
Subject ID,"cl_ca_1998_11_16_863_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:08:22+0200,2022-04-02T10:10:20+0200,4,3,3,3,3,3,4,3,4,4,4,3,5
,,2022-04-02T10:08:54+0200,2022-04-02T10:10:00+0200,2022-04-02T10:09:21+0200,2022-04-02T10:09:47+0200,2022-04-02T10:09:40+0200,2022-04-02T10:09:00+0200,2022-04-02T10:10:11+0200,2022-04-02T10:09:36+0200,2022-04-02T10:09:08+0200,2022-04-02T10:10:16+0200,2022-04-02T10:09:28+0200,2022-04-02T10:09:55+0200,2022-04-02T10:09:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:00:20+0200,2022-04-02T15:02:36+0200,4,3,3,3,3,3,4,3,4,4,4,3,4
,,2022-04-02T15:01:05+0200,2022-04-02T15:01:42+0200,2022-04-02T15:01:27+0200,2022-04-02T15:02:18+0200,2022-04-02T15:01:59+0200,2022-04-02T15:02:09+0200,2022-04-02T15:01:21+0200,2022-04-02T15:01:50+0200,2022-04-02T15:02:23+0200,2022-04-02T15:01:55+0200,2022-04-02T15:01:37+0200,2022-04-02T15:01:16+0200,2022-04-02T15:02:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:29:59+0200,2022-04-02T17:31:14+0200,4,3,3,3,3,3,4,3,4,4,4,2,5
,,2022-04-02T17:30:04+0200,2022-04-02T17:30:48+0200,2022-04-02T17:30:50+0200,2022-04-02T17:30:57+0200,2022-04-02T17:30:40+0200,2022-04-02T17:31:01+0200,2022-04-02T17:31:10+0200,2022-04-02T17:31:06+0200,2022-04-02T17:30:08+0200,2022-04-02T17:30:37+0200,2022-04-02T17:30:54+0200,2022-04-02T17:30:33+0200,2022-04-02T17:30:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:07:36+0200,2022-04-02T19:08:31+0200,4,3,3,3,3,3,4,4,4,5,4,2,4
,,2022-04-02T19:07:40+0200,2022-04-02T19:08:08+0200,2022-04-02T19:08:01+0200,2022-04-02T19:08:11+0200,2022-04-02T19:07:44+0200,2022-04-02T19:08:27+0200,2022-04-02T19:07:53+0200,2022-04-02T19:08:15+0200,2022-04-02T19:08:04+0200,2022-04-02T19:08:24+0200,2022-04-02T19:07:49+0200,2022-04-02T19:07:58+0200,2022-04-02T19:08:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:29:00+0200,2022-04-02T21:29:52+0200,4,3,3,3,3,3,4,5,4,5,4,2,5
,,2022-04-02T21:29:05+0200,2022-04-02T21:29:09+0200,2022-04-02T21:29:38+0200,2022-04-02T21:29:36+0200,2022-04-02T21:29:48+0200,2022-04-02T21:29:12+0200,2022-04-02T21:29:46+0200,2022-04-02T21:29:25+0200,2022-04-02T21:29:17+0200,2022-04-02T21:29:21+0200,2022-04-02T21:29:33+0200,2022-04-02T21:29:42+0200,2022-04-02T21:29:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:30:45+0200,2022-04-09T10:33:47+0200,4,3,3,3,3,2,4,4,4,4,4,2,4
,,2022-04-09T10:30:52+0200,2022-04-09T10:30:57+0200,2022-04-09T10:33:17+0200,2022-04-09T10:33:28+0200,2022-04-09T10:31:03+0200,2022-04-09T10:33:40+0200,2022-04-09T10:32:44+0200,2022-04-09T10:33:43+0200,2022-04-09T10:32:14+0200,2022-04-09T10:31:00+0200,2022-04-09T10:33:32+0200,2022-04-09T10:33:37+0200,2022-04-09T10:31:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:25:10+0200,2022-04-09T15:26:01+0200,4,2,2,3,3,3,4,3,4,5,4,3,4
,,2022-04-09T15:25:16+0200,2022-04-09T15:25:57+0200,2022-04-09T15:25:37+0200,2022-04-09T15:25:39+0200,2022-04-09T15:25:47+0200,2022-04-09T15:25:20+0200,2022-04-09T15:25:51+0200,2022-04-09T15:25:54+0200,2022-04-09T15:25:42+0200,2022-04-09T15:25:34+0200,2022-04-09T15:25:30+0200,2022-04-09T15:25:23+0200,2022-04-09T15:25:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:26:41+0200,2022-04-09T17:27:27+0200,4,3,3,3,3,2,4,4,4,5,4,2,4
,,2022-04-09T17:26:44+0200,2022-04-09T17:27:04+0200,2022-04-09T17:26:47+0200,2022-04-09T17:27:02+0200,2022-04-09T17:27:15+0200,2022-04-09T17:27:13+0200,2022-04-09T17:27:06+0200,2022-04-09T17:26:53+0200,2022-04-09T17:26:55+0200,2022-04-09T17:27:00+0200,2022-04-09T17:27:11+0200,2022-04-09T17:27:19+0200,2022-04-09T17:26:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:15:43+0200,2022-04-09T19:16:30+0200,3,3,3,3,3,3,4,2,4,5,5,2,5
,,2022-04-09T19:15:46+0200,2022-04-09T19:16:07+0200,2022-04-09T19:16:18+0200,2022-04-09T19:16:22+0200,2022-04-09T19:16:11+0200,2022-04-09T19:16:14+0200,2022-04-09T19:16:16+0200,2022-04-09T19:15:55+0200,2022-04-09T19:16:26+0200,2022-04-09T19:15:58+0200,2022-04-09T19:16:03+0200,2022-04-09T19:15:51+0200,2022-04-09T19:15:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:11:19+0200,2022-04-09T21:12:13+0200,3,3,3,3,2,3,5,3,4,4,4,2,5
,,2022-04-09T21:11:23+0200,2022-04-09T21:11:57+0200,2022-04-09T21:11:36+0200,2022-04-09T21:11:27+0200,2022-04-09T21:11:55+0200,2022-04-09T21:12:00+0200,2022-04-09T21:11:43+0200,2022-04-09T21:11:30+0200,2022-04-09T21:11:46+0200,2022-04-09T21:11:33+0200,2022-04-09T21:11:51+0200,2022-04-09T21:12:08+0200,2022-04-09T21:11:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:14:59+0200,2022-04-16T10:15:49+0200,3,3,3,3,3,2,4,4,4,5,4,3,5
,,2022-04-16T10:15:03+0200,2022-04-16T10:15:25+0200,2022-04-16T10:15:45+0200,2022-04-16T10:15:30+0200,2022-04-16T10:15:09+0200,2022-04-16T10:15:43+0200,2022-04-16T10:15:28+0200,2022-04-16T10:15:20+0200,2022-04-16T10:15:15+0200,2022-04-16T10:15:12+0200,2022-04-16T10:15:40+0200,2022-04-16T10:15:23+0200,2022-04-16T10:15:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:20:31+0200,2022-04-16T15:21:24+0200,4,3,3,3,3,2,4,4,4,4,4,2,4
,,2022-04-16T15:20:36+0200,2022-04-16T15:21:10+0200,2022-04-16T15:21:12+0200,2022-04-16T15:20:41+0200,2022-04-16T15:21:13+0200,2022-04-16T15:21:17+0200,2022-04-16T15:20:50+0200,2022-04-16T15:20:57+0200,2022-04-16T15:20:53+0200,2022-04-16T15:21:20+0200,2022-04-16T15:21:02+0200,2022-04-16T15:20:59+0200,2022-04-16T15:20:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:28:09+0200,2022-04-16T17:28:54+0200,4,3,2,3,3,3,4,3,4,5,4,2,5
,,2022-04-16T17:28:12+0200,2022-04-16T17:28:42+0200,2022-04-16T17:28:47+0200,2022-04-16T17:28:31+0200,2022-04-16T17:28:41+0200,2022-04-16T17:28:29+0200,2022-04-16T17:28:50+0200,2022-04-16T17:28:24+0200,2022-04-16T17:28:39+0200,2022-04-16T17:28:34+0200,2022-04-16T17:28:20+0200,2022-04-16T17:28:16+0200,2022-04-16T17:28:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:27:39+0200,2022-04-16T19:28:56+0200,4,3,2,3,3,2,4,3,4,5,4,3,4
,,2022-04-16T19:27:42+0200,2022-04-16T19:28:46+0200,2022-04-16T19:28:42+0200,2022-04-16T19:28:06+0200,2022-04-16T19:28:44+0200,2022-04-16T19:28:28+0200,2022-04-16T19:28:34+0200,2022-04-16T19:28:52+0200,2022-04-16T19:27:50+0200,2022-04-16T19:28:40+0200,2022-04-16T19:28:11+0200,2022-04-16T19:28:48+0200,2022-04-16T19:28:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:29:59+0200,2022-04-16T21:30:35+0200,4,3,3,3,3,3,4,3,3,4,4,2,4
,,2022-04-16T21:30:01+0200,2022-04-16T21:30:17+0200,2022-04-16T21:30:20+0200,2022-04-16T21:30:03+0200,2022-04-16T21:30:16+0200,2022-04-16T21:30:08+0200,2022-04-16T21:30:24+0200,2022-04-16T21:30:14+0200,2022-04-16T21:30:29+0200,2022-04-16T21:30:10+0200,2022-04-16T21:30:27+0200,2022-04-16T21:30:06+0200,2022-04-16T21:30:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:09:41+0200,2022-04-23T10:10:23+0200,3,3,3,2,2,3,4,3,3,4,4,2,4
,,2022-04-23T10:09:43+0200,2022-04-23T10:10:15+0200,2022-04-23T10:10:10+0200,2022-04-23T10:10:02+0200,2022-04-23T10:09:46+0200,2022-04-23T10:10:19+0200,2022-04-23T10:10:00+0200,2022-04-23T10:10:13+0200,2022-04-23T10:09:54+0200,2022-04-23T10:09:49+0200,2022-04-23T10:10:07+0200,2022-04-23T10:09:57+0200,2022-04-23T10:10:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:00:57+0200,2022-04-23T15:01:54+0200,3,3,3,3,3,2,4,4,3,5,4,2,4
,,2022-04-23T15:01:00+0200,2022-04-23T15:01:08+0200,2022-04-23T15:01:05+0200,2022-04-23T15:01:11+0200,2022-04-23T15:01:34+0200,2022-04-23T15:01:32+0200,2022-04-23T15:01:28+0200,2022-04-23T15:01:43+0200,2022-04-23T15:01:25+0200,2022-04-23T15:01:49+0200,2022-04-23T15:01:20+0200,2022-04-23T15:01:16+0200,2022-04-23T15:01:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:24:22+0200,2022-04-23T17:25:15+0200,4,3,3,3,3,3,4,4,3,5,4,2,4
,,2022-04-23T17:24:24+0200,2022-04-23T17:24:34+0200,2022-04-23T17:25:11+0200,2022-04-23T17:24:27+0200,2022-04-23T17:24:45+0200,2022-04-23T17:24:30+0200,2022-04-23T17:25:07+0200,2022-04-23T17:24:48+0200,2022-04-23T17:24:43+0200,2022-04-23T17:24:50+0200,2022-04-23T17:24:32+0200,2022-04-23T17:24:57+0200,2022-04-23T17:25:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:25:24+0200,2022-04-23T19:26:20+0200,3,3,4,3,3,2,4,4,4,5,4,2,4
,,2022-04-23T19:25:26+0200,2022-04-23T19:26:02+0200,2022-04-23T19:25:49+0200,2022-04-23T19:25:41+0200,2022-04-23T19:25:51+0200,2022-04-23T19:25:57+0200,2022-04-23T19:26:00+0200,2022-04-23T19:25:55+0200,2022-04-23T19:26:12+0200,2022-04-23T19:26:06+0200,2022-04-23T19:26:04+0200,2022-04-23T19:25:34+0200,2022-04-23T19:26:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:17:15+0200,2022-04-23T21:18:00+0200,4,4,3,3,3,2,4,4,4,4,4,2,4
,,2022-04-23T21:17:18+0200,2022-04-23T21:17:41+0200,2022-04-23T21:17:52+0200,2022-04-23T21:17:22+0200,2022-04-23T21:17:39+0200,2022-04-23T21:17:25+0200,2022-04-23T21:17:45+0200,2022-04-23T21:17:29+0200,2022-04-23T21:17:54+0200,2022-04-23T21:17:27+0200,2022-04-23T21:17:20+0200,2022-04-23T21:17:33+0200,2022-04-23T21:17:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:14:33+0200,2022-04-30T10:15:19+0200,3,3,3,3,3,2,4,3,3,4,4,2,4
,,2022-04-30T10:14:36+0200,2022-04-30T10:14:54+0200,2022-04-30T10:14:44+0200,2022-04-30T10:15:12+0200,2022-04-30T10:15:06+0200,2022-04-30T10:15:15+0200,2022-04-30T10:15:03+0200,2022-04-30T10:14:48+0200,2022-04-30T10:15:10+0200,2022-04-30T10:14:56+0200,2022-04-30T10:15:01+0200,2022-04-30T10:14:51+0200,2022-04-30T10:14:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:29:59+0200,2022-04-30T15:30:40+0200,4,3,2,3,3,2,4,3,3,5,4,2,5
,,2022-04-30T15:30:01+0200,2022-04-30T15:30:12+0200,2022-04-30T15:30:29+0200,2022-04-30T15:30:04+0200,2022-04-30T15:30:36+0200,2022-04-30T15:30:24+0200,2022-04-30T15:30:15+0200,2022-04-30T15:30:07+0200,2022-04-30T15:30:33+0200,2022-04-30T15:30:26+0200,2022-04-30T15:30:17+0200,2022-04-30T15:30:19+0200,2022-04-30T15:30:10+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:12:53+0200,2022-04-30T17:13:40+0200,3,3,3,3,3,3,4,3,3,4,4,2,5
,,2022-04-30T17:12:57+0200,2022-04-30T17:13:28+0200,2022-04-30T17:13:25+0200,2022-04-30T17:13:15+0200,2022-04-30T17:13:37+0200,2022-04-30T17:13:09+0200,2022-04-30T17:13:22+0200,2022-04-30T17:13:35+0200,2022-04-30T17:13:03+0200,2022-04-30T17:13:18+0200,2022-04-30T17:13:11+0200,2022-04-30T17:13:05+0200,2022-04-30T17:13:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:20:26+0200,2022-04-30T19:21:20+0200,4,3,3,3,3,2,4,4,4,5,4,2,4
,,2022-04-30T19:20:29+0200,2022-04-30T19:21:04+0200,2022-04-30T19:21:16+0200,2022-04-30T19:20:51+0200,2022-04-30T19:20:54+0200,2022-04-30T19:21:09+0200,2022-04-30T19:20:34+0200,2022-04-30T19:21:02+0200,2022-04-30T19:20:46+0200,2022-04-30T19:21:07+0200,2022-04-30T19:21:12+0200,2022-04-30T19:20:59+0200,2022-04-30T19:21:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:04:44+0200,2022-04-30T21:05:28+0200,3,3,3,3,3,2,4,4,4,5,4,2,4
,,2022-04-30T21:04:47+0200,2022-04-30T21:05:07+0200,2022-04-30T21:05:22+0200,2022-04-30T21:04:59+0200,2022-04-30T21:04:51+0200,2022-04-30T21:04:55+0200,2022-04-30T21:04:57+0200,2022-04-30T21:04:49+0200,2022-04-30T21:05:25+0200,2022-04-30T21:05:04+0200,2022-04-30T21:04:53+0200,2022-04-30T21:05:06+0200,2022-04-30T21:05:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:16:44+0200,2022-05-07T10:17:21+0200,3,3,3,3,3,2,4,3,4,5,4,2,4
,,2022-05-07T10:16:46+0200,2022-05-07T10:17:10+0200,2022-05-07T10:17:18+0200,2022-05-07T10:16:52+0200,2022-05-07T10:16:54+0200,2022-05-07T10:16:50+0200,2022-05-07T10:17:06+0200,2022-05-07T10:17:13+0200,2022-05-07T10:17:04+0200,2022-05-07T10:17:16+0200,2022-05-07T10:17:01+0200,2022-05-07T10:17:08+0200,2022-05-07T10:16:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:24:53+0200,2022-05-07T15:25:34+0200,3,3,3,3,3,2,4,4,3,5,4,2,4
