Survey Name,"compassion",Install Id,"0DAD0DCC-F993-4595-9470-F60215451F0C"
Survey Author,"Ilaria Colpizzi"
Subject ID,"cl_pa_2002_08_019_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:30:41+0200,2022-04-02T10:33:40+0200,5,1,1,5,5,6,4,6,1,4,5,5,5
,,2022-04-02T10:30:59+0200,2022-04-02T10:31:17+0200,2022-04-02T10:31:21+0200,2022-04-02T10:33:08+0200,2022-04-02T10:33:20+0200,2022-04-02T10:31:11+0200,2022-04-02T10:32:38+0200,2022-04-02T10:31:34+0200,2022-04-02T10:33:16+0200,2022-04-02T10:32:06+0200,2022-04-02T10:32:50+0200,2022-04-02T10:32:58+0200,2022-04-02T10:33:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:18:04+0200,2022-04-02T15:18:57+0200,5,2,1,4,5,6,4,6,2,4,5,5,4
,,2022-04-02T15:18:12+0200,2022-04-02T15:18:40+0200,2022-04-02T15:18:43+0200,2022-04-02T15:18:48+0200,2022-04-02T15:18:55+0200,2022-04-02T15:18:28+0200,2022-04-02T15:18:33+0200,2022-04-02T15:18:17+0200,2022-04-02T15:18:53+0200,2022-04-02T15:18:25+0200,2022-04-02T15:18:23+0200,2022-04-02T15:18:36+0200,2022-04-02T15:18:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:28:31+0200,2022-04-02T17:29:27+0200,2,4,4,4,3,5,4,6,2,4,4,5,5
,,2022-04-02T17:28:37+0200,2022-04-02T17:29:18+0200,2022-04-02T17:29:23+0200,2022-04-02T17:29:03+0200,2022-04-02T17:29:25+0200,2022-04-02T17:28:45+0200,2022-04-02T17:28:59+0200,2022-04-02T17:28:49+0200,2022-04-02T17:29:16+0200,2022-04-02T17:29:10+0200,2022-04-02T17:29:07+0200,2022-04-02T17:28:40+0200,2022-04-02T17:28:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:17:46+0200,2022-04-02T19:18:37+0200,4,4,2,4,4,6,3,6,2,4,4,4,5
,,2022-04-02T19:17:52+0200,2022-04-02T19:18:27+0200,2022-04-02T19:18:35+0200,2022-04-02T19:18:15+0200,2022-04-02T19:18:30+0200,2022-04-02T19:17:58+0200,2022-04-02T19:18:24+0200,2022-04-02T19:18:08+0200,2022-04-02T19:18:13+0200,2022-04-02T19:18:18+0200,2022-04-02T19:17:55+0200,2022-04-02T19:18:04+0200,2022-04-02T19:18:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:22:27+0200,2022-04-02T21:23:16+0200,4,3,2,3,4,6,3,6,2,3,4,4,4
,,2022-04-02T21:22:33+0200,2022-04-02T21:22:41+0200,2022-04-02T21:22:48+0200,2022-04-02T21:23:10+0200,2022-04-02T21:22:58+0200,2022-04-02T21:23:01+0200,2022-04-02T21:22:37+0200,2022-04-02T21:22:55+0200,2022-04-02T21:22:45+0200,2022-04-02T21:23:07+0200,2022-04-02T21:23:14+0200,2022-04-02T21:22:51+0200,2022-04-02T21:23:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:10:32+0200,2022-04-09T15:11:19+0200,4,4,3,4,4,4,4,6,3,4,4,4,4
,,2022-04-09T15:10:34+0200,2022-04-09T15:11:13+0200,2022-04-09T15:10:52+0200,2022-04-09T15:10:50+0200,2022-04-09T15:10:47+0200,2022-04-09T15:11:04+0200,2022-04-09T15:11:11+0200,2022-04-09T15:10:41+0200,2022-04-09T15:10:44+0200,2022-04-09T15:10:56+0200,2022-04-09T15:11:01+0200,2022-04-09T15:11:16+0200,2022-04-09T15:10:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:04:36+0200,2022-04-09T17:05:17+0200,4,2,2,3,3,5,3,5,2,3,4,4,4
,,2022-04-09T17:04:41+0200,2022-04-09T17:04:51+0200,2022-04-09T17:05:15+0200,2022-04-09T17:05:10+0200,2022-04-09T17:05:08+0200,2022-04-09T17:05:02+0200,2022-04-09T17:05:12+0200,2022-04-09T17:05:06+0200,2022-04-09T17:04:54+0200,2022-04-09T17:04:59+0200,2022-04-09T17:04:45+0200,2022-04-09T17:04:57+0200,2022-04-09T17:04:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:11:08+0200,2022-04-09T19:11:47+0200,4,3,3,3,4,4,3,6,4,4,4,3,3
,,2022-04-09T19:11:11+0200,2022-04-09T19:11:17+0200,2022-04-09T19:11:34+0200,2022-04-09T19:11:28+0200,2022-04-09T19:11:26+0200,2022-04-09T19:11:19+0200,2022-04-09T19:11:45+0200,2022-04-09T19:11:14+0200,2022-04-09T19:11:22+0200,2022-04-09T19:11:37+0200,2022-04-09T19:11:42+0200,2022-04-09T19:11:39+0200,2022-04-09T19:11:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:02:19+0200,2022-04-09T21:03:05+0200,3,4,3,3,3,4,3,6,4,4,4,4,4
,,2022-04-09T21:02:21+0200,2022-04-09T21:02:26+0200,2022-04-09T21:02:34+0200,2022-04-09T21:02:23+0200,2022-04-09T21:02:44+0200,2022-04-09T21:03:04+0200,2022-04-09T21:02:28+0200,2022-04-09T21:02:39+0200,2022-04-09T21:02:36+0200,2022-04-09T21:03:01+0200,2022-04-09T21:02:42+0200,2022-04-09T21:02:48+0200,2022-04-09T21:02:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:44:41+0200,2022-04-16T10:45:41+0200,5,1,1,5,5,6,4,5,2,4,4,4,5
,,2022-04-16T10:44:44+0200,2022-04-16T10:45:06+0200,2022-04-16T10:44:58+0200,2022-04-16T10:45:21+0200,2022-04-16T10:45:15+0200,2022-04-16T10:45:08+0200,2022-04-16T10:45:03+0200,2022-04-16T10:45:37+0200,2022-04-16T10:45:12+0200,2022-04-16T10:45:33+0200,2022-04-16T10:45:18+0200,2022-04-16T10:45:27+0200,2022-04-16T10:44:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T16:00:11+0200,2022-04-16T16:00:45+0200,4,2,2,5,4,5,3,5,3,4,4,4,4
