Survey Name,"compassion",Install Id,"47EE11CC-29F8-489C-82FB-B3C04C6A94F8"
Survey Author,"Ilaria Colpizzi"
Subject ID,"cl_ro_1999_09_14_930_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:21:03+0200,2022-04-16T10:22:07+0200,4,2,2,2,3,3,3,5,6,4,4,3,3
,,2022-04-16T10:21:09+0200,2022-04-16T10:21:54+0200,2022-04-16T10:21:51+0200,2022-04-16T10:21:31+0200,2022-04-16T10:21:58+0200,2022-04-16T10:21:23+0200,2022-04-16T10:21:34+0200,2022-04-16T10:22:05+0200,2022-04-16T10:21:16+0200,2022-04-16T10:21:19+0200,2022-04-16T10:21:38+0200,2022-04-16T10:21:48+0200,2022-04-16T10:21:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:23:24+0200,2022-04-16T15:24:21+0200,4,4,3,2,2,3,4,4,5,4,5,3,3
,,2022-04-16T15:23:29+0200,2022-04-16T15:23:51+0200,2022-04-16T15:23:44+0200,2022-04-16T15:24:08+0200,2022-04-16T15:23:57+0200,2022-04-16T15:23:54+0200,2022-04-16T15:24:19+0200,2022-04-16T15:24:01+0200,2022-04-16T15:23:34+0200,2022-04-16T15:23:46+0200,2022-04-16T15:23:39+0200,2022-04-16T15:24:06+0200,2022-04-16T15:24:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:05:34+0200,2022-04-16T17:06:16+0200,4,3,3,2,3,3,3,4,6,4,4,3,4
,,2022-04-16T17:05:37+0200,2022-04-16T17:05:40+0200,2022-04-16T17:05:58+0200,2022-04-16T17:05:45+0200,2022-04-16T17:05:49+0200,2022-04-16T17:05:52+0200,2022-04-16T17:06:09+0200,2022-04-16T17:05:42+0200,2022-04-16T17:05:56+0200,2022-04-16T17:06:01+0200,2022-04-16T17:06:05+0200,2022-04-16T17:06:12+0200,2022-04-16T17:05:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:17:58+0200,2022-04-16T19:18:54+0200,4,3,4,2,2,3,3,4,6,4,4,3,3
,,2022-04-16T19:18:00+0200,2022-04-16T19:18:48+0200,2022-04-16T19:18:16+0200,2022-04-16T19:18:21+0200,2022-04-16T19:18:26+0200,2022-04-16T19:18:40+0200,2022-04-16T19:18:30+0200,2022-04-16T19:18:36+0200,2022-04-16T19:18:04+0200,2022-04-16T19:18:12+0200,2022-04-16T19:18:08+0200,2022-04-16T19:18:45+0200,2022-04-16T19:18:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:24:39+0200,2022-04-16T21:27:53+0200,2,1,2,2,4,4,2,4,6,4,5,3,3
,,2022-04-16T21:24:54+0200,2022-04-16T21:27:42+0200,2022-04-16T21:27:11+0200,2022-04-16T21:26:42+0200,2022-04-16T21:26:37+0200,2022-04-16T21:27:07+0200,2022-04-16T21:27:31+0200,2022-04-16T21:25:01+0200,2022-04-16T21:27:02+0200,2022-04-16T21:26:29+0200,2022-04-16T21:25:21+0200,2022-04-16T21:27:25+0200,2022-04-16T21:27:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:40:11+0200,2022-04-23T10:41:34+0200,4,2,1,2,4,3,2,5,6,5,5,3,2
,,2022-04-23T10:40:20+0200,2022-04-23T10:41:11+0200,2022-04-23T10:41:25+0200,2022-04-23T10:40:58+0200,2022-04-23T10:40:51+0200,2022-04-23T10:41:05+0200,2022-04-23T10:41:31+0200,2022-04-23T10:40:33+0200,2022-04-23T10:40:45+0200,2022-04-23T10:40:36+0200,2022-04-23T10:40:27+0200,2022-04-23T10:40:41+0200,2022-04-23T10:41:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:25:07+0200,2022-04-23T15:25:35+0200,4,3,2,3,2,3,4,3,6,4,3,3,3
,,2022-04-23T15:25:09+0200,2022-04-23T15:25:15+0200,2022-04-23T15:25:18+0200,2022-04-23T15:25:30+0200,2022-04-23T15:25:31+0200,2022-04-23T15:25:21+0200,2022-04-23T15:25:13+0200,2022-04-23T15:25:16+0200,2022-04-23T15:25:23+0200,2022-04-23T15:25:26+0200,2022-04-23T15:25:12+0200,2022-04-23T15:25:28+0200,2022-04-23T15:25:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:25:45+0200,2022-04-23T17:26:28+0200,3,3,2,3,3,3,3,4,6,4,5,3,3
,,2022-04-23T17:25:48+0200,2022-04-23T17:26:05+0200,2022-04-23T17:26:13+0200,2022-04-23T17:26:03+0200,2022-04-23T17:26:25+0200,2022-04-23T17:25:57+0200,2022-04-23T17:25:55+0200,2022-04-23T17:26:01+0200,2022-04-23T17:26:17+0200,2022-04-23T17:25:51+0200,2022-04-23T17:26:23+0200,2022-04-23T17:26:08+0200,2022-04-23T17:26:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:24:13+0200,2022-04-23T19:24:47+0200,3,3,3,2,2,3,3,4,5,3,4,3,4
,,2022-04-23T19:24:15+0200,2022-04-23T19:24:18+0200,2022-04-23T19:24:37+0200,2022-04-23T19:24:31+0200,2022-04-23T19:24:43+0200,2022-04-23T19:24:23+0200,2022-04-23T19:24:46+0200,2022-04-23T19:24:35+0200,2022-04-23T19:24:41+0200,2022-04-23T19:24:26+0200,2022-04-23T19:24:29+0200,2022-04-23T19:24:39+0200,2022-04-23T19:24:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:22:06+0200,2022-04-23T21:22:49+0200,3,3,3,2,3,3,4,5,6,4,3,3,3
,,2022-04-23T21:22:09+0200,2022-04-23T21:22:22+0200,2022-04-23T21:22:30+0200,2022-04-23T21:22:47+0200,2022-04-23T21:22:17+0200,2022-04-23T21:22:27+0200,2022-04-23T21:22:12+0200,2022-04-23T21:22:39+0200,2022-04-23T21:22:44+0200,2022-04-23T21:22:19+0200,2022-04-23T21:22:15+0200,2022-04-23T21:22:35+0200,2022-04-23T21:22:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:16:58+0200,2022-04-30T10:17:43+0200,4,3,3,3,3,4,3,3,4,4,4,4,3
,,2022-04-30T10:17:04+0200,2022-04-30T10:17:30+0200,2022-04-30T10:17:15+0200,2022-04-30T10:17:19+0200,2022-04-30T10:17:16+0200,2022-04-30T10:17:25+0200,2022-04-30T10:17:28+0200,2022-04-30T10:17:37+0200,2022-04-30T10:17:34+0200,2022-04-30T10:17:42+0200,2022-04-30T10:17:08+0200,2022-04-30T10:17:13+0200,2022-04-30T10:17:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:18:05+0200,2022-04-30T15:20:03+0200,4,4,2,3,4,3,2,5,5,4,5,3,3
,,2022-04-30T15:18:08+0200,2022-04-30T15:18:57+0200,2022-04-30T15:19:42+0200,2022-04-30T15:19:57+0200,2022-04-30T15:19:40+0200,2022-04-30T15:19:08+0200,2022-04-30T15:19:51+0200,2022-04-30T15:18:25+0200,2022-04-30T15:18:49+0200,2022-04-30T15:19:32+0200,2022-04-30T15:20:02+0200,2022-04-30T15:19:35+0200,2022-04-30T15:18:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:29:10+0200,2022-04-30T17:30:04+0200,3,3,3,2,3,3,4,5,3,4,4,4,3
,,2022-04-30T17:29:17+0200,2022-04-30T17:29:19+0200,2022-04-30T17:29:57+0200,2022-04-30T17:29:51+0200,2022-04-30T17:29:22+0200,2022-04-30T17:30:01+0200,2022-04-30T17:29:49+0200,2022-04-30T17:29:26+0200,2022-04-30T17:29:53+0200,2022-04-30T17:29:21+0200,2022-04-30T17:29:41+0200,2022-04-30T17:29:59+0200,2022-04-30T17:29:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:28:37+0200,2022-04-30T19:29:12+0200,3,4,3,3,3,3,4,5,6,4,4,4,3
,,2022-04-30T19:28:39+0200,2022-04-30T19:29:04+0200,2022-04-30T19:29:08+0200,2022-04-30T19:28:56+0200,2022-04-30T19:29:07+0200,2022-04-30T19:28:41+0200,2022-04-30T19:29:01+0200,2022-04-30T19:28:59+0200,2022-04-30T19:28:54+0200,2022-04-30T19:28:50+0200,2022-04-30T19:28:45+0200,2022-04-30T19:29:11+0200,2022-04-30T19:28:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:06:34+0200,2022-04-30T21:06:59+0200,3,3,3,2,2,4,4,4,6,4,5,4,4
,,2022-04-30T21:06:36+0200,2022-04-30T21:06:42+0200,2022-04-30T21:06:40+0200,2022-04-30T21:06:57+0200,2022-04-30T21:06:50+0200,2022-04-30T21:06:56+0200,2022-04-30T21:06:39+0200,2022-04-30T21:06:43+0200,2022-04-30T21:06:54+0200,2022-04-30T21:06:52+0200,2022-04-30T21:06:48+0200,2022-04-30T21:06:44+0200,2022-04-30T21:06:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:18:21+0200,2022-05-07T10:19:09+0200,4,5,4,2,2,2,5,4,6,2,4,3,3
,,2022-05-07T10:18:23+0200,2022-05-07T10:18:40+0200,2022-05-07T10:18:46+0200,2022-05-07T10:18:44+0200,2022-05-07T10:18:54+0200,2022-05-07T10:18:30+0200,2022-05-07T10:19:08+0200,2022-05-07T10:19:03+0200,2022-05-07T10:18:57+0200,2022-05-07T10:18:33+0200,2022-05-07T10:18:37+0200,2022-05-07T10:18:27+0200,2022-05-07T10:18:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:03:47+0200,2022-05-07T15:04:22+0200,3,5,5,1,2,2,4,4,6,4,4,2,5
,,2022-05-07T15:03:49+0200,2022-05-07T15:04:19+0200,2022-05-07T15:04:21+0200,2022-05-07T15:04:04+0200,2022-05-07T15:03:58+0200,2022-05-07T15:04:11+0200,2022-05-07T15:03:55+0200,2022-05-07T15:04:01+0200,2022-05-07T15:04:09+0200,2022-05-07T15:03:54+0200,2022-05-07T15:04:12+0200,2022-05-07T15:04:16+0200,2022-05-07T15:04:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T17:11:59+0200,2022-05-07T17:12:38+0200,2,4,4,1,3,2,6,4,6,5,2,3,5
,,2022-05-07T17:12:01+0200,2022-05-07T17:12:13+0200,2022-05-07T17:12:06+0200,2022-05-07T17:12:31+0200,2022-05-07T17:12:14+0200,2022-05-07T17:12:22+0200,2022-05-07T17:12:28+0200,2022-05-07T17:12:33+0200,2022-05-07T17:12:04+0200,2022-05-07T17:12:37+0200,2022-05-07T17:12:19+0200,2022-05-07T17:12:25+0200,2022-05-07T17:12:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T19:27:59+0200,2022-05-07T19:28:51+0200,3,4,4,2,2,2,5,4,6,4,4,3,4
,,2022-05-07T19:28:02+0200,2022-05-07T19:28:08+0200,2022-05-07T19:28:36+0200,2022-05-07T19:28:05+0200,2022-05-07T19:28:10+0200,2022-05-07T19:28:19+0200,2022-05-07T19:28:21+0200,2022-05-07T19:28:42+0200,2022-05-07T19:28:31+0200,2022-05-07T19:28:14+0200,2022-05-07T19:28:27+0200,2022-05-07T19:28:50+0200,2022-05-07T19:28:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T21:14:02+0200,2022-05-07T21:14:31+0200,3,5,4,1,2,3,4,4,6,5,3,2,4
,,2022-05-07T21:14:04+0200,2022-05-07T21:14:24+0200,2022-05-07T21:14:19+0200,2022-05-07T21:14:15+0200,2022-05-07T21:14:13+0200,2022-05-07T21:14:17+0200,2022-05-07T21:14:30+0200,2022-05-07T21:14:23+0200,2022-05-07T21:14:26+0200,2022-05-07T21:14:21+0200,2022-05-07T21:14:09+0200,2022-05-07T21:14:12+0200,2022-05-07T21:14:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T10:02:31+0200,2022-05-14T10:03:19+0200,4,3,4,2,3,3,6,4,6,4,4,3,4
,,2022-05-14T10:02:33+0200,2022-05-14T10:02:39+0200,2022-05-14T10:03:06+0200,2022-05-14T10:02:36+0200,2022-05-14T10:03:03+0200,2022-05-14T10:03:02+0200,2022-05-14T10:03:08+0200,2022-05-14T10:02:45+0200,2022-05-14T10:03:18+0200,2022-05-14T10:02:48+0200,2022-05-14T10:02:56+0200,2022-05-14T10:03:15+0200,2022-05-14T10:03:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T15:20:27+0200,2022-05-14T15:21:04+0200,3,5,4,2,2,3,5,4,6,5,3,2,5
,,2022-05-14T15:20:28+0200,2022-05-14T15:21:02+0200,2022-05-14T15:20:43+0200,2022-05-14T15:20:45+0200,2022-05-14T15:20:41+0200,2022-05-14T15:20:39+0200,2022-05-14T15:20:31+0200,2022-05-14T15:20:33+0200,2022-05-14T15:20:54+0200,2022-05-14T15:20:57+0200,2022-05-14T15:20:37+0200,2022-05-14T15:20:49+0200,2022-05-14T15:21:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T17:21:19+0200,2022-05-14T17:23:53+0200,4,4,4,2,4,3,4,4,5,5,4,3,4
,,2022-05-14T17:21:32+0200,2022-05-14T17:23:14+0200,2022-05-14T17:21:40+0200,2022-05-14T17:23:41+0200,2022-05-14T17:23:35+0200,2022-05-14T17:23:33+0200,2022-05-14T17:21:35+0200,2022-05-14T17:22:49+0200,2022-05-14T17:23:20+0200,2022-05-14T17:22:28+0200,2022-05-14T17:23:50+0200,2022-05-14T17:23:38+0200,2022-05-14T17:23:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T19:02:18+0200,2022-05-14T19:02:50+0200,3,4,4,2,2,3,5,4,4,4,3,3,5
,,2022-05-14T19:02:20+0200,2022-05-14T19:02:42+0200,2022-05-14T19:02:28+0200,2022-05-14T19:02:41+0200,2022-05-14T19:02:33+0200,2022-05-14T19:02:30+0200,2022-05-14T19:02:45+0200,2022-05-14T19:02:26+0200,2022-05-14T19:02:38+0200,2022-05-14T19:02:36+0200,2022-05-14T19:02:23+0200,2022-05-14T19:02:32+0200,2022-05-14T19:02:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T21:08:07+0200,2022-05-14T21:09:45+0200,3,4,3,1,2,3,5,4,6,4,2,3,5
,,2022-05-14T21:08:09+0200,2022-05-14T21:09:09+0200,2022-05-14T21:08:41+0200,2022-05-14T21:09:36+0200,2022-05-14T21:09:32+0200,2022-05-14T21:08:31+0200,2022-05-14T21:09:18+0200,2022-05-14T21:08:48+0200,2022-05-14T21:09:05+0200,2022-05-14T21:09:21+0200,2022-05-14T21:08:59+0200,2022-05-14T21:09:42+0200,2022-05-14T21:09:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T10:23:41+0200,2022-05-21T10:24:24+0200,4,3,2,3,3,3,3,4,6,4,4,3,4
,,2022-05-21T10:23:45+0200,2022-05-21T10:24:04+0200,2022-05-21T10:24:20+0200,2022-05-21T10:23:49+0200,2022-05-21T10:23:52+0200,2022-05-21T10:24:00+0200,2022-05-21T10:23:58+0200,2022-05-21T10:24:11+0200,2022-05-21T10:24:17+0200,2022-05-21T10:24:23+0200,2022-05-21T10:24:07+0200,2022-05-21T10:24:03+0200,2022-05-21T10:23:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T15:16:49+0200,2022-05-21T17:21:53+0200,3,,3,3,,3,4,,6,,3,,
,,2022-05-21T15:16:52+0200,,2022-05-21T15:17:09+0200,2022-05-21T15:16:59+0200,,2022-05-21T15:17:04+0200,2022-05-21T15:17:01+0200,,2022-05-21T15:16:56+0200,,2022-05-21T15:17:17+0200,,
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T17:21:53+0200,2022-05-21T17:22:24+0200,2,4,4,2,2,2,4,4,5,4,2,3,4
,,2022-05-21T17:21:56+0200,2022-05-21T17:22:20+0200,2022-05-21T17:22:08+0200,2022-05-21T17:22:02+0200,2022-05-21T17:21:58+0200,2022-05-21T17:22:18+0200,2022-05-21T17:22:17+0200,2022-05-21T17:22:11+0200,2022-05-21T17:22:23+0200,2022-05-21T17:22:14+0200,2022-05-21T17:22:00+0200,2022-05-21T17:22:04+0200,2022-05-21T17:22:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T19:06:23+0200,2022-05-21T19:06:59+0200,2,4,3,2,1,2,4,5,6,4,3,2,4
,,2022-05-21T19:06:26+0200,2022-05-21T19:06:33+0200,2022-05-21T19:06:58+0200,2022-05-21T19:06:44+0200,2022-05-21T19:06:54+0200,2022-05-21T19:06:31+0200,2022-05-21T19:06:48+0200,2022-05-21T19:06:41+0200,2022-05-21T19:06:52+0200,2022-05-21T19:06:29+0200,2022-05-21T19:06:39+0200,2022-05-21T19:06:35+0200,2022-05-21T19:06:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T21:12:46+0200,2022-05-21T21:13:49+0200,4,3,2,2,3,3,4,5,5,4,4,3,4
,,2022-05-21T21:12:47+0200,2022-05-21T21:13:35+0200,2022-05-21T21:13:48+0200,2022-05-21T21:13:37+0200,2022-05-21T21:13:46+0200,2022-05-21T21:13:30+0200,2022-05-21T21:12:56+0200,2022-05-21T21:12:53+0200,2022-05-21T21:12:50+0200,2022-05-21T21:13:28+0200,2022-05-21T21:13:01+0200,2022-05-21T21:13:33+0200,2022-05-21T21:13:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-28T10:38:11+0200,2022-05-28T10:39:39+0200,4,3,2,4,4,4,4,5,4,3,4,4,5
