Survey Name,"compassion",Install Id,"281FAE62-68B8-44B8-9485-1C33F6064D2C"
Survey Author,"Ilaria Colpizzi"
Subject ID,"co_gu_2000_07_25_832_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:35:39+0200,2022-04-09T10:36:41+0200,2,3,4,2,2,2,4,4,6,2,4,4,4
,,2022-04-09T10:35:48+0200,2022-04-09T10:36:18+0200,2022-04-09T10:36:06+0200,2022-04-09T10:35:59+0200,2022-04-09T10:36:27+0200,2022-04-09T10:36:35+0200,2022-04-09T10:36:31+0200,2022-04-09T10:35:55+0200,2022-04-09T10:36:03+0200,2022-04-09T10:36:21+0200,2022-04-09T10:36:11+0200,2022-04-09T10:36:39+0200,2022-04-09T10:36:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:12:43+0200,2022-04-09T15:13:38+0200,3,4,5,2,1,2,2,4,4,3,3,3,3
,,2022-04-09T15:12:49+0200,2022-04-09T15:13:19+0200,2022-04-09T15:13:24+0200,2022-04-09T15:12:53+0200,2022-04-09T15:13:21+0200,2022-04-09T15:13:33+0200,2022-04-09T15:13:15+0200,2022-04-09T15:13:11+0200,2022-04-09T15:13:05+0200,2022-04-09T15:13:36+0200,2022-04-09T15:13:28+0200,2022-04-09T15:13:02+0200,2022-04-09T15:12:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:14:33+0200,2022-04-09T17:15:53+0200,4,2,2,2,3,1,5,4,1,3,5,4,3
,,2022-04-09T17:14:38+0200,2022-04-09T17:15:05+0200,2022-04-09T17:14:55+0200,2022-04-09T17:15:09+0200,2022-04-09T17:14:44+0200,2022-04-09T17:15:15+0200,2022-04-09T17:15:37+0200,2022-04-09T17:14:52+0200,2022-04-09T17:15:22+0200,2022-04-09T17:15:30+0200,2022-04-09T17:15:47+0200,2022-04-09T17:15:52+0200,2022-04-09T17:15:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:16:12+0200,2022-04-09T19:17:04+0200,2,3,3,2,3,4,4,4,5,5,4,3,4
