Survey Name,"compassion",Install Id,"57216d93-422b-4a62-8c80-832c90409a3d"
Author,"Ilaria Colpizzi"
Subject ID,"da_bo_1972_02_17_476_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:11:58+0200,2022-04-02T10:14:10+0200,3,2,2,4,4,3,2,5,4,3,5,4,4
,,2022-04-02T10:12:18+0200,2022-04-02T10:13:17+0200,2022-04-02T10:14:05+0200,2022-04-02T10:13:28+0200,2022-04-02T10:13:47+0200,2022-04-02T10:12:34+0200,2022-04-02T10:13:36+0200,2022-04-02T10:14:02+0200,2022-04-02T10:13:03+0200,2022-04-02T10:13:23+0200,2022-04-02T10:12:55+0200,2022-04-02T10:12:43+0200,2022-04-02T10:13:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:22:03+0200,2022-04-02T15:23:41+0200,4,2,2,3,4,4,2,4,3,2,5,4,4
,,2022-04-02T15:22:13+0200,2022-04-02T15:23:26+0200,2022-04-02T15:23:18+0200,2022-04-02T15:23:23+0200,2022-04-02T15:23:30+0200,2022-04-02T15:22:24+0200,2022-04-02T15:22:38+0200,2022-04-02T15:23:00+0200,2022-04-02T15:22:32+0200,2022-04-02T15:23:06+0200,2022-04-02T15:23:13+0200,2022-04-02T15:23:37+0200,2022-04-02T15:22:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:29:16+0200,2022-04-02T17:31:01+0200,4,1,2,5,4,4,2,5,3,2,5,5,3
,,2022-04-02T17:29:30+0200,2022-04-02T17:30:06+0200,2022-04-02T17:30:12+0200,2022-04-02T17:30:01+0200,2022-04-02T17:30:16+0200,2022-04-02T17:30:30+0200,2022-04-02T17:30:22+0200,2022-04-02T17:29:55+0200,2022-04-02T17:29:41+0200,2022-04-02T17:30:43+0200,2022-04-02T17:30:49+0200,2022-04-02T17:30:34+0200,2022-04-02T17:30:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:09:16+0200,2022-04-02T19:10:35+0200,4,1,2,4,4,4,1,6,3,2,5,5,3
,,2022-04-02T19:09:29+0200,2022-04-02T19:10:10+0200,2022-04-02T19:10:26+0200,2022-04-02T19:10:15+0200,2022-04-02T19:09:49+0200,2022-04-02T19:10:23+0200,2022-04-02T19:09:35+0200,2022-04-02T19:10:07+0200,2022-04-02T19:10:31+0200,2022-04-02T19:09:45+0200,2022-04-02T19:09:57+0200,2022-04-02T19:10:19+0200,2022-04-02T19:09:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:22:13+0200,2022-04-02T21:23:40+0200,5,1,1,5,5,5,1,5,2,2,6,6,4
,,2022-04-02T21:22:23+0200,2022-04-02T21:23:03+0200,2022-04-02T21:22:59+0200,2022-04-02T21:22:54+0200,2022-04-02T21:23:07+0200,2022-04-02T21:22:48+0200,2022-04-02T21:23:15+0200,2022-04-02T21:23:31+0200,2022-04-02T21:23:36+0200,2022-04-02T21:22:37+0200,2022-04-02T21:22:32+0200,2022-04-02T21:22:42+0200,2022-04-02T21:23:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:21:58+0200,2022-04-09T10:23:05+0200,5,2,3,3,3,5,1,2,4,2,4,4,5
,,2022-04-09T10:22:08+0200,2022-04-09T10:22:46+0200,2022-04-09T10:22:21+0200,2022-04-09T10:22:58+0200,2022-04-09T10:22:13+0200,2022-04-09T10:22:26+0200,2022-04-09T10:22:50+0200,2022-04-09T10:22:33+0200,2022-04-09T10:22:54+0200,2022-04-09T10:22:37+0200,2022-04-09T10:22:18+0200,2022-04-09T10:23:02+0200,2022-04-09T10:22:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:28:08+0200,2022-04-09T15:29:29+0200,5,1,2,3,3,5,2,3,3,2,5,5,4
,,2022-04-09T15:28:16+0200,2022-04-09T15:28:23+0200,2022-04-09T15:29:04+0200,2022-04-09T15:28:54+0200,2022-04-09T15:28:50+0200,2022-04-09T15:29:09+0200,2022-04-09T15:28:59+0200,2022-04-09T15:28:44+0200,2022-04-09T15:29:21+0200,2022-04-09T15:29:26+0200,2022-04-09T15:28:31+0200,2022-04-09T15:29:16+0200,2022-04-09T15:28:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:21:26+0200,2022-04-09T17:22:35+0200,4,2,2,3,3,5,2,3,4,2,4,4,4
,,2022-04-09T17:21:29+0200,2022-04-09T17:21:43+0200,2022-04-09T17:22:12+0200,2022-04-09T17:22:33+0200,2022-04-09T17:22:20+0200,2022-04-09T17:21:33+0200,2022-04-09T17:21:38+0200,2022-04-09T17:21:57+0200,2022-04-09T17:22:16+0200,2022-04-09T17:22:08+0200,2022-04-09T17:22:25+0200,2022-04-09T17:22:29+0200,2022-04-09T17:22:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:19:38+0200,2022-04-09T19:20:32+0200,5,1,1,4,4,5,1,5,2,2,5,5,5
,,2022-04-09T19:19:43+0200,2022-04-09T19:20:06+0200,2022-04-09T19:20:24+0200,2022-04-09T19:20:08+0200,2022-04-09T19:20:30+0200,2022-04-09T19:19:57+0200,2022-04-09T19:20:28+0200,2022-04-09T19:20:22+0200,2022-04-09T19:19:53+0200,2022-04-09T19:20:03+0200,2022-04-09T19:20:12+0200,2022-04-09T19:19:48+0200,2022-04-09T19:20:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:00:59+0200,2022-04-09T21:02:00+0200,5,1,1,5,4,5,1,5,2,2,5,5,4
