Survey Name,"compassion",Install Id,"da58a67f-3208-41da-b1ae-14670c6ddb1d"
Author,"Ilaria Colpizzi"
Subject ID,"el_lu_2000_01_20_337_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:14:08+0200,2022-04-02T10:19:13+0200,3,2,1,3,3,5,2,6,4,2,5,4,3
,,2022-04-02T10:14:53+0200,2022-04-02T10:15:06+0200,2022-04-02T10:16:28+0200,2022-04-02T10:16:34+0200,2022-04-02T10:15:16+0200,2022-04-02T10:18:22+0200,2022-04-02T10:17:50+0200,2022-04-02T10:19:08+0200,2022-04-02T10:18:06+0200,2022-04-02T10:15:48+0200,2022-04-02T10:18:47+0200,2022-04-02T10:17:40+0200,2022-04-02T10:16:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:15:09+0200,2022-04-02T15:18:46+0200,3,3,2,3,3,5,2,6,4,2,5,5,3
,,2022-04-02T15:15:32+0200,2022-04-02T15:17:39+0200,2022-04-02T15:17:54+0200,2022-04-02T15:15:39+0200,2022-04-02T15:16:20+0200,2022-04-02T15:18:42+0200,2022-04-02T15:18:07+0200,2022-04-02T15:18:31+0200,2022-04-02T15:17:49+0200,2022-04-02T15:18:16+0200,2022-04-02T15:17:27+0200,2022-04-02T15:17:20+0200,2022-04-02T15:16:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:09:49+0200,2022-04-02T17:11:51+0200,2,3,2,3,3,5,2,6,3,2,5,5,3
,,2022-04-02T17:10:04+0200,2022-04-02T17:11:45+0200,2022-04-02T17:11:21+0200,2022-04-02T17:11:18+0200,2022-04-02T17:11:33+0200,2022-04-02T17:11:05+0200,2022-04-02T17:11:27+0200,2022-04-02T17:10:11+0200,2022-04-02T17:11:14+0200,2022-04-02T17:11:39+0200,2022-04-02T17:10:47+0200,2022-04-02T17:10:22+0200,2022-04-02T17:10:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:26:31+0200,2022-04-02T19:28:38+0200,3,2,2,5,3,5,2,6,3,2,5,5,4
,,2022-04-02T19:26:39+0200,2022-04-02T19:28:35+0200,2022-04-02T19:27:52+0200,2022-04-02T19:28:15+0200,2022-04-02T19:26:48+0200,2022-04-02T19:27:23+0200,2022-04-02T19:28:23+0200,2022-04-02T19:27:39+0200,2022-04-02T19:28:00+0200,2022-04-02T19:27:08+0200,2022-04-02T19:27:46+0200,2022-04-02T19:27:32+0200,2022-04-02T19:27:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:01:22+0200,2022-04-02T21:03:02+0200,4,2,2,5,3,6,2,6,3,2,5,5,4
