Survey Name,"compassion",Install Id,"A5730E21-9A87-43F7-AD96-D8EEAE798E60"
Survey Author,"Ilaria Colpizzi"
Subject ID,"em_ve_2002_08_29_345_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:06:44+0200,2022-04-02T10:08:00+0200,3,2,4,2,2,4,6,5,6,5,4,2,4
,,2022-04-02T10:06:50+0200,2022-04-02T10:07:06+0200,2022-04-02T10:07:49+0200,2022-04-02T10:07:33+0200,2022-04-02T10:07:56+0200,2022-04-02T10:07:53+0200,2022-04-02T10:07:45+0200,2022-04-02T10:07:40+0200,2022-04-02T10:07:02+0200,2022-04-02T10:06:56+0200,2022-04-02T10:07:23+0200,2022-04-02T10:07:14+0200,2022-04-02T10:07:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:11:44+0200,2022-04-02T15:12:54+0200,4,2,3,3,4,5,2,5,5,3,5,5,4
,,2022-04-02T15:11:59+0200,2022-04-02T15:12:04+0200,2022-04-02T15:12:07+0200,2022-04-02T15:12:26+0200,2022-04-02T15:12:38+0200,2022-04-02T15:12:32+0200,2022-04-02T15:12:17+0200,2022-04-02T15:12:51+0200,2022-04-02T15:12:45+0200,2022-04-02T15:12:36+0200,2022-04-02T15:12:23+0200,2022-04-02T15:12:42+0200,2022-04-02T15:12:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:13:15+0200,2022-04-02T17:14:25+0200,5,2,1,5,3,6,5,6,6,5,5,2,5
,,2022-04-02T17:13:17+0200,2022-04-02T17:13:32+0200,2022-04-02T17:14:23+0200,2022-04-02T17:13:35+0200,2022-04-02T17:13:57+0200,2022-04-02T17:14:19+0200,2022-04-02T17:13:42+0200,2022-04-02T17:13:29+0200,2022-04-02T17:14:07+0200,2022-04-02T17:14:10+0200,2022-04-02T17:13:48+0200,2022-04-02T17:13:54+0200,2022-04-02T17:14:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:14:30+0200,2022-04-02T19:15:32+0200,5,3,3,3,4,5,4,4,6,4,5,4,4
,,2022-04-02T19:14:32+0200,2022-04-02T19:14:45+0200,2022-04-02T19:14:38+0200,2022-04-02T19:15:24+0200,2022-04-02T19:15:30+0200,2022-04-02T19:14:47+0200,2022-04-02T19:14:58+0200,2022-04-02T19:15:12+0200,2022-04-02T19:15:16+0200,2022-04-02T19:15:27+0200,2022-04-02T19:15:20+0200,2022-04-02T19:14:36+0200,2022-04-02T19:14:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:14:28+0200,2022-04-02T21:15:35+0200,4,3,3,4,4,4,5,4,5,4,4,4,4
,,2022-04-02T21:14:31+0200,2022-04-02T21:15:29+0200,2022-04-02T21:15:14+0200,2022-04-02T21:15:22+0200,2022-04-02T21:15:20+0200,2022-04-02T21:14:37+0200,2022-04-02T21:14:45+0200,2022-04-02T21:15:10+0200,2022-04-02T21:14:51+0200,2022-04-02T21:15:06+0200,2022-04-02T21:14:58+0200,2022-04-02T21:15:32+0200,2022-04-02T21:15:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:21:51+0200,2022-04-09T10:22:46+0200,4,3,3,3,3,5,4,4,5,4,5,4,3
,,2022-04-09T10:21:58+0200,2022-04-09T10:22:44+0200,2022-04-09T10:22:09+0200,2022-04-09T10:22:02+0200,2022-04-09T10:22:33+0200,2022-04-09T10:22:21+0200,2022-04-09T10:22:06+0200,2022-04-09T10:22:17+0200,2022-04-09T10:22:38+0200,2022-04-09T10:22:25+0200,2022-04-09T10:22:42+0200,2022-04-09T10:22:30+0200,2022-04-09T10:22:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:06:52+0200,2022-04-09T15:08:11+0200,4,4,3,4,3,4,4,3,4,5,6,5,4
,,2022-04-09T15:06:53+0200,2022-04-09T15:07:44+0200,2022-04-09T15:07:49+0200,2022-04-09T15:08:01+0200,2022-04-09T15:07:46+0200,2022-04-09T15:07:30+0200,2022-04-09T15:07:29+0200,2022-04-09T15:07:27+0200,2022-04-09T15:06:55+0200,2022-04-09T15:06:58+0200,2022-04-09T15:07:13+0200,2022-04-09T15:07:18+0200,2022-04-09T15:07:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:12:11+0200,2022-04-09T17:12:31+0200,4,2,3,4,3,4,4,5,4,5,5,5,3
,,2022-04-09T17:12:13+0200,2022-04-09T17:12:22+0200,2022-04-09T17:12:20+0200,2022-04-09T17:12:19+0200,2022-04-09T17:12:14+0200,2022-04-09T17:12:28+0200,2022-04-09T17:12:23+0200,2022-04-09T17:12:25+0200,2022-04-09T17:12:18+0200,2022-04-09T17:12:17+0200,2022-04-09T17:12:30+0200,2022-04-09T17:12:27+0200,2022-04-09T17:12:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:38:34+0200,2022-04-09T19:38:50+0200,4,4,4,4,3,4,4,2,4,5,5,5,4
,,2022-04-09T19:38:35+0200,2022-04-09T19:38:42+0200,2022-04-09T19:38:46+0200,2022-04-09T19:38:40+0200,2022-04-09T19:38:37+0200,2022-04-09T19:38:47+0200,2022-04-09T19:38:48+0200,2022-04-09T19:38:38+0200,2022-04-09T19:38:40+0200,2022-04-09T19:38:45+0200,2022-04-09T19:38:49+0200,2022-04-09T19:38:39+0200,2022-04-09T19:38:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:15:48+0200,2022-04-09T21:16:05+0200,5,4,4,5,3,4,2,3,4,5,4,4,4
