Survey Name,"compassion",Install Id,"160c637e-d1da-4777-b3d0-862fe3258db5"
Author,"Ilaria Colpizzi"
Subject ID,"es_to_1996_04_16_738_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:10:44+0200,2022-04-02T15:12:25+0200,3,4,4,3,3,2,4,5,4,5,5,4,5
,,2022-04-02T15:10:58+0200,2022-04-02T15:11:49+0200,2022-04-02T15:11:27+0200,2022-04-02T15:11:36+0200,2022-04-02T15:11:32+0200,2022-04-02T15:12:17+0200,2022-04-02T15:11:55+0200,2022-04-02T15:11:44+0200,2022-04-02T15:11:13+0200,2022-04-02T15:12:04+0200,2022-04-02T15:12:12+0200,2022-04-02T15:11:23+0200,2022-04-02T15:12:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:20:30+0200,2022-04-02T17:24:52+0200,2,2,2,2,3,5,5,6,4,3,5,4,4
,,2022-04-02T17:20:55+0200,2022-04-02T17:22:54+0200,2022-04-02T17:21:17+0200,2022-04-02T17:23:44+0200,2022-04-02T17:22:16+0200,2022-04-02T17:23:37+0200,2022-04-02T17:21:38+0200,2022-04-02T17:21:09+0200,2022-04-02T17:23:23+0200,2022-04-02T17:23:12+0200,2022-04-02T17:24:49+0200,2022-04-02T17:22:27+0200,2022-04-02T17:22:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:28:42+0200,2022-04-02T19:41:34+0200,2,2,4,3,2,4,2,5,4,3,4,5,3
,,2022-04-02T19:36:22+0200,2022-04-02T19:41:14+0200,2022-04-02T19:41:17+0200,2022-04-02T19:37:58+0200,2022-04-02T19:41:08+0200,2022-04-02T19:39:00+0200,2022-04-02T19:39:54+0200,2022-04-02T19:41:00+0200,2022-04-02T19:39:27+0200,2022-04-02T19:37:39+0200,2022-04-02T19:40:52+0200,2022-04-02T19:39:19+0200,2022-04-02T19:37:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:14:46+0200,2022-04-02T21:18:28+0200,3,1,2,3,4,3,3,5,4,4,5,3,4
,,2022-04-02T21:14:55+0200,2022-04-02T21:15:28+0200,2022-04-02T21:16:12+0200,2022-04-02T21:17:57+0200,2022-04-02T21:17:38+0200,2022-04-02T21:17:20+0200,2022-04-02T21:15:20+0200,2022-04-02T21:17:33+0200,2022-04-02T21:17:49+0200,2022-04-02T21:18:25+0200,2022-04-02T21:15:58+0200,2022-04-02T21:16:34+0200,2022-04-02T21:17:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:38:19+0200,2022-04-09T10:40:43+0200,1,2,2,4,4,4,2,5,3,4,4,4,4
,,2022-04-09T10:38:41+0200,2022-04-09T10:40:41+0200,2022-04-09T10:40:03+0200,2022-04-09T10:40:07+0200,2022-04-09T10:39:35+0200,2022-04-09T10:40:15+0200,2022-04-09T10:39:30+0200,2022-04-09T10:39:44+0200,2022-04-09T10:38:54+0200,2022-04-09T10:39:24+0200,2022-04-09T10:39:18+0200,2022-04-09T10:39:52+0200,2022-04-09T10:40:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:33:58+0200,2022-04-09T19:35:08+0200,3,2,2,3,3,5,2,5,3,3,5,4,4
,,2022-04-09T19:34:03+0200,2022-04-09T19:34:25+0200,2022-04-09T19:34:55+0200,2022-04-09T19:34:58+0200,2022-04-09T19:35:06+0200,2022-04-09T19:34:11+0200,2022-04-09T19:34:15+0200,2022-04-09T19:34:45+0200,2022-04-09T19:34:07+0200,2022-04-09T19:34:32+0200,2022-04-09T19:34:39+0200,2022-04-09T19:34:51+0200,2022-04-09T19:34:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:53:04+0200,2022-04-16T15:54:33+0200,3,3,2,3,2,3,2,4,5,4,4,4,2
