Survey Name,"compassion",Install Id,"8753CD61-A03B-4E4D-B3C0-AEE8543DF9C0"
Survey Author,"Ilaria Colpizzi"
Subject ID,"fe_me_2002_06_04_722_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:27:15+0200,2022-04-02T10:28:52+0200,3,3,2,3,2,4,4,4,5,4,3,3,5
,,2022-04-02T10:27:21+0200,2022-04-02T10:27:33+0200,2022-04-02T10:28:05+0200,2022-04-02T10:27:55+0200,2022-04-02T10:28:27+0200,2022-04-02T10:28:49+0200,2022-04-02T10:27:51+0200,2022-04-02T10:28:01+0200,2022-04-02T10:27:29+0200,2022-04-02T10:28:33+0200,2022-04-02T10:27:43+0200,2022-04-02T10:28:17+0200,2022-04-02T10:28:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:26:33+0200,2022-04-02T15:28:45+0200,2,3,2,1,2,3,3,4,4,4,3,3,5
,,2022-04-02T15:27:32+0200,2022-04-02T15:28:10+0200,2022-04-02T15:28:18+0200,2022-04-02T15:28:32+0200,2022-04-02T15:28:13+0200,2022-04-02T15:28:36+0200,2022-04-02T15:27:56+0200,2022-04-02T15:28:42+0200,2022-04-02T15:28:29+0200,2022-04-02T15:28:02+0200,2022-04-02T15:27:42+0200,2022-04-02T15:27:49+0200,2022-04-02T15:28:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:06:21+0200,2022-04-02T17:07:26+0200,3,3,2,2,3,3,4,4,4,4,3,3,4
,,2022-04-02T17:06:31+0200,2022-04-02T17:07:07+0200,2022-04-02T17:07:20+0200,2022-04-02T17:07:04+0200,2022-04-02T17:07:15+0200,2022-04-02T17:06:42+0200,2022-04-02T17:07:23+0200,2022-04-02T17:06:50+0200,2022-04-02T17:06:52+0200,2022-04-02T17:07:10+0200,2022-04-02T17:07:02+0200,2022-04-02T17:06:46+0200,2022-04-02T17:07:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:25:04+0200,2022-04-02T19:26:55+0200,1,3,2,3,3,3,3,4,4,4,3,3,5
