Survey Name,"compassion",Install Id,"1174db66-8c2f-49b9-b407-4c4a116b3030"
Author,"Ilaria Colpizzi"
Subject ID,"fr_ra_1992_07_12_212_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:08:02+0200,2022-04-09T10:10:11+0200,3,2,2,3,4,4,4,4,4,3,5,2,4
,,2022-04-09T10:08:12+0200,2022-04-09T10:08:39+0200,2022-04-09T10:09:41+0200,2022-04-09T10:09:44+0200,2022-04-09T10:10:07+0200,2022-04-09T10:09:02+0200,2022-04-09T10:09:19+0200,2022-04-09T10:08:51+0200,2022-04-09T10:09:37+0200,2022-04-09T10:10:02+0200,2022-04-09T10:09:30+0200,2022-04-09T10:08:24+0200,2022-04-09T10:09:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:25:16+0200,2022-04-09T15:26:27+0200,2,3,4,2,2,3,4,5,5,3,4,3,3
,,2022-04-09T15:25:27+0200,2022-04-09T15:26:20+0200,2022-04-09T15:25:32+0200,2022-04-09T15:25:49+0200,2022-04-09T15:25:40+0200,2022-04-09T15:25:37+0200,2022-04-09T15:25:54+0200,2022-04-09T15:26:00+0200,2022-04-09T15:26:17+0200,2022-04-09T15:26:24+0200,2022-04-09T15:26:06+0200,2022-04-09T15:25:45+0200,2022-04-09T15:26:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:10:36+0200,2022-04-09T17:11:38+0200,2,4,3,2,2,4,3,5,5,4,3,3,3
,,2022-04-09T17:10:43+0200,2022-04-09T17:11:21+0200,2022-04-09T17:11:17+0200,2022-04-09T17:10:52+0200,2022-04-09T17:11:05+0200,2022-04-09T17:11:32+0200,2022-04-09T17:11:35+0200,2022-04-09T17:10:58+0200,2022-04-09T17:11:02+0200,2022-04-09T17:11:10+0200,2022-04-09T17:10:49+0200,2022-04-09T17:11:15+0200,2022-04-09T17:11:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:13:35+0200,2022-04-09T19:14:46+0200,3,3,3,4,3,4,3,5,4,4,3,3,3
