Survey Name,"compassion",Install Id,"ac9d8ecb-22d2-4eef-8e5a-baed7f8c00a0"
Author,"Ilaria Colpizzi"
Subject ID,"fr_vi_1998_02_212_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:18:03+0200,2022-04-09T10:20:26+0200,5,1,1,4,5,5,1,6,5,1,5,5,1
,,2022-04-09T10:18:14+0200,2022-04-09T10:20:20+0200,2022-04-09T10:18:29+0200,2022-04-09T10:19:42+0200,2022-04-09T10:20:23+0200,2022-04-09T10:20:17+0200,2022-04-09T10:20:07+0200,2022-04-09T10:19:32+0200,2022-04-09T10:18:44+0200,2022-04-09T10:18:25+0200,2022-04-09T10:19:11+0200,2022-04-09T10:19:25+0200,2022-04-09T10:19:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:21:39+0200,2022-04-09T15:23:24+0200,3,1,1,4,5,5,2,5,5,1,5,4,2
,,2022-04-09T15:21:49+0200,2022-04-09T15:23:09+0200,2022-04-09T15:22:59+0200,2022-04-09T15:22:57+0200,2022-04-09T15:22:09+0200,2022-04-09T15:22:20+0200,2022-04-09T15:23:15+0200,2022-04-09T15:23:23+0200,2022-04-09T15:23:06+0200,2022-04-09T15:22:53+0200,2022-04-09T15:22:49+0200,2022-04-09T15:22:14+0200,2022-04-09T15:22:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:21:11+0200,2022-04-09T17:22:41+0200,5,1,1,5,5,6,1,6,5,1,4,5,2
,,2022-04-09T17:21:15+0200,2022-04-09T17:21:39+0200,2022-04-09T17:22:36+0200,2022-04-09T17:21:56+0200,2022-04-09T17:22:39+0200,2022-04-09T17:21:22+0200,2022-04-09T17:22:13+0200,2022-04-09T17:22:04+0200,2022-04-09T17:22:30+0200,2022-04-09T17:21:19+0200,2022-04-09T17:21:35+0200,2022-04-09T17:22:23+0200,2022-04-09T17:21:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:14:57+0200,2022-04-09T19:15:56+0200,5,1,1,4,5,5,2,6,5,2,4,4,2
