Survey Name,"compassion",Install Id,"541beff3-d9b6-45af-b76c-e4424fb30d67"
Author,"Ilaria Colpizzi"
Subject ID,"ge_sa_2002_03_12_633_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:52:38+0200,2022-04-02T10:54:24+0200,3,1,1,5,5,6,3,5,2,2,6,5,5
,,2022-04-02T10:53:08+0200,2022-04-02T10:53:27+0200,2022-04-02T10:53:29+0200,2022-04-02T10:54:07+0200,2022-04-02T10:53:53+0200,2022-04-02T10:54:01+0200,2022-04-02T10:53:22+0200,2022-04-02T10:54:16+0200,2022-04-02T10:53:49+0200,2022-04-02T10:53:57+0200,2022-04-02T10:53:43+0200,2022-04-02T10:53:35+0200,2022-04-02T10:54:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:16:44+0200,2022-04-02T15:18:44+0200,5,1,1,4,5,5,1,4,3,1,5,6,4
,,2022-04-02T15:17:00+0200,2022-04-02T15:17:53+0200,2022-04-02T15:17:05+0200,2022-04-02T15:18:16+0200,2022-04-02T15:18:14+0200,2022-04-02T15:18:01+0200,2022-04-02T15:17:29+0200,2022-04-02T15:17:24+0200,2022-04-02T15:18:41+0200,2022-04-02T15:18:19+0200,2022-04-02T15:18:26+0200,2022-04-02T15:18:34+0200,2022-04-02T15:18:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:30:07+0200,2022-04-02T17:36:18+0200,3,1,1,4,5,2,3,5,4,1,6,6,4
,,2022-04-02T17:30:13+0200,2022-04-02T17:34:20+0200,2022-04-02T17:33:23+0200,2022-04-02T17:30:19+0200,2022-04-02T17:35:31+0200,2022-04-02T17:35:17+0200,2022-04-02T17:30:38+0200,2022-04-02T17:35:34+0200,2022-04-02T17:32:08+0200,2022-04-02T17:36:16+0200,2022-04-02T17:35:24+0200,2022-04-02T17:35:10+0200,2022-04-02T17:30:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:27:38+0200,2022-04-02T19:34:15+0200,3,2,1,5,5,6,2,5,3,1,6,5,4
,,2022-04-02T19:27:52+0200,2022-04-02T19:33:46+0200,2022-04-02T19:33:06+0200,2022-04-02T19:28:33+0200,2022-04-02T19:27:56+0200,2022-04-02T19:33:33+0200,2022-04-02T19:28:50+0200,2022-04-02T19:33:39+0200,2022-04-02T19:28:30+0200,2022-04-02T19:32:38+0200,2022-04-02T19:34:13+0200,2022-04-02T19:33:28+0200,2022-04-02T19:28:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:07:01+0200,2022-04-02T21:08:42+0200,4,1,1,5,5,6,2,4,2,1,5,6,4
