Survey Name,"compassion",Install Id,"AD0B86AB-E46C-4952-90E4-6EA409207126"
Survey Author,"Ilaria Colpizzi"
Subject ID,"gi_bi_1999_05_11_480_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:29:28+0200,2022-04-02T10:31:03+0200,3,4,2,2,2,3,3,4,5,4,4,2,5
,,2022-04-02T10:29:44+0200,2022-04-02T10:30:12+0200,2022-04-02T10:30:57+0200,2022-04-02T10:30:16+0200,2022-04-02T10:31:00+0200,2022-04-02T10:30:26+0200,2022-04-02T10:30:52+0200,2022-04-02T10:30:39+0200,2022-04-02T10:30:21+0200,2022-04-02T10:30:31+0200,2022-04-02T10:29:59+0200,2022-04-02T10:30:47+0200,2022-04-02T10:30:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:29:50+0200,2022-04-02T19:30:54+0200,5,2,1,2,3,3,3,4,4,4,3,3,4
,,2022-04-02T19:29:57+0200,2022-04-02T19:30:03+0200,2022-04-02T19:30:00+0200,2022-04-02T19:30:23+0200,2022-04-02T19:30:20+0200,2022-04-02T19:30:35+0200,2022-04-02T19:30:17+0200,2022-04-02T19:30:47+0200,2022-04-02T19:30:42+0200,2022-04-02T19:30:32+0200,2022-04-02T19:30:11+0200,2022-04-02T19:30:28+0200,2022-04-02T19:30:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:21:21+0200,2022-04-09T15:22:59+0200,5,1,2,5,4,3,3,4,4,4,4,3,5
,,2022-04-09T15:21:41+0200,2022-04-09T15:22:10+0200,2022-04-09T15:21:45+0200,2022-04-09T15:21:43+0200,2022-04-09T15:22:47+0200,2022-04-09T15:22:33+0200,2022-04-09T15:22:29+0200,2022-04-09T15:22:44+0200,2022-04-09T15:22:41+0200,2022-04-09T15:22:14+0200,2022-04-09T15:22:25+0200,2022-04-09T15:21:50+0200,2022-04-09T15:22:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:24:00+0200,2022-04-09T17:25:02+0200,5,1,1,3,5,3,3,5,3,4,4,3,4
,,2022-04-09T17:24:03+0200,2022-04-09T17:24:17+0200,2022-04-09T17:24:36+0200,2022-04-09T17:24:13+0200,2022-04-09T17:24:46+0200,2022-04-09T17:24:24+0200,2022-04-09T17:24:53+0200,2022-04-09T17:24:33+0200,2022-04-09T17:24:50+0200,2022-04-09T17:24:39+0200,2022-04-09T17:24:43+0200,2022-04-09T17:24:59+0200,2022-04-09T17:24:09+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:12:34+0200,2022-04-09T19:13:36+0200,5,1,1,5,5,3,3,5,3,4,4,3,4
,,2022-04-09T19:12:37+0200,2022-04-09T19:12:59+0200,2022-04-09T19:12:50+0200,2022-04-09T19:12:47+0200,2022-04-09T19:13:19+0200,2022-04-09T19:13:35+0200,2022-04-09T19:13:13+0200,2022-04-09T19:13:04+0200,2022-04-09T19:12:54+0200,2022-04-09T19:12:44+0200,2022-04-09T19:13:30+0200,2022-04-09T19:13:16+0200,2022-04-09T19:13:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:24:04+0200,2022-04-09T21:24:58+0200,5,1,1,5,5,3,3,5,4,4,4,3,5
