Survey Name,"compassion",Install Id,"18B8EE1B-16E2-4EE0-9933-250114891361"
Survey Author,"Ilaria Colpizzi"
Subject ID,"gi_bo_1998_07_08_603_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:00:30+0200,2022-04-02T10:02:06+0200,5,1,1,5,5,6,1,6,2,2,5,5,5
,,2022-04-02T10:00:45+0200,2022-04-02T10:01:16+0200,2022-04-02T10:01:31+0200,2022-04-02T10:02:02+0200,2022-04-02T10:00:54+0200,2022-04-02T10:01:59+0200,2022-04-02T10:01:00+0200,2022-04-02T10:01:53+0200,2022-04-02T10:01:41+0200,2022-04-02T10:01:13+0200,2022-04-02T10:01:29+0200,2022-04-02T10:00:50+0200,2022-04-02T10:01:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:21:10+0200,2022-04-02T15:22:36+0200,5,1,1,5,5,6,1,6,2,1,5,5,5
,,2022-04-02T15:21:22+0200,2022-04-02T15:21:29+0200,2022-04-02T15:22:02+0200,2022-04-02T15:21:26+0200,2022-04-02T15:21:45+0200,2022-04-02T15:21:35+0200,2022-04-02T15:22:27+0200,2022-04-02T15:22:18+0200,2022-04-02T15:21:40+0200,2022-04-02T15:22:22+0200,2022-04-02T15:22:34+0200,2022-04-02T15:22:09+0200,2022-04-02T15:21:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:07:45+0200,2022-04-02T17:08:43+0200,5,1,1,5,5,6,1,6,2,1,6,6,2
,,2022-04-02T17:07:49+0200,2022-04-02T17:08:16+0200,2022-04-02T17:07:55+0200,2022-04-02T17:08:41+0200,2022-04-02T17:07:52+0200,2022-04-02T17:08:32+0200,2022-04-02T17:08:20+0200,2022-04-02T17:08:38+0200,2022-04-02T17:08:24+0200,2022-04-02T17:08:13+0200,2022-04-02T17:08:29+0200,2022-04-02T17:08:02+0200,2022-04-02T17:08:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:22:42+0200,2022-04-02T19:23:59+0200,5,1,1,5,5,6,2,6,2,1,5,5,2
,,2022-04-02T19:22:46+0200,2022-04-02T19:22:55+0200,2022-04-02T19:23:35+0200,2022-04-02T19:23:54+0200,2022-04-02T19:23:52+0200,2022-04-02T19:22:58+0200,2022-04-02T19:23:45+0200,2022-04-02T19:23:06+0200,2022-04-02T19:23:40+0200,2022-04-02T19:23:57+0200,2022-04-02T19:23:31+0200,2022-04-02T19:23:14+0200,2022-04-02T19:23:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:14:13+0200,2022-04-02T21:15:14+0200,5,1,1,5,5,6,1,6,2,1,6,5,2
,,2022-04-02T21:14:17+0200,2022-04-02T21:14:35+0200,2022-04-02T21:15:07+0200,2022-04-02T21:14:27+0200,2022-04-02T21:14:25+0200,2022-04-02T21:14:43+0200,2022-04-02T21:14:31+0200,2022-04-02T21:15:03+0200,2022-04-02T21:14:24+0200,2022-04-02T21:14:33+0200,2022-04-02T21:14:47+0200,2022-04-02T21:14:39+0200,2022-04-02T21:15:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:37:32+0200,2022-04-09T10:38:23+0200,4,2,2,5,2,6,1,6,2,2,6,6,2
,,2022-04-09T10:37:38+0200,2022-04-09T10:38:13+0200,2022-04-09T10:37:42+0200,2022-04-09T10:38:03+0200,2022-04-09T10:37:52+0200,2022-04-09T10:38:21+0200,2022-04-09T10:38:00+0200,2022-04-09T10:37:46+0200,2022-04-09T10:38:10+0200,2022-04-09T10:37:50+0200,2022-04-09T10:37:56+0200,2022-04-09T10:38:06+0200,2022-04-09T10:38:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T16:03:06+0200,2022-04-09T16:03:45+0200,5,2,1,5,5,6,1,6,1,1,6,6,2
,,2022-04-09T16:03:11+0200,2022-04-09T16:03:15+0200,2022-04-09T16:03:34+0200,2022-04-09T16:03:40+0200,2022-04-09T16:03:39+0200,2022-04-09T16:03:14+0200,2022-04-09T16:03:37+0200,2022-04-09T16:03:33+0200,2022-04-09T16:03:43+0200,2022-04-09T16:03:21+0200,2022-04-09T16:03:18+0200,2022-04-09T16:03:25+0200,2022-04-09T16:03:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:19:54+0200,2022-04-09T17:20:36+0200,5,1,1,5,5,6,1,6,1,1,6,6,1
