Survey Name,"compassion",Install Id,"dde8b16c-d920-4cfd-b33c-1f25eaf0cfd1"
Author,"Ilaria Colpizzi"
Subject ID,"gi_vi_2002_05_02_185_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:28:02+0200,2022-04-02T10:29:36+0200,3,2,2,2,3,4,4,6,4,4,4,4,1
,,2022-04-02T10:28:08+0200,2022-04-02T10:29:11+0200,2022-04-02T10:28:16+0200,2022-04-02T10:29:27+0200,2022-04-02T10:28:33+0200,2022-04-02T10:29:19+0200,2022-04-02T10:28:41+0200,2022-04-02T10:28:49+0200,2022-04-02T10:28:59+0200,2022-04-02T10:29:02+0200,2022-04-02T10:29:08+0200,2022-04-02T10:28:28+0200,2022-04-02T10:29:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:29:29+0200,2022-04-02T15:31:14+0200,3,1,2,2,3,4,4,6,4,3,4,4,1
,,2022-04-02T15:29:34+0200,2022-04-02T15:30:29+0200,2022-04-02T15:30:21+0200,2022-04-02T15:30:06+0200,2022-04-02T15:30:01+0200,2022-04-02T15:31:11+0200,2022-04-02T15:29:59+0200,2022-04-02T15:29:52+0200,2022-04-02T15:30:47+0200,2022-04-02T15:31:05+0200,2022-04-02T15:30:34+0200,2022-04-02T15:30:58+0200,2022-04-02T15:30:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:07:22+0200,2022-04-02T17:08:50+0200,4,2,2,3,3,5,4,6,4,4,4,3,2
,,2022-04-02T17:07:27+0200,2022-04-02T17:08:46+0200,2022-04-02T17:07:39+0200,2022-04-02T17:08:04+0200,2022-04-02T17:08:21+0200,2022-04-02T17:07:33+0200,2022-04-02T17:08:14+0200,2022-04-02T17:07:50+0200,2022-04-02T17:07:37+0200,2022-04-02T17:08:09+0200,2022-04-02T17:08:41+0200,2022-04-02T17:08:34+0200,2022-04-02T17:07:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:14:44+0200,2022-04-02T19:16:02+0200,3,3,2,3,2,3,4,6,4,4,4,3,1
,,2022-04-02T19:14:49+0200,2022-04-02T19:15:15+0200,2022-04-02T19:15:56+0200,2022-04-02T19:15:33+0200,2022-04-02T19:15:00+0200,2022-04-02T19:15:52+0200,2022-04-02T19:15:26+0200,2022-04-02T19:15:38+0200,2022-04-02T19:14:53+0200,2022-04-02T19:15:10+0200,2022-04-02T19:15:59+0200,2022-04-02T19:15:13+0200,2022-04-02T19:15:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:22:51+0200,2022-04-02T21:24:16+0200,4,2,2,3,3,4,4,6,4,4,4,3,1
