Survey Name,"compassion",Install Id,"388758AB-22C3-46D9-974E-572CD379C87F"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ia_an_2000_04_05_431_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:07:00+0200,2022-04-09T10:09:40+0200,5,2,4,3,2,4,1,6,5,4,4,2,4
,,2022-04-09T10:07:09+0200,2022-04-09T10:09:23+0200,2022-04-09T10:09:12+0200,2022-04-09T10:08:50+0200,2022-04-09T10:07:20+0200,2022-04-09T10:08:55+0200,2022-04-09T10:09:16+0200,2022-04-09T10:08:46+0200,2022-04-09T10:09:30+0200,2022-04-09T10:07:14+0200,2022-04-09T10:09:39+0200,2022-04-09T10:09:05+0200,2022-04-09T10:09:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:30:26+0200,2022-04-09T15:31:58+0200,4,1,2,2,4,4,1,6,4,4,3,4,5
,,2022-04-09T15:31:00+0200,2022-04-09T15:31:51+0200,2022-04-09T15:31:27+0200,2022-04-09T15:31:57+0200,2022-04-09T15:31:08+0200,2022-04-09T15:31:33+0200,2022-04-09T15:31:05+0200,2022-04-09T15:31:41+0200,2022-04-09T15:31:24+0200,2022-04-09T15:31:30+0200,2022-04-09T15:31:48+0200,2022-04-09T15:31:13+0200,2022-04-09T15:31:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:02:01+0200,2022-04-09T21:07:18+0200,5,1,2,4,3,5,2,6,3,2,4,5,4
,,2022-04-09T21:02:09+0200,2022-04-09T21:06:38+0200,2022-04-09T21:06:24+0200,2022-04-09T21:07:08+0200,2022-04-09T21:07:11+0200,2022-04-09T21:05:15+0200,2022-04-09T21:03:35+0200,2022-04-09T21:06:47+0200,2022-04-09T21:07:16+0200,2022-04-09T21:03:38+0200,2022-04-09T21:02:58+0200,2022-04-09T21:03:30+0200,2022-04-09T21:05:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:26:56+0200,2022-04-16T10:28:25+0200,4,2,2,3,4,4,2,4,3,1,5,4,2
