Survey Name,"compassion",Install Id,"6C9293EF-16EB-482C-9BBD-C8D775112B8E"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ir_ro_1985_08_26_745_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:03:06+0200,2022-04-09T10:04:56+0200,2,4,3,2,3,4,3,5,5,2,4,4,6
,,2022-04-09T10:03:14+0200,2022-04-09T10:04:22+0200,2022-04-09T10:04:19+0200,2022-04-09T10:03:27+0200,2022-04-09T10:04:03+0200,2022-04-09T10:03:58+0200,2022-04-09T10:04:48+0200,2022-04-09T10:03:49+0200,2022-04-09T10:04:33+0200,2022-04-09T10:04:54+0200,2022-04-09T10:04:12+0200,2022-04-09T10:04:38+0200,2022-04-09T10:03:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:31:51+0200,2022-04-09T15:37:35+0200,3,2,2,2,3,4,2,5,4,4,4,5,2
,,2022-04-09T15:32:02+0200,2022-04-09T15:35:15+0200,2022-04-09T15:35:19+0200,2022-04-09T15:37:22+0200,2022-04-09T15:32:06+0200,2022-04-09T15:34:53+0200,2022-04-09T15:32:16+0200,2022-04-09T15:34:28+0200,2022-04-09T15:34:43+0200,2022-04-09T15:37:32+0200,2022-04-09T15:36:48+0200,2022-04-09T15:37:27+0200,2022-04-09T15:32:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:10:45+0200,2022-04-09T17:13:07+0200,4,2,2,3,3,5,3,5,3,2,5,4,3
,,2022-04-09T17:10:54+0200,2022-04-09T17:11:49+0200,2022-04-09T17:13:05+0200,2022-04-09T17:12:18+0200,2022-04-09T17:11:58+0200,2022-04-09T17:11:12+0200,2022-04-09T17:12:58+0200,2022-04-09T17:11:03+0200,2022-04-09T17:12:13+0200,2022-04-09T17:12:39+0200,2022-04-09T17:12:32+0200,2022-04-09T17:11:33+0200,2022-04-09T17:12:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:06:21+0200,2022-04-09T21:14:31+0200,3,2,2,4,3,3,3,5,4,3,5,5,4
,,2022-04-09T21:11:42+0200,2022-04-09T21:14:10+0200,2022-04-09T21:12:52+0200,2022-04-09T21:12:47+0200,2022-04-09T21:12:26+0200,2022-04-09T21:13:25+0200,2022-04-09T21:13:57+0200,2022-04-09T21:13:33+0200,2022-04-09T21:14:29+0200,2022-04-09T21:13:52+0200,2022-04-09T21:14:07+0200,2022-04-09T21:11:50+0200,2022-04-09T21:13:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:17:51+0200,2022-04-16T10:19:48+0200,3,2,2,3,4,4,3,6,4,2,5,5,2
,,2022-04-16T10:17:56+0200,2022-04-16T10:19:20+0200,2022-04-16T10:18:21+0200,2022-04-16T10:19:17+0200,2022-04-16T10:18:11+0200,2022-04-16T10:19:26+0200,2022-04-16T10:18:37+0200,2022-04-16T10:19:39+0200,2022-04-16T10:19:12+0200,2022-04-16T10:19:45+0200,2022-04-16T10:18:50+0200,2022-04-16T10:18:31+0200,2022-04-16T10:18:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:17:15+0200,2022-04-16T15:19:22+0200,5,1,1,4,5,5,2,5,4,3,5,5,4
,,2022-04-16T15:17:24+0200,2022-04-16T15:17:28+0200,2022-04-16T15:18:14+0200,2022-04-16T15:17:46+0200,2022-04-16T15:19:03+0200,2022-04-16T15:18:46+0200,2022-04-16T15:18:30+0200,2022-04-16T15:18:01+0200,2022-04-16T15:18:08+0200,2022-04-16T15:18:53+0200,2022-04-16T15:19:17+0200,2022-04-16T15:17:42+0200,2022-04-16T15:18:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:10:53+0200,2022-04-16T17:12:33+0200,4,2,1,4,4,4,2,6,4,2,5,5,4
,,2022-04-16T17:11:00+0200,2022-04-16T17:11:28+0200,2022-04-16T17:11:49+0200,2022-04-16T17:11:08+0200,2022-04-16T17:11:10+0200,2022-04-16T17:12:08+0200,2022-04-16T17:11:41+0200,2022-04-16T17:12:23+0200,2022-04-16T17:12:02+0200,2022-04-16T17:11:15+0200,2022-04-16T17:12:29+0200,2022-04-16T17:11:55+0200,2022-04-16T17:11:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:18:15+0200,2022-04-16T21:19:57+0200,5,1,1,5,5,4,2,5,4,2,5,5,3
