Survey Name,"compassion",Install Id,"2229415D-D1D8-41E8-BF36-999120B858DE"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ir_ro_1999_06_26_855_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:25:48+0200,2022-04-02T10:28:27+0200,3,2,2,4,3,5,4,4,2,3,4,3,4
,,2022-04-02T10:26:01+0200,2022-04-02T10:28:05+0200,2022-04-02T10:27:20+0200,2022-04-02T10:27:24+0200,2022-04-02T10:27:42+0200,2022-04-02T10:27:56+0200,2022-04-02T10:26:58+0200,2022-04-02T10:26:25+0200,2022-04-02T10:27:34+0200,2022-04-02T10:26:47+0200,2022-04-02T10:27:13+0200,2022-04-02T10:28:23+0200,2022-04-02T10:26:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:08:49+0200,2022-04-02T15:10:36+0200,4,2,2,4,4,5,2,4,3,3,5,3,4
,,2022-04-02T15:08:57+0200,2022-04-02T15:09:24+0200,2022-04-02T15:10:21+0200,2022-04-02T15:10:06+0200,2022-04-02T15:09:41+0200,2022-04-02T15:10:12+0200,2022-04-02T15:09:31+0200,2022-04-02T15:10:02+0200,2022-04-02T15:09:08+0200,2022-04-02T15:09:19+0200,2022-04-02T15:09:53+0200,2022-04-02T15:10:33+0200,2022-04-02T15:10:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:17:28+0200,2022-04-02T17:19:05+0200,3,2,2,4,4,4,2,4,3,3,4,4,5
,,2022-04-02T17:17:37+0200,2022-04-02T17:18:03+0200,2022-04-02T17:17:52+0200,2022-04-02T17:18:42+0200,2022-04-02T17:18:32+0200,2022-04-02T17:18:19+0200,2022-04-02T17:17:47+0200,2022-04-02T17:19:02+0200,2022-04-02T17:18:49+0200,2022-04-02T17:18:39+0200,2022-04-02T17:18:28+0200,2022-04-02T17:18:12+0200,2022-04-02T17:17:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:14:48+0200,2022-04-02T19:16:37+0200,3,2,2,4,4,5,2,4,2,2,5,3,4
,,2022-04-02T19:14:55+0200,2022-04-02T19:15:00+0200,2022-04-02T19:16:24+0200,2022-04-02T19:15:40+0200,2022-04-02T19:16:10+0200,2022-04-02T19:15:36+0200,2022-04-02T19:15:06+0200,2022-04-02T19:16:19+0200,2022-04-02T19:15:15+0200,2022-04-02T19:16:02+0200,2022-04-02T19:15:50+0200,2022-04-02T19:15:25+0200,2022-04-02T19:16:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:23:24+0200,2022-04-02T21:24:43+0200,3,2,2,4,4,5,3,4,2,3,4,3,3
,,2022-04-02T21:23:30+0200,2022-04-02T21:24:02+0200,2022-04-02T21:24:41+0200,2022-04-02T21:23:57+0200,2022-04-02T21:23:49+0200,2022-04-02T21:24:38+0200,2022-04-02T21:23:41+0200,2022-04-02T21:24:11+0200,2022-04-02T21:24:34+0200,2022-04-02T21:23:55+0200,2022-04-02T21:24:20+0200,2022-04-02T21:23:46+0200,2022-04-02T21:23:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:32:46+0200,2022-04-09T10:34:24+0200,3,2,2,4,4,5,3,4,2,3,4,2,4
,,2022-04-09T10:32:51+0200,2022-04-09T10:33:11+0200,2022-04-09T10:33:31+0200,2022-04-09T10:33:36+0200,2022-04-09T10:33:50+0200,2022-04-09T10:33:43+0200,2022-04-09T10:33:06+0200,2022-04-09T10:34:09+0200,2022-04-09T10:34:22+0200,2022-04-09T10:34:03+0200,2022-04-09T10:33:24+0200,2022-04-09T10:33:01+0200,2022-04-09T10:34:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:18:09+0200,2022-04-09T15:19:33+0200,3,2,2,4,4,5,3,4,3,2,4,5,4
,,2022-04-09T15:18:29+0200,2022-04-09T15:19:31+0200,2022-04-09T15:19:27+0200,2022-04-09T15:19:07+0200,2022-04-09T15:18:58+0200,2022-04-09T15:19:16+0200,2022-04-09T15:19:04+0200,2022-04-09T15:18:44+0200,2022-04-09T15:19:24+0200,2022-04-09T15:18:40+0200,2022-04-09T15:18:42+0200,2022-04-09T15:18:49+0200,2022-04-09T15:19:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:08:40+0200,2022-04-09T17:10:21+0200,4,2,2,4,4,5,2,4,3,2,5,3,4
,,2022-04-09T17:08:47+0200,2022-04-09T17:08:50+0200,2022-04-09T17:09:54+0200,2022-04-09T17:09:05+0200,2022-04-09T17:09:08+0200,2022-04-09T17:09:46+0200,2022-04-09T17:08:55+0200,2022-04-09T17:10:19+0200,2022-04-09T17:09:52+0200,2022-04-09T17:09:01+0200,2022-04-09T17:10:10+0200,2022-04-09T17:10:03+0200,2022-04-09T17:09:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:11:08+0200,2022-04-09T19:12:19+0200,3,2,2,4,4,4,3,4,3,3,5,4,4
,,2022-04-09T19:11:21+0200,2022-04-09T19:11:30+0200,2022-04-09T19:11:39+0200,2022-04-09T19:11:53+0200,2022-04-09T19:12:11+0200,2022-04-09T19:12:03+0200,2022-04-09T19:12:08+0200,2022-04-09T19:11:49+0200,2022-04-09T19:12:00+0200,2022-04-09T19:11:27+0200,2022-04-09T19:12:18+0200,2022-04-09T19:11:37+0200,2022-04-09T19:11:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:12:05+0200,2022-04-09T21:14:56+0200,3,4,2,4,4,4,3,4,3,2,4,4,4
,,2022-04-09T21:12:37+0200,2022-04-09T21:14:06+0200,2022-04-09T21:13:01+0200,2022-04-09T21:13:10+0200,2022-04-09T21:12:57+0200,2022-04-09T21:13:51+0200,2022-04-09T21:12:45+0200,2022-04-09T21:14:34+0200,2022-04-09T21:12:53+0200,2022-04-09T21:13:06+0200,2022-04-09T21:14:44+0200,2022-04-09T21:14:51+0200,2022-04-09T21:14:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
