Survey Name,"compassion",Install Id,"79E9BC95-2B49-4F80-9200-6E708EDC1E41"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ju_do_2000_05_23_608_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:11:14+0200,2022-04-09T10:13:08+0200,3,2,2,2,2,4,6,5,4,3,4,3,5
,,2022-04-09T10:11:41+0200,2022-04-09T10:12:56+0200,2022-04-09T10:12:59+0200,2022-04-09T10:12:07+0200,2022-04-09T10:11:46+0200,2022-04-09T10:11:54+0200,2022-04-09T10:12:48+0200,2022-04-09T10:12:36+0200,2022-04-09T10:12:53+0200,2022-04-09T10:13:05+0200,2022-04-09T10:12:26+0200,2022-04-09T10:12:03+0200,2022-04-09T10:12:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:34:06+0200,2022-04-09T15:40:05+0200,2,2,2,2,3,3,4,4,4,3,4,3,5
,,2022-04-09T15:34:31+0200,2022-04-09T15:37:17+0200,2022-04-09T15:37:04+0200,2022-04-09T15:35:48+0200,2022-04-09T15:36:57+0200,2022-04-09T15:40:03+0200,2022-04-09T15:37:14+0200,2022-04-09T15:36:53+0200,2022-04-09T15:36:16+0200,2022-04-09T15:35:56+0200,2022-04-09T15:35:37+0200,2022-04-09T15:35:44+0200,2022-04-09T15:35:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:07:18+0200,2022-04-09T17:08:16+0200,5,1,1,3,3,5,4,4,4,3,3,3,4
,,2022-04-09T17:07:25+0200,2022-04-09T17:07:45+0200,2022-04-09T17:07:35+0200,2022-04-09T17:07:48+0200,2022-04-09T17:07:50+0200,2022-04-09T17:07:58+0200,2022-04-09T17:07:54+0200,2022-04-09T17:08:07+0200,2022-04-09T17:08:14+0200,2022-04-09T17:07:40+0200,2022-04-09T17:07:33+0200,2022-04-09T17:08:11+0200,2022-04-09T17:08:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:20:38+0200,2022-04-09T19:21:54+0200,2,2,2,2,2,3,4,4,4,3,3,4,4
,,2022-04-09T19:21:01+0200,2022-04-09T19:21:22+0200,2022-04-09T19:21:16+0200,2022-04-09T19:21:18+0200,2022-04-09T19:21:52+0200,2022-04-09T19:21:13+0200,2022-04-09T19:21:49+0200,2022-04-09T19:21:30+0200,2022-04-09T19:21:46+0200,2022-04-09T19:21:38+0200,2022-04-09T19:21:34+0200,2022-04-09T19:21:08+0200,2022-04-09T19:21:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:14:08+0200,2022-04-09T21:15:02+0200,3,2,2,2,2,4,3,4,4,3,3,4,3
,,2022-04-09T21:14:15+0200,2022-04-09T21:14:38+0200,2022-04-09T21:14:43+0200,2022-04-09T21:14:32+0200,2022-04-09T21:14:24+0200,2022-04-09T21:14:51+0200,2022-04-09T21:14:36+0200,2022-04-09T21:14:48+0200,2022-04-09T21:14:42+0200,2022-04-09T21:14:53+0200,2022-04-09T21:15:00+0200,2022-04-09T21:14:30+0200,2022-04-09T21:14:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:00:30+0200,2022-04-16T10:01:21+0200,4,1,1,3,3,4,4,3,4,3,3,4,4
,,2022-04-16T10:00:37+0200,2022-04-16T10:00:41+0200,2022-04-16T10:01:20+0200,2022-04-16T10:01:02+0200,2022-04-16T10:01:04+0200,2022-04-16T10:01:11+0200,2022-04-16T10:01:08+0200,2022-04-16T10:00:45+0200,2022-04-16T10:00:49+0200,2022-04-16T10:01:17+0200,2022-04-16T10:00:59+0200,2022-04-16T10:01:14+0200,2022-04-16T10:00:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:07:48+0200,2022-04-16T15:08:30+0200,5,1,1,4,5,4,4,3,4,3,3,3,4
,,2022-04-16T15:07:51+0200,2022-04-16T15:07:54+0200,2022-04-16T15:08:09+0200,2022-04-16T15:08:29+0200,2022-04-16T15:08:00+0200,2022-04-16T15:08:07+0200,2022-04-16T15:08:26+0200,2022-04-16T15:08:15+0200,2022-04-16T15:08:24+0200,2022-04-16T15:08:04+0200,2022-04-16T15:08:18+0200,2022-04-16T15:07:56+0200,2022-04-16T15:08:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:21:53+0200,2022-04-16T17:22:36+0200,3,2,2,3,3,3,4,3,4,4,4,3,4
,,2022-04-16T17:21:56+0200,2022-04-16T17:22:34+0200,2022-04-16T17:22:09+0200,2022-04-16T17:22:24+0200,2022-04-16T17:22:15+0200,2022-04-16T17:22:01+0200,2022-04-16T17:22:12+0200,2022-04-16T17:22:03+0200,2022-04-16T17:22:30+0200,2022-04-16T17:22:21+0200,2022-04-16T17:22:07+0200,2022-04-16T17:22:17+0200,2022-04-16T17:22:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:06:33+0200,2022-04-16T19:07:12+0200,3,2,2,2,3,3,4,3,3,3,3,3,3
,,2022-04-16T19:06:39+0200,2022-04-16T19:06:54+0200,2022-04-16T19:06:57+0200,2022-04-16T19:07:08+0200,2022-04-16T19:06:42+0200,2022-04-16T19:06:59+0200,2022-04-16T19:07:11+0200,2022-04-16T19:07:05+0200,2022-04-16T19:07:03+0200,2022-04-16T19:06:51+0200,2022-04-16T19:06:48+0200,2022-04-16T19:06:56+0200,2022-04-16T19:07:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:00:15+0200,2022-04-16T21:01:09+0200,2,3,3,2,2,3,4,3,4,4,3,3,4
,,2022-04-16T21:00:18+0200,2022-04-16T21:01:08+0200,2022-04-16T21:00:28+0200,2022-04-16T21:01:06+0200,2022-04-16T21:01:02+0200,2022-04-16T21:01:01+0200,2022-04-16T21:00:35+0200,2022-04-16T21:00:24+0200,2022-04-16T21:00:31+0200,2022-04-16T21:00:22+0200,2022-04-16T21:00:55+0200,2022-04-16T21:01:04+0200,2022-04-16T21:00:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:01:36+0200,2022-04-23T10:02:29+0200,2,2,2,2,3,3,3,3,4,4,3,3,4
