Survey Name,"compassion",Install Id,"E2C810CA-BE28-429F-A70B-4C55300B43D8"
Survey Author,"Ilaria Colpizzi"
Subject ID,"le_pe_2000_06_03_133_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:09:48+0200,2022-04-02T10:10:40+0200,5,1,1,5,5,6,1,5,3,2,5,5,3
,,2022-04-02T10:09:53+0200,2022-04-02T10:09:57+0200,2022-04-02T10:10:21+0200,2022-04-02T10:10:38+0200,2022-04-02T10:10:33+0200,2022-04-02T10:10:19+0200,2022-04-02T10:10:06+0200,2022-04-02T10:10:03+0200,2022-04-02T10:10:12+0200,2022-04-02T10:10:36+0200,2022-04-02T10:10:16+0200,2022-04-02T10:10:31+0200,2022-04-02T10:10:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:12:44+0200,2022-04-02T15:13:29+0200,4,1,1,5,5,5,2,5,4,2,4,6,4
,,2022-04-02T15:12:48+0200,2022-04-02T15:13:17+0200,2022-04-02T15:13:09+0200,2022-04-02T15:13:14+0200,2022-04-02T15:13:02+0200,2022-04-02T15:13:12+0200,2022-04-02T15:13:06+0200,2022-04-02T15:13:25+0200,2022-04-02T15:12:53+0200,2022-04-02T15:12:56+0200,2022-04-02T15:13:00+0200,2022-04-02T15:13:20+0200,2022-04-02T15:13:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:36:15+0200,2022-04-02T17:36:35+0200,3,3,3,4,4,4,4,4,3,3,4,4,4
,,2022-04-02T17:36:18+0200,2022-04-02T17:36:27+0200,2022-04-02T17:36:25+0200,2022-04-02T17:36:31+0200,2022-04-02T17:36:34+0200,2022-04-02T17:36:29+0200,2022-04-02T17:36:32+0200,2022-04-02T17:36:23+0200,2022-04-02T17:36:28+0200,2022-04-02T17:36:21+0200,2022-04-02T17:36:26+0200,2022-04-02T17:36:33+0200,2022-04-02T17:36:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:16:13+0200,2022-04-02T19:16:27+0200,3,4,4,4,4,4,4,3,4,4,3,4,4
,,2022-04-02T19:16:14+0200,2022-04-02T19:16:26+0200,2022-04-02T19:16:19+0200,2022-04-02T19:16:25+0200,2022-04-02T19:16:23+0200,2022-04-02T19:16:22+0200,2022-04-02T19:16:24+0200,2022-04-02T19:16:17+0200,2022-04-02T19:16:26+0200,2022-04-02T19:16:16+0200,2022-04-02T19:16:20+0200,2022-04-02T19:16:18+0200,2022-04-02T19:16:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:21:21+0200,2022-04-02T21:21:34+0200,3,4,5,4,5,4,4,3,5,5,4,5,4
,,2022-04-02T21:21:23+0200,2022-04-02T21:21:29+0200,2022-04-02T21:21:24+0200,2022-04-02T21:21:31+0200,2022-04-02T21:21:25+0200,2022-04-02T21:21:31+0200,2022-04-02T21:21:30+0200,2022-04-02T21:21:28+0200,2022-04-02T21:21:28+0200,2022-04-02T21:21:25+0200,2022-04-02T21:21:32+0200,2022-04-02T21:21:26+0200,2022-04-02T21:21:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:14:08+0200,2022-04-09T10:14:52+0200,1,5,5,1,1,1,6,6,6,6,1,1,6
,,2022-04-09T10:14:24+0200,2022-04-09T10:14:26+0200,2022-04-09T10:14:36+0200,2022-04-09T10:14:46+0200,2022-04-09T10:14:31+0200,2022-04-09T10:14:33+0200,2022-04-09T10:14:47+0200,2022-04-09T10:14:44+0200,2022-04-09T10:14:29+0200,2022-04-09T10:14:35+0200,2022-04-09T10:14:51+0200,2022-04-09T10:14:41+0200,2022-04-09T10:14:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:23:56+0200,2022-04-09T15:25:13+0200,2,5,5,1,1,1,5,6,6,2,2,5,5
,,2022-04-09T15:24:08+0200,2022-04-09T15:24:42+0200,2022-04-09T15:24:45+0200,2022-04-09T15:24:39+0200,2022-04-09T15:25:12+0200,2022-04-09T15:25:07+0200,2022-04-09T15:25:10+0200,2022-04-09T15:24:34+0200,2022-04-09T15:25:00+0200,2022-04-09T15:24:23+0200,2022-04-09T15:24:29+0200,2022-04-09T15:24:13+0200,2022-04-09T15:24:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:09:32+0200,2022-04-09T17:09:44+0200,1,2,2,3,3,2,3,1,2,2,3,2,3
,,2022-04-09T17:09:33+0200,2022-04-09T17:09:35+0200,2022-04-09T17:09:37+0200,2022-04-09T17:09:34+0200,2022-04-09T17:09:44+0200,2022-04-09T17:09:38+0200,2022-04-09T17:09:42+0200,2022-04-09T17:09:40+0200,2022-04-09T17:09:40+0200,2022-04-09T17:09:37+0200,2022-04-09T17:09:41+0200,2022-04-09T17:09:39+0200,2022-04-09T17:09:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:29:15+0200,2022-04-09T19:29:53+0200,5,1,1,5,4,6,2,1,1,1,6,1,5
,,2022-04-09T19:29:18+0200,2022-04-09T19:29:37+0200,2022-04-09T19:29:51+0200,2022-04-09T19:29:33+0200,2022-04-09T19:29:28+0200,2022-04-09T19:29:47+0200,2022-04-09T19:29:35+0200,2022-04-09T19:29:22+0200,2022-04-09T19:29:31+0200,2022-04-09T19:29:39+0200,2022-04-09T19:29:49+0200,2022-04-09T19:29:45+0200,2022-04-09T19:29:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:11:09+0200,2022-04-09T21:12:07+0200,4,1,2,3,4,4,1,4,2,3,4,4,4
