Survey Name,"compassion",Install Id,"9c3d5be3-2e36-4459-9c75-ed0b00135bc5"
Author,"Ilaria Colpizzi"
Subject ID,"li_bu_2000_07_13_102_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:04:55+0200,2022-04-09T10:06:48+0200,4,2,3,2,3,4,4,5,6,2,3,3,6
,,2022-04-09T10:05:25+0200,2022-04-09T10:05:41+0200,2022-04-09T10:05:54+0200,2022-04-09T10:05:51+0200,2022-04-09T10:06:30+0200,2022-04-09T10:06:39+0200,2022-04-09T10:06:18+0200,2022-04-09T10:05:36+0200,2022-04-09T10:05:46+0200,2022-04-09T10:06:24+0200,2022-04-09T10:06:04+0200,2022-04-09T10:06:11+0200,2022-04-09T10:06:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:18:45+0200,2022-04-09T17:19:46+0200,4,2,2,3,3,5,3,5,5,3,5,5,5
,,2022-04-09T17:18:51+0200,2022-04-09T17:19:03+0200,2022-04-09T17:19:34+0200,2022-04-09T17:19:06+0200,2022-04-09T17:19:09+0200,2022-04-09T17:19:39+0200,2022-04-09T17:18:56+0200,2022-04-09T17:19:26+0200,2022-04-09T17:19:31+0200,2022-04-09T17:18:59+0200,2022-04-09T17:19:43+0200,2022-04-09T17:19:15+0200,2022-04-09T17:19:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:00:58+0200,2022-04-09T19:02:55+0200,4,1,1,2,4,6,3,6,5,2,5,6,5
,,2022-04-09T19:01:14+0200,2022-04-09T19:01:31+0200,2022-04-09T19:02:02+0200,2022-04-09T19:02:48+0200,2022-04-09T19:01:38+0200,2022-04-09T19:01:35+0200,2022-04-09T19:01:21+0200,2022-04-09T19:02:41+0200,2022-04-09T19:01:25+0200,2022-04-09T19:01:43+0200,2022-04-09T19:01:55+0200,2022-04-09T19:01:59+0200,2022-04-09T19:01:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:20:09+0200,2022-04-09T21:21:01+0200,4,1,1,3,4,6,3,6,5,2,6,6,6
,,2022-04-09T21:20:11+0200,2022-04-09T21:20:14+0200,2022-04-09T21:20:25+0200,2022-04-09T21:20:49+0200,2022-04-09T21:20:45+0200,2022-04-09T21:20:58+0200,2022-04-09T21:20:23+0200,2022-04-09T21:20:33+0200,2022-04-09T21:20:38+0200,2022-04-09T21:20:29+0200,2022-04-09T21:20:54+0200,2022-04-09T21:20:18+0200,2022-04-09T21:20:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:31:48+0200,2022-04-16T10:32:48+0200,4,4,3,2,3,4,4,4,6,2,4,4,5
,,2022-04-16T10:31:51+0200,2022-04-16T10:32:31+0200,2022-04-16T10:31:55+0200,2022-04-16T10:32:03+0200,2022-04-16T10:32:35+0200,2022-04-16T10:32:11+0200,2022-04-16T10:32:08+0200,2022-04-16T10:32:46+0200,2022-04-16T10:31:59+0200,2022-04-16T10:32:20+0200,2022-04-16T10:32:30+0200,2022-04-16T10:32:16+0200,2022-04-16T10:32:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:28:26+0200,2022-04-16T17:30:23+0200,4,1,2,4,5,5,3,6,5,2,5,6,6
