Survey Name,"compassion",Install Id,"55E85906-AA0F-4CD0-86D9-FDD4CF588718"
Survey Author,"Ilaria Colpizzi"
Subject ID,"lo_pa_2002_01_01_246_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:07:11+0200,2022-04-02T10:09:15+0200,5,2,1,4,5,6,1,6,3,2,5,5,5
,,2022-04-02T10:07:43+0200,2022-04-02T10:08:42+0200,2022-04-02T10:08:49+0200,2022-04-02T10:08:04+0200,2022-04-02T10:08:12+0200,2022-04-02T10:07:50+0200,2022-04-02T10:08:36+0200,2022-04-02T10:08:25+0200,2022-04-02T10:09:12+0200,2022-04-02T10:07:56+0200,2022-04-02T10:09:00+0200,2022-04-02T10:08:29+0200,2022-04-02T10:08:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:27:47+0200,2022-04-02T15:29:28+0200,3,1,1,4,5,6,1,6,1,1,5,3,4
,,2022-04-02T15:27:58+0200,2022-04-02T15:28:11+0200,2022-04-02T15:28:08+0200,2022-04-02T15:28:15+0200,2022-04-02T15:29:14+0200,2022-04-02T15:29:27+0200,2022-04-02T15:28:39+0200,2022-04-02T15:28:22+0200,2022-04-02T15:29:00+0200,2022-04-02T15:29:09+0200,2022-04-02T15:29:05+0200,2022-04-02T15:28:30+0200,2022-04-02T15:29:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:20:22+0200,2022-04-02T17:22:04+0200,5,1,1,4,5,6,1,6,2,1,6,2,5
,,2022-04-02T17:20:27+0200,2022-04-02T17:21:00+0200,2022-04-02T17:21:57+0200,2022-04-02T17:20:37+0200,2022-04-02T17:21:17+0200,2022-04-02T17:21:14+0200,2022-04-02T17:20:55+0200,2022-04-02T17:21:11+0200,2022-04-02T17:21:53+0200,2022-04-02T17:21:03+0200,2022-04-02T17:21:48+0200,2022-04-02T17:20:46+0200,2022-04-02T17:21:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:01:42+0200,2022-04-02T19:02:44+0200,4,1,1,4,4,6,1,6,2,6,5,6,5
,,2022-04-02T19:01:47+0200,2022-04-02T19:02:11+0200,2022-04-02T19:01:57+0200,2022-04-02T19:02:28+0200,2022-04-02T19:02:40+0200,2022-04-02T19:01:51+0200,2022-04-02T19:02:09+0200,2022-04-02T19:02:34+0200,2022-04-02T19:02:25+0200,2022-04-02T19:02:42+0200,2022-04-02T19:02:16+0200,2022-04-02T19:01:54+0200,2022-04-02T19:02:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:04:42+0200,2022-04-02T21:05:43+0200,5,1,1,4,5,6,1,6,2,1,5,6,5
,,2022-04-02T21:04:53+0200,2022-04-02T21:04:57+0200,2022-04-02T21:05:41+0200,2022-04-02T21:05:30+0200,2022-04-02T21:05:05+0200,2022-04-02T21:05:18+0200,2022-04-02T21:05:13+0200,2022-04-02T21:05:34+0200,2022-04-02T21:05:38+0200,2022-04-02T21:05:09+0200,2022-04-02T21:05:27+0200,2022-04-02T21:05:01+0200,2022-04-02T21:05:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:12:08+0200,2022-04-09T10:13:43+0200,5,1,1,4,4,5,1,6,1,1,5,5,5
,,2022-04-09T10:12:15+0200,2022-04-09T10:12:54+0200,2022-04-09T10:13:21+0200,2022-04-09T10:12:49+0200,2022-04-09T10:12:59+0200,2022-04-09T10:12:39+0200,2022-04-09T10:12:43+0200,2022-04-09T10:13:06+0200,2022-04-09T10:13:30+0200,2022-04-09T10:13:13+0200,2022-04-09T10:13:40+0200,2022-04-09T10:13:17+0200,2022-04-09T10:12:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:28:42+0200,2022-04-09T15:29:39+0200,5,2,1,4,5,6,1,6,2,1,6,6,6
,,2022-04-09T15:28:44+0200,2022-04-09T15:29:35+0200,2022-04-09T15:28:47+0200,2022-04-09T15:29:25+0200,2022-04-09T15:29:10+0200,2022-04-09T15:29:37+0200,2022-04-09T15:29:14+0200,2022-04-09T15:29:20+0200,2022-04-09T15:28:59+0200,2022-04-09T15:29:31+0200,2022-04-09T15:29:04+0200,2022-04-09T15:29:07+0200,2022-04-09T15:28:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:26:49+0200,2022-04-09T17:28:32+0200,5,1,1,4,4,6,1,6,2,1,6,6,5
,,2022-04-09T17:26:51+0200,2022-04-09T17:27:16+0200,2022-04-09T17:27:14+0200,2022-04-09T17:27:23+0200,2022-04-09T17:27:46+0200,2022-04-09T17:27:10+0200,2022-04-09T17:27:07+0200,2022-04-09T17:27:27+0200,2022-04-09T17:27:40+0200,2022-04-09T17:27:19+0200,2022-04-09T17:28:10+0200,2022-04-09T17:27:30+0200,2022-04-09T17:28:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:35:38+0200,2022-04-09T19:37:03+0200,5,1,2,3,4,5,1,6,2,1,5,6,5
,,2022-04-09T19:35:57+0200,2022-04-09T19:36:48+0200,2022-04-09T19:36:18+0200,2022-04-09T19:36:54+0200,2022-04-09T19:36:34+0200,2022-04-09T19:36:12+0200,2022-04-09T19:36:22+0200,2022-04-09T19:36:57+0200,2022-04-09T19:36:15+0200,2022-04-09T19:36:42+0200,2022-04-09T19:37:02+0200,2022-04-09T19:36:26+0200,2022-04-09T19:36:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:11:22+0200,2022-04-09T21:12:13+0200,5,2,1,3,4,6,1,6,2,2,5,6,6
,,2022-04-09T21:11:25+0200,2022-04-09T21:12:11+0200,2022-04-09T21:11:55+0200,2022-04-09T21:11:59+0200,2022-04-09T21:12:01+0200,2022-04-09T21:12:06+0200,2022-04-09T21:12:09+0200,2022-04-09T21:11:53+0200,2022-04-09T21:11:29+0200,2022-04-09T21:11:43+0200,2022-04-09T21:11:33+0200,2022-04-09T21:11:36+0200,2022-04-09T21:11:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:29:16+0200,2022-04-16T10:30:27+0200,4,1,1,3,4,5,1,6,2,2,5,5,5
,,2022-04-16T10:29:22+0200,2022-04-16T10:29:35+0200,2022-04-16T10:29:56+0200,2022-04-16T10:30:08+0200,2022-04-16T10:30:25+0200,2022-04-16T10:30:17+0200,2022-04-16T10:30:22+0200,2022-04-16T10:30:05+0200,2022-04-16T10:30:14+0200,2022-04-16T10:29:30+0200,2022-04-16T10:29:53+0200,2022-04-16T10:30:01+0200,2022-04-16T10:29:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:22:50+0200,2022-04-16T15:23:50+0200,3,1,1,3,4,5,1,6,2,1,6,5,4
,,2022-04-16T15:22:53+0200,2022-04-16T15:23:49+0200,2022-04-16T15:23:19+0200,2022-04-16T15:23:13+0200,2022-04-16T15:23:09+0200,2022-04-16T15:23:16+0200,2022-04-16T15:23:23+0200,2022-04-16T15:22:58+0200,2022-04-16T15:23:05+0200,2022-04-16T15:23:43+0200,2022-04-16T15:23:46+0200,2022-04-16T15:23:37+0200,2022-04-16T15:23:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:02:16+0200,2022-04-16T17:02:50+0200,5,1,1,4,4,5,1,6,1,1,5,5,5
,,2022-04-16T17:02:18+0200,2022-04-16T17:02:44+0200,2022-04-16T17:02:49+0200,2022-04-16T17:02:33+0200,2022-04-16T17:02:27+0200,2022-04-16T17:02:39+0200,2022-04-16T17:02:31+0200,2022-04-16T17:02:37+0200,2022-04-16T17:02:24+0200,2022-04-16T17:02:47+0200,2022-04-16T17:02:42+0200,2022-04-16T17:02:21+0200,2022-04-16T17:02:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:30:37+0200,2022-04-16T19:31:23+0200,4,1,1,4,5,5,1,6,1,1,5,5,5
