Survey Name,"compassion",Install Id,"2ca53c03-20e8-40fb-ac4d-d52a23b71740"
Author,"Ilaria Colpizzi"
Subject ID,"lo_sc_2002_11_29_242_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:03:14+0200,2022-04-02T10:06:21+0200,4,1,1,3,4,5,2,4,2,1,4,5,4
,,2022-04-02T10:03:29+0200,2022-04-02T10:06:10+0200,2022-04-02T10:03:46+0200,2022-04-02T10:04:29+0200,2022-04-02T10:04:08+0200,2022-04-02T10:03:37+0200,2022-04-02T10:05:52+0200,2022-04-02T10:04:57+0200,2022-04-02T10:06:17+0200,2022-04-02T10:04:24+0200,2022-04-02T10:06:00+0200,2022-04-02T10:03:57+0200,2022-04-02T10:04:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:20:26+0200,2022-04-02T15:21:36+0200,5,1,1,3,4,4,3,5,3,3,5,4,4
,,2022-04-02T15:20:44+0200,2022-04-02T15:20:54+0200,2022-04-02T15:20:53+0200,2022-04-02T15:21:17+0200,2022-04-02T15:21:15+0200,2022-04-02T15:21:00+0200,2022-04-02T15:20:50+0200,2022-04-02T15:21:11+0200,2022-04-02T15:21:28+0200,2022-04-02T15:21:23+0200,2022-04-02T15:21:34+0200,2022-04-02T15:21:03+0200,2022-04-02T15:21:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:25:06+0200,2022-04-02T17:26:57+0200,4,2,2,3,4,4,2,5,2,2,5,4,4
,,2022-04-02T17:25:24+0200,2022-04-02T17:25:34+0200,2022-04-02T17:26:32+0200,2022-04-02T17:26:25+0200,2022-04-02T17:25:29+0200,2022-04-02T17:26:40+0200,2022-04-02T17:25:58+0200,2022-04-02T17:26:21+0200,2022-04-02T17:25:50+0200,2022-04-02T17:26:48+0200,2022-04-02T17:26:29+0200,2022-04-02T17:26:55+0200,2022-04-02T17:25:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:24:51+0200,2022-04-09T10:25:48+0200,4,1,2,2,4,3,2,5,2,2,4,4,2
,,2022-04-09T10:25:05+0200,2022-04-09T10:25:27+0200,2022-04-09T10:25:09+0200,2022-04-09T10:25:24+0200,2022-04-09T10:25:11+0200,2022-04-09T10:25:21+0200,2022-04-09T10:25:15+0200,2022-04-09T10:25:46+0200,2022-04-09T10:25:31+0200,2022-04-09T10:25:18+0200,2022-04-09T10:25:35+0200,2022-04-09T10:25:40+0200,2022-04-09T10:25:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:25:39+0200,2022-04-09T15:26:43+0200,4,2,2,3,4,4,2,5,2,2,4,4,4
,,2022-04-09T15:25:44+0200,2022-04-09T15:26:40+0200,2022-04-09T15:26:26+0200,2022-04-09T15:25:52+0200,2022-04-09T15:26:00+0200,2022-04-09T15:26:37+0200,2022-04-09T15:25:57+0200,2022-04-09T15:26:18+0200,2022-04-09T15:26:33+0200,2022-04-09T15:26:21+0200,2022-04-09T15:26:10+0200,2022-04-09T15:25:49+0200,2022-04-09T15:25:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:23:13+0200,2022-04-09T17:24:06+0200,2,4,3,2,2,3,4,5,3,5,2,1,5
,,2022-04-09T17:23:19+0200,2022-04-09T17:23:22+0200,2022-04-09T17:23:50+0200,2022-04-09T17:23:33+0200,2022-04-09T17:23:37+0200,2022-04-09T17:23:57+0200,2022-04-09T17:23:42+0200,2022-04-09T17:23:48+0200,2022-04-09T17:23:53+0200,2022-04-09T17:23:31+0200,2022-04-09T17:24:02+0200,2022-04-09T17:23:26+0200,2022-04-09T17:24:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:35:21+0200,2022-04-09T19:35:46+0200,3,3,3,3,3,3,4,3,4,2,5,2,4
,,2022-04-09T19:35:25+0200,2022-04-09T19:35:37+0200,2022-04-09T19:35:45+0200,2022-04-09T19:35:44+0200,2022-04-09T19:35:39+0200,2022-04-09T19:35:38+0200,2022-04-09T19:35:42+0200,2022-04-09T19:35:35+0200,2022-04-09T19:35:42+0200,2022-04-09T19:35:28+0200,2022-04-09T19:35:33+0200,2022-04-09T19:35:40+0200,2022-04-09T19:35:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:23:03+0200,2022-04-09T21:23:54+0200,4,2,2,3,4,5,3,5,2,4,5,4,5
,,2022-04-09T21:23:05+0200,2022-04-09T21:23:23+0200,2022-04-09T21:23:21+0200,2022-04-09T21:23:31+0200,2022-04-09T21:23:44+0200,2022-04-09T21:23:19+0200,2022-04-09T21:23:09+0200,2022-04-09T21:23:13+0200,2022-04-09T21:23:36+0200,2022-04-09T21:23:17+0200,2022-04-09T21:23:27+0200,2022-04-09T21:23:52+0200,2022-04-09T21:23:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:17:26+0200,2022-04-16T15:18:50+0200,4,2,2,4,3,4,3,4,1,5,5,4,1
,,2022-04-16T15:17:30+0200,2022-04-16T15:18:49+0200,2022-04-16T15:17:43+0200,2022-04-16T15:18:14+0200,2022-04-16T15:17:41+0200,2022-04-16T15:17:54+0200,2022-04-16T15:17:51+0200,2022-04-16T15:17:38+0200,2022-04-16T15:18:11+0200,2022-04-16T15:17:48+0200,2022-04-16T15:18:42+0200,2022-04-16T15:18:04+0200,2022-04-16T15:18:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:08:43+0200,2022-04-16T17:09:25+0200,5,1,2,4,4,5,1,5,2,2,5,4,1
,,2022-04-16T17:08:51+0200,2022-04-16T17:09:16+0200,2022-04-16T17:09:19+0200,2022-04-16T17:09:03+0200,2022-04-16T17:08:53+0200,2022-04-16T17:09:23+0200,2022-04-16T17:09:12+0200,2022-04-16T17:08:58+0200,2022-04-16T17:09:01+0200,2022-04-16T17:08:55+0200,2022-04-16T17:09:09+0200,2022-04-16T17:09:06+0200,2022-04-16T17:09:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:12:17+0200,2022-04-16T19:13:08+0200,3,1,1,4,3,4,2,4,2,2,5,2,2
,,2022-04-16T19:12:24+0200,2022-04-16T19:12:42+0200,2022-04-16T19:12:32+0200,2022-04-16T19:12:38+0200,2022-04-16T19:12:45+0200,2022-04-16T19:12:27+0200,2022-04-16T19:12:48+0200,2022-04-16T19:12:57+0200,2022-04-16T19:12:41+0200,2022-04-16T19:13:07+0200,2022-04-16T19:12:36+0200,2022-04-16T19:12:53+0200,2022-04-16T19:12:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:50:32+0200,2022-04-16T21:51:21+0200,4,2,1,4,4,4,1,5,2,2,5,4,5
,,2022-04-16T21:50:35+0200,2022-04-16T21:50:45+0200,2022-04-16T21:50:55+0200,2022-04-16T21:50:44+0200,2022-04-16T21:51:15+0200,2022-04-16T21:51:20+0200,2022-04-16T21:51:12+0200,2022-04-16T21:51:09+0200,2022-04-16T21:51:07+0200,2022-04-16T21:50:42+0200,2022-04-16T21:50:53+0200,2022-04-16T21:51:18+0200,2022-04-16T21:50:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:29:34+0200,2022-04-23T15:30:16+0200,3,2,2,1,4,2,2,5,2,3,2,4,2
