Survey Name,"compassion",Install Id,"9857FA95-AB20-44C4-A7BB-E8B22C6ABDDF"
Survey Author,"Ilaria Colpizzi"
Subject ID,"lu_te_2002_05_01_691_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:56:44+0200,2022-04-02T10:58:26+0200,3,3,2,3,4,4,3,5,5,2,4,4,4
,,2022-04-02T10:56:59+0200,2022-04-02T10:57:42+0200,2022-04-02T10:57:35+0200,2022-04-02T10:57:38+0200,2022-04-02T10:57:56+0200,2022-04-02T10:58:17+0200,2022-04-02T10:58:01+0200,2022-04-02T10:57:30+0200,2022-04-02T10:57:11+0200,2022-04-02T10:57:52+0200,2022-04-02T10:58:10+0200,2022-04-02T10:58:22+0200,2022-04-02T10:57:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:18:54+0200,2022-04-02T15:20:21+0200,4,3,2,3,3,4,4,3,5,5,3,4,6
,,2022-04-02T15:19:00+0200,2022-04-02T15:19:40+0200,2022-04-02T15:19:58+0200,2022-04-02T15:19:46+0200,2022-04-02T15:19:37+0200,2022-04-02T15:19:21+0200,2022-04-02T15:19:55+0200,2022-04-02T15:20:17+0200,2022-04-02T15:19:27+0200,2022-04-02T15:19:16+0200,2022-04-02T15:19:08+0200,2022-04-02T15:20:03+0200,2022-04-02T15:19:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:17:36+0200,2022-04-02T17:19:01+0200,1,4,4,4,2,4,4,4,4,5,4,3,4
,,2022-04-02T17:17:54+0200,2022-04-02T17:18:57+0200,2022-04-02T17:18:59+0200,2022-04-02T17:18:30+0200,2022-04-02T17:18:43+0200,2022-04-02T17:18:34+0200,2022-04-02T17:18:03+0200,2022-04-02T17:18:11+0200,2022-04-02T17:18:17+0200,2022-04-02T17:18:22+0200,2022-04-02T17:18:39+0200,2022-04-02T17:18:51+0200,2022-04-02T17:18:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:21:18+0200,2022-04-02T19:22:31+0200,2,2,4,3,3,4,5,5,6,5,4,2,6
,,2022-04-02T19:21:29+0200,2022-04-02T19:22:01+0200,2022-04-02T19:21:54+0200,2022-04-02T19:21:58+0200,2022-04-02T19:21:47+0200,2022-04-02T19:22:13+0200,2022-04-02T19:21:51+0200,2022-04-02T19:22:20+0200,2022-04-02T19:22:09+0200,2022-04-02T19:21:41+0200,2022-04-02T19:22:29+0200,2022-04-02T19:21:36+0200,2022-04-02T19:22:05+0200
