Survey Name,"compassion",Install Id,"3B3F08B9-3C20-43BB-A9BA-7E221400939D"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ma_pa_2002_03_03_391_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:05:28+0200,2022-04-02T15:06:52+0200,3,3,2,4,2,3,2,4,4,4,4,2,5
,,2022-04-02T15:05:38+0200,2022-04-02T15:05:44+0200,2022-04-02T15:06:47+0200,2022-04-02T15:06:04+0200,2022-04-02T15:05:47+0200,2022-04-02T15:06:16+0200,2022-04-02T15:06:28+0200,2022-04-02T15:06:22+0200,2022-04-02T15:06:42+0200,2022-04-02T15:06:36+0200,2022-04-02T15:05:54+0200,2022-04-02T15:06:09+0200,2022-04-02T15:05:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:14:29+0200,2022-04-02T17:15:45+0200,2,5,5,1,2,1,5,3,6,6,3,1,6
,,2022-04-02T17:14:35+0200,2022-04-02T17:14:58+0200,2022-04-02T17:15:12+0200,2022-04-02T17:15:27+0200,2022-04-02T17:15:23+0200,2022-04-02T17:15:39+0200,2022-04-02T17:14:41+0200,2022-04-02T17:15:17+0200,2022-04-02T17:15:03+0200,2022-04-02T17:15:10+0200,2022-04-02T17:14:47+0200,2022-04-02T17:14:54+0200,2022-04-02T17:15:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:29:24+0200,2022-04-02T19:31:30+0200,2,5,4,2,2,3,5,2,6,5,1,1,5
,,2022-04-02T19:29:32+0200,2022-04-02T19:30:50+0200,2022-04-02T19:30:46+0200,2022-04-02T19:29:39+0200,2022-04-02T19:31:16+0200,2022-04-02T19:31:26+0200,2022-04-02T19:30:41+0200,2022-04-02T19:29:56+0200,2022-04-02T19:30:29+0200,2022-04-02T19:29:36+0200,2022-04-02T19:31:12+0200,2022-04-02T19:31:22+0200,2022-04-02T19:29:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:30:40+0200,2022-04-02T21:31:50+0200,2,5,4,2,2,3,5,2,6,5,1,2,6
,,2022-04-02T21:30:51+0200,2022-04-02T21:31:20+0200,2022-04-02T21:31:34+0200,2022-04-02T21:31:40+0200,2022-04-02T21:31:25+0200,2022-04-02T21:30:55+0200,2022-04-02T21:31:13+0200,2022-04-02T21:31:17+0200,2022-04-02T21:31:45+0200,2022-04-02T21:31:37+0200,2022-04-02T21:31:07+0200,2022-04-02T21:31:30+0200,2022-04-02T21:31:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:12:43+0200,2022-04-09T10:14:00+0200,4,2,2,3,3,3,4,5,6,3,3,2,5
,,2022-04-09T10:12:47+0200,2022-04-09T10:12:58+0200,2022-04-09T10:13:44+0200,2022-04-09T10:13:25+0200,2022-04-09T10:13:47+0200,2022-04-09T10:13:30+0200,2022-04-09T10:12:54+0200,2022-04-09T10:13:37+0200,2022-04-09T10:13:01+0200,2022-04-09T10:13:04+0200,2022-04-09T10:13:21+0200,2022-04-09T10:13:55+0200,2022-04-09T10:13:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:09:05+0200,2022-04-09T15:10:08+0200,3,3,3,3,3,3,3,4,3,3,3,2,4
,,2022-04-09T15:09:09+0200,2022-04-09T15:09:36+0200,2022-04-09T15:09:56+0200,2022-04-09T15:09:25+0200,2022-04-09T15:10:06+0200,2022-04-09T15:09:17+0200,2022-04-09T15:09:13+0200,2022-04-09T15:10:03+0200,2022-04-09T15:09:46+0200,2022-04-09T15:09:28+0200,2022-04-09T15:09:53+0200,2022-04-09T15:09:21+0200,2022-04-09T15:09:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:16:34+0200,2022-04-09T17:18:47+0200,4,2,2,3,3,4,3,4,3,3,3,4,4
,,2022-04-09T17:16:42+0200,2022-04-09T17:18:10+0200,2022-04-09T17:18:13+0200,2022-04-09T17:18:18+0200,2022-04-09T17:18:16+0200,2022-04-09T17:17:52+0200,2022-04-09T17:16:53+0200,2022-04-09T17:17:58+0200,2022-04-09T17:16:50+0200,2022-04-09T17:18:42+0200,2022-04-09T17:17:33+0200,2022-04-09T17:18:08+0200,2022-04-09T17:17:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
