Survey Name,"compassion",Install Id,"FC891129-1D46-40E8-A111-34CA210598A4"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ma_sa_2001_02_07_791_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:24:59+0200,2022-04-02T10:26:26+0200,3,2,2,3,4,3,4,5,5,4,4,4,4
,,2022-04-02T10:25:07+0200,2022-04-02T10:25:23+0200,2022-04-02T10:25:39+0200,2022-04-02T10:25:51+0200,2022-04-02T10:25:36+0200,2022-04-02T10:26:01+0200,2022-04-02T10:25:18+0200,2022-04-02T10:25:47+0200,2022-04-02T10:26:22+0200,2022-04-02T10:25:33+0200,2022-04-02T10:26:11+0200,2022-04-02T10:25:57+0200,2022-04-02T10:26:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:18:47+0200,2022-04-02T15:19:45+0200,4,3,3,4,4,4,1,5,5,3,5,4,4
,,2022-04-02T15:18:56+0200,2022-04-02T15:19:00+0200,2022-04-02T15:19:33+0200,2022-04-02T15:19:39+0200,2022-04-02T15:19:02+0200,2022-04-02T15:19:37+0200,2022-04-02T15:19:09+0200,2022-04-02T15:19:31+0200,2022-04-02T15:19:43+0200,2022-04-02T15:19:17+0200,2022-04-02T15:19:14+0200,2022-04-02T15:19:24+0200,2022-04-02T15:19:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:03:27+0200,2022-04-02T17:05:03+0200,2,1,1,4,5,6,1,5,2,1,5,5,4
,,2022-04-02T17:03:39+0200,2022-04-02T17:04:32+0200,2022-04-02T17:03:45+0200,2022-04-02T17:03:49+0200,2022-04-02T17:03:53+0200,2022-04-02T17:04:39+0200,2022-04-02T17:04:30+0200,2022-04-02T17:04:03+0200,2022-04-02T17:04:50+0200,2022-04-02T17:04:09+0200,2022-04-02T17:04:25+0200,2022-04-02T17:05:01+0200,2022-04-02T17:04:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:41:39+0200,2022-04-02T19:43:02+0200,4,1,1,5,5,6,1,5,3,1,5,5,4
,,2022-04-02T19:41:48+0200,2022-04-02T19:42:07+0200,2022-04-02T19:43:00+0200,2022-04-02T19:42:58+0200,2022-04-02T19:42:55+0200,2022-04-02T19:42:03+0200,2022-04-02T19:41:53+0200,2022-04-02T19:42:16+0200,2022-04-02T19:42:50+0200,2022-04-02T19:42:24+0200,2022-04-02T19:41:58+0200,2022-04-02T19:42:10+0200,2022-04-02T19:42:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:14:15+0200,2022-04-02T21:15:07+0200,3,1,1,5,5,6,1,5,3,1,5,5,4
,,2022-04-02T21:14:22+0200,2022-04-02T21:14:55+0200,2022-04-02T21:15:02+0200,2022-04-02T21:14:41+0200,2022-04-02T21:14:57+0200,2022-04-02T21:14:39+0200,2022-04-02T21:14:31+0200,2022-04-02T21:15:01+0200,2022-04-02T21:15:06+0200,2022-04-02T21:14:53+0200,2022-04-02T21:14:45+0200,2022-04-02T21:14:36+0200,2022-04-02T21:14:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:05:06+0200,2022-04-09T15:06:13+0200,4,2,2,4,4,4,2,5,4,2,5,4,4
,,2022-04-09T15:05:11+0200,2022-04-09T15:05:22+0200,2022-04-09T15:06:00+0200,2022-04-09T15:05:43+0200,2022-04-09T15:05:20+0200,2022-04-09T15:05:47+0200,2022-04-09T15:05:53+0200,2022-04-09T15:05:17+0200,2022-04-09T15:05:41+0200,2022-04-09T15:05:57+0200,2022-04-09T15:05:37+0200,2022-04-09T15:06:10+0200,2022-04-09T15:06:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:25:27+0200,2022-04-09T17:26:45+0200,3,2,2,4,4,4,3,5,4,2,5,4,4
,,2022-04-09T17:25:29+0200,2022-04-09T17:26:41+0200,2022-04-09T17:25:32+0200,2022-04-09T17:25:46+0200,2022-04-09T17:26:39+0200,2022-04-09T17:26:44+0200,2022-04-09T17:25:44+0200,2022-04-09T17:26:38+0200,2022-04-09T17:26:30+0200,2022-04-09T17:26:28+0200,2022-04-09T17:26:25+0200,2022-04-09T17:25:40+0200,2022-04-09T17:25:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:31:17+0200,2022-04-09T19:31:43+0200,4,2,2,3,4,5,4,2,5,4,3,2,4
,,2022-04-09T19:31:18+0200,2022-04-09T19:31:31+0200,2022-04-09T19:31:28+0200,2022-04-09T19:31:20+0200,2022-04-09T19:31:32+0200,2022-04-09T19:31:25+0200,2022-04-09T19:31:40+0200,2022-04-09T19:31:22+0200,2022-04-09T19:31:36+0200,2022-04-09T19:31:37+0200,2022-04-09T19:31:41+0200,2022-04-09T19:31:34+0200,2022-04-09T19:31:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
