Survey Name,"compassion",Install Id,"ACABDE16-0028-48C4-925F-3539722946C3"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ma_al_2000_05_26_624_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:55:49+0200,2022-04-09T10:57:43+0200,3,2,2,3,4,3,1,5,4,4,5,4,2
,,2022-04-09T10:56:38+0200,2022-04-09T10:57:19+0200,2022-04-09T10:56:19+0200,2022-04-09T10:57:23+0200,2022-04-09T10:56:48+0200,2022-04-09T10:57:11+0200,2022-04-09T10:56:54+0200,2022-04-09T10:57:34+0200,2022-04-09T10:57:16+0200,2022-04-09T10:57:41+0200,2022-04-09T10:57:06+0200,2022-04-09T10:57:38+0200,2022-04-09T10:56:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:06:44+0200,2022-04-09T15:07:51+0200,4,2,1,4,3,4,1,5,4,4,5,3,5
,,2022-04-09T15:07:01+0200,2022-04-09T15:07:25+0200,2022-04-09T15:07:37+0200,2022-04-09T15:07:46+0200,2022-04-09T15:07:27+0200,2022-04-09T15:07:19+0200,2022-04-09T15:07:31+0200,2022-04-09T15:07:16+0200,2022-04-09T15:07:09+0200,2022-04-09T15:07:49+0200,2022-04-09T15:07:44+0200,2022-04-09T15:07:22+0200,2022-04-09T15:07:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:00:23+0200,2022-04-09T17:00:52+0200,5,1,1,4,3,4,5,3,3,4,3,3,4
,,2022-04-09T17:00:28+0200,2022-04-09T17:00:35+0200,2022-04-09T17:00:37+0200,2022-04-09T17:00:51+0200,2022-04-09T17:00:45+0200,2022-04-09T17:00:40+0200,2022-04-09T17:00:50+0200,2022-04-09T17:00:49+0200,2022-04-09T17:00:48+0200,2022-04-09T17:00:33+0200,2022-04-09T17:00:43+0200,2022-04-09T17:00:42+0200,2022-04-09T17:00:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:07:10+0200,2022-04-09T19:07:38+0200,3,2,3,2,1,4,3,2,4,2,3,3,4
,,2022-04-09T19:07:14+0200,2022-04-09T19:07:17+0200,2022-04-09T19:07:35+0200,2022-04-09T19:07:30+0200,2022-04-09T19:07:24+0200,2022-04-09T19:07:22+0200,2022-04-09T19:07:33+0200,2022-04-09T19:07:19+0200,2022-04-09T19:07:37+0200,2022-04-09T19:07:28+0200,2022-04-09T19:07:21+0200,2022-04-09T19:07:32+0200,2022-04-09T19:07:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:10:32+0200,2022-04-09T21:12:01+0200,2,5,4,1,3,2,5,1,6,6,5,3,4
,,2022-04-09T21:10:36+0200,2022-04-09T21:11:37+0200,2022-04-09T21:11:42+0200,2022-04-09T21:11:54+0200,2022-04-09T21:11:59+0200,2022-04-09T21:10:52+0200,2022-04-09T21:11:04+0200,2022-04-09T21:11:14+0200,2022-04-09T21:10:58+0200,2022-04-09T21:11:25+0200,2022-04-09T21:11:21+0200,2022-04-09T21:10:41+0200,2022-04-09T21:11:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:59:35+0200,2022-04-16T11:00:03+0200,5,3,2,4,2,3,4,2,3,4,3,2,3
,,2022-04-16T10:59:40+0200,2022-04-16T10:59:56+0200,2022-04-16T10:59:58+0200,2022-04-16T10:59:44+0200,2022-04-16T10:59:59+0200,2022-04-16T10:59:47+0200,2022-04-16T10:59:50+0200,2022-04-16T11:00:01+0200,2022-04-16T10:59:55+0200,2022-04-16T10:59:52+0200,2022-04-16T11:00:00+0200,2022-04-16T10:59:51+0200,2022-04-16T10:59:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:12:44+0200,2022-04-16T15:13:03+0200,3,2,2,3,3,4,4,2,3,3,2,2,5
,,2022-04-16T15:12:46+0200,2022-04-16T15:12:50+0200,2022-04-16T15:12:48+0200,2022-04-16T15:12:53+0200,2022-04-16T15:12:55+0200,2022-04-16T15:12:57+0200,2022-04-16T15:12:58+0200,2022-04-16T15:12:57+0200,2022-04-16T15:12:59+0200,2022-04-16T15:12:52+0200,2022-04-16T15:13:00+0200,2022-04-16T15:12:51+0200,2022-04-16T15:13:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:21:46+0200,2022-04-16T17:22:08+0200,3,2,1,3,4,3,5,2,4,4,2,5,4
,,2022-04-16T17:21:47+0200,2022-04-16T17:21:58+0200,2022-04-16T17:22:02+0200,2022-04-16T17:21:51+0200,2022-04-16T17:21:56+0200,2022-04-16T17:22:06+0200,2022-04-16T17:21:51+0200,2022-04-16T17:21:53+0200,2022-04-16T17:21:48+0200,2022-04-16T17:21:54+0200,2022-04-16T17:21:59+0200,2022-04-16T17:21:57+0200,2022-04-16T17:22:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:11:10+0200,2022-04-16T19:11:25+0200,2,4,3,4,2,4,2,2,2,3,3,4,4
,,2022-04-16T19:11:11+0200,2022-04-16T19:11:15+0200,2022-04-16T19:11:19+0200,2022-04-16T19:11:22+0200,2022-04-16T19:11:20+0200,2022-04-16T19:11:18+0200,2022-04-16T19:11:21+0200,2022-04-16T19:11:24+0200,2022-04-16T19:11:23+0200,2022-04-16T19:11:17+0200,2022-04-16T19:11:14+0200,2022-04-16T19:11:17+0200,2022-04-16T19:11:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:28:58+0200,2022-04-16T21:29:14+0200,3,2,2,4,4,3,4,3,3,4,4,3,3
,,2022-04-16T21:28:59+0200,2022-04-16T21:29:07+0200,2022-04-16T21:29:06+0200,2022-04-16T21:29:10+0200,2022-04-16T21:29:04+0200,2022-04-16T21:29:01+0200,2022-04-16T21:29:11+0200,2022-04-16T21:29:08+0200,2022-04-16T21:29:09+0200,2022-04-16T21:29:01+0200,2022-04-16T21:29:03+0200,2022-04-16T21:29:13+0200,2022-04-16T21:29:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:21:13+0200,2022-04-23T10:21:44+0200,3,2,2,3,4,4,3,3,2,3,2,3,3
,,2022-04-23T10:21:17+0200,2022-04-23T10:21:23+0200,2022-04-23T10:21:32+0200,2022-04-23T10:21:27+0200,2022-04-23T10:21:41+0200,2022-04-23T10:21:38+0200,2022-04-23T10:21:26+0200,2022-04-23T10:21:36+0200,2022-04-23T10:21:33+0200,2022-04-23T10:21:28+0200,2022-04-23T10:21:24+0200,2022-04-23T10:21:31+0200,2022-04-23T10:21:30+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:17:04+0200,2022-04-23T15:17:28+0200,3,3,2,2,2,3,4,2,4,4,2,3,3
,,2022-04-23T15:17:06+0200,2022-04-23T15:17:10+0200,2022-04-23T15:17:23+0200,2022-04-23T15:17:19+0200,2022-04-23T15:17:15+0200,2022-04-23T15:17:24+0200,2022-04-23T15:17:17+0200,2022-04-23T15:17:26+0200,2022-04-23T15:17:21+0200,2022-04-23T15:17:09+0200,2022-04-23T15:17:12+0200,2022-04-23T15:17:13+0200,2022-04-23T15:17:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:30:30+0200,2022-04-23T17:30:47+0200,3,3,4,2,3,3,4,2,4,4,3,4,4
,,2022-04-23T17:30:32+0200,2022-04-23T17:30:36+0200,2022-04-23T17:30:40+0200,2022-04-23T17:30:38+0200,2022-04-23T17:30:33+0200,2022-04-23T17:30:43+0200,2022-04-23T17:30:45+0200,2022-04-23T17:30:46+0200,2022-04-23T17:30:44+0200,2022-04-23T17:30:42+0200,2022-04-23T17:30:40+0200,2022-04-23T17:30:35+0200,2022-04-23T17:30:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:06:24+0200,2022-04-23T19:06:52+0200,3,2,3,3,2,3,4,3,3,3,3,4,3
,,2022-04-23T19:06:25+0200,2022-04-23T19:06:44+0200,2022-04-23T19:06:49+0200,2022-04-23T19:06:38+0200,2022-04-23T19:06:51+0200,2022-04-23T19:06:39+0200,2022-04-23T19:06:32+0200,2022-04-23T19:06:29+0200,2022-04-23T19:06:36+0200,2022-04-23T19:06:41+0200,2022-04-23T19:06:46+0200,2022-04-23T19:06:30+0200,2022-04-23T19:06:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:09:43+0200,2022-04-23T21:10:07+0200,3,2,2,3,3,5,4,2,3,3,3,3,5
,,2022-04-23T21:09:46+0200,2022-04-23T21:10:03+0200,2022-04-23T21:10:00+0200,2022-04-23T21:09:58+0200,2022-04-23T21:09:56+0200,2022-04-23T21:09:54+0200,2022-04-23T21:09:50+0200,2022-04-23T21:09:51+0200,2022-04-23T21:10:05+0200,2022-04-23T21:10:02+0200,2022-04-23T21:09:55+0200,2022-04-23T21:09:53+0200,2022-04-23T21:09:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:04:12+0200,2022-04-30T10:05:09+0200,4,1,2,3,4,3,4,5,2,3,4,5,4
,,2022-04-30T10:04:16+0200,2022-04-30T10:04:28+0200,2022-04-30T10:04:59+0200,2022-04-30T10:04:48+0200,2022-04-30T10:04:21+0200,2022-04-30T10:04:52+0200,2022-04-30T10:04:45+0200,2022-04-30T10:04:39+0200,2022-04-30T10:05:02+0200,2022-04-30T10:04:57+0200,2022-04-30T10:04:24+0200,2022-04-30T10:04:33+0200,2022-04-30T10:05:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:07:25+0200,2022-04-30T15:07:57+0200,2,4,4,4,2,3,3,2,2,3,3,3,3
,,2022-04-30T15:07:26+0200,2022-04-30T15:07:55+0200,2022-04-30T15:07:30+0200,2022-04-30T15:07:53+0200,2022-04-30T15:07:32+0200,2022-04-30T15:07:54+0200,2022-04-30T15:07:39+0200,2022-04-30T15:07:36+0200,2022-04-30T15:07:35+0200,2022-04-30T15:07:40+0200,2022-04-30T15:07:46+0200,2022-04-30T15:07:37+0200,2022-04-30T15:07:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:20:33+0200,2022-04-30T17:20:57+0200,2,3,3,2,2,2,3,3,3,3,4,3,5
,,2022-04-30T17:20:34+0200,2022-04-30T17:20:36+0200,2022-04-30T17:20:42+0200,2022-04-30T17:20:37+0200,2022-04-30T17:20:52+0200,2022-04-30T17:20:41+0200,2022-04-30T17:20:45+0200,2022-04-30T17:20:45+0200,2022-04-30T17:20:40+0200,2022-04-30T17:20:44+0200,2022-04-30T17:20:50+0200,2022-04-30T17:20:56+0200,2022-04-30T17:20:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:02:49+0200,2022-04-30T19:03:18+0200,3,2,2,3,3,4,3,5,4,2,5,4,3
,,2022-04-30T19:02:51+0200,2022-04-30T19:03:13+0200,2022-04-30T19:03:01+0200,2022-04-30T19:02:52+0200,2022-04-30T19:03:16+0200,2022-04-30T19:03:07+0200,2022-04-30T19:02:57+0200,2022-04-30T19:03:11+0200,2022-04-30T19:02:58+0200,2022-04-30T19:03:14+0200,2022-04-30T19:03:05+0200,2022-04-30T19:02:55+0200,2022-04-30T19:03:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:29:20+0200,2022-04-30T21:29:36+0200,2,3,3,4,3,3,3,2,4,3,3,3,3
,,2022-04-30T21:29:21+0200,2022-04-30T21:29:23+0200,2022-04-30T21:29:33+0200,2022-04-30T21:29:28+0200,2022-04-30T21:29:34+0200,2022-04-30T21:29:32+0200,2022-04-30T21:29:31+0200,2022-04-30T21:29:27+0200,2022-04-30T21:29:26+0200,2022-04-30T21:29:24+0200,2022-04-30T21:29:35+0200,2022-04-30T21:29:25+0200,2022-04-30T21:29:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:12:12+0200,2022-05-07T15:12:27+0200,2,3,2,3,4,3,3,2,3,3,4,3,4
,,2022-05-07T15:12:13+0200,2022-05-07T15:12:18+0200,2022-05-07T15:12:21+0200,2022-05-07T15:12:20+0200,2022-05-07T15:12:25+0200,2022-05-07T15:12:19+0200,2022-05-07T15:12:22+0200,2022-05-07T15:12:23+0200,2022-05-07T15:12:15+0200,2022-05-07T15:12:26+0200,2022-05-07T15:12:24+0200,2022-05-07T15:12:17+0200,2022-05-07T15:12:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T17:07:58+0200,2022-05-07T17:08:23+0200,4,4,3,4,3,4,5,2,4,2,3,3,4
,,2022-05-07T17:08:09+0200,2022-05-07T17:08:11+0200,2022-05-07T17:08:21+0200,2022-05-07T17:08:10+0200,2022-05-07T17:08:13+0200,2022-05-07T17:08:17+0200,2022-05-07T17:08:19+0200,2022-05-07T17:08:18+0200,2022-05-07T17:08:19+0200,2022-05-07T17:08:12+0200,2022-05-07T17:08:15+0200,2022-05-07T17:08:20+0200,2022-05-07T17:08:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T19:04:02+0200,2022-05-07T19:04:25+0200,3,3,4,3,2,4,4,3,5,5,3,3,3
,,2022-05-07T19:04:03+0200,2022-05-07T19:04:07+0200,2022-05-07T19:04:24+0200,2022-05-07T19:04:11+0200,2022-05-07T19:04:04+0200,2022-05-07T19:04:22+0200,2022-05-07T19:04:10+0200,2022-05-07T19:04:21+0200,2022-05-07T19:04:17+0200,2022-05-07T19:04:16+0200,2022-05-07T19:04:14+0200,2022-05-07T19:04:19+0200,2022-05-07T19:04:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T21:01:08+0200,2022-05-07T21:01:34+0200,3,3,4,4,3,3,3,3,4,4,3,3,3
,,2022-05-07T21:01:13+0200,2022-05-07T21:01:24+0200,2022-05-07T21:01:29+0200,2022-05-07T21:01:18+0200,2022-05-07T21:01:21+0200,2022-05-07T21:01:31+0200,2022-05-07T21:01:23+0200,2022-05-07T21:01:17+0200,2022-05-07T21:01:26+0200,2022-05-07T21:01:19+0200,2022-05-07T21:01:15+0200,2022-05-07T21:01:25+0200,2022-05-07T21:01:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T10:20:55+0200,2022-05-14T10:26:15+0200,2,3,3,3,4,4,3,2,4,4,3,4,5
,,2022-05-14T10:20:59+0200,2022-05-14T10:21:00+0200,2022-05-14T10:21:15+0200,2022-05-14T10:21:03+0200,2022-05-14T10:26:12+0200,2022-05-14T10:21:25+0200,2022-05-14T10:21:23+0200,2022-05-14T10:26:12+0200,2022-05-14T10:26:14+0200,2022-05-14T10:21:09+0200,2022-05-14T10:21:12+0200,2022-05-14T10:26:10+0200,2022-05-14T10:21:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T15:27:03+0200,2022-05-14T15:33:44+0200,4,3,3,3,2,3,4,3,4,3,4,4,4
,,2022-05-14T15:27:04+0200,2022-05-14T15:33:24+0200,2022-05-14T15:33:27+0200,2022-05-14T15:27:08+0200,2022-05-14T15:33:29+0200,2022-05-14T15:33:36+0200,2022-05-14T15:27:07+0200,2022-05-14T15:33:32+0200,2022-05-14T15:27:05+0200,2022-05-14T15:33:38+0200,2022-05-14T15:33:27+0200,2022-05-14T15:33:41+0200,2022-05-14T15:33:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T17:03:36+0200,2022-05-14T17:04:10+0200,2,2,2,4,4,4,2,5,3,2,5,4,4
,,2022-05-14T17:03:37+0200,2022-05-14T17:04:04+0200,2022-05-14T17:03:50+0200,2022-05-14T17:04:08+0200,2022-05-14T17:03:55+0200,2022-05-14T17:03:48+0200,2022-05-14T17:03:56+0200,2022-05-14T17:04:01+0200,2022-05-14T17:03:42+0200,2022-05-14T17:04:05+0200,2022-05-14T17:03:53+0200,2022-05-14T17:03:45+0200,2022-05-14T17:03:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T19:14:03+0200,2022-05-14T19:14:27+0200,4,3,2,3,3,5,2,4,2,3,3,5,5
