Survey Name,"compassion",Install Id,"391A6141-F9ED-4337-9A1F-9716E5D0064A"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ma_pa_2000_12_15_362_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:17:18+0200,2022-04-09T10:18:43+0200,3,3,2,3,3,4,2,5,4,2,5,5,4
,,2022-04-09T10:17:27+0200,2022-04-09T10:18:15+0200,2022-04-09T10:18:39+0200,2022-04-09T10:18:24+0200,2022-04-09T10:18:19+0200,2022-04-09T10:17:51+0200,2022-04-09T10:18:29+0200,2022-04-09T10:17:58+0200,2022-04-09T10:18:11+0200,2022-04-09T10:18:04+0200,2022-04-09T10:17:38+0200,2022-04-09T10:18:35+0200,2022-04-09T10:17:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:08:17+0200,2022-04-09T15:10:53+0200,3,2,2,4,4,5,2,5,4,2,5,5,4
,,2022-04-09T15:08:27+0200,2022-04-09T15:10:51+0200,2022-04-09T15:09:50+0200,2022-04-09T15:10:19+0200,2022-04-09T15:10:25+0200,2022-04-09T15:10:07+0200,2022-04-09T15:10:22+0200,2022-04-09T15:10:31+0200,2022-04-09T15:10:37+0200,2022-04-09T15:09:02+0200,2022-04-09T15:09:45+0200,2022-04-09T15:08:34+0200,2022-04-09T15:10:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:03:36+0200,2022-04-09T17:04:41+0200,2,2,2,3,4,5,2,5,4,2,5,5,4
,,2022-04-09T17:03:44+0200,2022-04-09T17:04:34+0200,2022-04-09T17:04:12+0200,2022-04-09T17:04:30+0200,2022-04-09T17:04:18+0200,2022-04-09T17:04:38+0200,2022-04-09T17:04:22+0200,2022-04-09T17:04:27+0200,2022-04-09T17:03:52+0200,2022-04-09T17:04:08+0200,2022-04-09T17:04:16+0200,2022-04-09T17:03:58+0200,2022-04-09T17:04:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:14:00+0200,2022-04-09T19:14:57+0200,3,2,2,3,4,5,2,5,4,2,5,5,4
,,2022-04-09T19:14:05+0200,2022-04-09T19:14:08+0200,2022-04-09T19:14:46+0200,2022-04-09T19:14:31+0200,2022-04-09T19:14:20+0200,2022-04-09T19:14:37+0200,2022-04-09T19:14:54+0200,2022-04-09T19:14:50+0200,2022-04-09T19:14:13+0200,2022-04-09T19:14:28+0200,2022-04-09T19:14:18+0200,2022-04-09T19:14:43+0200,2022-04-09T19:14:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:24:36+0200,2022-04-09T21:25:42+0200,1,5,4,1,1,4,2,6,5,2,3,5,6
,,2022-04-09T21:24:43+0200,2022-04-09T21:25:12+0200,2022-04-09T21:25:28+0200,2022-04-09T21:25:19+0200,2022-04-09T21:25:39+0200,2022-04-09T21:24:58+0200,2022-04-09T21:25:23+0200,2022-04-09T21:25:10+0200,2022-04-09T21:24:55+0200,2022-04-09T21:25:31+0200,2022-04-09T21:25:36+0200,2022-04-09T21:25:06+0200,2022-04-09T21:25:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:20:03+0200,2022-04-16T10:21:08+0200,3,1,2,4,4,5,2,5,2,4,5,4,4
