Survey Name,"compassion",Install Id,"c38d21fd-75b0-43b6-86aa-e94a210919fc"
Author,"Ilaria Colpizzi"
Subject ID,"ma_ro_1998_05_12_260_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:24:39+0200,2022-04-02T10:26:23+0200,4,2,2,3,3,4,4,6,6,5,4,3,4
,,2022-04-02T10:24:50+0200,2022-04-02T10:25:22+0200,2022-04-02T10:25:26+0200,2022-04-02T10:25:18+0200,2022-04-02T10:24:55+0200,2022-04-02T10:26:17+0200,2022-04-02T10:25:32+0200,2022-04-02T10:25:05+0200,2022-04-02T10:25:10+0200,2022-04-02T10:25:36+0200,2022-04-02T10:26:07+0200,2022-04-02T10:26:00+0200,2022-04-02T10:26:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:20:15+0200,2022-04-02T15:21:35+0200,3,2,2,3,3,1,4,6,5,4,3,2,4
,,2022-04-02T15:20:23+0200,2022-04-02T15:21:08+0200,2022-04-02T15:20:59+0200,2022-04-02T15:20:44+0200,2022-04-02T15:20:51+0200,2022-04-02T15:20:29+0200,2022-04-02T15:20:55+0200,2022-04-02T15:21:05+0200,2022-04-02T15:20:36+0200,2022-04-02T15:21:25+0200,2022-04-02T15:21:13+0200,2022-04-02T15:21:17+0200,2022-04-02T15:21:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:24:50+0200,2022-04-02T17:26:31+0200,3,2,3,3,3,4,4,5,5,4,4,3,4
,,2022-04-02T17:25:01+0200,2022-04-02T17:26:28+0200,2022-04-02T17:25:48+0200,2022-04-02T17:25:56+0200,2022-04-02T17:26:04+0200,2022-04-02T17:25:45+0200,2022-04-02T17:26:10+0200,2022-04-02T17:26:16+0200,2022-04-02T17:25:53+0200,2022-04-02T17:26:08+0200,2022-04-02T17:25:59+0200,2022-04-02T17:26:25+0200,2022-04-02T17:25:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:16:52+0200,2022-04-02T19:17:54+0200,3,2,2,4,4,5,4,6,6,3,4,3,4
,,2022-04-02T19:16:56+0200,2022-04-02T19:17:46+0200,2022-04-02T19:17:45+0200,2022-04-02T19:17:21+0200,2022-04-02T19:17:49+0200,2022-04-02T19:17:06+0200,2022-04-02T19:17:26+0200,2022-04-02T19:17:01+0200,2022-04-02T19:17:31+0200,2022-04-02T19:17:10+0200,2022-04-02T19:17:14+0200,2022-04-02T19:17:52+0200,2022-04-02T19:17:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:12:54+0200,2022-04-02T21:14:09+0200,4,2,2,3,4,4,5,6,6,5,4,5,4
,,2022-04-02T21:13:01+0200,2022-04-02T21:13:50+0200,2022-04-02T21:13:05+0200,2022-04-02T21:13:42+0200,2022-04-02T21:14:00+0200,2022-04-02T21:13:36+0200,2022-04-02T21:13:20+0200,2022-04-02T21:13:56+0200,2022-04-02T21:13:39+0200,2022-04-02T21:13:11+0200,2022-04-02T21:13:25+0200,2022-04-02T21:13:47+0200,2022-04-02T21:14:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:08:56+0200,2022-04-09T15:09:47+0200,4,2,2,4,3,3,4,6,6,5,4,3,4
,,2022-04-09T15:09:01+0200,2022-04-09T15:09:11+0200,2022-04-09T15:09:45+0200,2022-04-09T15:09:32+0200,2022-04-09T15:09:22+0200,2022-04-09T15:09:39+0200,2022-04-09T15:09:26+0200,2022-04-09T15:09:35+0200,2022-04-09T15:09:42+0200,2022-04-09T15:09:29+0200,2022-04-09T15:09:19+0200,2022-04-09T15:09:05+0200,2022-04-09T15:09:09+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:21:07+0200,2022-04-09T17:22:14+0200,3,3,2,4,3,4,4,6,5,4,4,4,4
