Survey Name,"compassion",Install Id,"F7BD82EB-922C-490F-B24F-D26C31DB9616"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ma_sc_2001_07_11_916_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:15:39+0200,2022-04-02T10:17:46+0200,3,2,2,2,3,5,4,4,6,3,4,3,5
,,2022-04-02T10:15:46+0200,2022-04-02T10:16:58+0200,2022-04-02T10:17:43+0200,2022-04-02T10:16:45+0200,2022-04-02T10:17:13+0200,2022-04-02T10:15:58+0200,2022-04-02T10:17:35+0200,2022-04-02T10:17:09+0200,2022-04-02T10:16:09+0200,2022-04-02T10:17:30+0200,2022-04-02T10:16:21+0200,2022-04-02T10:16:40+0200,2022-04-02T10:16:53+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:03:35+0200,2022-04-02T15:05:32+0200,3,2,2,3,3,5,4,4,5,3,4,4,4
,,2022-04-02T15:03:44+0200,2022-04-02T15:03:55+0200,2022-04-02T15:03:48+0200,2022-04-02T15:04:13+0200,2022-04-02T15:04:01+0200,2022-04-02T15:04:30+0200,2022-04-02T15:04:24+0200,2022-04-02T15:04:08+0200,2022-04-02T15:04:18+0200,2022-04-02T15:05:29+0200,2022-04-02T15:05:24+0200,2022-04-02T15:05:02+0200,2022-04-02T15:03:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:00:09+0200,2022-04-02T17:02:12+0200,3,4,4,2,1,4,5,4,4,4,3,4,5
,,2022-04-02T17:00:17+0200,2022-04-02T17:02:10+0200,2022-04-02T17:00:56+0200,2022-04-02T17:01:37+0200,2022-04-02T17:00:21+0200,2022-04-02T17:00:44+0200,2022-04-02T17:00:52+0200,2022-04-02T17:00:28+0200,2022-04-02T17:01:59+0200,2022-04-02T17:01:33+0200,2022-04-02T17:01:41+0200,2022-04-02T17:01:47+0200,2022-04-02T17:02:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:08:28+0200,2022-04-02T19:10:17+0200,3,3,3,3,3,4,4,3,4,4,4,4,4
,,2022-04-02T19:08:33+0200,2022-04-02T19:09:12+0200,2022-04-02T19:09:41+0200,2022-04-02T19:10:04+0200,2022-04-02T19:09:54+0200,2022-04-02T19:09:49+0200,2022-04-02T19:09:23+0200,2022-04-02T19:08:58+0200,2022-04-02T19:08:42+0200,2022-04-02T19:10:10+0200,2022-04-02T19:09:37+0200,2022-04-02T19:09:59+0200,2022-04-02T19:10:14+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:26:14+0200,2022-04-02T21:27:29+0200,3,4,4,2,2,4,5,4,4,4,2,3,5
,,2022-04-02T21:26:16+0200,2022-04-02T21:27:23+0200,2022-04-02T21:26:30+0200,2022-04-02T21:27:20+0200,2022-04-02T21:26:37+0200,2022-04-02T21:26:45+0200,2022-04-02T21:27:27+0200,2022-04-02T21:27:08+0200,2022-04-02T21:27:14+0200,2022-04-02T21:26:27+0200,2022-04-02T21:26:22+0200,2022-04-02T21:26:34+0200,2022-04-02T21:26:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:22:40+0200,2022-04-09T15:23:43+0200,3,3,3,3,3,3,4,4,4,3,4,4,3
,,2022-04-09T15:22:41+0200,2022-04-09T15:22:52+0200,2022-04-09T15:23:32+0200,2022-04-09T15:23:30+0200,2022-04-09T15:23:03+0200,2022-04-09T15:23:39+0200,2022-04-09T15:23:28+0200,2022-04-09T15:23:21+0200,2022-04-09T15:23:36+0200,2022-04-09T15:23:08+0200,2022-04-09T15:23:00+0200,2022-04-09T15:22:49+0200,2022-04-09T15:23:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:26:02+0200,2022-04-09T19:27:17+0200,3,2,2,3,4,4,3,4,4,3,4,3,4
,,2022-04-09T19:26:04+0200,2022-04-09T19:26:18+0200,2022-04-09T19:26:20+0200,2022-04-09T19:26:50+0200,2022-04-09T19:26:22+0200,2022-04-09T19:27:10+0200,2022-04-09T19:26:10+0200,2022-04-09T19:26:34+0200,2022-04-09T19:27:15+0200,2022-04-09T19:26:28+0200,2022-04-09T19:26:39+0200,2022-04-09T19:26:45+0200,2022-04-09T19:26:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:10:16+0200,2022-04-09T21:11:18+0200,3,2,2,2,3,4,3,5,4,3,4,4,4
,,2022-04-09T21:10:17+0200,2022-04-09T21:10:49+0200,2022-04-09T21:10:36+0200,2022-04-09T21:10:58+0200,2022-04-09T21:10:42+0200,2022-04-09T21:10:39+0200,2022-04-09T21:10:23+0200,2022-04-09T21:10:30+0200,2022-04-09T21:11:02+0200,2022-04-09T21:10:46+0200,2022-04-09T21:11:16+0200,2022-04-09T21:11:07+0200,2022-04-09T21:10:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:33:19+0300,2022-04-16T10:34:38+0300,3,4,3,3,2,4,3,4,5,3,4,4,3
,,2022-04-16T10:33:23+0300,2022-04-16T10:34:23+0300,2022-04-16T10:34:31+0300,2022-04-16T10:33:32+0300,2022-04-16T10:34:28+0300,2022-04-16T10:33:46+0300,2022-04-16T10:33:59+0300,2022-04-16T10:33:29+0300,2022-04-16T10:33:41+0300,2022-04-16T10:34:08+0300,2022-04-16T10:34:37+0300,2022-04-16T10:33:36+0300,2022-04-16T10:34:15+0300
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:14:11+0300,2022-04-16T15:15:00+0300,3,4,4,2,2,3,4,4,5,4,2,2,4
,,2022-04-16T15:14:12+0300,2022-04-16T15:14:43+0300,2022-04-16T15:14:50+0300,2022-04-16T15:14:33+0300,2022-04-16T15:14:37+0300,2022-04-16T15:14:40+0300,2022-04-16T15:14:58+0300,2022-04-16T15:14:19+0300,2022-04-16T15:14:30+0300,2022-04-16T15:14:27+0300,2022-04-16T15:14:48+0300,2022-04-16T15:14:24+0300,2022-04-16T15:14:54+0300
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:17:00+0300,2022-04-16T17:18:03+0300,2,4,4,1,1,2,5,3,4,4,2,3,5
,,2022-04-16T17:17:02+0300,2022-04-16T17:17:09+0300,2022-04-16T17:17:14+0300,2022-04-16T17:17:55+0300,2022-04-16T17:18:01+0300,2022-04-16T17:17:12+0300,2022-04-16T17:17:21+0300,2022-04-16T17:17:33+0300,2022-04-16T17:17:07+0300,2022-04-16T17:17:25+0300,2022-04-16T17:17:29+0300,2022-04-16T17:17:53+0300,2022-04-16T17:17:58+0300
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:13:18+0300,2022-04-16T19:14:08+0300,3,4,3,2,2,3,5,4,5,3,2,3,3
,,2022-04-16T19:13:19+0300,2022-04-16T19:13:48+0300,2022-04-16T19:13:34+0300,2022-04-16T19:13:37+0300,2022-04-16T19:13:54+0300,2022-04-16T19:13:52+0300,2022-04-16T19:13:29+0300,2022-04-16T19:14:07+0300,2022-04-16T19:13:32+0300,2022-04-16T19:13:44+0300,2022-04-16T19:13:25+0300,2022-04-16T19:13:41+0300,2022-04-16T19:14:00+0300
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:28:19+0300,2022-04-16T21:29:06+0300,3,3,3,3,3,4,4,4,4,3,3,4,4
,,2022-04-16T21:28:20+0300,2022-04-16T21:28:52+0300,2022-04-16T21:28:55+0300,2022-04-16T21:28:28+0300,2022-04-16T21:28:54+0300,2022-04-16T21:29:00+0300,2022-04-16T21:28:37+0300,2022-04-16T21:29:05+0300,2022-04-16T21:28:50+0300,2022-04-16T21:28:33+0300,2022-04-16T21:28:44+0300,2022-04-16T21:28:25+0300,2022-04-16T21:28:46+0300
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:11:32+0200,2022-04-23T17:12:19+0200,3,3,3,3,3,4,4,4,4,3,3,3,4
,,2022-04-23T17:11:33+0200,2022-04-23T17:11:43+0200,2022-04-23T17:11:40+0200,2022-04-23T17:12:01+0200,2022-04-23T17:11:59+0200,2022-04-23T17:11:57+0200,2022-04-23T17:11:52+0200,2022-04-23T17:12:05+0200,2022-04-23T17:12:13+0200,2022-04-23T17:11:47+0200,2022-04-23T17:12:17+0200,2022-04-23T17:12:10+0200,2022-04-23T17:11:38+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:08:03+0200,2022-04-23T19:09:24+0200,4,3,3,3,3,4,3,4,3,3,4,4,4
