Survey Name,"compassion",Install Id,"b9c7f2d4-7c2c-4c12-b100-1ac81f257d67"
Author,"Ilaria Colpizzi"
Subject ID,"ma_va_2002_05_28_277_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:19:17+0200,2022-04-02T10:20:45+0200,2,5,2,2,2,2,6,2,6,6,4,1,6
,,2022-04-02T10:19:39+0200,2022-04-02T10:20:12+0200,2022-04-02T10:19:45+0200,2022-04-02T10:20:00+0200,2022-04-02T10:20:31+0200,2022-04-02T10:20:09+0200,2022-04-02T10:20:18+0200,2022-04-02T10:20:41+0200,2022-04-02T10:20:25+0200,2022-04-02T10:20:21+0200,2022-04-02T10:19:55+0200,2022-04-02T10:20:28+0200,2022-04-02T10:20:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:09:58+0200,2022-04-02T17:11:19+0200,3,2,3,2,3,4,6,4,6,6,5,1,5
,,2022-04-02T17:10:08+0200,2022-04-02T17:10:22+0200,2022-04-02T17:10:16+0200,2022-04-02T17:11:17+0200,2022-04-02T17:11:14+0200,2022-04-02T17:10:31+0200,2022-04-02T17:10:42+0200,2022-04-02T17:10:54+0200,2022-04-02T17:10:47+0200,2022-04-02T17:10:56+0200,2022-04-02T17:11:10+0200,2022-04-02T17:10:38+0200,2022-04-02T17:10:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:25:58+0200,2022-04-02T19:27:02+0200,4,4,4,4,4,4,6,2,6,6,4,4,6
,,2022-04-02T19:26:03+0200,2022-04-02T19:26:26+0200,2022-04-02T19:26:23+0200,2022-04-02T19:26:57+0200,2022-04-02T19:26:29+0200,2022-04-02T19:26:42+0200,2022-04-02T19:26:51+0200,2022-04-02T19:26:37+0200,2022-04-02T19:26:20+0200,2022-04-02T19:26:31+0200,2022-04-02T19:26:48+0200,2022-04-02T19:27:00+0200,2022-04-02T19:26:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:25:49+0200,2022-04-02T21:27:12+0200,1,4,4,1,1,2,5,5,3,2,4,4,5
