Survey Name,"compassion",Install Id,"65a4b115-0540-4b15-9667-79b2e694938d"
Author,"Ilaria Colpizzi"
Subject ID,"ni_me_2002_08_15_786_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:01:02+0200,2022-04-02T10:02:21+0200,4,3,2,3,2,4,2,4,5,2,5,3,4
,,2022-04-02T10:01:12+0200,2022-04-02T10:01:59+0200,2022-04-02T10:01:28+0200,2022-04-02T10:01:16+0200,2022-04-02T10:01:31+0200,2022-04-02T10:01:56+0200,2022-04-02T10:02:19+0200,2022-04-02T10:01:50+0200,2022-04-02T10:01:20+0200,2022-04-02T10:01:37+0200,2022-04-02T10:02:15+0200,2022-04-02T10:01:42+0200,2022-04-02T10:01:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:08:33+0200,2022-04-02T15:09:24+0200,3,1,2,2,3,5,2,5,4,3,5,3,4
,,2022-04-02T15:08:38+0200,2022-04-02T15:08:58+0200,2022-04-02T15:08:53+0200,2022-04-02T15:09:23+0200,2022-04-02T15:09:07+0200,2022-04-02T15:09:04+0200,2022-04-02T15:09:13+0200,2022-04-02T15:08:50+0200,2022-04-02T15:09:20+0200,2022-04-02T15:08:43+0200,2022-04-02T15:08:56+0200,2022-04-02T15:09:17+0200,2022-04-02T15:09:10+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:02:50+0200,2022-04-02T17:04:37+0200,3,1,2,2,3,4,2,5,4,3,4,3,4
,,2022-04-02T17:02:53+0200,2022-04-02T17:03:24+0200,2022-04-02T17:03:30+0200,2022-04-02T17:03:26+0200,2022-04-02T17:03:28+0200,2022-04-02T17:03:21+0200,2022-04-02T17:03:36+0200,2022-04-02T17:03:50+0200,2022-04-02T17:04:17+0200,2022-04-02T17:04:29+0200,2022-04-02T17:03:39+0200,2022-04-02T17:03:16+0200,2022-04-02T17:04:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:19:54+0200,2022-04-02T19:20:44+0200,3,1,1,3,4,4,2,4,4,2,4,3,4
