Survey Name,"compassion",Install Id,"5E98B8A6-F3A9-444D-917B-450847BD4922"
Survey Author,"Ilaria Colpizzi"
Subject ID,"nu_ta_1976_07_20_360_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:26:04+0200,2022-04-02T10:27:47+0200,3,3,2,3,2,3,2,5,4,2,5,4,4
,,2022-04-02T10:26:12+0200,2022-04-02T10:26:37+0200,2022-04-02T10:27:43+0200,2022-04-02T10:27:27+0200,2022-04-02T10:27:02+0200,2022-04-02T10:26:57+0200,2022-04-02T10:26:31+0200,2022-04-02T10:27:15+0200,2022-04-02T10:27:23+0200,2022-04-02T10:26:45+0200,2022-04-02T10:27:37+0200,2022-04-02T10:26:25+0200,2022-04-02T10:26:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:16:38+0200,2022-04-02T15:18:16+0200,4,1,1,4,4,2,1,5,2,1,5,5,3
,,2022-04-02T15:16:45+0200,2022-04-02T15:16:50+0200,2022-04-02T15:17:04+0200,2022-04-02T15:18:12+0200,2022-04-02T15:17:46+0200,2022-04-02T15:17:18+0200,2022-04-02T15:17:12+0200,2022-04-02T15:16:59+0200,2022-04-02T15:17:25+0200,2022-04-02T15:17:29+0200,2022-04-02T15:18:08+0200,2022-04-02T15:17:53+0200,2022-04-02T15:17:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:33:00+0200,2022-04-02T17:34:25+0200,3,1,1,3,3,5,1,5,2,1,5,5,2
,,2022-04-02T17:33:09+0200,2022-04-02T17:33:56+0200,2022-04-02T17:33:24+0200,2022-04-02T17:34:20+0200,2022-04-02T17:33:41+0200,2022-04-02T17:33:19+0200,2022-04-02T17:33:30+0200,2022-04-02T17:33:36+0200,2022-04-02T17:34:02+0200,2022-04-02T17:33:51+0200,2022-04-02T17:34:10+0200,2022-04-02T17:33:46+0200,2022-04-02T17:34:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:10:45+0200,2022-04-02T19:12:41+0200,3,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-04-02T19:11:08+0200,2022-04-02T19:12:36+0200,2022-04-02T19:11:36+0200,2022-04-02T19:11:19+0200,2022-04-02T19:11:51+0200,2022-04-02T19:12:28+0200,2022-04-02T19:12:05+0200,2022-04-02T19:12:22+0200,2022-04-02T19:11:43+0200,2022-04-02T19:11:48+0200,2022-04-02T19:11:28+0200,2022-04-02T19:12:32+0200,2022-04-02T19:11:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:11:10+0200,2022-04-02T21:13:21+0200,5,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-04-02T21:11:28+0200,2022-04-02T21:12:07+0200,2022-04-02T21:12:29+0200,2022-04-02T21:11:36+0200,2022-04-02T21:12:22+0200,2022-04-02T21:11:49+0200,2022-04-02T21:12:17+0200,2022-04-02T21:13:06+0200,2022-04-02T21:13:12+0200,2022-04-02T21:13:17+0200,2022-04-02T21:12:59+0200,2022-04-02T21:12:13+0200,2022-04-02T21:12:02+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T11:07:02+0200,2022-04-23T11:08:01+0200,4,2,1,4,4,4,1,5,2,1,5,5,4
,,2022-04-23T11:07:05+0200,2022-04-23T11:07:14+0200,2022-04-23T11:07:16+0200,2022-04-23T11:07:53+0200,2022-04-23T11:07:47+0200,2022-04-23T11:07:39+0200,2022-04-23T11:07:34+0200,2022-04-23T11:07:43+0200,2022-04-23T11:07:50+0200,2022-04-23T11:07:25+0200,2022-04-23T11:07:57+0200,2022-04-23T11:07:21+0200,2022-04-23T11:07:10+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:24:54+0200,2022-04-23T15:25:52+0200,2,1,1,4,4,5,1,5,2,2,5,5,2
,,2022-04-23T15:24:58+0200,2022-04-23T15:25:28+0200,2022-04-23T15:25:31+0200,2022-04-23T15:25:02+0200,2022-04-23T15:25:06+0200,2022-04-23T15:25:39+0200,2022-04-23T15:25:47+0200,2022-04-23T15:25:24+0200,2022-04-23T15:25:13+0200,2022-04-23T15:25:09+0200,2022-04-23T15:25:44+0200,2022-04-23T15:25:36+0200,2022-04-23T15:25:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:24:47+0200,2022-04-23T17:25:48+0200,3,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-04-23T17:24:56+0200,2022-04-23T17:25:40+0200,2022-04-23T17:25:09+0200,2022-04-23T17:25:23+0200,2022-04-23T17:25:20+0200,2022-04-23T17:25:07+0200,2022-04-23T17:25:28+0200,2022-04-23T17:25:01+0200,2022-04-23T17:25:38+0200,2022-04-23T17:25:16+0200,2022-04-23T17:25:32+0200,2022-04-23T17:25:44+0200,2022-04-23T17:25:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:29:03+0200,2022-04-23T19:30:15+0200,4,1,1,4,4,5,2,5,2,1,5,5,2
,,2022-04-23T19:29:10+0200,2022-04-23T19:29:34+0200,2022-04-23T19:30:11+0200,2022-04-23T19:29:49+0200,2022-04-23T19:29:29+0200,2022-04-23T19:29:56+0200,2022-04-23T19:30:08+0200,2022-04-23T19:30:03+0200,2022-04-23T19:29:25+0200,2022-04-23T19:29:45+0200,2022-04-23T19:29:16+0200,2022-04-23T19:29:39+0200,2022-04-23T19:29:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:00:31+0200,2022-04-23T21:01:25+0200,3,1,1,3,4,5,1,5,2,1,5,5,3
,,2022-04-23T21:00:35+0200,2022-04-23T21:01:08+0200,2022-04-23T21:01:06+0200,2022-04-23T21:00:56+0200,2022-04-23T21:00:50+0200,2022-04-23T21:00:39+0200,2022-04-23T21:01:18+0200,2022-04-23T21:01:21+0200,2022-04-23T21:01:14+0200,2022-04-23T21:00:54+0200,2022-04-23T21:00:43+0200,2022-04-23T21:00:46+0200,2022-04-23T21:01:01+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:15:10+0200,2022-04-30T10:16:16+0200,3,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-04-30T10:15:13+0200,2022-04-30T10:15:50+0200,2022-04-30T10:15:37+0200,2022-04-30T10:15:27+0200,2022-04-30T10:16:12+0200,2022-04-30T10:15:59+0200,2022-04-30T10:15:33+0200,2022-04-30T10:15:43+0200,2022-04-30T10:16:03+0200,2022-04-30T10:16:08+0200,2022-04-30T10:15:20+0200,2022-04-30T10:15:48+0200,2022-04-30T10:15:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:25:43+0200,2022-04-30T15:26:35+0200,3,1,1,4,4,5,1,5,2,1,4,5,2
,,2022-04-30T15:25:44+0200,2022-04-30T15:25:58+0200,2022-04-30T15:26:04+0200,2022-04-30T15:25:48+0200,2022-04-30T15:26:02+0200,2022-04-30T15:26:07+0200,2022-04-30T15:26:25+0200,2022-04-30T15:25:51+0200,2022-04-30T15:25:56+0200,2022-04-30T15:26:17+0200,2022-04-30T15:26:13+0200,2022-04-30T15:26:22+0200,2022-04-30T15:26:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:29:52+0200,2022-04-30T17:31:04+0200,2,1,1,4,4,5,1,5,1,1,5,5,2
,,2022-04-30T17:30:06+0200,2022-04-30T17:30:29+0200,2022-04-30T17:30:59+0200,2022-04-30T17:30:27+0200,2022-04-30T17:30:09+0200,2022-04-30T17:30:17+0200,2022-04-30T17:30:53+0200,2022-04-30T17:30:57+0200,2022-04-30T17:30:41+0200,2022-04-30T17:30:38+0200,2022-04-30T17:30:33+0200,2022-04-30T17:30:20+0200,2022-04-30T17:30:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:34:59+0200,2022-04-30T19:35:53+0200,3,1,1,4,4,5,1,5,1,1,5,5,3
,,2022-04-30T19:35:01+0200,2022-04-30T19:35:35+0200,2022-04-30T19:35:46+0200,2022-04-30T19:35:49+0200,2022-04-30T19:35:20+0200,2022-04-30T19:35:32+0200,2022-04-30T19:35:16+0200,2022-04-30T19:35:24+0200,2022-04-30T19:35:13+0200,2022-04-30T19:35:07+0200,2022-04-30T19:35:29+0200,2022-04-30T19:35:38+0200,2022-04-30T19:35:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:25:33+0200,2022-04-30T21:26:26+0200,3,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-04-30T21:25:34+0200,2022-04-30T21:25:59+0200,2022-04-30T21:26:01+0200,2022-04-30T21:26:14+0200,2022-04-30T21:25:53+0200,2022-04-30T21:26:11+0200,2022-04-30T21:26:04+0200,2022-04-30T21:25:49+0200,2022-04-30T21:25:41+0200,2022-04-30T21:26:07+0200,2022-04-30T21:25:45+0200,2022-04-30T21:26:22+0200,2022-04-30T21:25:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:21:05+0200,2022-05-07T10:22:15+0200,3,1,1,4,4,5,1,5,2,2,5,5,2
,,2022-05-07T10:21:08+0200,2022-05-07T10:21:50+0200,2022-05-07T10:22:05+0200,2022-05-07T10:22:03+0200,2022-05-07T10:21:48+0200,2022-05-07T10:21:28+0200,2022-05-07T10:21:16+0200,2022-05-07T10:21:54+0200,2022-05-07T10:22:11+0200,2022-05-07T10:21:38+0200,2022-05-07T10:21:45+0200,2022-05-07T10:21:59+0200,2022-05-07T10:21:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:22:38+0200,2022-05-07T15:23:53+0200,4,1,1,4,4,5,1,5,1,1,5,5,3
,,2022-05-07T15:22:41+0200,2022-05-07T15:22:44+0200,2022-05-07T15:23:05+0200,2022-05-07T15:22:47+0200,2022-05-07T15:22:53+0200,2022-05-07T15:23:17+0200,2022-05-07T15:22:51+0200,2022-05-07T15:23:20+0200,2022-05-07T15:23:32+0200,2022-05-07T15:23:40+0200,2022-05-07T15:23:49+0200,2022-05-07T15:23:03+0200,2022-05-07T15:23:36+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T17:11:58+0200,2022-05-07T17:12:51+0200,4,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-05-07T17:12:00+0200,2022-05-07T17:12:14+0200,2022-05-07T17:12:47+0200,2022-05-07T17:12:12+0200,2022-05-07T17:12:34+0200,2022-05-07T17:12:10+0200,2022-05-07T17:12:03+0200,2022-05-07T17:12:21+0200,2022-05-07T17:12:38+0200,2022-05-07T17:12:17+0200,2022-05-07T17:12:29+0200,2022-05-07T17:12:26+0200,2022-05-07T17:12:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T19:07:18+0200,2022-05-07T19:08:19+0200,3,1,1,4,4,5,1,5,2,1,5,5,4
,,2022-05-07T19:07:20+0200,2022-05-07T19:08:10+0200,2022-05-07T19:07:51+0200,2022-05-07T19:07:45+0200,2022-05-07T19:08:15+0200,2022-05-07T19:07:48+0200,2022-05-07T19:07:34+0200,2022-05-07T19:07:28+0200,2022-05-07T19:08:07+0200,2022-05-07T19:07:24+0200,2022-05-07T19:08:01+0200,2022-05-07T19:07:43+0200,2022-05-07T19:07:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T21:08:22+0200,2022-05-07T21:09:38+0200,3,1,1,4,4,5,1,5,1,1,5,5,3
,,2022-05-07T21:08:33+0200,2022-05-07T21:09:04+0200,2022-05-07T21:09:34+0200,2022-05-07T21:09:20+0200,2022-05-07T21:09:06+0200,2022-05-07T21:09:13+0200,2022-05-07T21:09:32+0200,2022-05-07T21:08:38+0200,2022-05-07T21:08:54+0200,2022-05-07T21:09:01+0200,2022-05-07T21:08:50+0200,2022-05-07T21:08:58+0200,2022-05-07T21:08:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T10:19:57+0200,2022-05-14T10:21:00+0200,3,1,1,3,4,5,1,5,2,2,5,5,2
,,2022-05-14T10:19:59+0200,2022-05-14T10:20:45+0200,2022-05-14T10:20:10+0200,2022-05-14T10:20:19+0200,2022-05-14T10:20:07+0200,2022-05-14T10:20:42+0200,2022-05-14T10:20:50+0200,2022-05-14T10:20:32+0200,2022-05-14T10:20:15+0200,2022-05-14T10:20:04+0200,2022-05-14T10:20:29+0200,2022-05-14T10:20:24+0200,2022-05-14T10:20:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T15:29:20+0200,2022-05-14T15:32:37+0200,4,1,1,4,4,5,1,5,2,2,5,5,2
,,2022-05-14T15:29:22+0200,2022-05-14T15:29:47+0200,2022-05-14T15:32:13+0200,2022-05-14T15:29:52+0200,2022-05-14T15:29:26+0200,2022-05-14T15:29:31+0200,2022-05-14T15:32:23+0200,2022-05-14T15:29:44+0200,2022-05-14T15:29:36+0200,2022-05-14T15:30:03+0200,2022-05-14T15:31:47+0200,2022-05-14T15:32:33+0200,2022-05-14T15:29:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T17:03:40+0200,2022-05-14T17:04:32+0200,4,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-05-14T17:03:42+0200,2022-05-14T17:04:17+0200,2022-05-14T17:03:53+0200,2022-05-14T17:04:03+0200,2022-05-14T17:03:56+0200,2022-05-14T17:03:51+0200,2022-05-14T17:04:27+0200,2022-05-14T17:04:15+0200,2022-05-14T17:04:01+0200,2022-05-14T17:03:47+0200,2022-05-14T17:04:20+0200,2022-05-14T17:04:11+0200,2022-05-14T17:04:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T19:19:15+0200,2022-05-14T19:20:05+0200,4,1,1,4,4,5,1,5,2,1,5,5,3
,,2022-05-14T19:19:17+0200,2022-05-14T19:19:53+0200,2022-05-14T19:19:31+0200,2022-05-14T19:19:20+0200,2022-05-14T19:20:01+0200,2022-05-14T19:19:29+0200,2022-05-14T19:19:58+0200,2022-05-14T19:19:51+0200,2022-05-14T19:19:25+0200,2022-05-14T19:19:47+0200,2022-05-14T19:19:35+0200,2022-05-14T19:19:44+0200,2022-05-14T19:19:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-14T21:00:56+0200,2022-05-14T21:02:01+0200,3,1,1,4,4,5,1,5,1,1,5,5,2
,,2022-05-14T21:01:00+0200,2022-05-14T21:01:54+0200,2022-05-14T21:01:22+0200,2022-05-14T21:01:28+0200,2022-05-14T21:01:12+0200,2022-05-14T21:01:10+0200,2022-05-14T21:01:45+0200,2022-05-14T21:01:20+0200,2022-05-14T21:01:41+0200,2022-05-14T21:01:16+0200,2022-05-14T21:01:57+0200,2022-05-14T21:01:05+0200,2022-05-14T21:01:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T10:15:19+0200,2022-05-21T10:17:17+0200,4,1,1,4,4,5,1,5,1,1,5,5,3
,,2022-05-21T10:15:22+0200,2022-05-21T10:17:00+0200,2022-05-21T10:17:07+0200,2022-05-21T10:15:35+0200,2022-05-21T10:17:02+0200,2022-05-21T10:17:13+0200,2022-05-21T10:16:31+0200,2022-05-21T10:15:27+0200,2022-05-21T10:17:10+0200,2022-05-21T10:16:56+0200,2022-05-21T10:17:05+0200,2022-05-21T10:16:54+0200,2022-05-21T10:15:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T15:20:26+0200,2022-05-21T15:21:15+0200,4,1,1,4,4,5,1,5,1,1,5,5,3
,,2022-05-21T15:20:28+0200,2022-05-21T15:20:37+0200,2022-05-21T15:20:50+0200,2022-05-21T15:20:35+0200,2022-05-21T15:20:39+0200,2022-05-21T15:20:58+0200,2022-05-21T15:20:47+0200,2022-05-21T15:21:03+0200,2022-05-21T15:21:07+0200,2022-05-21T15:20:32+0200,2022-05-21T15:20:54+0200,2022-05-21T15:21:11+0200,2022-05-21T15:20:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T17:04:09+0200,2022-05-21T17:04:58+0200,3,1,1,4,4,5,1,5,2,1,5,5,2
,,2022-05-21T17:04:10+0200,2022-05-21T17:04:54+0200,2022-05-21T17:04:24+0200,2022-05-21T17:04:51+0200,2022-05-21T17:04:48+0200,2022-05-21T17:04:29+0200,2022-05-21T17:04:18+0200,2022-05-21T17:04:33+0200,2022-05-21T17:04:15+0200,2022-05-21T17:04:38+0200,2022-05-21T17:04:22+0200,2022-05-21T17:04:46+0200,2022-05-21T17:04:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T19:09:49+0200,2022-05-21T19:10:38+0200,4,1,1,4,4,5,1,5,1,1,5,5,4
,,2022-05-21T19:09:51+0200,2022-05-21T19:09:57+0200,2022-05-21T19:10:26+0200,2022-05-21T19:10:24+0200,2022-05-21T19:10:07+0200,2022-05-21T19:10:30+0200,2022-05-21T19:10:21+0200,2022-05-21T19:10:12+0200,2022-05-21T19:10:18+0200,2022-05-21T19:10:00+0200,2022-05-21T19:10:34+0200,2022-05-21T19:09:54+0200,2022-05-21T19:10:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-21T21:20:08+0200,2022-05-21T21:21:05+0200,4,1,1,4,4,5,1,5,2,1,5,5,4
