Survey Name,"compassion",Install Id,"1A547204-AC66-45BF-95E9-CEEFA4FEC7CD"
Survey Author,"Ilaria Colpizzi"
Subject ID,"sa_ga_2000_09_14_126_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:26:43+0200,2022-04-09T10:28:25+0200,1,4,4,2,2,5,4,3,5,4,4,4,5
,,2022-04-09T10:26:50+0200,2022-04-09T10:27:58+0200,2022-04-09T10:27:27+0200,2022-04-09T10:27:24+0200,2022-04-09T10:26:57+0200,2022-04-09T10:27:55+0200,2022-04-09T10:27:10+0200,2022-04-09T10:27:49+0200,2022-04-09T10:28:03+0200,2022-04-09T10:27:34+0200,2022-04-09T10:27:20+0200,2022-04-09T10:28:15+0200,2022-04-09T10:27:03+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:25:36+0200,2022-04-09T15:26:45+0200,2,4,4,2,2,4,5,3,5,4,2,3,5
,,2022-04-09T15:25:42+0200,2022-04-09T15:26:12+0200,2022-04-09T15:26:20+0200,2022-04-09T15:25:54+0200,2022-04-09T15:26:35+0200,2022-04-09T15:26:42+0200,2022-04-09T15:26:17+0200,2022-04-09T15:26:27+0200,2022-04-09T15:26:05+0200,2022-04-09T15:25:48+0200,2022-04-09T15:26:00+0200,2022-04-09T15:26:32+0200,2022-04-09T15:26:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:22:30+0200,2022-04-09T17:23:44+0200,4,2,2,4,3,5,3,4,3,3,4,4,3
,,2022-04-09T17:22:35+0200,2022-04-09T17:22:47+0200,2022-04-09T17:22:51+0200,2022-04-09T17:23:21+0200,2022-04-09T17:23:29+0200,2022-04-09T17:23:26+0200,2022-04-09T17:23:42+0200,2022-04-09T17:23:08+0200,2022-04-09T17:22:43+0200,2022-04-09T17:23:12+0200,2022-04-09T17:23:36+0200,2022-04-09T17:23:17+0200,2022-04-09T17:22:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:16:19+0200,2022-04-09T19:17:21+0200,3,2,2,4,3,5,2,4,3,3,4,4,3
,,2022-04-09T19:16:26+0200,2022-04-09T19:17:12+0200,2022-04-09T19:16:59+0200,2022-04-09T19:16:48+0200,2022-04-09T19:17:19+0200,2022-04-09T19:17:04+0200,2022-04-09T19:16:32+0200,2022-04-09T19:16:42+0200,2022-04-09T19:17:08+0200,2022-04-09T19:16:56+0200,2022-04-09T19:16:53+0200,2022-04-09T19:16:36+0200,2022-04-09T19:16:45+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:09:33+0200,2022-04-09T21:11:51+0200,3,4,4,3,2,4,4,4,4,3,4,3,4
,,2022-04-09T21:09:41+0200,2022-04-09T21:09:51+0200,2022-04-09T21:11:48+0200,2022-04-09T21:10:13+0200,2022-04-09T21:10:05+0200,2022-04-09T21:10:10+0200,2022-04-09T21:11:28+0200,2022-04-09T21:11:12+0200,2022-04-09T21:11:18+0200,2022-04-09T21:11:37+0200,2022-04-09T21:11:45+0200,2022-04-09T21:09:58+0200,2022-04-09T21:11:31+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:11:46+0200,2022-04-16T15:12:49+0200,4,1,3,4,4,5,4,3,3,3,5,4,5
,,2022-04-16T15:11:51+0200,2022-04-16T15:12:02+0200,2022-04-16T15:12:31+0200,2022-04-16T15:12:37+0200,2022-04-16T15:12:11+0200,2022-04-16T15:12:34+0200,2022-04-16T15:12:20+0200,2022-04-16T15:12:46+0200,2022-04-16T15:12:06+0200,2022-04-16T15:12:08+0200,2022-04-16T15:11:58+0200,2022-04-16T15:12:27+0200,2022-04-16T15:12:40+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:08:23+0200,2022-04-16T17:09:30+0200,3,2,2,4,4,5,3,4,4,3,5,4,4
,,2022-04-16T17:08:26+0200,2022-04-16T17:09:02+0200,2022-04-16T17:08:30+0200,2022-04-16T17:08:51+0200,2022-04-16T17:09:25+0200,2022-04-16T17:09:09+0200,2022-04-16T17:08:34+0200,2022-04-16T17:08:44+0200,2022-04-16T17:08:58+0200,2022-04-16T17:09:16+0200,2022-04-16T17:09:22+0200,2022-04-16T17:08:38+0200,2022-04-16T17:08:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:12:15+0200,2022-04-16T19:13:10+0200,3,2,2,4,4,4,3,4,3,2,4,4,4
,,2022-04-16T19:12:19+0200,2022-04-16T19:12:23+0200,2022-04-16T19:13:08+0200,2022-04-16T19:12:55+0200,2022-04-16T19:12:29+0200,2022-04-16T19:13:05+0200,2022-04-16T19:12:53+0200,2022-04-16T19:13:01+0200,2022-04-16T19:12:45+0200,2022-04-16T19:12:27+0200,2022-04-16T19:12:41+0200,2022-04-16T19:12:39+0200,2022-04-16T19:12:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:01:52+0200,2022-04-16T21:02:54+0200,4,2,2,4,4,5,2,4,3,2,4,4,3
