Survey Name,"compassion",Install Id,"3bd4216c-3292-495c-974d-06a5528b8184"
Author,"Ilaria Colpizzi"
Subject ID,"sa_ce_2000_05_29_332_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:15:41+0200,2022-04-16T17:17:13+0200,5,4,1,4,4,3,1,4,3,3,5,5,5
,,2022-04-16T17:15:49+0200,2022-04-16T17:16:58+0200,2022-04-16T17:16:33+0200,2022-04-16T17:16:27+0200,2022-04-16T17:16:06+0200,2022-04-16T17:16:55+0200,2022-04-16T17:16:22+0200,2022-04-16T17:16:43+0200,2022-04-16T17:16:03+0200,2022-04-16T17:16:13+0200,2022-04-16T17:17:04+0200,2022-04-16T17:17:09+0200,2022-04-16T17:16:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:09:27+0200,2022-04-16T19:11:14+0200,3,2,2,3,3,2,1,4,1,2,5,4,4
,,2022-04-16T19:09:34+0200,2022-04-16T19:11:00+0200,2022-04-16T19:09:40+0200,2022-04-16T19:10:52+0200,2022-04-16T19:10:49+0200,2022-04-16T19:09:45+0200,2022-04-16T19:11:12+0200,2022-04-16T19:09:53+0200,2022-04-16T19:10:45+0200,2022-04-16T19:10:37+0200,2022-04-16T19:10:00+0200,2022-04-16T19:10:57+0200,2022-04-16T19:11:05+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:22:58+0200,2022-04-16T21:24:22+0200,4,1,1,5,4,6,1,4,3,3,5,4,5
,,2022-04-16T21:23:04+0200,2022-04-16T21:24:06+0200,2022-04-16T21:24:09+0200,2022-04-16T21:23:49+0200,2022-04-16T21:24:12+0200,2022-04-16T21:23:47+0200,2022-04-16T21:24:20+0200,2022-04-16T21:23:37+0200,2022-04-16T21:23:59+0200,2022-04-16T21:23:28+0200,2022-04-16T21:23:18+0200,2022-04-16T21:23:24+0200,2022-04-16T21:23:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:05:33+0200,2022-04-23T15:06:38+0200,4,2,1,2,2,4,3,4,4,4,4,4,5
,,2022-04-23T15:05:40+0200,2022-04-23T15:05:55+0200,2022-04-23T15:05:58+0200,2022-04-23T15:06:30+0200,2022-04-23T15:06:05+0200,2022-04-23T15:06:14+0200,2022-04-23T15:06:10+0200,2022-04-23T15:06:36+0200,2022-04-23T15:06:18+0200,2022-04-23T15:06:02+0200,2022-04-23T15:06:27+0200,2022-04-23T15:05:48+0200,2022-04-23T15:06:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:30:58+0200,2022-04-23T17:31:51+0200,1,5,4,2,2,5,2,2,6,3,5,2,6
,,2022-04-23T17:31:02+0200,2022-04-23T17:31:14+0200,2022-04-23T17:31:12+0200,2022-04-23T17:31:31+0200,2022-04-23T17:31:18+0200,2022-04-23T17:31:35+0200,2022-04-23T17:31:28+0200,2022-04-23T17:31:46+0200,2022-04-23T17:31:05+0200,2022-04-23T17:31:22+0200,2022-04-23T17:31:50+0200,2022-04-23T17:31:39+0200,2022-04-23T17:31:09+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:13:22+0200,2022-04-23T19:14:35+0200,4,1,1,5,4,6,2,4,3,2,6,3,5
,,2022-04-23T19:13:26+0200,2022-04-23T19:13:30+0200,2022-04-23T19:14:04+0200,2022-04-23T19:14:15+0200,2022-04-23T19:13:53+0200,2022-04-23T19:14:01+0200,2022-04-23T19:14:11+0200,2022-04-23T19:13:36+0200,2022-04-23T19:13:58+0200,2022-04-23T19:14:34+0200,2022-04-23T19:13:41+0200,2022-04-23T19:14:28+0200,2022-04-23T19:14:07+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:13:23+0200,2022-04-23T21:14:27+0200,1,3,3,3,3,6,3,4,4,2,5,3,5
,,2022-04-23T21:13:29+0200,2022-04-23T21:14:06+0200,2022-04-23T21:14:21+0200,2022-04-23T21:13:39+0200,2022-04-23T21:14:26+0200,2022-04-23T21:13:35+0200,2022-04-23T21:13:44+0200,2022-04-23T21:14:13+0200,2022-04-23T21:14:02+0200,2022-04-23T21:13:53+0200,2022-04-23T21:13:49+0200,2022-04-23T21:14:17+0200,2022-04-23T21:13:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:25:07+0200,2022-04-30T10:26:19+0200,1,3,4,3,3,4,3,3,3,2,4,5,4
,,2022-04-30T10:25:12+0200,2022-04-30T10:25:24+0200,2022-04-30T10:25:49+0200,2022-04-30T10:25:18+0200,2022-04-30T10:25:35+0200,2022-04-30T10:25:28+0200,2022-04-30T10:25:31+0200,2022-04-30T10:26:06+0200,2022-04-30T10:26:13+0200,2022-04-30T10:25:59+0200,2022-04-30T10:25:46+0200,2022-04-30T10:25:55+0200,2022-04-30T10:26:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:05:52+0200,2022-04-30T15:06:49+0200,2,2,3,5,4,4,3,3,2,3,4,4,4
,,2022-04-30T15:05:58+0200,2022-04-30T15:06:17+0200,2022-04-30T15:06:41+0200,2022-04-30T15:06:22+0200,2022-04-30T15:06:15+0200,2022-04-30T15:06:38+0200,2022-04-30T15:06:44+0200,2022-04-30T15:06:35+0200,2022-04-30T15:06:03+0200,2022-04-30T15:06:12+0200,2022-04-30T15:06:09+0200,2022-04-30T15:06:31+0200,2022-04-30T15:06:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:19:21+0200,2022-04-30T17:20:12+0200,4,1,1,4,4,5,1,4,3,1,5,5,4
,,2022-04-30T17:19:22+0200,2022-04-30T17:19:29+0200,2022-04-30T17:19:53+0200,2022-04-30T17:19:43+0200,2022-04-30T17:20:06+0200,2022-04-30T17:19:36+0200,2022-04-30T17:20:10+0200,2022-04-30T17:19:48+0200,2022-04-30T17:19:51+0200,2022-04-30T17:20:00+0200,2022-04-30T17:20:04+0200,2022-04-30T17:19:41+0200,2022-04-30T17:19:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:23:36+0200,2022-04-30T19:24:33+0200,3,1,1,4,5,4,1,4,2,2,5,5,5
,,2022-04-30T19:23:41+0200,2022-04-30T19:23:49+0200,2022-04-30T19:24:24+0200,2022-04-30T19:24:29+0200,2022-04-30T19:24:22+0200,2022-04-30T19:23:56+0200,2022-04-30T19:24:32+0200,2022-04-30T19:24:00+0200,2022-04-30T19:24:08+0200,2022-04-30T19:24:04+0200,2022-04-30T19:24:13+0200,2022-04-30T19:23:45+0200,2022-04-30T19:24:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:28:49+0200,2022-04-30T21:30:11+0200,4,2,1,4,4,5,2,4,3,1,4,4,4
