Survey Name,"compassion",Install Id,"6773070a-77c1-4f94-a37c-cc81cdb00c4f"
Author,"Ilaria Colpizzi"
Subject ID,"sa_gi_2000_09_09_088_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:02:57+0200,2022-04-09T10:04:36+0200,4,1,1,3,5,4,1,5,5,2,5,3,5
,,2022-04-09T10:03:06+0200,2022-04-09T10:03:35+0200,2022-04-09T10:04:02+0200,2022-04-09T10:04:20+0200,2022-04-09T10:04:05+0200,2022-04-09T10:04:34+0200,2022-04-09T10:03:45+0200,2022-04-09T10:03:19+0200,2022-04-09T10:03:52+0200,2022-04-09T10:03:57+0200,2022-04-09T10:04:17+0200,2022-04-09T10:03:27+0200,2022-04-09T10:04:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:12:11+0200,2022-04-09T15:13:20+0200,4,1,1,4,5,5,2,4,4,2,5,4,5
,,2022-04-09T15:12:18+0200,2022-04-09T15:12:43+0200,2022-04-09T15:13:18+0200,2022-04-09T15:12:34+0200,2022-04-09T15:12:58+0200,2022-04-09T15:12:50+0200,2022-04-09T15:12:30+0200,2022-04-09T15:13:09+0200,2022-04-09T15:12:41+0200,2022-04-09T15:13:14+0200,2022-04-09T15:13:02+0200,2022-04-09T15:12:25+0200,2022-04-09T15:12:55+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:01:52+0200,2022-04-09T17:02:59+0200,5,1,1,4,4,5,2,5,3,1,5,5,5
,,2022-04-09T17:02:04+0200,2022-04-09T17:02:49+0200,2022-04-09T17:02:24+0200,2022-04-09T17:02:08+0200,2022-04-09T17:02:58+0200,2022-04-09T17:02:29+0200,2022-04-09T17:02:17+0200,2022-04-09T17:02:43+0200,2022-04-09T17:02:54+0200,2022-04-09T17:02:37+0200,2022-04-09T17:02:34+0200,2022-04-09T17:02:21+0200,2022-04-09T17:02:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:14:54+0200,2022-04-09T19:15:55+0200,3,1,1,4,3,5,2,5,4,2,5,4,4
,,2022-04-09T19:14:57+0200,2022-04-09T19:15:28+0200,2022-04-09T19:15:07+0200,2022-04-09T19:15:50+0200,2022-04-09T19:15:54+0200,2022-04-09T19:15:26+0200,2022-04-09T19:15:04+0200,2022-04-09T19:15:18+0200,2022-04-09T19:15:35+0200,2022-04-09T19:15:11+0200,2022-04-09T19:15:22+0200,2022-04-09T19:15:42+0200,2022-04-09T19:15:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:21:49+0200,2022-04-09T21:22:48+0200,3,3,4,5,3,5,4,5,4,1,5,5,5
,,2022-04-09T21:21:55+0200,2022-04-09T21:22:37+0200,2022-04-09T21:22:11+0200,2022-04-09T21:22:16+0200,2022-04-09T21:22:02+0200,2022-04-09T21:22:24+0200,2022-04-09T21:22:46+0200,2022-04-09T21:21:59+0200,2022-04-09T21:22:20+0200,2022-04-09T21:22:08+0200,2022-04-09T21:22:32+0200,2022-04-09T21:22:41+0200,2022-04-09T21:22:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:03:18+0200,2022-04-16T10:04:20+0200,1,4,4,3,2,3,4,6,4,4,3,2,4
,,2022-04-16T10:03:23+0200,2022-04-16T10:04:18+0200,2022-04-16T10:03:41+0200,2022-04-16T10:04:02+0200,2022-04-16T10:03:33+0200,2022-04-16T10:04:12+0200,2022-04-16T10:03:38+0200,2022-04-16T10:03:53+0200,2022-04-16T10:04:08+0200,2022-04-16T10:03:29+0200,2022-04-16T10:03:46+0200,2022-04-16T10:03:57+0200,2022-04-16T10:04:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:15:05+0200,2022-04-16T15:16:39+0200,3,2,3,3,3,4,4,5,3,4,4,2,4
,,2022-04-16T15:15:27+0200,2022-04-16T15:16:37+0200,2022-04-16T15:15:58+0200,2022-04-16T15:15:31+0200,2022-04-16T15:16:03+0200,2022-04-16T15:15:47+0200,2022-04-16T15:16:23+0200,2022-04-16T15:16:10+0200,2022-04-16T15:15:38+0200,2022-04-16T15:16:34+0200,2022-04-16T15:15:54+0200,2022-04-16T15:16:16+0200,2022-04-16T15:16:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:06:18+0200,2022-04-16T17:07:46+0200,5,2,1,5,4,3,2,6,4,3,5,4,4
,,2022-04-16T17:06:25+0200,2022-04-16T17:07:01+0200,2022-04-16T17:07:44+0200,2022-04-16T17:07:26+0200,2022-04-16T17:06:55+0200,2022-04-16T17:07:05+0200,2022-04-16T17:06:32+0200,2022-04-16T17:06:37+0200,2022-04-16T17:07:10+0200,2022-04-16T17:06:46+0200,2022-04-16T17:06:43+0200,2022-04-16T17:07:41+0200,2022-04-16T17:07:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:20:32+0200,2022-04-16T19:21:15+0200,5,1,1,5,5,4,2,6,2,3,5,3,5
,,2022-04-16T19:20:36+0200,2022-04-16T19:20:40+0200,2022-04-16T19:20:47+0200,2022-04-16T19:20:48+0200,2022-04-16T19:21:08+0200,2022-04-16T19:20:54+0200,2022-04-16T19:20:43+0200,2022-04-16T19:21:14+0200,2022-04-16T19:21:03+0200,2022-04-16T19:20:51+0200,2022-04-16T19:21:06+0200,2022-04-16T19:20:59+0200,2022-04-16T19:21:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:26:14+0200,2022-04-16T21:26:55+0200,5,1,1,5,4,3,1,6,3,4,4,3,5
,,2022-04-16T21:26:17+0200,2022-04-16T21:26:30+0200,2022-04-16T21:26:54+0200,2022-04-16T21:26:52+0200,2022-04-16T21:26:46+0200,2022-04-16T21:26:25+0200,2022-04-16T21:26:33+0200,2022-04-16T21:26:36+0200,2022-04-16T21:26:44+0200,2022-04-16T21:26:21+0200,2022-04-16T21:26:40+0200,2022-04-16T21:26:28+0200,2022-04-16T21:26:49+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:15:29+0200,2022-04-23T10:16:27+0200,3,2,3,3,4,3,1,6,4,3,4,1,4
,,2022-04-23T10:15:32+0200,2022-04-23T10:15:58+0200,2022-04-23T10:16:08+0200,2022-04-23T10:16:20+0200,2022-04-23T10:16:02+0200,2022-04-23T10:16:25+0200,2022-04-23T10:15:36+0200,2022-04-23T10:15:52+0200,2022-04-23T10:15:56+0200,2022-04-23T10:15:47+0200,2022-04-23T10:15:44+0200,2022-04-23T10:16:15+0200,2022-04-23T10:16:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:23:55+0200,2022-04-23T15:24:56+0200,3,4,2,3,4,2,4,4,4,5,4,3,3
,,2022-04-23T15:23:59+0200,2022-04-23T15:24:40+0200,2022-04-23T15:24:32+0200,2022-04-23T15:24:18+0200,2022-04-23T15:24:14+0200,2022-04-23T15:24:49+0200,2022-04-23T15:24:36+0200,2022-04-23T15:24:04+0200,2022-04-23T15:24:53+0200,2022-04-23T15:24:43+0200,2022-04-23T15:24:11+0200,2022-04-23T15:24:28+0200,2022-04-23T15:24:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:01:31+0200,2022-04-23T17:02:26+0200,3,2,4,3,2,3,4,5,4,4,4,3,4
,,2022-04-23T17:01:36+0200,2022-04-23T17:02:09+0200,2022-04-23T17:02:19+0200,2022-04-23T17:02:06+0200,2022-04-23T17:01:59+0200,2022-04-23T17:01:40+0200,2022-04-23T17:02:22+0200,2022-04-23T17:02:02+0200,2022-04-23T17:02:25+0200,2022-04-23T17:01:56+0200,2022-04-23T17:02:16+0200,2022-04-23T17:01:43+0200,2022-04-23T17:01:48+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
