Survey Name,"compassion",Install Id,"36e28fe0-f70d-4ff1-9301-c63fe408dab5"
Author,"Ilaria Colpizzi"
Subject ID,"sa_pa_2001_11_27_632_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:18:30+0200,2022-04-02T10:20:50+0200,1,1,1,4,4,5,2,6,1,2,2,3,1
,,2022-04-02T10:18:37+0200,2022-04-02T10:19:30+0200,2022-04-02T10:18:48+0200,2022-04-02T10:20:17+0200,2022-04-02T10:19:28+0200,2022-04-02T10:19:51+0200,2022-04-02T10:19:13+0200,2022-04-02T10:20:40+0200,2022-04-02T10:18:44+0200,2022-04-02T10:19:22+0200,2022-04-02T10:20:32+0200,2022-04-02T10:20:47+0200,2022-04-02T10:19:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:28:46+0200,2022-04-02T15:30:27+0200,3,2,1,4,5,6,1,6,1,1,5,5,5
,,2022-04-02T15:28:56+0200,2022-04-02T15:29:45+0200,2022-04-02T15:29:28+0200,2022-04-02T15:29:18+0200,2022-04-02T15:30:15+0200,2022-04-02T15:29:50+0200,2022-04-02T15:30:11+0200,2022-04-02T15:30:20+0200,2022-04-02T15:30:25+0200,2022-04-02T15:29:11+0200,2022-04-02T15:30:01+0200,2022-04-02T15:29:39+0200,2022-04-02T15:29:25+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:05:43+0200,2022-04-02T19:07:18+0200,3,1,2,5,4,6,5,6,1,1,4,5,4
,,2022-04-02T19:05:48+0200,2022-04-02T19:06:45+0200,2022-04-02T19:07:04+0200,2022-04-02T19:06:32+0200,2022-04-02T19:07:06+0200,2022-04-02T19:06:24+0200,2022-04-02T19:06:55+0200,2022-04-02T19:07:14+0200,2022-04-02T19:06:42+0200,2022-04-02T19:06:12+0200,2022-04-02T19:06:06+0200,2022-04-02T19:06:49+0200,2022-04-02T19:06:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:20:22+0200,2022-04-02T21:21:33+0200,3,2,2,4,4,5,4,6,1,1,5,5,5
,,2022-04-02T21:20:26+0200,2022-04-02T21:20:56+0200,2022-04-02T21:21:17+0200,2022-04-02T21:20:35+0200,2022-04-02T21:21:06+0200,2022-04-02T21:20:45+0200,2022-04-02T21:21:24+0200,2022-04-02T21:21:02+0200,2022-04-02T21:21:14+0200,2022-04-02T21:20:32+0200,2022-04-02T21:20:50+0200,2022-04-02T21:21:09+0200,2022-04-02T21:21:29+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:04:58+0200,2022-04-09T10:06:17+0200,2,1,2,3,4,5,1,6,1,1,3,5,5
,,2022-04-09T10:05:05+0200,2022-04-09T10:06:00+0200,2022-04-09T10:06:14+0200,2022-04-09T10:06:07+0200,2022-04-09T10:05:13+0200,2022-04-09T10:05:39+0200,2022-04-09T10:05:20+0200,2022-04-09T10:05:52+0200,2022-04-09T10:05:17+0200,2022-04-09T10:06:10+0200,2022-04-09T10:05:31+0200,2022-04-09T10:05:57+0200,2022-04-09T10:05:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:04:44+0200,2022-04-09T15:05:34+0200,3,1,2,3,4,5,1,6,1,1,6,5,5
,,2022-04-09T15:04:49+0200,2022-04-09T15:05:15+0200,2022-04-09T15:05:13+0200,2022-04-09T15:05:22+0200,2022-04-09T15:05:32+0200,2022-04-09T15:05:03+0200,2022-04-09T15:05:30+0200,2022-04-09T15:05:19+0200,2022-04-09T15:04:52+0200,2022-04-09T15:04:57+0200,2022-04-09T15:05:10+0200,2022-04-09T15:04:55+0200,2022-04-09T15:05:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:08:37+0200,2022-04-09T17:09:17+0200,4,1,1,5,5,6,1,6,1,1,5,6,6
,,2022-04-09T17:08:39+0200,2022-04-09T17:09:05+0200,2022-04-09T17:09:16+0200,2022-04-09T17:09:09+0200,2022-04-09T17:08:44+0200,2022-04-09T17:08:48+0200,2022-04-09T17:08:52+0200,2022-04-09T17:09:03+0200,2022-04-09T17:08:55+0200,2022-04-09T17:09:11+0200,2022-04-09T17:09:14+0200,2022-04-09T17:08:50+0200,2022-04-09T17:08:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:18:41+0200,2022-04-09T19:19:42+0200,3,1,2,4,4,6,1,6,1,1,5,5,5
