Survey Name,"compassion",Install Id,"e8d155b9-be02-4437-ba6f-1d41a5286615"
Author,"Ilaria Colpizzi"
Subject ID,"sa_ro_1999_10_06_740_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:24:29+0200,2022-04-02T10:25:31+0200,4,2,2,4,4,2,6,5,6,5,2,1,6
,,2022-04-02T10:24:39+0200,2022-04-02T10:25:01+0200,2022-04-02T10:25:08+0200,2022-04-02T10:25:20+0200,2022-04-02T10:25:11+0200,2022-04-02T10:24:51+0200,2022-04-02T10:25:24+0200,2022-04-02T10:24:46+0200,2022-04-02T10:25:29+0200,2022-04-02T10:25:16+0200,2022-04-02T10:25:05+0200,2022-04-02T10:24:58+0200,2022-04-02T10:24:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:30:15+0200,2022-04-02T15:31:13+0200,4,2,2,4,4,2,6,6,6,5,2,1,5
,,2022-04-02T15:30:23+0200,2022-04-02T15:30:31+0200,2022-04-02T15:31:07+0200,2022-04-02T15:30:28+0200,2022-04-02T15:30:35+0200,2022-04-02T15:31:00+0200,2022-04-02T15:30:44+0200,2022-04-02T15:30:40+0200,2022-04-02T15:31:11+0200,2022-04-02T15:30:51+0200,2022-04-02T15:30:57+0200,2022-04-02T15:30:48+0200,2022-04-02T15:31:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:25:10+0200,2022-04-02T17:25:52+0200,4,2,2,4,4,2,5,6,5,5,2,2,5
,,2022-04-02T17:25:14+0200,2022-04-02T17:25:35+0200,2022-04-02T17:25:30+0200,2022-04-02T17:25:45+0200,2022-04-02T17:25:28+0200,2022-04-02T17:25:23+0200,2022-04-02T17:25:51+0200,2022-04-02T17:25:39+0200,2022-04-02T17:25:19+0200,2022-04-02T17:25:48+0200,2022-04-02T17:25:33+0200,2022-04-02T17:25:26+0200,2022-04-02T17:25:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:14:32+0200,2022-04-02T19:15:15+0200,3,2,1,4,4,2,6,6,5,5,2,1,5
