Survey Name,"compassion",Install Id,"AF27F13C-0897-4D16-8E62-C0A371215311"
Survey Author,"Ilaria Colpizzi"
Subject ID,"sa_ro_2002_05_30_032_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:26:24+0200,2022-04-02T10:28:46+0200,3,1,1,4,3,4,3,5,3,2,4,5,1
,,2022-04-02T10:26:35+0200,2022-04-02T10:28:42+0200,2022-04-02T10:28:17+0200,2022-04-02T10:27:41+0200,2022-04-02T10:26:44+0200,2022-04-02T10:28:36+0200,2022-04-02T10:27:46+0200,2022-04-02T10:27:57+0200,2022-04-02T10:27:02+0200,2022-04-02T10:27:27+0200,2022-04-02T10:26:52+0200,2022-04-02T10:28:25+0200,2022-04-02T10:28:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:15:10+0200,2022-04-02T15:17:31+0200,3,1,1,3,3,4,1,5,3,2,4,5,2
,,2022-04-02T15:15:17+0200,2022-04-02T15:15:27+0200,2022-04-02T15:15:49+0200,2022-04-02T15:16:59+0200,2022-04-02T15:17:11+0200,2022-04-02T15:17:17+0200,2022-04-02T15:15:35+0200,2022-04-02T15:15:44+0200,2022-04-02T15:17:26+0200,2022-04-02T15:16:55+0200,2022-04-02T15:17:06+0200,2022-04-02T15:16:50+0200,2022-04-02T15:15:24+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:17:34+0200,2022-04-02T17:19:27+0200,3,1,1,3,4,5,3,5,3,1,4,4,2
,,2022-04-02T17:17:41+0200,2022-04-02T17:18:14+0200,2022-04-02T17:18:55+0200,2022-04-02T17:18:40+0200,2022-04-02T17:18:02+0200,2022-04-02T17:19:23+0200,2022-04-02T17:18:11+0200,2022-04-02T17:17:51+0200,2022-04-02T17:18:27+0200,2022-04-02T17:19:14+0200,2022-04-02T17:19:06+0200,2022-04-02T17:18:44+0200,2022-04-02T17:18:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:12:40+0200,2022-04-02T19:14:24+0200,4,1,1,4,4,4,2,5,2,2,4,5,2
,,2022-04-02T19:12:52+0200,2022-04-02T19:13:54+0200,2022-04-02T19:13:52+0200,2022-04-02T19:14:01+0200,2022-04-02T19:13:58+0200,2022-04-02T19:13:36+0200,2022-04-02T19:13:47+0200,2022-04-02T19:14:06+0200,2022-04-02T19:13:11+0200,2022-04-02T19:14:10+0200,2022-04-02T19:13:25+0200,2022-04-02T19:13:01+0200,2022-04-02T19:14:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:27:01+0200,2022-04-02T21:30:12+0200,3,2,2,3,4,5,3,5,3,2,4,4,3
,,2022-04-02T21:27:24+0200,2022-04-02T21:28:49+0200,2022-04-02T21:29:27+0200,2022-04-02T21:29:21+0200,2022-04-02T21:29:53+0200,2022-04-02T21:29:57+0200,2022-04-02T21:29:12+0200,2022-04-02T21:29:05+0200,2022-04-02T21:30:02+0200,2022-04-02T21:28:55+0200,2022-04-02T21:29:45+0200,2022-04-02T21:28:31+0200,2022-04-02T21:30:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:16:51+0200,2022-04-09T10:18:53+0200,3,1,1,2,4,4,2,5,2,2,4,4,1
