Survey Name,"compassion",Install Id,"61a81fd2-ff3d-4a4a-8847-8756ddf8f967"
Author,"Ilaria Colpizzi"
Subject ID,"sa_vi_1998_12_29_896_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:20:03+0200,2022-04-02T10:22:04+0200,5,2,2,4,4,5,1,3,4,1,5,4,4
,,2022-04-02T10:20:10+0200,2022-04-02T10:20:19+0200,2022-04-02T10:21:06+0200,2022-04-02T10:21:31+0200,2022-04-02T10:21:29+0200,2022-04-02T10:21:01+0200,2022-04-02T10:22:01+0200,2022-04-02T10:21:56+0200,2022-04-02T10:20:29+0200,2022-04-02T10:21:11+0200,2022-04-02T10:21:43+0200,2022-04-02T10:21:24+0200,2022-04-02T10:21:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:29:46+0200,2022-04-02T15:31:47+0200,4,3,3,4,4,5,1,3,4,1,5,5,4
,,2022-04-02T15:29:55+0200,2022-04-02T15:30:51+0200,2022-04-02T15:30:16+0200,2022-04-02T15:31:02+0200,2022-04-02T15:31:43+0200,2022-04-02T15:30:00+0200,2022-04-02T15:30:11+0200,2022-04-02T15:31:38+0200,2022-04-02T15:30:47+0200,2022-04-02T15:30:27+0200,2022-04-02T15:30:41+0200,2022-04-02T15:30:21+0200,2022-04-02T15:30:06+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:14:54+0200,2022-04-02T17:16:29+0200,2,4,3,3,2,4,1,2,4,2,6,5,4
,,2022-04-02T17:15:10+0200,2022-04-02T17:16:17+0200,2022-04-02T17:16:25+0200,2022-04-02T17:15:34+0200,2022-04-02T17:15:38+0200,2022-04-02T17:15:52+0200,2022-04-02T17:16:14+0200,2022-04-02T17:15:24+0200,2022-04-02T17:16:22+0200,2022-04-02T17:16:03+0200,2022-04-02T17:15:29+0200,2022-04-02T17:16:09+0200,2022-04-02T17:15:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:25:38+0200,2022-04-02T19:26:50+0200,3,1,2,4,4,6,1,2,4,1,4,5,5
,,2022-04-02T19:25:45+0200,2022-04-02T19:26:05+0200,2022-04-02T19:26:17+0200,2022-04-02T19:26:35+0200,2022-04-02T19:26:46+0200,2022-04-02T19:26:01+0200,2022-04-02T19:26:38+0200,2022-04-02T19:25:56+0200,2022-04-02T19:26:28+0200,2022-04-02T19:26:12+0200,2022-04-02T19:26:43+0200,2022-04-02T19:26:24+0200,2022-04-02T19:26:32+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:15:10+0200,2022-04-02T21:17:57+0200,3,2,3,3,3,5,1,2,4,2,5,5,4
