Survey Name,"compassion",Install Id,"cc4c83c5-1bdf-4933-b772-51bba1512113"
Author,"Ilaria Colpizzi"
Subject ID,"se_st_2002_09_02_204_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:18:19+0200,2022-04-02T10:21:05+0200,4,2,2,3,4,5,4,5,4,3,5,5,5
,,2022-04-02T10:18:27+0200,2022-04-02T10:18:43+0200,2022-04-02T10:21:00+0200,2022-04-02T10:20:41+0200,2022-04-02T10:19:43+0200,2022-04-02T10:20:56+0200,2022-04-02T10:20:47+0200,2022-04-02T10:20:01+0200,2022-04-02T10:19:37+0200,2022-04-02T10:19:30+0200,2022-04-02T10:20:36+0200,2022-04-02T10:20:14+0200,2022-04-02T10:20:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:26:35+0200,2022-04-02T15:28:57+0200,3,1,2,3,4,6,2,3,5,2,4,4,5
,,2022-04-02T15:26:54+0200,2022-04-02T15:27:57+0200,2022-04-02T15:28:25+0200,2022-04-02T15:28:29+0200,2022-04-02T15:27:53+0200,2022-04-02T15:27:31+0200,2022-04-02T15:28:40+0200,2022-04-02T15:27:21+0200,2022-04-02T15:27:48+0200,2022-04-02T15:27:43+0200,2022-04-02T15:28:19+0200,2022-04-02T15:28:50+0200,2022-04-02T15:28:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:29:21+0200,2022-04-02T17:30:44+0200,4,3,3,3,3,4,2,4,5,3,4,3,4
,,2022-04-02T17:29:24+0200,2022-04-02T17:29:38+0200,2022-04-02T17:29:42+0200,2022-04-02T17:30:43+0200,2022-04-02T17:29:33+0200,2022-04-02T17:30:04+0200,2022-04-02T17:30:10+0200,2022-04-02T17:30:38+0200,2022-04-02T17:30:25+0200,2022-04-02T17:30:16+0200,2022-04-02T17:29:52+0200,2022-04-02T17:29:59+0200,2022-04-02T17:29:47+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:14:05+0200,2022-04-02T19:15:19+0200,4,1,2,3,4,5,3,4,4,2,5,4,4
,,2022-04-02T19:14:18+0200,2022-04-02T19:15:12+0200,2022-04-02T19:14:31+0200,2022-04-02T19:14:47+0200,2022-04-02T19:14:57+0200,2022-04-02T19:14:44+0200,2022-04-02T19:15:03+0200,2022-04-02T19:14:53+0200,2022-04-02T19:15:16+0200,2022-04-02T19:14:40+0200,2022-04-02T19:14:36+0200,2022-04-02T19:15:07+0200,2022-04-02T19:14:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:22:17+0200,2022-04-02T21:24:01+0200,3,1,2,4,5,4,4,5,4,3,4,4,5
,,2022-04-02T21:22:29+0200,2022-04-02T21:23:16+0200,2022-04-02T21:23:33+0200,2022-04-02T21:22:51+0200,2022-04-02T21:23:59+0200,2022-04-02T21:23:22+0200,2022-04-02T21:23:02+0200,2022-04-02T21:23:12+0200,2022-04-02T21:23:56+0200,2022-04-02T21:23:38+0200,2022-04-02T21:23:50+0200,2022-04-02T21:23:30+0200,2022-04-02T21:23:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:24:40+0200,2022-04-09T10:26:02+0200,4,4,3,1,2,3,4,5,5,3,2,4,3
,,2022-04-09T10:24:45+0200,2022-04-09T10:25:24+0200,2022-04-09T10:26:00+0200,2022-04-09T10:25:36+0200,2022-04-09T10:25:26+0200,2022-04-09T10:25:41+0200,2022-04-09T10:25:57+0200,2022-04-09T10:25:07+0200,2022-04-09T10:25:49+0200,2022-04-09T10:25:32+0200,2022-04-09T10:24:59+0200,2022-04-09T10:25:11+0200,2022-04-09T10:25:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:00:08+0200,2022-04-09T15:01:08+0200,3,2,2,4,3,4,3,4,5,4,4,4,4
,,2022-04-09T15:00:15+0200,2022-04-09T15:01:00+0200,2022-04-09T15:00:57+0200,2022-04-09T15:00:22+0200,2022-04-09T15:00:41+0200,2022-04-09T15:00:33+0200,2022-04-09T15:00:55+0200,2022-04-09T15:00:51+0200,2022-04-09T15:00:38+0200,2022-04-09T15:00:30+0200,2022-04-09T15:01:07+0200,2022-04-09T15:00:19+0200,2022-04-09T15:00:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:11:49+0200,2022-04-09T17:12:48+0200,2,4,4,2,2,2,5,4,5,4,2,2,4
,,2022-04-09T17:11:55+0200,2022-04-09T17:12:20+0200,2022-04-09T17:12:22+0200,2022-04-09T17:11:59+0200,2022-04-09T17:12:38+0200,2022-04-09T17:12:47+0200,2022-04-09T17:12:17+0200,2022-04-09T17:12:02+0200,2022-04-09T17:12:05+0200,2022-04-09T17:12:35+0200,2022-04-09T17:12:28+0200,2022-04-09T17:12:12+0200,2022-04-09T17:12:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:20:25+0200,2022-04-09T19:23:14+0200,5,1,2,4,4,5,4,5,4,3,4,4,5
,,2022-04-09T19:20:30+0200,2022-04-09T19:20:36+0200,2022-04-09T19:23:10+0200,2022-04-09T19:20:57+0200,2022-04-09T19:23:13+0200,2022-04-09T19:21:01+0200,2022-04-09T19:23:01+0200,2022-04-09T19:20:53+0200,2022-04-09T19:22:57+0200,2022-04-09T19:21:33+0200,2022-04-09T19:23:08+0200,2022-04-09T19:22:50+0200,2022-04-09T19:22:54+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:09:17+0200,2022-04-09T21:10:30+0200,3,3,2,3,3,4,4,5,4,4,4,4,4
,,2022-04-09T21:09:22+0200,2022-04-09T21:09:29+0200,2022-04-09T21:10:28+0200,2022-04-09T21:09:58+0200,2022-04-09T21:10:14+0200,2022-04-09T21:09:41+0200,2022-04-09T21:10:05+0200,2022-04-09T21:10:11+0200,2022-04-09T21:09:26+0200,2022-04-09T21:09:47+0200,2022-04-09T21:09:55+0200,2022-04-09T21:10:24+0200,2022-04-09T21:09:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:29:05+0200,2022-04-16T10:30:05+0200,3,1,3,3,3,4,4,4,4,3,4,4,4
