Survey Name,"compassion",Install Id,"73A03D74-7383-4B98-95DC-BA1099722AB6"
Survey Author,"Ilaria Colpizzi"
Subject ID,"ti_mo_1995_09_23_529_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:26:46+0200,2022-04-02T10:28:20+0200,3,2,4,1,1,1,4,5,4,5,4,1,5
,,2022-04-02T10:27:11+0200,2022-04-02T10:27:54+0200,2022-04-02T10:27:16+0200,2022-04-02T10:27:31+0200,2022-04-02T10:27:44+0200,2022-04-02T10:27:36+0200,2022-04-02T10:28:17+0200,2022-04-02T10:27:27+0200,2022-04-02T10:27:49+0200,2022-04-02T10:27:41+0200,2022-04-02T10:28:03+0200,2022-04-02T10:28:08+0200,2022-04-02T10:28:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:25:32+0200,2022-04-02T15:27:17+0200,3,1,1,2,4,4,3,6,4,1,5,3,2
,,2022-04-02T15:25:47+0200,2022-04-02T15:26:46+0200,2022-04-02T15:27:08+0200,2022-04-02T15:26:40+0200,2022-04-02T15:27:05+0200,2022-04-02T15:26:12+0200,2022-04-02T15:26:18+0200,2022-04-02T15:26:06+0200,2022-04-02T15:26:51+0200,2022-04-02T15:25:57+0200,2022-04-02T15:26:35+0200,2022-04-02T15:27:14+0200,2022-04-02T15:26:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:03:45+0200,2022-04-02T17:05:39+0200,3,1,2,2,3,3,3,5,4,4,4,4,4
,,2022-04-02T17:03:50+0200,2022-04-02T17:05:22+0200,2022-04-02T17:05:18+0200,2022-04-02T17:05:04+0200,2022-04-02T17:04:50+0200,2022-04-02T17:05:28+0200,2022-04-02T17:04:26+0200,2022-04-02T17:05:37+0200,2022-04-02T17:04:16+0200,2022-04-02T17:04:05+0200,2022-04-02T17:05:00+0200,2022-04-02T17:04:11+0200,2022-04-02T17:04:46+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:20:38+0200,2022-04-02T19:22:31+0200,3,2,2,3,3,4,4,6,4,4,5,3,4
,,2022-04-02T19:20:45+0200,2022-04-02T19:22:22+0200,2022-04-02T19:22:00+0200,2022-04-02T19:21:13+0200,2022-04-02T19:20:50+0200,2022-04-02T19:22:13+0200,2022-04-02T19:22:29+0200,2022-04-02T19:21:01+0200,2022-04-02T19:22:19+0200,2022-04-02T19:20:55+0200,2022-04-02T19:21:47+0200,2022-04-02T19:21:22+0200,2022-04-02T19:21:28+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:04:14+0200,2022-04-02T21:06:05+0200,4,1,1,4,4,4,2,5,3,3,5,4,4
,,2022-04-02T21:04:19+0200,2022-04-02T21:05:18+0200,2022-04-02T21:05:39+0200,2022-04-02T21:05:50+0200,2022-04-02T21:05:32+0200,2022-04-02T21:05:21+0200,2022-04-02T21:04:35+0200,2022-04-02T21:05:16+0200,2022-04-02T21:04:45+0200,2022-04-02T21:06:03+0200,2022-04-02T21:05:44+0200,2022-04-02T21:04:50+0200,2022-04-02T21:05:12+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:11:39+0200,2022-04-09T10:12:48+0200,3,1,1,4,5,4,3,6,4,2,5,4,1
,,2022-04-09T10:11:47+0200,2022-04-09T10:11:52+0200,2022-04-09T10:12:41+0200,2022-04-09T10:12:02+0200,2022-04-09T10:12:20+0200,2022-04-09T10:12:32+0200,2022-04-09T10:12:27+0200,2022-04-09T10:12:07+0200,2022-04-09T10:12:38+0200,2022-04-09T10:12:46+0200,2022-04-09T10:12:13+0200,2022-04-09T10:12:17+0200,2022-04-09T10:11:58+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:28:03+0200,2022-04-09T15:28:57+0200,5,1,1,5,5,6,1,6,2,1,6,5,5
