Survey Name,"compassion",Install Id,"4f142669-98e7-4097-b667-fd912374e488"
Author,"Ilaria Colpizzi"
Subject ID,"to_to_2002_06_09_367_m"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:04:26+0200,2022-04-02T10:06:40+0200,3,2,2,4,4,5,3,4,6,4,5,5,4
,,2022-04-02T10:04:49+0200,2022-04-02T10:06:20+0200,2022-04-02T10:05:51+0200,2022-04-02T10:06:06+0200,2022-04-02T10:05:55+0200,2022-04-02T10:04:59+0200,2022-04-02T10:05:37+0200,2022-04-02T10:06:37+0200,2022-04-02T10:06:02+0200,2022-04-02T10:05:15+0200,2022-04-02T10:05:46+0200,2022-04-02T10:05:10+0200,2022-04-02T10:06:11+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:16:30+0200,2022-04-02T15:17:59+0200,2,3,4,2,2,3,2,4,6,4,5,4,2
,,2022-04-02T15:16:40+0200,2022-04-02T15:17:09+0200,2022-04-02T15:17:32+0200,2022-04-02T15:17:49+0200,2022-04-02T15:16:47+0200,2022-04-02T15:17:46+0200,2022-04-02T15:17:27+0200,2022-04-02T15:17:06+0200,2022-04-02T15:17:21+0200,2022-04-02T15:16:52+0200,2022-04-02T15:16:58+0200,2022-04-02T15:17:54+0200,2022-04-02T15:17:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:16:13+0200,2022-04-02T17:17:50+0200,5,2,2,5,3,5,2,4,5,3,4,4,6
,,2022-04-02T17:16:46+0200,2022-04-02T17:17:09+0200,2022-04-02T17:17:49+0200,2022-04-02T17:17:01+0200,2022-04-02T17:17:39+0200,2022-04-02T17:16:52+0200,2022-04-02T17:17:07+0200,2022-04-02T17:17:27+0200,2022-04-02T17:17:22+0200,2022-04-02T17:16:58+0200,2022-04-02T17:17:18+0200,2022-04-02T17:17:35+0200,2022-04-02T17:17:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:33:10+0200,2022-04-02T19:34:24+0200,3,2,4,2,2,2,5,5,6,6,4,2,4
,,2022-04-02T19:33:15+0200,2022-04-02T19:33:28+0200,2022-04-02T19:33:20+0200,2022-04-02T19:34:05+0200,2022-04-02T19:33:35+0200,2022-04-02T19:33:40+0200,2022-04-02T19:33:33+0200,2022-04-02T19:34:16+0200,2022-04-02T19:33:24+0200,2022-04-02T19:34:20+0200,2022-04-02T19:34:02+0200,2022-04-02T19:33:44+0200,2022-04-02T19:34:08+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:13:01+0200,2022-04-02T21:14:02+0200,1,5,4,1,1,2,6,6,6,6,2,1,6
