Survey Name,"compassion",Install Id,"62a7cf58-680a-46c8-aace-8dd386124b1b"
Author,"Ilaria Colpizzi"
Subject ID,"va_fa_1992_03_30_800_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:18:26+0200,2022-04-09T10:19:50+0200,3,2,2,2,3,3,5,5,6,5,2,2,3
,,2022-04-09T10:18:38+0200,2022-04-09T10:19:01+0200,2022-04-09T10:19:36+0200,2022-04-09T10:18:43+0200,2022-04-09T10:18:53+0200,2022-04-09T10:19:44+0200,2022-04-09T10:18:47+0200,2022-04-09T10:19:10+0200,2022-04-09T10:18:58+0200,2022-04-09T10:19:32+0200,2022-04-09T10:19:30+0200,2022-04-09T10:19:48+0200,2022-04-09T10:19:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:11:14+0200,2022-04-09T15:12:20+0200,3,3,3,2,2,3,4,5,6,5,3,2,4
,,2022-04-09T15:11:23+0200,2022-04-09T15:11:55+0200,2022-04-09T15:11:52+0200,2022-04-09T15:11:58+0200,2022-04-09T15:11:47+0200,2022-04-09T15:11:32+0200,2022-04-09T15:12:04+0200,2022-04-09T15:11:38+0200,2022-04-09T15:12:18+0200,2022-04-09T15:11:50+0200,2022-04-09T15:11:42+0200,2022-04-09T15:11:27+0200,2022-04-09T15:12:15+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:18:57+0200,2022-04-09T17:19:56+0200,4,2,2,2,2,3,4,5,6,5,3,2,3
,,2022-04-09T17:19:01+0200,2022-04-09T17:19:11+0200,2022-04-09T17:19:18+0200,2022-04-09T17:19:38+0200,2022-04-09T17:19:53+0200,2022-04-09T17:19:27+0200,2022-04-09T17:19:50+0200,2022-04-09T17:19:36+0200,2022-04-09T17:19:25+0200,2022-04-09T17:19:15+0200,2022-04-09T17:19:08+0200,2022-04-09T17:19:46+0200,2022-04-09T17:19:22+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:00:59+0200,2022-04-09T19:01:48+0200,3,4,4,2,2,3,4,5,6,5,2,3,3
,,2022-04-09T19:01:06+0200,2022-04-09T19:01:41+0200,2022-04-09T19:01:26+0200,2022-04-09T19:01:17+0200,2022-04-09T19:01:39+0200,2022-04-09T19:01:35+0200,2022-04-09T19:01:29+0200,2022-04-09T19:01:32+0200,2022-04-09T19:01:43+0200,2022-04-09T19:01:20+0200,2022-04-09T19:01:10+0200,2022-04-09T19:01:46+0200,2022-04-09T19:01:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T21:04:01+0200,2022-04-09T21:04:57+0200,3,3,3,2,2,2,4,5,6,4,3,3,3
,,2022-04-09T21:04:04+0200,2022-04-09T21:04:48+0200,2022-04-09T21:04:07+0200,2022-04-09T21:04:13+0200,2022-04-09T21:04:11+0200,2022-04-09T21:04:23+0200,2022-04-09T21:04:28+0200,2022-04-09T21:04:40+0200,2022-04-09T21:04:20+0200,2022-04-09T21:04:44+0200,2022-04-09T21:04:56+0200,2022-04-09T21:04:46+0200,2022-04-09T21:04:51+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:26:19+0200,2022-04-16T10:27:51+0200,4,3,3,3,3,2,4,5,6,5,3,3,4
,,2022-04-16T10:26:38+0200,2022-04-16T10:26:56+0200,2022-04-16T10:27:50+0200,2022-04-16T10:27:11+0200,2022-04-16T10:27:36+0200,2022-04-16T10:27:31+0200,2022-04-16T10:27:03+0200,2022-04-16T10:27:25+0200,2022-04-16T10:26:59+0200,2022-04-16T10:27:28+0200,2022-04-16T10:26:50+0200,2022-04-16T10:27:14+0200,2022-04-16T10:27:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:10:17+0200,2022-04-16T15:11:09+0200,3,3,3,2,2,3,5,5,6,4,3,3,4
,,2022-04-16T15:10:26+0200,2022-04-16T15:10:49+0200,2022-04-16T15:11:08+0200,2022-04-16T15:10:34+0200,2022-04-16T15:10:41+0200,2022-04-16T15:10:38+0200,2022-04-16T15:10:47+0200,2022-04-16T15:11:02+0200,2022-04-16T15:10:52+0200,2022-04-16T15:10:58+0200,2022-04-16T15:10:32+0200,2022-04-16T15:10:44+0200,2022-04-16T15:10:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:14:25+0200,2022-04-16T17:15:08+0200,3,3,3,2,2,3,4,5,6,4,3,3,3
,,2022-04-16T17:14:29+0200,2022-04-16T17:15:07+0200,2022-04-16T17:14:56+0200,2022-04-16T17:14:53+0200,2022-04-16T17:15:05+0200,2022-04-16T17:15:03+0200,2022-04-16T17:14:32+0200,2022-04-16T17:14:48+0200,2022-04-16T17:15:00+0200,2022-04-16T17:14:38+0200,2022-04-16T17:14:44+0200,2022-04-16T17:14:35+0200,2022-04-16T17:14:41+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:25:59+0200,2022-04-16T19:26:41+0200,3,2,2,2,2,3,5,5,6,4,3,2,3
,,2022-04-16T19:26:02+0200,2022-04-16T19:26:31+0200,2022-04-16T19:26:21+0200,2022-04-16T19:26:40+0200,2022-04-16T19:26:38+0200,2022-04-16T19:26:34+0200,2022-04-16T19:26:24+0200,2022-04-16T19:26:10+0200,2022-04-16T19:26:26+0200,2022-04-16T19:26:29+0200,2022-04-16T19:26:16+0200,2022-04-16T19:26:06+0200,2022-04-16T19:26:13+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:22:40+0200,2022-04-16T21:24:21+0200,3,2,2,2,2,2,4,5,6,5,3,2,4
,,2022-04-16T21:22:43+0200,2022-04-16T21:22:49+0200,2022-04-16T21:23:41+0200,2022-04-16T21:23:43+0200,2022-04-16T21:24:20+0200,2022-04-16T21:23:00+0200,2022-04-16T21:24:18+0200,2022-04-16T21:22:47+0200,2022-04-16T21:23:39+0200,2022-04-16T21:22:57+0200,2022-04-16T21:23:47+0200,2022-04-16T21:22:52+0200,2022-04-16T21:23:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:20:17+0200,2022-04-23T10:21:32+0200,4,2,2,3,3,4,4,5,6,4,3,3,3
,,2022-04-23T10:20:22+0200,2022-04-23T10:20:42+0200,2022-04-23T10:20:44+0200,2022-04-23T10:20:34+0200,2022-04-23T10:21:23+0200,2022-04-23T10:20:30+0200,2022-04-23T10:21:21+0200,2022-04-23T10:21:27+0200,2022-04-23T10:20:36+0200,2022-04-23T10:21:16+0200,2022-04-23T10:20:50+0200,2022-04-23T10:21:31+0200,2022-04-23T10:20:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:21:05+0200,2022-04-23T15:21:52+0200,3,2,2,3,3,3,6,5,6,4,3,3,3
,,2022-04-23T15:21:08+0200,2022-04-23T15:21:12+0200,2022-04-23T15:21:22+0200,2022-04-23T15:21:15+0200,2022-04-23T15:21:42+0200,2022-04-23T15:21:25+0200,2022-04-23T15:21:34+0200,2022-04-23T15:21:20+0200,2022-04-23T15:21:40+0200,2022-04-23T15:21:47+0200,2022-04-23T15:21:51+0200,2022-04-23T15:21:31+0200,2022-04-23T15:21:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T17:03:10+0200,2022-04-23T17:04:00+0200,3,3,3,2,2,3,4,5,6,5,3,3,4
,,2022-04-23T17:03:14+0200,2022-04-23T17:03:30+0200,2022-04-23T17:03:32+0200,2022-04-23T17:03:52+0200,2022-04-23T17:03:21+0200,2022-04-23T17:03:58+0200,2022-04-23T17:03:17+0200,2022-04-23T17:03:28+0200,2022-04-23T17:03:47+0200,2022-04-23T17:03:55+0200,2022-04-23T17:03:23+0200,2022-04-23T17:03:25+0200,2022-04-23T17:03:50+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T19:21:09+0200,2022-04-23T19:21:44+0200,2,3,3,2,2,3,5,5,6,4,3,3,4
,,2022-04-23T19:21:14+0200,2022-04-23T19:21:21+0200,2022-04-23T19:21:16+0200,2022-04-23T19:21:39+0200,2022-04-23T19:21:31+0200,2022-04-23T19:21:19+0200,2022-04-23T19:21:29+0200,2022-04-23T19:21:37+0200,2022-04-23T19:21:35+0200,2022-04-23T19:21:41+0200,2022-04-23T19:21:27+0200,2022-04-23T19:21:33+0200,2022-04-23T19:21:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T21:06:43+0200,2022-04-23T21:07:29+0200,3,2,2,2,3,3,4,5,6,4,3,3,4
,,2022-04-23T21:06:54+0200,2022-04-23T21:06:58+0200,2022-04-23T21:06:57+0200,2022-04-23T21:07:23+0200,2022-04-23T21:07:11+0200,2022-04-23T21:07:03+0200,2022-04-23T21:07:25+0200,2022-04-23T21:07:20+0200,2022-04-23T21:07:09+0200,2022-04-23T21:07:17+0200,2022-04-23T21:07:01+0200,2022-04-23T21:07:07+0200,2022-04-23T21:07:27+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T10:05:05+0200,2022-04-30T10:05:47+0200,4,3,3,3,3,3,5,5,6,5,4,2,4
,,2022-04-30T10:05:11+0200,2022-04-30T10:05:23+0200,2022-04-30T10:05:13+0200,2022-04-30T10:05:19+0200,2022-04-30T10:05:34+0200,2022-04-30T10:05:46+0200,2022-04-30T10:05:26+0200,2022-04-30T10:05:17+0200,2022-04-30T10:05:32+0200,2022-04-30T10:05:30+0200,2022-04-30T10:05:43+0200,2022-04-30T10:05:39+0200,2022-04-30T10:05:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T15:15:14+0200,2022-04-30T15:16:04+0200,5,3,3,3,3,3,4,5,6,4,4,3,4
,,2022-04-30T15:15:21+0200,2022-04-30T15:16:02+0200,2022-04-30T15:15:32+0200,2022-04-30T15:15:51+0200,2022-04-30T15:15:30+0200,2022-04-30T15:15:27+0200,2022-04-30T15:16:00+0200,2022-04-30T15:15:58+0200,2022-04-30T15:15:39+0200,2022-04-30T15:15:55+0200,2022-04-30T15:15:49+0200,2022-04-30T15:15:42+0200,2022-04-30T15:15:35+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T17:01:14+0200,2022-04-30T17:01:50+0200,3,3,3,3,3,3,4,5,6,4,3,3,4
,,2022-04-30T17:01:19+0200,2022-04-30T17:01:37+0200,2022-04-30T17:01:29+0200,2022-04-30T17:01:26+0200,2022-04-30T17:01:47+0200,2022-04-30T17:01:35+0200,2022-04-30T17:01:42+0200,2022-04-30T17:01:32+0200,2022-04-30T17:01:33+0200,2022-04-30T17:01:49+0200,2022-04-30T17:01:22+0200,2022-04-30T17:01:39+0200,2022-04-30T17:01:44+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T19:30:54+0200,2022-04-30T19:31:22+0200,3,3,3,2,2,3,4,5,6,4,3,3,4
,,2022-04-30T19:30:57+0200,2022-04-30T19:31:05+0200,2022-04-30T19:31:02+0200,2022-04-30T19:31:13+0200,2022-04-30T19:31:04+0200,2022-04-30T19:31:07+0200,2022-04-30T19:31:09+0200,2022-04-30T19:31:21+0200,2022-04-30T19:31:11+0200,2022-04-30T19:31:17+0200,2022-04-30T19:31:15+0200,2022-04-30T19:31:00+0200,2022-04-30T19:31:19+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-30T21:25:36+0200,2022-04-30T21:26:47+0200,3,3,3,3,3,3,5,5,6,4,3,3,4
,,2022-04-30T21:25:47+0200,2022-04-30T21:26:07+0200,2022-04-30T21:26:25+0200,2022-04-30T21:25:56+0200,2022-04-30T21:26:03+0200,2022-04-30T21:26:05+0200,2022-04-30T21:26:45+0200,2022-04-30T21:26:23+0200,2022-04-30T21:26:20+0200,2022-04-30T21:26:29+0200,2022-04-30T21:26:01+0200,2022-04-30T21:26:41+0200,2022-04-30T21:26:37+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T10:27:19+0200,2022-05-07T10:28:01+0200,2,3,3,2,3,2,4,5,6,4,3,2,4
,,2022-05-07T10:27:24+0200,2022-05-07T10:27:51+0200,2022-05-07T10:27:33+0200,2022-05-07T10:27:47+0200,2022-05-07T10:27:36+0200,2022-05-07T10:27:39+0200,2022-05-07T10:27:56+0200,2022-05-07T10:27:45+0200,2022-05-07T10:27:53+0200,2022-05-07T10:27:49+0200,2022-05-07T10:27:41+0200,2022-05-07T10:27:31+0200,2022-05-07T10:27:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T15:23:55+0200,2022-05-07T15:24:37+0200,4,3,3,2,3,3,6,5,6,4,3,3,4
,,2022-05-07T15:24:00+0200,2022-05-07T15:24:35+0200,2022-05-07T15:24:21+0200,2022-05-07T15:24:33+0200,2022-05-07T15:24:23+0200,2022-05-07T15:24:18+0200,2022-05-07T15:24:06+0200,2022-05-07T15:24:15+0200,2022-05-07T15:24:09+0200,2022-05-07T15:24:28+0200,2022-05-07T15:24:12+0200,2022-05-07T15:24:31+0200,2022-05-07T15:24:04+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-05-07T19:06:48+0200,2022-05-07T19:07:52+0200,3,3,3,3,2,3,6,5,6,5,3,3,4
