Survey Name,"compassion",Install Id,"f0bdb7f1-45e8-4932-b013-e81c7b168084"
Author,"Ilaria Colpizzi"
Subject ID,"va_ro_1998_10_07_040_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:22:58+0200,2022-04-02T10:24:00+0200,3,2,2,3,3,4,3,4,4,4,4,4,4
,,2022-04-02T10:23:10+0200,2022-04-02T10:23:36+0200,2022-04-02T10:23:51+0200,2022-04-02T10:23:41+0200,2022-04-02T10:23:21+0200,2022-04-02T10:23:13+0200,2022-04-02T10:23:45+0200,2022-04-02T10:23:29+0200,2022-04-02T10:23:24+0200,2022-04-02T10:23:56+0200,2022-04-02T10:23:34+0200,2022-04-02T10:23:48+0200,2022-04-02T10:23:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T15:32:28+0200,2022-04-02T15:33:51+0200,3,2,2,3,3,4,2,4,4,4,4,4,3
,,2022-04-02T15:32:56+0200,2022-04-02T15:33:25+0200,2022-04-02T15:33:16+0200,2022-04-02T15:33:21+0200,2022-04-02T15:33:50+0200,2022-04-02T15:33:14+0200,2022-04-02T15:33:44+0200,2022-04-02T15:33:40+0200,2022-04-02T15:33:29+0200,2022-04-02T15:33:33+0200,2022-04-02T15:33:48+0200,2022-04-02T15:32:59+0200,2022-04-02T15:33:18+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:10:10+0200,2022-04-02T17:10:50+0200,3,2,2,3,3,4,3,4,4,4,4,4,4
,,2022-04-02T17:10:13+0200,2022-04-02T17:10:38+0200,2022-04-02T17:10:15+0200,2022-04-02T17:10:21+0200,2022-04-02T17:10:34+0200,2022-04-02T17:10:32+0200,2022-04-02T17:10:36+0200,2022-04-02T17:10:27+0200,2022-04-02T17:10:41+0200,2022-04-02T17:10:29+0200,2022-04-02T17:10:48+0200,2022-04-02T17:10:19+0200,2022-04-02T17:10:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:31:28+0200,2022-04-02T19:32:46+0200,3,2,3,3,3,4,3,4,4,4,3,4,4
,,2022-04-02T19:31:29+0200,2022-04-02T19:32:26+0200,2022-04-02T19:32:34+0200,2022-04-02T19:32:27+0200,2022-04-02T19:31:45+0200,2022-04-02T19:32:33+0200,2022-04-02T19:32:38+0200,2022-04-02T19:31:38+0200,2022-04-02T19:32:44+0200,2022-04-02T19:31:41+0200,2022-04-02T19:31:31+0200,2022-04-02T19:32:30+0200,2022-04-02T19:32:42+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:26:54+0200,2022-04-02T21:27:31+0200,3,2,2,2,2,3,4,4,4,4,4,3,4
,,2022-04-02T21:26:55+0200,2022-04-02T21:27:00+0200,2022-04-02T21:27:05+0200,2022-04-02T21:27:26+0200,2022-04-02T21:27:30+0200,2022-04-02T21:27:24+0200,2022-04-02T21:27:18+0200,2022-04-02T21:27:12+0200,2022-04-02T21:27:29+0200,2022-04-02T21:27:07+0200,2022-04-02T21:27:03+0200,2022-04-02T21:26:56+0200,2022-04-02T21:27:21+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:15:59+0200,2022-04-09T10:16:52+0200,3,2,2,3,3,4,4,4,4,4,4,4,4
,,2022-04-09T10:16:00+0200,2022-04-09T10:16:09+0200,2022-04-09T10:16:50+0200,2022-04-09T10:16:46+0200,2022-04-09T10:16:03+0200,2022-04-09T10:16:43+0200,2022-04-09T10:16:28+0200,2022-04-09T10:16:15+0200,2022-04-09T10:16:06+0200,2022-04-09T10:16:36+0200,2022-04-09T10:16:25+0200,2022-04-09T10:16:20+0200,2022-04-09T10:16:33+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T15:37:58+0200,2022-04-09T15:38:34+0200,3,3,3,3,3,4,4,4,4,4,4,4,4
,,2022-04-09T15:38:00+0200,2022-04-09T15:38:32+0200,2022-04-09T15:38:31+0200,2022-04-09T15:38:30+0200,2022-04-09T15:38:28+0200,2022-04-09T15:38:13+0200,2022-04-09T15:38:03+0200,2022-04-09T15:38:11+0200,2022-04-09T15:38:23+0200,2022-04-09T15:38:26+0200,2022-04-09T15:38:07+0200,2022-04-09T15:38:19+0200,2022-04-09T15:38:16+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T17:29:09+0200,2022-04-09T17:29:43+0200,3,3,2,3,3,3,3,4,4,4,4,4,4
,,2022-04-09T17:29:10+0200,2022-04-09T17:29:32+0200,2022-04-09T17:29:37+0200,2022-04-09T17:29:41+0200,2022-04-09T17:29:18+0200,2022-04-09T17:29:20+0200,2022-04-09T17:29:35+0200,2022-04-09T17:29:28+0200,2022-04-09T17:29:31+0200,2022-04-09T17:29:12+0200,2022-04-09T17:29:16+0200,2022-04-09T17:29:39+0200,2022-04-09T17:29:23+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T19:15:48+0200,2022-04-09T19:16:38+0200,3,2,2,2,3,4,4,3,4,4,4,4,4
,,2022-04-09T19:15:51+0200,2022-04-09T19:16:26+0200,2022-04-09T19:16:12+0200,2022-04-09T19:16:28+0200,2022-04-09T19:16:19+0200,2022-04-09T19:16:22+0200,2022-04-09T19:15:59+0200,2022-04-09T19:16:30+0200,2022-04-09T19:16:10+0200,2022-04-09T19:16:02+0200,2022-04-09T19:15:54+0200,2022-04-09T19:16:17+0200,2022-04-09T19:15:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:08:55+0200,2022-04-16T15:09:42+0200,3,2,3,3,4,4,3,4,4,3,4,4,4
,,2022-04-16T15:08:58+0200,2022-04-16T15:09:23+0200,2022-04-16T15:09:13+0200,2022-04-16T15:09:05+0200,2022-04-16T15:09:33+0200,2022-04-16T15:09:27+0200,2022-04-16T15:09:07+0200,2022-04-16T15:09:39+0200,2022-04-16T15:09:10+0200,2022-04-16T15:09:20+0200,2022-04-16T15:09:02+0200,2022-04-16T15:09:31+0200,2022-04-16T15:09:17+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:12:39+0200,2022-04-16T17:13:20+0200,3,1,2,3,4,4,2,4,4,2,4,4,4
,,2022-04-16T17:12:41+0200,2022-04-16T17:12:53+0200,2022-04-16T17:12:50+0200,2022-04-16T17:12:52+0200,2022-04-16T17:12:43+0200,2022-04-16T17:12:48+0200,2022-04-16T17:13:13+0200,2022-04-16T17:13:09+0200,2022-04-16T17:13:04+0200,2022-04-16T17:13:18+0200,2022-04-16T17:13:01+0200,2022-04-16T17:13:16+0200,2022-04-16T17:12:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:25:54+0200,2022-04-16T19:26:37+0200,3,2,1,3,3,4,3,4,4,4,4,4,4
,,2022-04-16T19:25:55+0200,2022-04-16T19:26:36+0200,2022-04-16T19:26:22+0200,2022-04-16T19:26:26+0200,2022-04-16T19:26:07+0200,2022-04-16T19:26:28+0200,2022-04-16T19:25:58+0200,2022-04-16T19:26:16+0200,2022-04-16T19:26:01+0200,2022-04-16T19:26:04+0200,2022-04-16T19:26:11+0200,2022-04-16T19:26:20+0200,2022-04-16T19:26:34+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T21:34:33+0200,2022-04-16T21:35:43+0200,3,2,2,3,3,4,3,4,4,3,4,3,4
,,2022-04-16T21:34:34+0200,2022-04-16T21:35:32+0200,2022-04-16T21:35:20+0200,2022-04-16T21:34:50+0200,2022-04-16T21:35:36+0200,2022-04-16T21:35:40+0200,2022-04-16T21:35:29+0200,2022-04-16T21:34:46+0200,2022-04-16T21:35:25+0200,2022-04-16T21:34:37+0200,2022-04-16T21:35:34+0200,2022-04-16T21:34:40+0200,2022-04-16T21:34:59+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T10:18:25+0200,2022-04-23T10:20:03+0200,3,2,2,3,3,4,3,4,4,3,4,4,4
,,2022-04-23T10:18:38+0200,2022-04-23T10:19:08+0200,2022-04-23T10:19:24+0200,2022-04-23T10:19:11+0200,2022-04-23T10:19:06+0200,2022-04-23T10:18:41+0200,2022-04-23T10:18:51+0200,2022-04-23T10:18:46+0200,2022-04-23T10:19:18+0200,2022-04-23T10:19:05+0200,2022-04-23T10:20:01+0200,2022-04-23T10:19:37+0200,2022-04-23T10:19:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-23T15:16:30+0200,2022-04-23T15:18:00+0200,3,2,2,3,3,4,3,4,4,3,4,4,4
